Rank,,Player,Total
1,1,Hideki Matsuyama,28
2,1,Ryo Hisatsune,20
2,1,Cameron Young,20
4,1,Rory McIlroy,17
5,1,Chris Gotterup,14
6,1,Sahith Theegala,13
6,1,Justin Thomas,13
8,1,Sam Burns,12
9,2,Kurt Kitayama,11
10,2,Ryan Fox,10
11,3,Mikumu Horikawa,8
11,4,Collin Morikawa,8
13,6,Blades Brown,7
13,2,SSP Chawrasia,7
15,9,Keegan Bradley,6
15,9,Jacob Bridgeman,6
15,4,Paul Casey,6
15,9,Nico Echavarria,6
15,9,A.J. Ewart,6
15,9,Tommy Fleetwood,6
15,4,Tae Hee Lee,6
15,9,Rasmus Neergaard-Petersen,6
15,4,Doug Tewell,6
24,13,Christiaan Bezuidenhout,5
24,-,Gaganjeet Bhullar,5
24,-,Emiliano Grillo,5
24,13,Russell Henley,5
24,13,Max Homa,5
24,13,Ben James,5
24,13,Casey Jarvis,5
24,13,Chan Kim,5
24,-,Wayne Levi,5
24,13,Robert MacIntyre,5
24,13,Francesco Molinari,5
24,-,Wade Ormsby,5
24,-,Pat Perez,5
24,-,Tag Ridings,5
38,1,Byeong Hun An,4
38,1,Fred Biondi,4
38,22,Michael Brennan,4
38,22,Jonathan Byrd,4
38,22,Eric Cole,4
38,22,Corey Conners,4
38,1,Tony Finau,4
38,1,Martin Flores,4
38,22,Joel Girrbach,4
38,22,Fabián Gómez,4
38,22,Ben Griffin,4
38,22,Beau Hossler,4
38,1,Dustin Johnson,4
38,1,Ben Kohles,4
38,22,Romain Langasque,4
38,1,Marc Leishman,4
38,1,Troy Merritt,4
38,1,William Mouw,4
38,22,Jacob Skov Olesen,4
38,1,Cameron Percy,4
38,1,Patrick Rodgers,4
38,1,Poom Saksansin,4
38,22,Jesper Svensson,4
61,1,Tyson Alexander,3
61,1,Abraham Ancer,3
61,1,Stuart Appleby,3
61,1,Yongjun Bae,3
61,1,Mark Baldwin,3
61,1,Zac Blair,3
61,47,Laurie Canter,3
61,1,Ricky Castillo,3
61,47,Eugenio Chacarra,3
61,47,Davis Chatfield,3
61,47,Joel Dahmen,3
61,47,Alejandro Del Rey,3
61,1,Adrien Dumont de Chassart,3
61,47,Nick Dunlap,3
61,1,Harrison Endycott,3
61,1,Patrick Flavin,3
61,47,Rickie Fowler,3
61,1,Oscar Fraustro,3
61,1,Sergio Garcia,3
61,47,Ryan Gerard,3
61,1,Lucas Glover,3
61,47,Tyrrell Hatton,3
