week,rank,player,percent,points_won,potential_points,nbr_of_wins,nbr_of_top_10s
12,49,Beau Hossler,1.6,8,500,0,0
12,49,Christo Lamprecht,1.6,8,500,0,0
12,49,Thorbjørn Olesen,1.6,8,500,0,0
12,54,Steven Fisk,1.17,6,500,0,0
12,54,Hank Lebioda,1.17,6,500,0,0
12,54,Gordon Sargent,1.17,6,500,0,0
12,54,Vince Whaley,1.17,6,500,0,0
12,58,David Ford,1,5,500,0,0
12,58,Stephan Jaeger,1,5,500,0,0
12,58,Erik van Rooyen,1,5,500,0,0
12,61,Takumi Kanaya,0.92,5,500,0,0
12,62,Peter Malnati,0.86,4,500,0,0
12,62,Jordan Spieth,0.86,4,500,0,0
12,64,Mark Hubbard,0.78,4,500,0,0
12,64,Jeffrey Kang,0.78,4,500,0,0
12,66,Joe Highsmith,0.68,3,500,0,0
12,66,Danny Walker,0.68,3,500,0,0
12,66,Will Zalatoris,0.68,3,500,0,0
12,69,Luke Clanton,0.6,3,500,0,0
13,1,Rory McIlroy,100,750,750,1,1
13,2,Scottie Scheffler,66.67,500,750,0,1
13,3,Russell Henley,41.67,313,750,0,1
13,3,Justin Rose,41.67,313,750,0,1
13,3,Cameron Young,41.67,313,750,0,1
13,6,Sam Burns,31.67,238,750,0,1
13,6,Collin Morikawa,31.67,238,750,0,1
13,8,Max Homa,25,188,750,0,1
13,8,Xander Schauffele,25,188,750,0,1
13,10,Jake Knapp,20.67,155,750,0,0
13,11,Patrick Cantlay,13.56,102,750,0,0
13,11,Jason Day,13.56,102,750,0,0
13,11,Brooks Koepka,13.56,102,750,0,0
13,11,Hideki Matsuyama,13.56,102,750,0,0
13,11,Jordan Spieth,13.56,102,750,0,0
13,16,Matt Fitzpatrick,8.67,65,750,0,0
13,16,Viktor Hovland,8.67,65,750,0,0
13,16,Maverick McNealy,8.67,65,750,0,0
13,19,Ludvig Åberg,7.07,53,750,0,0
13,19,Keegan Bradley,7.07,53,750,0,0
13,19,Wyndham Clark,7.07,53,750,0,0
13,22,Michael Brennan,5.87,44,750,0,0
13,22,Brian Campbell,5.87,44,750,0,0
13,22,Chris Gotterup,5.87,44,750,0,0
13,22,Matt McCarty,5.87,44,750,0,0
13,22,Adam Scott,5.87,44,750,0,0
13,22,Sam Stevens,5.87,44,750,0,0
13,28,Harris English,4.67,35,750,0,0
13,28,Shane Lowry,4.67,35,750,0,0
13,28,Alex Noren,4.67,35,750,0,0
13,31,Tommy Fleetwood,3.68,28,750,0,0
13,31,Ben Griffin,3.68,28,750,0,0
13,31,Brian Harman,3.68,28,750,0,0
13,31,Gary Woodland,3.68,28,750,0,0
13,35,Ryan Gerard,3.07,23,750,0,0
13,35,Haotong Li,3.07,23,750,0,0
13,37,Jacob Bridgeman,2.6,20,750,0,0
13,37,Kristoffer Reitan,2.6,20,750,0,0
13,37,Sepp Straka,2.6,20,750,0,0
13,37,Nick Taylor,2.6,20,750,0,0
13,37,Justin Thomas,2.6,20,750,0,0
13,42,Sungjae Im,2.3,17,750,0,0
13,43,Si Woo Kim,2.2,17,750,0,0
13,44,Aaron Rai,2.1,16,750,0,0
13,45,Corey Conners,1.95,15,750,0,0
13,45,Marco Penge,1.95,15,750,0,0
13,47,Kurt Kitayama,1.8,14,750,0,0
13,48,Rasmus Højgaard,1.67,13,750,0,0
14,1,Matt Fitzpatrick,100,700,700,1,1
14,2,Scottie Scheffler,57.14,400,700,0,1
14,3,Si Woo Kim,50,350,700,0,1
14,4,Ludvig Åberg,42.86,300,700,0,1
14,4,Harris English,42.86,300,700,0,1
14,4,Collin Morikawa,42.86,300,700,0,1
14,7,Bud Cauley,32.14,225,700,0,1
14,8,Patrick Cantlay,23.39,164,700,0,1
14,8,Rickie Fowler,23.39,164,700,0,1
14,8,Kurt Kitayama,23.39,164,700,0,1
14,8,Gary Woodland,23.39,164,700,0,1
14,12,Keegan Bradley,15,105,700,0,0
14,12,Steven Fisk,15,105,700,0,0
14,12,Matt McCarty,15,105,700,0,0
14,12,Xander Schauffele,15,105,700,0,0
14,16,Akshay Bhatia,8.22,58,700,0,0
14,16,Sam Burns,8.22,58,700,0,0
14,16,Wyndham Clark,8.22,58,700,0,0
14,16,Pierceson Coody,8.22,58,700,0,0
14,16,Ryan Fox,8.22,58,700,0,0
14,16,Maverick McNealy,8.22,58,700,0,0
14,16,Andrew Novak,8.22,58,700,0,0
14,16,Patrick Rodgers,8.22,58,700,0,0
14,16,Jordan Smith,8.22,58,700,0,0
14,25,Chris Gotterup,5.05,35,700,0,0
14,25,Brian Harman,5.05,35,700,0,0
14,25,Russell Henley,5.05,35,700,0,0
14,25,Michael Kim,5.05,35,700,0,0
14,25,Aldrich Potgieter,5.05,35,700,0,0
14,25,J.J. Spaun,5.05,35,700,0,0
14,25,Sahith Theegala,5.05,35,700,0,0
14,25,Cameron Young,5.05,35,700,0,0
14,33,Chandler Blanchet,3.32,23,700,0,0
14,33,Jacob Bridgeman,3.32,23,700,0,0
14,33,Ryan Gerard,3.32,23,700,0,0
14,33,Ben Griffin,3.32,23,700,0,0
14,33,Joe Highsmith,3.32,23,700,0,0
14,33,Adam Schenk,3.32,23,700,0,0
14,33,Jordan Spieth,3.32,23,700,0,0
14,33,Michael Thorbjornsen,3.32,23,700,0,0
14,33,Karl Vilips,3.32,23,700,0,0
14,42,Daniel Berger,2.21,15,700,0,0
14,42,Michael Brennan,2.21,15,700,0,0
14,42,Jason Day,2.21,15,700,0,0
14,42,Lucas Glover,2.21,15,700,0,0
14,42,Viktor Hovland,2.21,15,700,0,0
14,42,Sungjae Im,2.21,15,700,0,0
14,42,Shane Lowry,2.21,15,700,0,0
14,42,Robert MacIntyre,2.21,15,700,0,0
14,42,Andrew Putnam,2.21,15,700,0,0
14,42,Sepp Straka,2.21,15,700,0,0
14,52,Tommy Fleetwood,1.64,12,700,0,0
14,52,Garrick Higgo,1.64,12,700,0,0
14,52,Sudarshan Yellamaraju,1.64,12,700,0,0
14,55,Corey Conners,1.36,10,700,0,0
14,55,Nicolai Højgaard,1.36,10,700,0,0
14,55,William Mouw,1.36,10,700,0,0
14,55,Sami Valimaki,1.36,10,700,0,0
14,55,Matt Wallace,1.36,10,700,0,0
14,60,Ricky Castillo,1.11,8,700,0,0
14,60,Ryo Hisatsune,1.11,8,700,0,0
14,60,Min Woo Lee,1.11,8,700,0,0
14,60,J.T. Poston,1.11,8,700,0,0
14,60,Nick Taylor,1.11,8,700,0,0
14,65,Harry Hall,0.95,7,700,0,0
14,65,Denny McCarthy,0.95,7,700,0,0
14,65,Alex Noren,0.95,7,700,0,0
14,65,Sam Stevens,0.95,7,700,0,0
14,69,Max Homa,0.84,6,700,0,0
14,69,Johnny Keefer,0.84,6,700,0,0
14,71,Tom Hoge,0.75,5,700,0,0
14,71,David Lipsky,0.75,5,700,0,0
14,71,Taylor Pendrith,0.75,5,700,0,0
14,74,Jake Knapp,0.64,5,700,0,0
14,74,Austin Smotherman,0.64,5,700,0,0
14,74,Jhonattan Vegas,0.64,5,700,0,0
14,77,Brian Campbell,0.54,4,700,0,0
14,77,Marco Penge,0.54,4,700,0,0
14,77,Justin Thomas,0.54,4,700,0,0
14,80,Billy Horschel,0.46,3,700,0,0
14,81,Nico Echavarria,0.43,3,700,0,0
14,82,Tony Finau,0.39,3,700,0,0
15,1,Matt Fitzpatrick,80,400,500,1,1
15,2,Kristoffer Reitan,26.75,134,500,0,1
15,2,Alex Smalley,26.75,134,500,0,1
15,2,Hayden Springer,26.75,134,500,0,1
15,2,Kris Ventura,26.75,134,500,0,1
15,6,Trace Crowe,16.5,83,500,0,1
15,6,Ben Martin,16.5,83,500,0,1
15,6,Rasmus Neergaard-Petersen,16.5,83,500,0,1
15,9,Eric Cole,11.5,58,500,0,1
15,9,Austin Eckroat,11.5,58,500,0,1
15,9,Doug Ghim,11.5,58,500,0,1
15,9,Tom Hoge,11.5,58,500,0,1
15,9,Billy Horschel,11.5,58,500,0,1
15,9,Jeffrey Kang,11.5,58,500,0,1
15,9,Hank Lebioda,11.5,58,500,0,1
15,9,Davis Thompson,11.5,58,500,0,1
15,17,Ben Griffin,8.4,42,500,0,1
15,17,Matt McCarty,8.4,42,500,0,1
15,17,Mac Meissner,8.4,42,500,0,1
15,17,Andrew Novak,8.4,42,500,0,1
15,17,Seamus Power,8.4,42,500,0,1
15,17,Matti Schmid,8.4,42,500,0,1
15,23,Zach Bauchou,6.05,30,500,0,0
15,23,Dan Brown,6.05,30,500,0,0
15,23,Lanto Griffin,6.05,30,500,0,0
15,23,Ben Kohles,6.05,30,500,0,0
15,23,John Parry,6.05,30,500,0,0
15,23,Sam Stevens,6.05,30,500,0,0
15,23,Michael Thorbjornsen,6.05,30,500,0,0
15,23,Karl Vilips,6.05,30,500,0,0
15,31,Christiaan Bezuidenhout,4.12,21,500,0,0
15,31,Davis Chatfield,4.12,21,500,0,0
15,31,Adrien Dumont de Chassart,4.12,21,500,0,0
15,31,Nick Dunlap,4.12,21,500,0,0
15,31,Gordon Sargent,4.12,21,500,0,0
15,31,Erik van Rooyen,4.12,21,500,0,0
15,37,Wyndham Clark,2.71,14,500,0,0
15,37,A.J. Ewart,2.71,14,500,0,0
15,37,Nick Hardy,2.71,14,500,0,0
15,37,Taylor Moore,2.71,14,500,0,0
15,37,Matthieu Pavon,2.71,14,500,0,0
15,37,Davis Riley,2.71,14,500,0,0
15,43,Brice Garnett,1.85,9,500,0,0
15,43,Lee Hodges,1.85,9,500,0,0
15,43,Aaron Rai,1.85,9,500,0,0
15,43,Sahith Theegala,1.85,9,500,0,0
15,47,Luke Clanton,1.3,6,500,0,0
15,47,Adam Hadwin,1.3,6,500,0,0
15,47,Rico Hoey,1.3,6,500,0,0
15,47,Takumi Kanaya,1.3,6,500,0,0
15,47,David Lipsky,1.3,6,500,0,0
15,47,William Mouw,1.3,6,500,0,0
15,47,Adam Svensson,1.3,6,500,0,0
15,54,Keith Mitchell,0.98,5,500,0,0
15,54,Marco Penge,0.98,5,500,0,0
15,54,Brandt Snedeker,0.98,5,500,0,0
15,54,Matt Wallace,0.98,5,500,0,0
15,58,Justin Lower,0.82,4,500,0,0
15,58,Max McGreevy,0.82,4,500,0,0
15,58,Chad Ramey,0.82,4,500,0,0
15,58,Kevin Roy,0.82,4,500,0,0
15,62,Ryan Gerard,0.7,4,500,0,0
15,62,Sudarshan Yellamaraju,0.7,4,500,0,0
15,64,Chandler Phillips,0.62,3,500,0,0
15,64,Carson Young,0.62,3,500,0,0
16,1,Cameron Young,100.00%,700,700,1,1
16,2,Scottie Scheffler,57.14%,400,700,0,1
16,3,Ben Griffin,50.00%,350,700,0,1
16,4,Si Woo Kim,42.86%,300,700,0,1
16,4,Adam Scott,42.86%,300,700,0,1
16,4,Sepp Straka,42.86%,300,700,0,1
16,7,Alex Noren,30.36%,213,700,0,1
16,7,Alex Smalley,30.36%,213,700,0,1
16,9,Alex Fitzpatrick,19.57%,137,700,0,1
16,9,Rickie Fowler,19.57%,137,700,0,1
16,9,Kurt Kitayama,19.57%,137,700,0,1
16,9,Matt McCarty,19.57%,137,700,0,1
16,9,Nick Taylor,19.57%,137,700,0,1
16,14,Lucas Glover,12.14%,85,700,0,0
16,14,Aldrich Potgieter,12.14%,85,700,0,0
16,14,Kristoffer Reitan,12.14%,85,700,0,0
16,14,J.J. Spaun,12.14%,85,700,0,0
16,18,Michael Kim,7.94%,56,700,0,0
16,18,Min Woo Lee,7.94%,56,700,0,0
16,18,Andrew Putnam,7.94%,56,700,0,0
16,18,Jordan Spieth,7.94%,56,700,0,0
16,18,Sam Stevens,7.94%,56,700,0,0
16,23,Daniel Berger,5.71%,40,700,0,0
16,23,Akshay Bhatia,5.71%,40,700,0,0
16,23,Tommy Fleetwood,5.71%,40,700,0,0
16,23,Nicolai Højgaard,5.71%,40,700,0,0
16,23,Shane Lowry,5.71%,40,700,0,0
16,23,Justin Thomas,5.71%,40,700,0,0
16,23,Matt Wallace,5.71%,40,700,0,0
16,30,Corey Conners,3.92%,27,700,0,0
16,30,Ryan Fox,3.92%,27,700,0,0
16,30,Ryan Gerard,3.92%,27,700,0,0
16,30,Harry Hall,3.92%,27,700,0,0
16,30,Denny McCarthy,3.92%,27,700,0,0
16,30,Maverick McNealy,3.92%,27,700,0,0
16,30,Sahith Theegala,3.92%,27,700,0,0
16,30,Sudarshan Yellamaraju,3.92%,27,700,0,0
16,38,Sam Burns,2.57%,18,700,0,0
16,38,Bud Cauley,2.57%,18,700,0,0
16,38,Pierceson Coody,2.57%,18,700,0,0
16,38,Jason Day,2.57%,18,700,0,0
16,38,Chris Gotterup,2.57%,18,700,0,0
16,38,Max Greyserman,2.57%,18,700,0,0
16,38,Brian Harman,2.57%,18,700,0,0
16,38,Max Homa,2.57%,18,700,0,0
16,38,Viktor Hovland,2.57%,18,700,0,0
16,38,Taylor Pendrith,2.57%,18,700,0,0
16,38,Gary Woodland,2.57%,18,700,0,0
16,49,Keegan Bradley,1.82%,13,700,0,0
16,49,Brian Campbell,1.82%,13,700,0,0
16,49,Russell Henley,1.82%,13,700,0,0
16,49,J.T. Poston,1.82%,13,700,0,0
16,53,Hideki Matsuyama,1.61%,11,700,0,0
16,53,Michael Thorbjornsen,1.61%,11,700,0,0
16,55,Ricky Castillo,1.36%,10,700,0,0
16,55,Nico Echavarria,1.36%,10,700,0,0
16,55,Harris English,1.36%,10,700,0,0
16,55,Keith Mitchell,1.36%,10,700,0,0
16,55,Jordan Smith,1.36%,10,700,0,0
16,60,Austin Smotherman,1.16%,8,700,0,0
16,60,Jhonattan Vegas,1.16%,8,700,0,0
16,62,Joel Dahmen,1.07%,8,700,0,0
16,62,Tom Hoge,1.07%,8,700,0,0
16,62,Collin Morikawa,1.07%,8,700,0,0
16,65,Jacob Bridgeman,0.91%,6,700,0,0
16,65,Ryo Hisatsune,0.91%,6,700,0,0
16,65,Sungjae Im,0.91%,6,700,0,0
16,65,Andrew Novak,0.91%,6,700,0,0
16,65,Patrick Rodgers,0.91%,6,700,0,0
16,65,Justin Rose,0.91%,6,700,0,0
16,71,David Lipsky,0.79%,6,700,0,0
16,72,Chandler Blanchet,0.75%,5,700,0,0
17,1,Kristoffer Reitan,100.00%,700,700,1,1
17,2,Rickie Fowler,53.57%,375,700,0,1
17,2,Nicolai Højgaard,53.57%,375,700,0,1
17,4,Alex Fitzpatrick,46.43%,325,700,0,1
17,5,Tommy Fleetwood,38.10%,267,700,0,1
17,5,Sungjae Im,38.10%,267,700,0,1
17,5,J.J. Spaun,38.10%,267,700,0,1
17,8,Ludvig Åberg,26.79%,188,700,0,1
17,8,Harry Hall,26.79%,188,700,0,1
17,10,Patrick Cantlay,19.05%,133,700,0,1
17,10,Matt McCarty,19.05%,133,700,0,1
17,10,Cameron Young,19.05%,133,700,0,1
17,13,Justin Thomas,15.71%,110,700,0,0
17,14,Chris Gotterup,12.86%,90,700,0,0
17,14,Min Woo Lee,12.86%,90,700,0,0
17,14,Nick Taylor,12.86%,90,700,0,0
17,17,Alex Smalley,9.64%,68,700,0,0
17,17,Gary Woodland,9.64%,68,700,0,0
17,19,Keegan Bradley,7.40%,52,700,0,0
17,19,Kurt Kitayama,7.40%,52,700,0,0
17,19,Rory McIlroy,7.40%,52,700,0,0
17,19,Austin Smotherman,7.40%,52,700,0,0
17,19,Sudarshan Yellamaraju,7.40%,52,700,0,0
17,24,Pierceson Coody,5.44%,38,700,0,0
17,24,Harris English,5.44%,38,700,0,0
17,24,David Lipsky,5.44%,38,700,0,0
17,24,Andrew Novak,5.44%,38,700,0,0
17,24,J.T. Poston,5.44%,38,700,0,0
17,24,Patrick Rodgers,5.44%,38,700,0,0
17,24,Adam Scott,5.44%,38,700,0,0
17,31,Corey Conners,3.90%,27,700,0,0
17,31,Nico Echavarria,3.90%,27,700,0,0
17,31,Tony Finau,3.90%,27,700,0,0
17,31,Brian Harman,3.90%,27,700,0,0
17,31,Viktor Hovland,3.90%,27,700,0,0
17,31,Alex Noren,3.90%,27,700,0,0
17,37,Akshay Bhatia,2.85%,20,700,0,0
17,37,Sam Burns,2.85%,20,700,0,0
17,37,Bud Cauley,2.85%,20,700,0,0
17,37,Lucas Glover,2.85%,20,700,0,0
17,37,Maverick McNealy,2.85%,20,700,0,0
17,37,Taylor Pendrith,2.85%,20,700,0,0
17,37,Andrew Putnam,2.85%,20,700,0,0
17,37,Matt Wallace,2.85%,20,700,0,0
17,45,Daniel Berger,2.25%,16,700,0,0
17,45,Ryo Hisatsune,2.25%,16,700,0,0
17,45,Justin Rose,2.25%,16,700,0,0
17,48,Michael Kim,1.90%,13,700,0,0
17,48,Denny McCarthy,1.90%,13,700,0,0
17,48,Aldrich Potgieter,1.90%,13,700,0,0
17,48,Webb Simpson,1.90%,13,700,0,0
17,52,Chandler Blanchet,1.46%,10,700,0,0
17,52,Jacob Bridgeman,1.46%,10,700,0,0
17,52,Brian Campbell,1.46%,10,700,0,0
17,52,Matt Fitzpatrick,1.46%,10,700,0,0
17,52,Max Homa,1.46%,10,700,0,0
17,52,Mackenzie Hughes,1.46%,10,700,0,0
17,52,Jordan Spieth,1.46%,10,700,0,0
17,52,Jhonattan Vegas,1.46%,10,700,0,0
17,60,Ricky Castillo,1.14%,8,700,0,0
17,60,Robert MacIntyre,1.14%,8,700,0,0
17,60,Xander Schauffele,1.14%,8,700,0,0
17,63,Ben Griffin,1.05%,7,700,0,0
17,63,Sepp Straka,1.05%,7,700,0,0
17,65,Ryan Gerard,0.98%,7,700,0,0
17,65,Si Woo Kim,0.98%,7,700,0,0
17,67,Ryan Fox,0.93%,7,700,0,0
17,68,Jason Day,0.89%,6,700,0,0
17,69,Sahith Theegala,0.86%,6,700,0,0
17,70,Sam Stevens,0.82%,6,700,0,0
17,71,Hideki Matsuyama,0.79%,6,700,0,0
17,72,Tom Hoge,0.75%,5,700,0,0
18,1,Aaron Rai,100.00%,750,750,1,1
18,2,Alex Smalley,56.67%,425,750,0,1
18,3,Ludvig Åberg,40.00%,300,750,0,1
18,3,Matti Schmid,40.00%,300,750,0,1
18,3,Justin Thomas,40.00%,300,750,0,1
18,6,Rory McIlroy,30.00%,225,750,0,1
18,6,Xander Schauffele,30.00%,225,750,0,1
18,8,Chris Gotterup,19.33%,145,750,0,1
18,8,Kurt Kitayama,19.33%,145,750,0,1
18,8,Justin Rose,19.33%,145,750,0,1
18,11,Matt Fitzpatrick,12.00%,90,750,0,0
18,11,Max Greyserman,12.00%,90,750,0,0
18,11,Ben Griffin,12.00%,90,750,0,0
18,11,Scottie Scheffler,12.00%,90,750,0,0
18,15,Harris English,7.50%,56,750,0,0
18,15,Padraig Harrington,7.50%,56,750,0,0
18,15,Stephan Jaeger,7.50%,56,750,0,0
18,15,Min Woo Lee,7.50%,56,750,0,0
18,15,Maverick McNealy,7.50%,56,750,0,0
18,15,Jordan Spieth,7.50%,56,750,0,0
18,21,Sam Burns,4.93%,37,750,0,0
18,21,Bud Cauley,4.93%,37,750,0,0
18,21,Tom Hoge,4.93%,37,750,0,0
18,21,Hideki Matsuyama,4.93%,37,750,0,0
18,21,Alex Noren,4.93%,37,750,0,0
18,21,Andrew Novak,4.93%,37,750,0,0
18,21,Nick Taylor,4.93%,37,750,0,0
18,21,Cameron Young,4.93%,37,750,0,0
18,29,Daniel Berger,3.08%,23,750,0,0
18,29,Christiaan Bezuidenhout,3.08%,23,750,0,0
18,29,Patrick Cantlay,3.08%,23,750,0,0
18,29,Ryan Fox,3.08%,23,750,0,0
18,29,Ryo Hisatsune,3.08%,23,750,0,0
18,29,Si Woo Kim,3.08%,23,750,0,0
18,29,Haotong Li,3.08%,23,750,0,0
18,29,Aldrich Potgieter,3.08%,23,750,0,0
18,37,Chandler Blanchet,2.02%,15,750,0,0
18,37,Nicolai Højgaard,2.02%,15,750,0,0
18,37,Michael Kim,2.02%,15,750,0,0
18,37,Chris Kirk,2.02%,15,750,0,0
18,37,Shane Lowry,2.02%,15,750,0,0
18,37,Denny McCarthy,2.02%,15,750,0,0
18,37,Taylor Pendrith,2.02%,15,750,0,0
18,37,Kristoffer Reitan,2.02%,15,750,0,0
18,37,Jhonattan Vegas,2.02%,15,750,0,0
18,37,Matt Wallace,2.02%,15,750,0,0
18,47,Corey Conners,1.40%,11,750,0,0
18,47,Brooks Koepka,1.40%,11,750,0,0
18,47,Collin Morikawa,1.40%,11,750,0,0
18,47,Andrew Putnam,1.40%,11,750,0,0
18,51,Rickie Fowler,1.11%,8,750,0,0
18,51,Brian Harman,1.11%,8,750,0,0
18,51,Rico Hoey,1.11%,8,750,0,0
18,51,Sahith Theegala,1.11%,8,750,0,0
18,51,Sami Valimaki,1.11%,8,750,0,0
18,56,Jason Day,0.93%,7,750,0,0
18,56,Rasmus Højgaard,0.93%,7,750,0,0
18,56,Keith Mitchell,0.93%,7,750,0,0
18,56,Sam Stevens,0.93%,7,750,0,0
18,60,Luke Donald,0.77%,6,750,0,0
18,60,Ryan Gerard,0.77%,6,750,0,0
18,60,William Mouw,0.77%,6,750,0,0
18,60,John Parry,0.77%,6,750,0,0
18,64,Daniel Brown,0.62%,5,750,0,0
18,64,Alex Fitzpatrick,0.62%,5,750,0,0
18,64,Rasmus Neergaard-Petersen,0.62%,5,750,0,0
18,67,Johnny Keefer,0.53%,4,750,0,0
18,68,Michael Brennan,0.47%,4,750,0,0
18,69,Brian Campbell,0.43%,3,750,0,0
19,1,Wyndham Clark,100.00%,500,500,1,1
19,2,Si Woo Kim,60.00%,300,500,0,1
19,3,Scottie Scheffler,38.00%,190,500,0,1
19,4,Jackson Suber,27.00%,135,500,0,1
19,5,Keith Mitchell,22.00%,110,500,0,1
19,6,Zach Bauchou,18.33%,92,500,0,1
19,6,Tony Finau,18.33%,92,500,0,1
19,6,Tom Hoge,18.33%,92,500,0,1
19,9,Max Greyserman,14.00%,70,500,0,1
19,9,Sungjae Im,14.00%,70,500,0,1
19,9,Stephan Jaeger,14.00%,70,500,0,1
19,9,Johnny Keefer,14.00%,70,500,0,1
19,9,Jesper Svensson,14.00%,70,500,0,1
19,14,Brooks Koepka,11.00%,55,500,0,0
19,14,Taylor Moore,11.00%,55,500,0,0
19,16,Ben Silverman,10.20%,51,500,0,0
19,17,S.Y. Noh,9.80%,49,500,0,0
19,18,Pierceson Coody,7.38%,37,500,0,0
19,18,A.J. Ewart,7.38%,37,500,0,0
19,18,Steven Fisk,7.38%,37,500,0,0
19,18,Garrick Higgo,7.38%,37,500,0,0
19,18,Kensei Hirata,7.38%,37,500,0,0
19,18,Ryo Hisatsune,7.38%,37,500,0,0
19,18,Rico Hoey,7.38%,37,500,0,0
19,18,Peter Malnati,7.38%,37,500,0,0
19,18,Rasmus Neergaard-Petersen,7.38%,37,500,0,0
19,18,Seamus Power,7.38%,37,500,0,0
19,18,Jordan Spieth,7.38%,37,500,0,0
19,18,Erik van Rooyen,7.38%,37,500,0,0
19,30,Luke Clanton,4.49%,22,500,0,0
19,30,Eric Cole,4.49%,22,500,0,0
19,30,Doug Ghim,4.49%,22,500,0,0
19,30,Mark Hubbard,4.49%,22,500,0,0
19,30,Chris Kirk,4.49%,22,500,0,0
19,30,Mac Meissner,4.49%,22,500,0,0
19,30,Sam Ryder,4.49%,22,500,0,0
19,37,Emiliano Grillo,3.50%,18,500,0,0
19,37,Chan Kim,3.50%,18,500,0,0
19,39,Tyler Duncan,2.61%,13,500,0,0
19,39,Austin Eckroat,2.61%,13,500,0,0
19,39,Luke List,2.61%,13,500,0,0
19,39,Matthieu Pavon,2.61%,13,500,0,0
19,39,Adrien Saddier,2.61%,13,500,0,0
19,39,Neal Shipley,2.61%,13,500,0,0
19,39,Camilo Villegas,2.61%,13,500,0,0
19,46,Dan Brown,1.70%,9,500,0,0
19,46,Patrick Fishburn,1.70%,9,500,0,0
19,46,Fabián Gómez,1.70%,9,500,0,0
19,46,Justin Lower,1.70%,9,500,0,0
19,46,John Parry,1.70%,9,500,0,0
19,46,Taylor Pendrith,1.70%,9,500,0,0
19,46,Patrick Rodgers,1.70%,9,500,0,0
19,53,Charley Hoffman,1.17%,6,500,0,0
19,53,Jeffrey Kang,1.17%,6,500,0,0
19,53,Tom Kim,1.17%,6,500,0,0
19,53,Troy Merritt,1.17%,6,500,0,0
19,53,Adam Svensson,1.17%,6,500,0,0
19,58,Jonathan Byrd,1.00%,5,500,0,0
19,58,Chad Ramey,1.00%,5,500,0,0
19,58,Jordan Smith,1.00%,5,500,0,0
19,61,Rasmus Højgaard,0.86%,4,500,0,0
19,61,Hank Lebioda,0.86%,4,500,0,0
19,61,Thorbjørn Olesen,0.86%,4,500,0,0
19,64,Mackenzie Hughes,0.76%,4,500,0,0
19,65,Lanto Griffin,0.70%,4,500,0,0
19,65,John VanDerLaan,0.70%,4,500,0,0
19,67,Zac Blair,0.64%,3,500,0,0
19,68,Danny Willett,0.60%,3,500,0,0
20,1,Russell Henley,100.00%,500,500,1,1
20,2,Eric Cole,60.00%,300,500,0,1
20,3,Ben Griffin,29.00%,145,500,0,1
20,3,Mac Meissner,29.00%,145,500,0,1
20,3,Alex Smalley,29.00%,145,500,0,1
20,6,Michael Brennan,17.75%,89,500,0,1
20,6,Nico Echavarria,17.75%,89,500,0,1
20,6,J.J. Spaun,17.75%,89,500,0,1
20,6,Gary Woodland,17.75%,89,500,0,1
20,10,Steven Fisk,14.00%,70,500,0,1
20,10,Ryan Gerard,14.00%,70,500,0,1
20,10,Mackenzie Hughes,14.00%,70,500,0,1
20,13,Hideki Matsuyama,11.47%,57,500,0,0
20,13,Jordan Smith,11.47%,57,500,0,0
20,13,Justin Thomas,11.47%,57,500,0,0
20,16,Michael Thorbjornsen,10.60%,53,500,0,0
20,17,Ludvig Åberg,9.40%,47,500,0,0
20,17,A.J. Ewart,9.40%,47,500,0,0
20,17,Rico Hoey,9.40%,47,500,0,0
20,17,Michael Kim,9.40%,47,500,0,0
20,17,Andrew Putnam,9.40%,47,500,0,0
20,22,Zach Bauchou,7.30%,37,500,0,0
20,22,Pierceson Coody,7.30%,37,500,0,0
20,22,Brice Garnett,7.30%,37,500,0,0
20,22,Brian Harman,7.30%,37,500,0,0
20,22,Max Homa,7.30%,37,500,0,0
20,22,Matt Kuchar,7.30%,37,500,0,0
20,28,Akshay Bhatia,5.75%,29,500,0,0
20,28,Doug Ghim,5.75%,29,500,0,0
20,28,Keita Nakajima,5.75%,29,500,0,0
20,28,Brandt Snedeker,5.75%,29,500,0,0
20,32,Christiaan Bezuidenhout,4.70%,24,500,0,0
20,32,Lanto Griffin,4.70%,24,500,0,0
20,32,Garrick Higgo,4.70%,24,500,0,0
20,35,Keegan Bradley,3.60%,18,500,0,0
20,35,Lee Hodges,3.60%,18,500,0,0
20,35,Johnny Keefer,3.60%,18,500,0,0
20,35,Max McGreevy,3.60%,18,500,0,0
20,35,J.T. Poston,3.60%,18,500,0,0
20,35,Davis Thompson,3.60%,18,500,0,0
20,35,Kevin Yu,3.60%,18,500,0,0
20,42,Chandler Blanchet,2.00%,10,500,0,0
20,42,Ricky Castillo,2.00%,10,500,0,0
20,42,Joel Dahmen,2.00%,10,500,0,0
20,42,Emiliano Grillo,2.00%,10,500,0,0
20,42,Billy Horschel,2.00%,10,500,0,0
20,42,Jeffrey Kang,2.00%,10,500,0,0
20,42,Robert MacIntyre,2.00%,10,500,0,0
20,42,Rasmus Neergaard-Petersen,2.00%,10,500,0,0
20,42,Adrien Saddier,2.00%,10,500,0,0
20,42,Austin Smotherman,2.00%,10,500,0,0
20,42,Sam Stevens,2.00%,10,500,0,0
20,42,Kevin Streelman,2.00%,10,500,0,0
20,54,Luke Clanton,1.15%,6,500,0,0
20,54,Patrick Fishburn,1.15%,6,500,0,0
20,54,Takumi Kanaya,1.15%,6,500,0,0
