Rank,,Player,Total
1,-,Scottie Scheffler,78
2,-,Matt Fitzpatrick,27
2,-,Hideki Matsuyama,27
4,-,Cameron Young,19
5,-,Ryo Hisatsune,18
6,-,Rory McIlroy,15
7,-,Ludvig Åberg,13
7,-,Xander Schauffele,13
9,-,Bud Cauley,12
10,-,Sam Burns,11
10,-,Chris Gotterup,11
10,-,Maverick McNealy,11
10,-,Sahith Theegala,11
10,-,Justin Thomas,11
15,-,Kurt Kitayama,9
16,1,Alex Fitzpatrick,8
16,1,Ryan Fox,8
16,1,Mikumu Horikawa,8
16,1,Michael Kim,8
20,3,SSP Chawrasia,7
20,3,Luke Clanton,7
20,3,Austin Eckroat,7
20,4,Denny McCarthy,7
20,4,Collin Morikawa,7
20,4,Taylor Pendrith,7
20,3,Erik van Rooyen,7
27,3,Paul Casey,6
27,3,Doug Ghim,6
27,3,Johnny Keefer,6
27,3,Tae Hee Lee,6
27,3,Taylor Moore,6
27,3,Doug Tewell,6
33,-,Gaganjeet Bhullar,5
33,-,Blades Brown,5
33,11,Wyndham Clark,5
33,-,Lanto Griffin,5
33,-,Tom Kim,5
33,-,Jackson Koivun,5
33,-,Wayne Levi,5
33,-,Wade Ormsby,5
33,-,Pat Perez,5
33,-,Aldrich Potgieter,5
33,-,Tag Ridings,5
33,-,Marcel Siem,5
45,1,Byeong Hun An,4
45,1,Fred Biondi,4
45,13,Keegan Bradley,4
45,13,Jacob Bridgeman,4
45,1,Jorge Campillo,4
45,13,Nico Echavarria,4
45,1,Patrick Fishburn,4
45,13,Tommy Fleetwood,4
45,1,Martin Flores,4
45,1,Emiliano Grillo,4
45,13,Russell Henley,4
45,1,Dustin Johnson,4
45,1,Marc Leishman,4
45,1,Rasmus Neergaard-Petersen,4
45,1,Cameron Percy,4
45,13,J.T. Poston,4
45,1,JC Ritchie,4
45,1,Patrick Rodgers,4
45,1,Poom Saksansin,4
45,13,Gary Woodland,4
65,7,Tyson Alexander,3
65,7,Abraham Ancer,3
65,7,Stuart Appleby,3
65,7,Yongjun Bae,3
65,7,Mark Baldwin,3
65,7,Harrison Endycott,3
65,7,A.J. Ewart,3
65,32,Tony Finau,3
65,7,Patrick Flavin,3
65,7,Oscar Fraustro,3
