Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,5184582452,debborn,0,547.5,G Matt Fitzpatrick G Robert MacIntyre G Justin Thomas G Kurt Kitayama G Tom Kim G Alejandro Del Rey,,Doug Ghim,G,6.20%,31.5
32,5184848117,2briar (10/20),0,547.5,G Matt Fitzpatrick G Robert MacIntyre G Tyrrell Hatton G Tom Kim G Corey Conners G Calum Hill,,Ryan Gerard,G,6.18%,71.5
35,5183861967,youngbc107 (1/2),0,546.5,G Wyndham Clark G Viktor Hovland G Robert MacIntyre G Nicolai Hojgaard G Tom Kim G Jordan L. Smith,,Harris English,G,5.73%,25.5
36,5183985351,baaaariggs (3/8),0,546,G Wyndham Clark G Viktor Hovland G Robert MacIntyre G Patrick Reed G Tom Kim G Brian Harman,,Bud Cauley,G,5.69%,14
37,5185286051,tpsreportstx (8/20),0,545,G Matt Fitzpatrick G Wyndham Clark G Si Woo Kim G Min Woo Lee G Victor Perez G Calum Hill,,Jesper Svensson,G,5.47%,60.5
37,5185298363,rhowell3569 (5/20),0,545,G Rory McIlroy G Robert MacIntyre G Patrick Reed G Nick Taylor G Victor Perez G John Keefer,,Eric Cole,G,5.44%,47
39,5184143558,Heavyd88 (3/5),0,544,G Matt Fitzpatrick G Tommy Fleetwood G Robert MacIntyre G Tom Kim G Brian Harman G Andrew Putnam,,Brian Harman,G,5.26%,67.5
39,5184860005,ajwert (1/3),0,544,G Matt Fitzpatrick G Wyndham Clark G Robert MacIntyre G Tom Kim G Corey Conners G Jesper Svensson,,J.J. Spaun,G,4.91%,66
41,5183653754,ronmexicoburgundy (10/20),0,541.5,G Robert MacIntyre G Si Woo Kim G Kurt Kitayama G Min Woo Lee G Brooks Koepka G Tom Kim,,Brooks Koepka,G,4.77%,32
42,5183979850,6Tino4 (6/6),0,540.5,G Chris Gotterup G Wyndham Clark G Tyrrell Hatton G Tom Kim G Michael Thorbjornsen G Mac Meissner,,David Puig,G,4.51%,36
42,5184723563,sellycell17 (7/10),0,540.5,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Tom Kim G Brian Harman,,Ryan Fox,G,4.42%,77.5
42,5185072781,brianpalladino,0,540.5,G Matt Fitzpatrick G Si Woo Kim G Min Woo Lee G Alex Fitzpatrick G Patrick Reed G Tom Kim,,Matt Wallace,G,4.03%,20.5
42,5185180989,Mige1 (20/20),0,540.5,G Tommy Fleetwood G Robert MacIntyre G Tyrrell Hatton G Min Woo Lee G Tom Kim G Zachary Bauchou,,Alex Smalley,G,3.79%,24
46,5184143556,Heavyd88 (1/5),0,539,G Chris Gotterup G Wyndham Clark G Robert MacIntyre G Nicolai Hojgaard G Tom Kim G Marcus Armitage,,Kevin Yu,G,3.72%,28.5
