Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
140,5178667692,rctru31 (13/20),0,591.5,G Ben Griffin G Eric Cole G Davis Thompson G Mac Meissner G Emiliano Grillo G Ben Kohles,,Ben Martin,G,0.02%,37.5
140,5178804672,Nuby33 (1/12),0,591.5,G Eric Cole G Tom Kim G Doug Ghim G Ryo Hisatsune G Blades Brown G Jackson Suber,,Darin Fisher,G,0.02%,8.5
140,5180235852,UWAlums03 (2/3),0,591.5,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Blades Brown G Jackson Suber G Austin Eckroat,,Martin Laird,G,0.02%,24
143,5178690885,Tiny_Classified_Ads (9/20),0,591,G Ben Griffin G Eric Cole G Mac Meissner G Blades Brown G Tony Finau G Max Homa,,Davis Chatfield,G,0.02%,76
143,5179507365,vegasguy16 (4/20),0,591,G Ben Griffin G Tom Kim G Ryo Hisatsune G Jackson Suber G Emiliano Grillo G Ben Kohles,,Augusto Nunez,G,0.02%,25.5
143,5179711971,Dr.JuiceLuiten (8/20),0,591,G Chris Gotterup G Michael Brennan G Ryo Hisatsune G Davis Thompson G Jackson Suber G Steven Fisk,,Patrick Adler,G,0.01%,33.5
143,5180175483,Hoody6708 (2/4),0,591,G Chris Gotterup G Keith Mitchell G Blades Brown G Jackson Suber G Emiliano Grillo G Tom Hoge,,Nicholas Lindheim,G,0.01%,58
147,5179442934,SmokingSquash (3/5),0,590.5,G Chris Gotterup G Ben Griffin G Emiliano Grillo G Ben Kohles G Zachary Bauchou G Tom Hoge,,,
147,5179777508,herrma02 (14/20),0,590.5,G Ben Griffin G Doug Ghim G Sungjae Im G Max Homa G Ben Kohles G Austin Smotherman,,,
147,5179957614,fjrivera2463 (19/20),0,590.5,G Chris Gotterup G Pierceson Coody G Davis Thompson G Blades Brown G Ben Kohles G Zachary Bauchou,,,
147,5180160768,kytyvince (4/20),0,590.5,G Keith Mitchell G Eric Cole G Michael Brennan G Blades Brown G Max Homa G Ben Kohles,,,
151,5178437267,DrewB24 (5/20),0,590,G Ben Griffin G Eric Cole G Christiaan Bezuidenhout G Blades Brown G Emiliano Grillo G Ben Kohles,,,
151,5178893122,ryno29 (14/20),0,590,G Chris Gotterup G Keith Mitchell G Doug Ghim G A.J. Ewart G Lucas Glover G David Lipsky,,,
151,5179525789,aquafinatim (9/20),0,590,G Ben Griffin G Keegan Bradley G Ryo Hisatsune G Tony Finau G Max Homa G Preston Stout,,,
151,5179884957,Natu2008 (7/20),0,590,G Ben Griffin G J.T. Poston G Mac Meissner G Tony Finau G Max Homa G Jackson Suber,,,
155,5178265029,F___thejets (14/20),0,589.5,G J.T. Poston G Eric Cole G Doug Ghim G Davis Thompson G Blades Brown G Max Homa,,,
155,5179383711,jkthomps (16/20),0,589.5,G Chris Gotterup G Eric Cole G Rico Hoey G Blades Brown G Max Homa G Jackson Suber,,,
155,5179419127,ziggitywood (6/20),0,589.5,G Eric Cole G Tom Kim G Doug Ghim G Matt Wallace G Max Homa G Jackson Suber,,,
155,5180187546,meyers2305 (17/20),0,589.5,G Ben Griffin G Keegan Bradley G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles G Adrien Dumont De Chassart,,,
159,5178219792,marvink (1/17),0,589,G Chris Gotterup G Matt Wallace G Denny McCarthy G Ryo Hisatsune G Jackson Suber G Ben Kohles,,,
159,5178414856,TambLim (3/20),0,589,G Chris Gotterup G Eric Cole G Mac Meissner G Blades Brown G Tony Finau G Andrew Putnam,,,
159,5179781602,LRoyTheKing (8/10),0,589,G Chris Gotterup G Rickie Fowler G Mac Meissner G Christiaan Bezuidenhout G Emiliano Grillo G Austin Smotherman,,,
159,5179848790,dtozz22 (19/20),0,589,G Chris Gotterup G Keegan Bradley G Daniel Berger G Jackson Suber G Ben Kohles G Zac Blair,,,
159,5179856123,TundraThumper (11/11),0,589,G Chris Gotterup G Eric Cole G Doug Ghim G Jackson Suber G Ben Kohles G Seung-Yul Noh,,,
164,5179507376,vegasguy16 (15/20),0,588.5,G Chris Gotterup G Ben Griffin G Jackson Suber G Emiliano Grillo G Adrien Dumont De Chassart G Tom Hoge,,,
164,5179939826,GuruGreg-K-Zoo,0,588.5,G Keith Mitchell G Tom Kim G Doug Ghim G Blades Brown G Jackson Suber G Ben Kohles,,,
166,5180057481,Dea7hEa7er (20/20),0,588,G Ben Griffin G Eric Cole G Ryo Hisatsune G Blades Brown G Jackson Suber G Emiliano Grillo,,,
166,5180200391,paynis18 (2/3),0,588,G J.T. Poston G Doug Ghim G Matt Wallace G Ryo Hisatsune G Mac Meissner G Christiaan Bezuidenhout,,,
168,5178810277,JcClark18 (7/20),0,587.5,G Chris Gotterup G Denny McCarthy G Davis Thompson G Mac Meissner G Christiaan Bezuidenhout G Max Homa,,,
168,5179287870,Islam325,0,587.5,G Chris Gotterup G Jacob Bridgeman G Christiaan Bezuidenhout G Blades Brown G Zac Blair G Chan Kim,,,
168,5179425246,Tuffy7x (1/2),0,587.5,G Chris Gotterup G Eric Cole G Blades Brown G Jackson Suber G Ben Kohles G Carson Young,,,
168,5179782332,omes16 (1/20),0,587.5,G Chris Gotterup G Ben Griffin G Beau Hossler G Ben Kohles G Stephan Jaeger G Austin Eckroat,,,
