Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,5196477433,LonghornAggieMom (2/2),0,648,G Kurt Kitayama G Hideki Matsuyama G Michael Brennan G Max Greyserman G Davis Thompson G Brian Harman,,Lucas Glover,G,7.05%,77
34,5196871939,kreller17 (3/20),0,647,G Hideki Matsuyama G Tom Kim G Jackson Koivun G John Parry G Michael Kim G Mackenzie Hughes,,Gary Woodland,G,6.83%,104
35,5196668360,Maloneymat16 (6/20),0,646.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zachary Bauchou,,Max McGreevy,G,6.71%,38
35,5196782341,knicker111 (13/14),0,646.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Ben Kohles G Michael Kim G Zac Blair,,Andrew Putnam,G,6.63%,27.5
35,5196859369,EagleEye3434 (19/20),0,646.5,G Maverick McNealy G Jake Knapp G Jackson Koivun G Brian Harman G Michael Kim G Kris Ventura,,Aaron Wise,G,6.33%,23
38,5194864955,caxton22 (19/20),0,645.5,G Kurt Kitayama G Jackson Koivun G Corey Conners G Rasmus Neergaard-Petersen G Emiliano Grillo G Ben Kohles,,Zachary Bauchou,G,5.61%,87
38,5195076216,Lamps08 (9/11),0,645.5,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Jordan L. Smith G Michael Kim G Zac Blair,,Michael Kim,G,5.28%,102.5
38,5195306707,rsumrall (16/20),0,645.5,G Kurt Kitayama G Jackson Koivun G Christiaan Bezuidenhout G Michael Brennan G Davis Thompson G Kevin Yu,,Stephan Jaeger,G,4.87%,33.5
38,5196388876,cj351 (13/20),0,645.5,G Kurt Kitayama G Jackson Koivun G Christiaan Bezuidenhout G Michael Brennan G Brian Harman G Zachary Bauchou,,Mackenzie Hughes,G,4.76%,79
42,5194814785,b-rad1969 (1/3),0,643,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Casey Jarvis G Zachary Bauchou G Zac Blair,,A.J. Ewart,G,4.37%,70.5
42,5195139193,mlief (19/20),0,643,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Seamus Power G Davis Chatfield,,Max Greyserman,G,4.06%,95.5
42,5196262681,Tavius87 (6/20),0,643,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Seamus Power G Davis Chatfield,,Matti Schmid,G,3.97%,72
45,5196453653,musicman777 (17/20),0,642.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Emiliano Grillo G Rico Hoey G Troy Merritt,,Taylor Pendrith,G,3.79%,24
46,5194809924,GenaroP (18/20),0,639,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Max Greyserman G Emiliano Grillo G Rico Hoey,,Aldrich Potgieter,G,3.68%,38
47,5194841347,Terry301 (1/5),0,638.5,G Scottie Scheffler G Ben Kohles G Zachary Bauchou G Denny McCarthy G Zac Blair G Joel Dahmen,,Denny McCarthy,G,3.55%,121
47,5195388020,B32044 (2/20),0,638.5,G Scottie Scheffler G Brian Harman G Ben Kohles G Lucas Glover G Zac Blair G Davis Chatfield,,Joel Dahmen,G,3.45%,90.5
49,5195411305,kvoight84 (10/10),0,637.5,G Hideki Matsuyama G Jake Knapp G Jackson Koivun G William Mouw G Emiliano Grillo G Zac Blair,,Troy Merritt,G,3.41%,76.5
50,5196837083,jah_586 (4/20),0,637,G Scottie Scheffler G Brian Harman G Ben Kohles G Zachary Bauchou G Austin Smotherman G Davis Chatfield,,Rasmus Højgaard,G,3.38%,30.5
51,5196778649,zandwich (9/20),0,636.5,G Hideki Matsuyama G Tom Kim G Corey Conners G Brian Harman G Emiliano Grillo G Ben Kohles,,Lee Hodges,G,3.32%,87.5
52,5194583238,SLMCNM (18/20),0,636,G Maverick McNealy G Tom Kim G Jackson Koivun G Billy Horschel G Austin Eckroat G Chandler Phillips,,Kevin Yu,G,3.29%,92.5
52,5194723359,sportsfanatic89 (13/20),0,636,G Hideki Matsuyama G Jackson Koivun G Gary Woodland G Rasmus Neergaard-Petersen G Casey Jarvis G Lucas Glover,,John Parry,G,3.24%,95.5
52,5195239379,kamprath (1/2),0,636,G Hideki Matsuyama G Keith Mitchell G Jackson Koivun G Ricky Castillo G John Parry G Zac Blair,,David Lipsky,G,3.21%,29.5
52,5196566554,CraigAD66 (6/8),0,636,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Jordan L. Smith G Michael Brennan G Davis Chatfield,,Davis Thompson,G,3.20%,115.5
56,5196036018,bamerson32 (16/20),0,634,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Jesper Svensson G A.J. Ewart G Zac Blair,,Rico Hoey,G,3.15%,72
57,5195194745,mahaa507 (6/20),0,633.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Michael Kim G Zac Blair G Joel Dahmen,,Kevin Roy,G,3.09%,84
57,5196073000,Brenden5258 (6/20),0,633.5,G Tom Kim G Jackson Koivun G Jordan L. Smith G Christiaan Bezuidenhout G Rasmus Neergaard-Petersen G Brian Harman,,Patrick Rodgers,G,3.04%,27.5
57,5196658378,Spocker14 (11/20),0,633.5,G Hideki Matsuyama G Jackson Koivun G Michael Brennan G Johnny Keefer G Rasmus Neergaard-Petersen G Brian Harman,,Austin Eckroat,G,3.04%,68.5
60,5196394363,BenByers (6/20),0,632,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Christiaan Bezuidenhout G Zachary Bauchou G Troy Merritt,,Jesper Svensson,G,3.00%,85
61,5195742832,evansrc717 (13/16),0,631.5,G Maverick McNealy G Kurt Kitayama G Jackson Koivun G Davis Thompson G Austin Smotherman G Vince Whaley,,Beau Hossler,G,2.97%,65
61,5196261626,Dubbzz (19/20),0,631.5,G Maverick McNealy G Tom Kim G Jackson Koivun G Brian Harman G Lucas Glover G Zac Blair,,Steven Fisk,G,2.83%,25
61,5196512522,mskellett (12/20),0,631.5,G Tom Kim G Jackson Koivun G Jackson Suber G Davis Thompson G Brian Harman G Denny McCarthy,,Davis Chatfield,G,2.73%,100.5
64,5196855290,aquafinatim (13/20),0,631,G Scottie Scheffler G Brian Harman G Casey Jarvis G John Parry G Zac Blair G Davis Chatfield,,Takumi Kanaya,G,2.56%,25.5
65,5195009289,Vegeta32 (3/20),0,630.5,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Jordan L. Smith G Lee Hodges G Zac Blair,,Keita Nakajima,G,2.37%,32.5
65,5196074146,LTskelter (5/20),0,630.5,G Scottie Scheffler G Casey Jarvis G John Parry G Michael Kim G Denny McCarthy G Davis Chatfield,,Taylor Moore,G,2.24%,29.5
65,5196453650,musicman777 (14/20),0,630.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Ricky Castillo G A.J. Ewart G Zac Blair,,Matt Kuchar,G,2.19%,17.5
68,5196438377,porterj1223 (2/20),0,630,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G A.J. Ewart,,Brandt Snedeker,G,1.80%,17
68,5196472383,Tully936 (18/20),0,630,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Casey Jarvis G Ben Kohles G Mackenzie Hughes,,Austin Smotherman,G,1.72%,91.5
68,5196742879,BILLBOGEY (2/2),0,630,G Scottie Scheffler G Brian Harman G Casey Jarvis G Emiliano Grillo G Zac Blair G Troy Merritt,,Seamus Power,G,1.58%,109.5
68,5196806450,automahn (1/2),0,630,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G A.J. Ewart,,Erik Van Rooyen,G,1.58%,28.5
72,5196033197,wowwwwwdfs_kkc (10/20),0,629,G Scottie Scheffler G Brian Harman G Casey Jarvis G Zachary Bauchou G Seamus Power G Davis Chatfield,,Preston Stout,G,1.49%,29
72,5196072022,bschaper23 (4/20),0,629,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Zecheng Dou G Davis Chatfield,,Brice Garnett,G,1.43%,26.5
72,5196660242,smithcj16 (4/20),0,629,G Maverick McNealy G Jackson Koivun G Gary Woodland G Davis Thompson G Beau Hossler G Michael Kim,,Billy Horschel,G,1.35%,104.5
75,5196668373,Maloneymat16 (19/20),0,628.5,G Hideki Matsuyama G Tom Kim G Jackson Koivun G William Mouw G Brian Harman G Zac Blair,,Cameron Champ,G,1.28%,26.5
75,5196791152,Stree (13/20),0,628.5,G Keith Mitchell G Jackson Koivun G Corey Conners G Rasmus Neergaard-Petersen G Brian Harman G Ben Kohles,,Chris Kirk,G,1.26%,91.5
77,5194683328,Tiny_Classified_Ads (5/20),0,628,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Casey Jarvis G Ben Kohles G Lucas Glover,,Paul Peterson,G,1.26%,22.5
78,5195129995,slpanthers24 (6/8),0,627.5,G Maverick McNealy G Hideki Matsuyama G Jackson Koivun G Mackenzie Hughes G Lucas Glover G Zac Blair,,Thorbjørn Olesen,G,1.17%,29
78,5195340345,skid68 (6/20),0,627.5,G Maverick McNealy G Keith Mitchell G Jackson Koivun G Brian Harman G Zachary Bauchou G Zac Blair,,Adrien Dumont De Chassart,G,1.10%,27.5
78,5195439108,dcuff (5/20),0,627.5,G Hideki Matsuyama G Tom Kim G Jordan L. Smith G Christiaan Bezuidenhout G Brian Harman G Emiliano Grillo,,Will Gordon,G,1.05%,74
78,5196097429,kenplong (19/20),0,627.5,G Hideki Matsuyama G Jackson Koivun G Mac Meissner G Michael Brennan G Rasmus Neergaard-Petersen G Emiliano Grillo,,Fabián Gómez,G,1.04%,60
82,5195253948,whwalker13 (18/20),0,626.5,G Hideki Matsuyama G Jackson Koivun G Sungjae Im G John Parry G Emiliano Grillo G Billy Horschel,,Hao-Tong Li,G,1.00%,74.5
