Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
33,5146461527,gdollars (2/2),0,695,G Jordan Spieth G Keith Mitchell G Wyndham Clark G Austin Eckroat G Seamus Power G Taylor Moore,,Hao-Tong Li,G,6.61%,37
33,5146484275,jeffwotruba (5/7),0,695,G Si Woo Kim G Jordan Spieth G Sungjae Im G Taylor Moore G Tony Finau G Sam Ryder,,Patrick Rodgers,G,6.55%,82
35,5144850223,gjcampbell7 (9/10),0,694.5,G Si Woo Kim G Jordan Spieth G Sungjae Im G Taylor Moore G Sam Ryder G Zachary Bauchou,,Beau Hossler,G,6.52%,41
36,5145081091,jeffbarclay (5/5),0,693.5,G Keith Mitchell G Ryo Hisatsune G Wyndham Clark G Blades Brown G Austin Eckroat G Taylor Moore,,Max McGreevy,G,6.34%,34
36,5145733239,gillyunc0542,0,693.5,G Si Woo Kim G Ryo Hisatsune G Max Greyserman G Stephan Jaeger G Doug Ghim G Tony Finau,,Jhonattan Vegas,G,5.85%,33
36,5146034381,GanorGanor (16/20),0,693.5,G Jordan Spieth G Wyndham Clark G Max Greyserman G Stephan Jaeger G Rico Hoey G Doug Ghim,,William Mouw,G,5.37%,37.5
36,5146122804,jr_dk (14/20),0,693.5,G Keith Mitchell G Rasmus Hojgaard G Wyndham Clark G Blades Brown G Stephan Jaeger G John Keefer,,Taylor Moore,G,5.18%,111.5
40,5145456263,KyleBretsch (6/20),0,693,G Si Woo Kim G Brooks Koepka G Sungjae Im G Seamus Power G John Keefer G Taylor Moore,,Chris Kirk,G,4.92%,95
41,5144246880,Cpkennedy24,0,692.5,G Si Woo Kim G Wyndham Clark G Eric Cole G Blades Brown G Stephan Jaeger G Patrick Rodgers,,Chandler Blanchet,G,4.91%,32
41,5146222438,verdescud (1/20),0,692.5,G Wyndham Clark G Sungjae Im G Taylor Pendrith G Max Greyserman G Blades Brown G John Keefer,,Rasmus Neergaard-Petersen,G,4.28%,98
43,5145982277,stingerz22 (1/20),0,692,G Si Woo Kim G Keith Mitchell G Max Greyserman G Rico Hoey G Austin Eckroat G Tony Finau,,Karl Vilips,G,4.13%,36.5
44,5146042128,sam97 (4/20),0,690.5,G Si Woo Kim G Wyndham Clark G Taylor Pendrith G Tom Kim G Stephan Jaeger G Taylor Moore,,Mark Hubbard,G,3.74%,90.5
45,5146443480,rkhfl (2/3),0,689.5,G Brooks Koepka G Pierceson Coody G Wyndham Clark G Stephan Jaeger G Jordan L. Smith G Taylor Moore,,David Skinns,G,3.66%,33
46,5146034080,epulsinelli (5/20),0,688.5,G Si Woo Kim G Keith Mitchell G Max Greyserman G Thorbjorn Olesen G Austin Eckroat G Jackson Suber,,Zecheng Dou,G,3.62%,36.5
47,5144171545,topher54 (8/20),0,687.5,G Si Woo Kim G Keith Mitchell G Wyndham Clark G Matti Schmid G Tony Finau G Steven Fisk,,Zachary Bauchou,G,3.60%,119
48,5144223983,Cards1640 (3/5),0,687,G Si Woo Kim G Rasmus Hojgaard G Wyndham Clark G Eric Cole G Stephan Jaeger G Peter Malnati,,Carson Young,G,3.54%,41
48,5145301119,Harmony76 (18/20),0,687,G Si Woo Kim G Keith Mitchell G Taylor Pendrith G Eric Cole G Zachary Bauchou G Jackson Suber,,Zac Blair,G,3.50%,67
50,5145568082,darragh8 (19/20),0,686,G Si Woo Kim G Pierceson Coody G Max Greyserman G Eric Cole G Taylor Moore G Tony Finau,,Tom Hoge,G,3.50%,125
51,5146509588,M4dness (2/3),0,685.5,G Si Woo Kim G Wyndham Clark G Taylor Pendrith G Eric Cole G Austin Eckroat G Zachary Bauchou,,Kevin Yu,G,3.27%,38
52,5145868018,jumangibuttercup (2/20),0,685,G Si Woo Kim G Brooks Koepka G Mac Meissner G John Keefer G Taylor Moore G Zachary Bauchou,,Cameron Champ,G,3.17%,11
53,5145938944,Dubbzz (5/20),0,684,G Pierceson Coody G Wyndham Clark G Sungjae Im G Max Greyserman G Rico Hoey G Patrick Rodgers,,John Keefer,G,3.13%,113.5
53,5146443234,smithbrandon7 (8/20),0,684,G Brooks Koepka G Ryo Hisatsune G Wyndham Clark G Stephan Jaeger G Doug Ghim G Garrick Higgo,,Paul Peterson,G,3.13%,34.5
55,5144460517,jsamp17 (15/20),0,683.5,G Si Woo Kim G Pierceson Coody G Wyndham Clark G Rico Hoey G John Parry G Steven Fisk,,Danny Walker,G,2.87%,40.5
55,5144682092,rickd2424 (1/4),0,683.5,G Brooks Koepka G Wyndham Clark G Sungjae Im G Blades Brown G Stephan Jaeger G John Parry,,Trace Crowe,G,2.87%,30.5
55,5145401574,ig2437,0,683.5,G Jordan Spieth G Wyndham Clark G Sungjae Im G Stephan Jaeger G Patrick Rodgers G Sam Ryder,,Takumi Kanaya,G,2.82%,27
58,5144256324,firefox952 (3/20),0,682.5,G Si Woo Kim G Keith Mitchell G Max Greyserman G Blades Brown G Stephan Jaeger G Troy Merritt,,Ben Kohles,G,2.50%,27
58,5145791961,TEDDYB12345y (2/3),0,682.5,G Si Woo Kim G Keith Mitchell G Sungjae Im G Tom Kim G Mark Hubbard G Tom Hoge,,Vince Whaley,G,2.49%,36
60,5145605641,jadenlilly (19/20),0,681.5,G Wyndham Clark G Sungjae Im G Mac Meissner G Max Greyserman G Thorbjorn Olesen G Stephan Jaeger,,Pontus Nyholm,G,2.35%,33.5
61,5144717976,blackbears95 (2/4),0,681,G Si Woo Kim G Ryo Hisatsune G Max Greyserman G Stephan Jaeger G Austin Eckroat G Taylor Moore,,Sam Ryder,G,2.32%,96
61,5145808910,jwclark311 (4/20),0,681,G Si Woo Kim G Jordan Spieth G Max Greyserman G Doug Ghim G Rasmus Neergaard-Petersen G Tony Finau,,Lee Hodges,G,1.93%,35.5
61,5146278293,jmason247 (3/20),0,681,G Si Woo Kim G Pierceson Coody G Sungjae Im G Blades Brown G Chris Kirk G Tony Finau,,A.J. Ewart,G,1.86%,89
