Rank,,Player,Total
1,-,Scottie Scheffler,78
2,-,Matt Fitzpatrick,27
2,-,Hideki Matsuyama,27
4,1,Ryo Hisatsune,19
4,-,Cameron Young,19
6,-,Rory McIlroy,15
7,-,Ludvig Åberg,13
7,-,Xander Schauffele,13
9,-,Bud Cauley,12
9,1,Chris Gotterup,12
11,1,Sam Burns,11
11,1,Maverick McNealy,11
11,1,Sahith Theegala,11
11,1,Justin Thomas,11
15,-,Kurt Kitayama,9
16,4,Austin Eckroat,8
16,-,Alex Fitzpatrick,8
16,-,Ryan Fox,8
16,-,Mikumu Horikawa,8
16,4,Erik van Rooyen,8
21,1,SSP Chawrasia,7
21,6,Doug Ghim,7
21,1,Collin Morikawa,7
24,9,Blades Brown,6
24,3,Paul Casey,6
24,9,Lanto Griffin,6
24,9,Tom Kim,6
24,3,Tae Hee Lee,6
24,3,Doug Tewell,6
30,3,Gaganjeet Bhullar,5
30,15,Keegan Bradley,5
30,15,Jacob Bridgeman,5
30,3,Wyndham Clark,5
30,15,Patrick Fishburn,5
30,15,Emiliano Grillo,5
30,3,Wayne Levi,5
30,3,Wade Ormsby,5
30,3,Pat Perez,5
30,15,J.T. Poston,5
30,3,Taggart Ridings,5
30,3,Marcel Siem,5
42,3,Byeong Hun An,4
42,3,Fred Biondi,4
42,3,Jorge Campillo,4
42,3,Nico Echavarria,4
42,23,A.J. Ewart,4
42,23,Tony Finau,4
42,3,Tommy Fleetwood,4
42,3,Martin Flores,4
42,3,Russell Henley,4
42,23,Sungjae Im,4
42,3,Dustin Johnson,4
42,3,Marc Leishman,4
42,23,Max McGreevy,4
42,23,Keith Mitchell,4
42,3,Rasmus Neergaard-Petersen,4
42,3,Cameron Percy,4
42,3,JC Ritchie,4
42,3,Patrick Rodgers,4
42,3,Poom Saksansin,4
42,3,Gary Woodland,4
62,3,Tyson Alexander,3
62,3,Abraham Ancer,3
62,3,Stuart Appleby,3
62,3,Yongjun Bae,3
62,3,Mark Baldwin,3
62,41,Christiaan Bezuidenhout,3
62,3,Harrison Endycott,3
62,3,Patrick Flavin,3
62,3,Oscar Fraustro,3
62,3,Sergio Garcia,3
62,41,Ben Griffin,3
62,3,Bob Heintz,3
62,3,Kramer Hickok,3
