rank,week,player,percent,points_won,potential_points,nbr_of_wins,nbr_of_top_10s
56,9,Chris Gotterup,1.43,11,750,0,0
56,9,Adam Scott,1.43,11,750,0,0
58,9,Sam Stevens,1.33,10,750,0,0
59,9,Jason Day,1.2,9,750,0,0
59,9,Lee Hodges,1.2,9,750,0,0
59,9,Kevin Roy,1.2,9,750,0,0
62,9,Steven Fisk,1.05,8,750,0,0
62,9,Rico Hoey,1.05,8,750,0,0
62,9,Stephan Jaeger,1.05,8,750,0,0
62,9,Danny Walker,1.05,8,750,0,0
66,9,Daniel Berger,0.93,7,750,0,0
66,9,Nico Echavarria,0.93,7,750,0,0
66,9,Kristoffer Reitan,0.93,7,750,0,0
69,9,Michael Brennan,0.87,7,750,0,0
70,9,Ricky Castillo,0.8,6,750,0,0
70,9,Tony Finau,0.8,6,750,0,0
70,9,Seamus Power,0.8,6,750,0,0
73,9,Takumi Kanaya,0.73,6,750,0,0
1,10,Matt Fitzpatrick,100,500,500,1,1
2,10,David Lipsky,60,300,500,0,1
3,10,Jordan Smith,38,190,500,0,1
4,10,Sungjae Im,23,115,500,0,1
4,10,Marco Penge,23,115,500,0,1
4,10,Xander Schauffele,23,115,500,0,1
7,10,Patrick Cantlay,16.5,83,500,0,1
7,10,Emiliano Grillo,16.5,83,500,0,1
7,10,Stephan Jaeger,16.5,83,500,0,1
7,10,S.H. Kim,16.5,83,500,0,1
11,10,A.J. Ewart,13,65,500,0,0
11,10,Matthieu Pavon,13,65,500,0,0
11,10,Jordan Spieth,13,65,500,0,0
14,10,Jacob Bridgeman,10.8,54,500,0,0
14,10,Corey Conners,10.8,54,500,0,0
14,10,Hank Lebioda,10.8,54,500,0,0
14,10,Gary Woodland,10.8,54,500,0,0
18,10,Chandler Blanchet,8.41,42,500,0,0
18,10,Tony Finau,8.41,42,500,0,0
18,10,Lee Hodges,8.41,42,500,0,0
18,10,Tom Kim,8.41,42,500,0,0
18,10,Brooks Koepka,8.41,42,500,0,0
18,10,Webb Simpson,8.41,42,500,0,0
18,10,Brandt Snedeker,8.41,42,500,0,0
18,10,Danny Walker,8.41,42,500,0,0
26,10,Adrien Dumont de Chassart,6.35,32,500,0,0
26,10,Rico Hoey,6.35,32,500,0,0
26,10,Denny McCarthy,6.35,32,500,0,0
26,10,Dylan Wu,6.35,32,500,0,0
30,10,Christiaan Bezuidenhout,4.4,22,500,0,0
30,10,Ryo Hisatsune,4.4,22,500,0,0
30,10,Michael Kim,4.4,22,500,0,0
30,10,Seamus Power,4.4,22,500,0,0
30,10,Andrew Putnam,4.4,22,500,0,0
30,10,David Skinns,4.4,22,500,0,0
30,10,Jimmy Stanger,4.4,22,500,0,0
30,10,Justin Thomas,4.4,22,500,0,0
30,10,Alejandro Tosti,4.4,22,500,0,0
30,10,Kevin Yu,4.4,22,500,0,0
40,10,Davis Chatfield,2.7,14,500,0,0
40,10,Doug Ghim,2.7,14,500,0,0
40,10,Patrick Rodgers,2.7,14,500,0,0
40,10,Matti Schmid,2.7,14,500,0,0
40,10,Matt Wallace,2.7,14,500,0,0
45,10,Ricky Castillo,1.7,9,500,0,0
45,10,Patrick Fishburn,1.7,9,500,0,0
45,10,David Ford,1.7,9,500,0,0
45,10,Kensei Hirata,1.7,9,500,0,0
45,10,Takumi Kanaya,1.7,9,500,0,0
45,10,Isaiah Salinda,1.7,9,500,0,0
45,10,Alex Smalley,1.7,9,500,0,0
45,10,Davis Thompson,1.7,9,500,0,0
45,10,John VanDerLaan,1.7,9,500,0,0
54,10,Keegan Bradley,1.04,5,500,0,0
54,10,Pierceson Coody,1.04,5,500,0,0
54,10,Nicolai Højgaard,1.04,5,500,0,0
54,10,Mackenzie Hughes,1.04,5,500,0,0
54,10,Justin Lower,1.04,5,500,0,0
54,10,Rasmus Neergaard-Petersen,1.04,5,500,0,0
54,10,Andrew Novak,1.04,5,500,0,0
54,10,John Parry,1.04,5,500,0,0
54,10,Chandler Phillips,1.04,5,500,0,0
63,10,Joel Dahmen,0.78,4,500,0,0
63,10,Chad Ramey,0.78,4,500,0,0
63,10,Sam Ryder,0.78,4,500,0,0
63,10,Karl Vilips,0.78,4,500,0,0
67,10,Rasmus Højgaard,0.61,3,500,0,0
67,10,Billy Horschel,0.61,3,500,0,0
67,10,Henrik Norlander,0.61,3,500,0,0
67,10,Kevin Streelman,0.61,3,500,0,0
67,10,Vince Whaley,0.61,3,500,0,0
72,10,Kevin Roy,0.54,3,500,0,0
73,10,Bud Cauley,0.52,3,500,0,0
1,11,Gary Woodland,100,500,500,1,1
2,11,Nicolai Højgaard,60,300,500,0,1
3,11,Johnny Keefer,32.5,163,500,0,1
3,11,Min Woo Lee,32.5,163,500,0,1
5,11,Sam Stevens,22,110,500,0,1
6,11,Jason Day,17.75,89,500,0,1
6,11,Chris Gotterup,17.75,89,500,0,1
6,11,Jake Knapp,17.75,89,500,0,1
6,11,Sudarshan Yellamaraju,17.75,89,500,0,1
10,11,Sahith Theegala,14.5,73,500,0,1
11,11,Adrien Dumont de Chassart,12.5,63,500,0,0
11,11,Denny McCarthy,12.5,63,500,0,0
13,11,Keith Mitchell,10.6,53,500,0,0
13,11,Pontus Nyholm,10.6,53,500,0,0
13,11,Thorbjørn Olesen,10.6,53,500,0,0
13,11,Michael Thorbjornsen,10.6,53,500,0,0
13,11,Jhonattan Vegas,10.6,53,500,0,0
18,11,Max McGreevy,9.2,46,500,0,0
18,11,Karl Vilips,9.2,46,500,0,0
20,11,Sam Burns,7.49,37,500,0,0
20,11,Zecheng Dou,7.49,37,500,0,0
20,11,Harris English,7.49,37,500,0,0
20,11,Beau Hossler,7.49,37,500,0,0
20,11,Aldrich Potgieter,7.49,37,500,0,0
20,11,Adam Scott,7.49,37,500,0,0
20,11,Alex Smalley,7.49,37,500,0,0
27,11,Michael Brennan,4.79,24,500,0,0
27,11,Ben Griffin,4.79,24,500,0,0
27,11,Harry Hall,4.79,24,500,0,0
27,11,Rico Hoey,4.79,24,500,0,0
27,11,Rasmus Højgaard,4.79,24,500,0,0
27,11,Stephan Jaeger,4.79,24,500,0,0
27,11,Shane Lowry,4.79,24,500,0,0
27,11,Mac Meissner,4.79,24,500,0,0
27,11,Chad Ramey,4.79,24,500,0,0
27,11,Jackson Suber,4.79,24,500,0,0
27,11,Vince Whaley,4.79,24,500,0,0
38,11,Austin Eckroat,3,15,500,0,0
38,11,Tony Finau,3,15,500,0,0
38,11,Jeffrey Kang,3,15,500,0,0
38,11,Adrien Saddier,3,15,500,0,0
38,11,Paul Waring,3,15,500,0,0
43,11,Ricky Castillo,2.18,11,500,0,0
43,11,William Mouw,2.18,11,500,0,0
43,11,Andrew Putnam,2.18,11,500,0,0
43,11,Jordan Smith,2.18,11,500,0,0
47,11,Steven Fisk,1.8,9,500,0,0
47,11,John Parry,1.8,9,500,0,0
47,11,Erik van Rooyen,1.8,9,500,0,0
50,11,Christiaan Bezuidenhout,1.4,7,500,0,0
50,11,Eric Cole,1.4,7,500,0,0
50,11,Chris Kirk,1.4,7,500,0,0
50,11,Matthieu Pavon,1.4,7,500,0,0
50,11,Matt Wallace,1.4,7,500,0,0
55,11,Tom Kim,1.1,6,500,0,0
55,11,Matt Kuchar,1.1,6,500,0,0
55,11,Jimmy Stanger,1.1,6,500,0,0
55,11,Danny Willett,1.1,6,500,0,0
59,11,Sungjae Im,0.92,5,500,0,0
59,11,Takumi Kanaya,0.92,5,500,0,0
59,11,Kurt Kitayama,0.92,5,500,0,0
59,11,Davis Riley,0.92,5,500,0,0
59,11,Sam Ryder,0.92,5,500,0,0
64,11,Lee Hodges,0.76,4,500,0,0
64,11,Peter Malnati,0.76,4,500,0,0
64,11,Kevin Roy,0.76,4,500,0,0
67,11,Danny Walker,0.68,3,500,0,0
68,11,Garrick Higgo,0.62,3,500,0,0
68,11,Jesper Svensson,0.62,3,500,0,0
70,11,Brice Garnett,0.56,3,500,0,0
70,11,Emiliano Grillo,0.56,3,500,0,0
70,11,Tom Hoge,0.56,3,500,0,0
73,11,Matti Schmid,0.52,3,500,0,0
74,11,Luke Clanton,0.5,3,500,0,0
1,12,J.J. Spaun,100,500,500,1,1
2,12,Michael Kim,41.67,208,500,0,1
2,12,Robert MacIntyre,41.67,208,500,0,1
2,12,Matt Wallace,41.67,208,500,0,1
5,12,Ludvig Åberg,21,105,500,0,1
5,12,Andrew Putnam,21,105,500,0,1
7,12,Kevin Yu,18,90,500,0,1
8,12,Ryo Hisatsune,16.5,83,500,0,1
8,12,Chandler Phillips,16.5,83,500,0,1
10,12,Austin Eckroat,13.5,68,500,0,1
10,12,Tommy Fleetwood,13.5,68,500,0,1
10,12,Si Woo Kim,13.5,68,500,0,1
10,12,Kristoffer Reitan,13.5,68,500,0,1
14,12,Eric Cole,10.2,51,500,0,0
14,12,Andrew Novak,10.2,51,500,0,0
14,12,John Parry,10.2,51,500,0,0
14,12,Alex Smalley,10.2,51,500,0,0
14,12,Davis Thompson,10.2,51,500,0,0
14,12,Sami Valimaki,10.2,51,500,0,0
14,12,Sudarshan Yellamaraju,10.2,51,500,0,0
21,12,Bud Cauley,7.49,37,500,0,0
21,12,S.H. Kim,7.49,37,500,0,0
21,12,Hideki Matsuyama,7.49,37,500,0,0
21,12,Maverick McNealy,7.49,37,500,0,0
21,12,Marco Penge,7.49,37,500,0,0
21,12,J.T. Poston,7.49,37,500,0,0
21,12,Sam Ryder,7.49,37,500,0,0
28,12,Zach Bauchou,6.05,30,500,0,0
28,12,Nick Taylor,6.05,30,500,0,0
30,12,A.J. Ewart,4.87,24,500,0,0
30,12,Doug Ghim,4.87,24,500,0,0
30,12,Mac Meissner,4.87,24,500,0,0
30,12,Alex Noren,4.87,24,500,0,0
30,12,Kevin Roy,4.87,24,500,0,0
30,12,Paul Waring,4.87,24,500,0,0
36,12,Billy Horschel,3.8,19,500,0,0
36,12,Chris Kirk,3.8,19,500,0,0
36,12,Austin Smotherman,3.8,19,500,0,0
39,12,Christiaan Bezuidenhout,2.56,13,500,0,0
39,12,Brian Harman,2.56,13,500,0,0
39,12,Rico Hoey,2.56,13,500,0,0
39,12,Matt McCarty,2.56,13,500,0,0
39,12,Taylor Moore,2.56,13,500,0,0
39,12,Chad Ramey,2.56,13,500,0,0
39,12,Adam Schenk,2.56,13,500,0,0
39,12,Brandt Snedeker,2.56,13,500,0,0
39,12,Kevin Streelman,2.56,13,500,0,0
39,12,Adam Svensson,2.56,13,500,0,0
49,12,Adrien Dumont de Chassart,1.6,8,500,0,0
49,12,Tony Finau,1.6,8,500,0,0
49,12,Beau Hossler,1.6,8,500,0,0
49,12,Christo Lamprecht,1.6,8,500,0,0
49,12,Thorbjørn Olesen,1.6,8,500,0,0
54,12,Steven Fisk,1.17,6,500,0,0
54,12,Hank Lebioda,1.17,6,500,0,0
54,12,Gordon Sargent,1.17,6,500,0,0
54,12,Vince Whaley,1.17,6,500,0,0
58,12,David Ford,1,5,500,0,0
58,12,Stephan Jaeger,1,5,500,0,0
58,12,Erik van Rooyen,1,5,500,0,0
61,12,Takumi Kanaya,0.92,5,500,0,0
62,12,Peter Malnati,0.86,4,500,0,0
62,12,Jordan Spieth,0.86,4,500,0,0
64,12,Mark Hubbard,0.78,4,500,0,0
64,12,Jeffrey Kang,0.78,4,500,0,0
66,12,Joe Highsmith,0.68,3,500,0,0
66,12,Danny Walker,0.68,3,500,0,0
66,12,Will Zalatoris,0.68,3,500,0,0
69,12,Luke Clanton,0.6,3,500,0,0
