Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,5169515828,FBI0711,0,391,G Tommy Fleetwood G Ludvig Aberg G Matt Fitzpatrick G Chris Gotterup G Wyndham Clark G Tom Kim,,Ryan Gerard,G,5.30%,17.5
35,5164599243,Madhands03,0,390,G Rory McIlroy G Ludvig Aberg G Wyndham Clark G Sam Burns G Alex Fitzpatrick G Jacob Bridgeman,,Jordan Spieth,G,5.05%,37.5
35,5169500828,usc071815,0,390,G Scottie Scheffler G Tyrrell Hatton G Sam Burns G Corey Conners G Nicolas Echavarria G J.T. Poston,,Aaron Rai,G,4.66%,56.5
37,5167997633,gchmiele,0,389.5,G Xander Schauffele G Matt Fitzpatrick G Justin Rose G Wyndham Clark G Sam Burns G Jordan Spieth,,Joaquin Niemann,G,4.19%,79
38,5166843827,jimmypoot,0,388.5,G Scottie Scheffler G Russell Henley G Wyndham Clark G Gary Woodland G Jackson Koivun G Brian Harman,,Kristoffer Reitan,G,4.02%,18.5
39,5169427198,Bearfields,0,387.5,G Rory McIlroy G Matt Fitzpatrick G Justin Rose G Wyndham Clark G Gary Woodland G Ryo Hisatsune,,Sahith Theegala,G,3.85%,57
40,5169336442,pat2222,0,386,G Ludvig Aberg G Matt Fitzpatrick G Collin Morikawa G Chris Gotterup G Wyndham Clark G Joaquin Niemann,,Gary Woodland,G,3.66%,67.5
41,5169589379,kjd3good,0,385.5,G Tommy Fleetwood G Matt Fitzpatrick G Collin Morikawa G Justin Rose G Wyndham Clark G Akshay Bhatia,,Jacob Bridgeman,G,3.46%,48.5
42,5169280435,paulchris072,0,384.5,G Scottie Scheffler G Tommy Fleetwood G Wyndham Clark G Ryo Hisatsune G Adrien Dumont De Chassart G Zac Blair,,Alex Smalley,G,3.24%,17
43,5164729284,docdougyb,0,384,G Matt Fitzpatrick G Tyrrell Hatton G Chris Gotterup G Russell Henley G Wyndham Clark G Sam Burns,,Jackson Suber,G,3.22%,23.5
44,5168636307,TheASSMAN1,0,383.5,G Ludvig Aberg G Justin Thomas G Sahith Theegala G Keith Mitchell G Emiliano Grillo G J.T. Poston,,Bryson DeChambeau,G,3.19%,24.5
45,5167141793,99DWhite,0,383,G Tommy Fleetwood G Collin Morikawa G Chris Gotterup G Russell Henley G Wyndham Clark G Sam Burns,,Ryan Fox,G,2.91%,52
46,5169324230,hrsanders17,0,382.5,G Ludvig Aberg G Tyrrell Hatton G Justin Rose G Viktor Hovland G Wyndham Clark G Sam Burns,,Ryo Hisatsune,G,2.78%,45
47,5169230836,pfalizio,0,380.5,G Cameron Young G Matt Fitzpatrick G Tyrrell Hatton G Wyndham Clark G Maverick McNealy G Gary Woodland,,Sepp Straka,G,2.63%,22.5
48,5167688004,Lisar,0,380,G Tommy Fleetwood G Collin Morikawa G Chris Gotterup G Wyndham Clark G Sam Burns G Bud Cauley,,Ben Griffin,G,2.55%,53
49,5167289345,pvitek3,0,379.5,G Tommy Fleetwood G Ludvig Aberg G Russell Henley G Wyndham Clark G Sam Burns G Maverick McNealy,,Brian Harman,G,2.55%,47.5
50,5169643682,Overheated84,0,379,G Xander Schauffele G Tyrrell Hatton G Chris Gotterup G Wyndham Clark G Sam Burns G Si Woo Kim,,Tom Kim,G,2.44%,79.5
