PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
New York Jets,D,NYJ,WAS,-164,37.00,-3.00,20.00,3100,7.69,2.5,40.60
Breece Hall,RB,NYJ,WAS,-164,37.00,-3.00,20.00,6100,15.63,2.6,26.87
Bijan Robinson,RB,ATL,IND,-141,45.00,-2.50,23.75,6300,14.67,2.3,22.37
Justin Jefferson,WR,MIN,DET,133,47.50,3.00,22.25,8100,18.11,2.2,17.45
Drake London,WR,ATL,IND,-141,45.00,-2.50,23.75,5100,13.31,2.6,17.17
Tony Pollard,RB,DAL,MIA,106,50.00,1.50,24.25,6700,14.44,2.2,16.68
Rachaad White,RB,TB,JAX,-142,41.50,-2.50,22.00,7400,15.50,2.1,15.89
CeeDee Lamb,WR,DAL,MIA,106,50.00,1.50,24.25,9200,17.56,1.9,14.64
Aaron Jones,RB,GB,CAR,-223,37.50,-5.00,21.25,6400,13.83,2.2,14.48
Amon-Ra St. Brown,WR,DET,MIN,-159,47.50,-3.00,25.25,8200,17.00,2.1,13.74
Tyreek Hill,WR,MIA,DAL,-126,50.00,-1.50,25.75,9600,18.93,2.0,12.98
Chuba Hubbard,RB,CAR,GB,184,37.50,5.00,16.25,5700,12.41,2.2,12.97
Garrett Wilson,WR,NYJ,WAS,-164,37.00,-3.00,20.00,5800,13.04,2.3,12.61
DJ Moore,WR,CHI,ARI,-212,43.00,-4.00,23.50,6900,15.11,2.2,12.45
Calvin Ridley,WR,JAX,TB,119,41.50,2.50,19.50,6300,13.99,2.2,12.23
Jonathan Mingo,WR,CAR,GB,184,37.50,5.00,16.25,3600,8.85,2.5,12.07
Travis Etienne,RB,JAX,TB,119,41.50,2.50,19.50,6600,13.64,2.1,11.99
Jahmyr Gibbs,RB,DET,MIN,-159,47.50,-3.00,25.25,7000,14.64,2.1,11.98
James Conner,RB,ARI,CHI,175,43.00,4.00,19.50,5900,12.77,2.2,11.64
Jaxon Smith-Njigba,WR,SEA,TEN,-175,41.50,-3.50,22.50,4500,10.59,2.3,11.41
Jonathan Taylor,RB,IND,ATL,118,45.00,2.50,21.25,7200,13.93,1.9,11.17
Jerome Ford,RB,CLE,HOU,-153,40.00,-3.00,21.50,5400,11.24,2.1,10.96
Green Bay Packers,D,GB,CAR,-223,37.50,-5.00,21.25,3900,7.70,2.0,10.86
Ty Chandler,RB,MIN,DET,133,47.50,3.00,22.25,5600,12.19,2.2,10.70
Amari Cooper,WR,CLE,HOU,-153,40.00,-3.00,21.50,6400,14.12,2.2,10.65
Kenneth Walker,RB,SEA,TEN,-175,41.50,-3.50,22.50,6200,12.64,2.0,10.24
Justin Fields,QB,CHI,ARI,-212,43.00,-4.00,23.50,7100,18.88,2.7,9.73
Mike Evans,WR,TB,JAX,-142,41.50,-2.50,22.00,7600,13.60,1.8,9.50
Tyler Lockett,WR,SEA,TEN,-175,41.50,-3.50,22.50,5600,11.47,2.1,9.47
Carolina Panthers,D,CAR,GB,184,37.50,5.00,16.25,2400,5.54,2.3,9.28
Elijah Moore,WR,CLE,HOU,-153,40.00,-3.00,21.50,4200,9.30,2.2,9.27
Devin Singletary,RB,HOU,CLE,127,40.00,3.00,18.50,5500,11.76,2.1,9.20
Chris Godwin,WR,TB,JAX,-142,41.50,-2.50,22.00,6200,11.63,1.9,9.03
Evan Engram,TE,JAX,TB,119,41.50,2.50,19.50,5400,12.24,2.3,8.89
Dak Prescott,QB,DAL,MIA,106,50.00,1.50,24.25,7900,19.70,2.5,8.85
Michael Pittman,WR,IND,ATL,118,45.00,2.50,21.25,7400,15.21,2.1,8.73
Taylor Heinicke,QB,ATL,IND,-141,45.00,-2.50,23.75,4800,15.65,3.3,8.62
Tampa Bay Buccaneers,D,TB,JAX,-142,41.50,-2.50,22.00,2600,5.56,2.1,8.51
Chicago Bears,D,CHI,ARI,-212,43.00,-4.00,23.50,2800,5.95,2.1,8.38
Raheem Mostert,RB,MIA,DAL,-126,50.00,-1.50,25.75,7300,13.48,1.9,8.24
Jaylen Waddle,WR,MIA,DAL,-126,50.00,-1.50,25.75,7800,14.12,1.8,8.17
Parker Washington,WR,JAX,TB,119,41.50,2.50,19.50,3800,8.50,2.2,8.00
Trey McBride,TE,ARI,CHI,175,43.00,4.00,19.50,5700,11.28,2.0,7.98
DeAndre Hopkins,WR,TEN,SEA,146,41.50,3.50,19.00,6100,11.64,1.9,7.96
Jordan Addison,WR,MIN,DET,133,47.50,3.00,22.25,6000,12.26,2.0,7.74
DK Metcalf,WR,SEA,TEN,-175,41.50,-3.50,22.50,6700,12.80,1.9,7.65
T.J. Hockenson,TE,MIN,DET,133,47.50,3.00,22.25,5800,11.90,2.1,7.54
David Njoku,TE,CLE,HOU,-153,40.00,-3.00,21.50,5300,11.52,2.2,7.37
Terry McLaurin,WR,WAS,NYJ,138,37.00,3.00,17.00,5700,12.17,2.1,7.33
Nick Mullens,QB,MIN,DET,133,47.50,3.00,22.25,5300,14.42,2.7,7.27
Derrick Henry,RB,TEN,SEA,146,41.50,3.50,19.00,6800,11.10,1.6,7.23
Tucker Kraft,TE,GB,CAR,-223,37.50,-5.00,21.25,3700,9.04,2.4,7.07
Sam LaPorta,TE,DET,MIN,-159,47.50,-3.00,25.25,6400,11.88,1.9,7.04
Jayden Reed,WR,GB,CAR,-223,37.50,-5.00,21.25,5400,11.71,2.2,6.93
Cole Kmet,TE,CHI,ARI,-212,43.00,-4.00,23.50,4400,9.41,2.1,6.75
Kyle Pitts,TE,ATL,IND,-141,45.00,-2.50,23.75,4000,8.24,2.1,6.65
