ID,Player,Team,Opp,Pos,Salary,Own %
30330798,Zach Evans,LAR,PIT,RB,"$4,000",20.80%
30330664,Jahmyr Gibbs,DET,BAL,RB,"$6,300",20.60%
30330656,Kenneth Walker III,SEA,ARI,RB,"$7,000",20.00%
30330648,Josh Jacobs,LV,CHI,RB,"$7,400",19.40%
30330668,Isiah Pacheco,KC,LAC,RB,"$6,100",19.30%
30330650,Bijan Robinson,ATL,TB,RB,"$7,300",18.90%
30330870,Cooper Kupp,LAR,PIT,WR,"$9,500",18.30%
30330920,Josh Palmer,LAC,KC,WR,"$4,800",18.30%
30330902,Zay Flowers,BAL,DET,WR,"$5,700",16.60%
30330928,Kendrick Bourne,NE,BUF,WR,"$4,400",16.60%
30330952,Wan'Dale Robinson,NYG,WAS,WR,"$3,800",16.60%
30330872,Stefon Diggs,BUF,NE,WR,"$8,900",15.20%
30330910,Marquise Brown,ARI,SEA,WR,"$5,300",14.90%
30331270,Luke Musgrave,GB,DEN,TE,"$3,300",14.50%
30331244,Travis Kelce,KC,LAC,TE,"$8,000",12.70%
30330580,Josh Allen,BUF,NE,QB,"$8,200",12.20%
30330880,Puka Nacua,LAR,PIT,WR,"$7,600",12.10%
30331472,Seattle Seahawks,SEA,ARI,D,"$3,200",11.30%
30331471,Cleveland Browns,CLE,IND,D,"$3,300",11.20%
30331477,Detroit Lions,DET,BAL,D,"$2,700",10.50%
30330886,DK Metcalf,SEA,ARI,WR,"$6,800",10.50%
30330896,Tyler Lockett,SEA,ARI,WR,"$6,000",10.50%
30330644,Austin Ekeler,LAC,KC,RB,"$8,600",10.40%
30330670,Brian Robinson Jr.,WAS,NYG,RB,"$5,800",10.40%
30330672,Rhamondre Stevenson,NE,BUF,RB,"$5,600",10.40%
30330684,Rachaad White,TB,ATL,RB,"$5,100",10.40%
30330712,Roschon Johnson,CHI,LV,RB,"$4,600",10.40%
30330584,Matthew Stafford,LAR,PIT,QB,"$6,500",10.30%
30330581,Justin Herbert,LAC,KC,QB,"$8,000",10.30%
30330904,Christian Watson,GB,DEN,WR,"$5,600",10.10%
30330890,D.J. Moore,CHI,LV,WR,"$6,500",10.00%
30330874,Keenan Allen,LAC,KC,WR,"$8,600",9.80%
30330878,Amon-Ra St. Brown,DET,BAL,WR,"$8,000",9.80%
30330582,Lamar Jackson,BAL,DET,QB,"$7,600",9.70%
30330586,Geno Smith,SEA,ARI,QB,"$6,000",9.70%
30331479,Baltimore Ravens,BAL,DET,D,"$2,500",9.40%
30330658,Aaron Jones,GB,DEN,RB,"$6,800",8.80%
30330908,Terry McLaurin,WAS,NYG,WR,"$5,400",8.20%
30331474,New York Giants,NYG,WAS,D,"$3,000",7.90%
30330588,Jordan Love,GB,DEN,QB,"$5,800",7.90%
30330882,Mike Evans,TB,ATL,WR,"$7,100",7.80%
