ID,Player,Team,Opp,Pos,Salary,Own %
30030973,Tyreek Hill,MIA,NYG,WR,"$9,000",25.30%
30030755,D'Andre Swift,PHI,LAR,RB,"$6,000",20.80%
30030985,Jaylen Waddle,MIA,NYG,WR,"$7,500",20.20%
30030977,A.J. Brown,PHI,LAR,WR,"$8,000",18.50%
30030743,Kyren Williams,LAR,PHI,RB,"$6,700",18.20%
30030769,Isiah Pacheco,KC,MIN,RB,"$5,700",17.90%
30031578,Tennessee Titans,TEN,IND,D,"$2,400",17.70%
30031019,Tank Dell,HOU,ATL,WR,"$4,800",17.20%
30030765,Rhamondre Stevenson,NE,NO,RB,"$5,600",17.10%
30030981,Amon-Ra St. Brown,DET,CAR,WR,"$7,800",17.10%
30030745,David Montgomery,DET,CAR,RB,"$6,600",15.90%
30030672,Tua Tagovailoa,MIA,NYG,QB,"$7,100",13.60%
30030761,Alexander Mattison,MIN,KC,RB,"$5,700",13.40%
30030997,Garrett Wilson,NYJ,DEN,WR,"$6,000",13.40%
30031001,Nico Collins,HOU,ATL,WR,"$5,600",13.40%
30031347,Travis Kelce,KC,MIN,TE,"$7,600",13.30%
30030971,Justin Jefferson,MIN,KC,WR,"$9,400",13.20%
30030979,Ja'Marr Chase,CIN,ARI,WR,"$7,900",13.00%
30031572,New England Patriots,NE,NO,D,"$3,100",12.20%
30030975,Cooper Kupp,LAR,PHI,WR,"$8,600",12.00%
30030674,Kirk Cousins,MIN,KC,QB,"$6,900",12.00%
30031573,New Orleans Saints,NO,NE,D,"$3,000",11.60%
30030777,Miles Sanders,CAR,DET,RB,"$5,200",11.60%
30031359,Dallas Goedert,PHI,LAR,TE,"$4,200",11.00%
30030751,Raheem Mostert,MIA,NYG,RB,"$6,200",10.20%
30030753,Devon Achane,MIA,NYG,RB,"$6,100",10.20%
30030670,Jalen Hurts,PHI,LAR,QB,"$8,000",10.10%
30031569,Denver Broncos,DEN,NYJ,D,"$3,200",10.10%
30030747,Joe Mixon,CIN,ARI,RB,"$6,400",9.90%
30030669,Patrick Mahomes,KC,MIN,QB,"$8,200",9.80%
30031015,Marquise Brown,ARI,CIN,WR,"$5,000",9.60%
30031570,Indianapolis Colts,IND,TEN,D,"$3,200",9.10%
30031067,Rashee Rice,KC,MIN,WR,"$3,600",8.80%
30030737,Bijan Robinson,ATL,HOU,RB,"$7,700",8.70%
30030741,Jonathan Taylor,IND,TEN,RB,"$6,800",8.70%
30030749,Alvin Kamara,NO,NE,RB,"$6,300",8.70%
30030763,James Conner,ARI,CIN,RB,"$5,800",8.70%
30030771,Breece Hall,NYJ,DEN,RB,"$5,400",8.70%
30030775,Dameon Pierce,HOU,ATL,RB,"$5,300",8.70%
30030799,Tyler Allgeier,ATL,HOU,RB,"$4,700",8.70%
30030681,Matthew Stafford,LAR,PHI,QB,"$5,600",8.70%
30031011,George Pickens,PIT,BAL,WR,"$5,200",8.60%
30031013,Adam Thielen,CAR,DET,WR,"$5,100",8.60%
30031349,T.J. Hockenson,MIN,KC,TE,"$6,500",8.50%
30031574,Arizona Cardinals,ARI,CIN,D,"$2,800",8.00%
30031005,Courtland Sutton,DEN,NYJ,WR,"$5,400",8.00%
30031035,Josh Reynolds,DET,CAR,WR,"$4,200",7.60%
30031565,Miami Dolphins,MIA,NYG,D,"$3,600",7.50%
30030987,DeVonta Smith,PHI,LAR,WR,"$7,400",7.40%
30030675,Jared Goff,DET,CAR,QB,"$6,300",7.30%
30030767,Javonte Williams,DEN,NYJ,RB,"$5,500",7.10%
30031351,Mark Andrews,BAL,PIT,TE,"$5,500",7.10%
30031355,Sam LaPorta,DET,CAR,TE,"$5,000",7.10%
30030989,Chris Olave,NO,NE,WR,"$6,900",6.90%
