PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
New England Patriots,D,NE,NYG,-183,34.00,-3.50,18.75,3200,7.61,2.4,22.22
Jonathan Taylor,RB,IND,TB,-137,44.50,-2.50,23.50,6900,15.41,2.2,18.48
Rachaad White,RB,TB,IND,114,44.50,2.50,21.00,6100,14.04,2.3,16.37
Bijan Robinson,RB,ATL,NO,105,41.50,1.50,20.00,6500,15.12,2.3,15.82
Cincinnati Bengals,D,CIN,PIT,105,35.50,1.50,17.00,3300,7.62,2.3,14.76
Travis Etienne,RB,JAX,HOU,-122,47.50,-1.50,24.50,7100,14.97,2.1,14.73
Javonte Williams,RB,DEN,CLE,-125,36.00,-1.50,18.75,5700,13.33,2.3,14.06
Kansas City Chiefs,D,KC,LV,-417,43.00,-9.00,26.00,3100,8.18,2.6,14.01
Rhamondre Stevenson,RB,NE,NYG,-183,34.00,-3.50,18.75,5800,12.98,2.2,13.41
Tennessee Titans,D,TEN,CAR,-183,36.50,-3.50,20.00,3400,7.94,2.3,13.19
A.J. Brown,WR,PHI,BUF,-168,48.50,-3.00,25.75,9000,17.48,1.9,13.12
Kyren Williams,RB,LAR,ARI,-122,44.50,-1.50,23.00,6600,14.55,2.2,12.63
Jalen Hurts,QB,PHI,BUF,-168,48.50,-3.00,25.75,8300,23.39,2.8,12.61
Patrick Mahomes,QB,KC,LV,-417,43.00,-9.00,26.00,8200,22.61,2.8,12.54
D'Andre Swift,RB,PHI,BUF,-168,48.50,-3.00,25.75,6800,14.04,2.1,12.20
Cooper Kupp,WR,LAR,ARI,-122,44.50,-1.50,23.00,8000,19.26,2.4,12.08
Rashid Shaheed,WR,NO,ATL,-125,41.50,-1.50,21.50,4300,11.37,2.6,11.19
Isiah Pacheco,RB,KC,LV,-417,43.00,-9.00,26.00,6200,13.02,2.1,11.16
Saquon Barkley,RB,NYG,NE,152,34.00,3.50,15.25,7300,14.86,2.0,10.81
James Conner,RB,ARI,LAR,103,44.50,1.50,21.50,5900,12.75,2.2,10.73
Marquise Brown,WR,ARI,LAR,103,44.50,1.50,21.50,5200,12.48,2.4,10.66
Najee Harris,RB,PIT,CIN,-124,35.50,-1.50,18.50,4900,11.14,2.3,10.24
Josh Jacobs,RB,LV,KC,325,43.00,9.00,17.00,6700,13.53,2.0,10.23
Michael Pittman,WR,IND,TB,-137,44.50,-2.50,23.50,6800,14.11,2.1,10.14
Davante Adams,WR,LV,KC,325,43.00,9.00,17.00,7800,15.92,2.0,10.09
Stefon Diggs,WR,BUF,PHI,140,48.50,3.00,22.75,8800,17.66,2.0,10.04
Evan Engram,TE,JAX,HOU,-122,47.50,-1.50,24.50,4200,10.66,2.5,9.95
Derrick Henry,RB,TEN,CAR,-183,36.50,-3.50,20.00,6400,12.13,1.9,9.69
Drake London,WR,ATL,NO,105,41.50,1.50,20.00,5000,12.54,2.5,9.59
Josh Downs,WR,IND,TB,-137,44.50,-2.50,23.50,4800,11.29,2.3,9.31
Denver Broncos,D,DEN,CLE,-125,36.00,-1.50,18.75,3200,7.72,2.4,9.12
Zay Jones,WR,JAX,HOU,-122,47.50,-1.50,24.50,3900,9.92,2.5,8.98
Puka Nacua,WR,LAR,ARI,-122,44.50,-1.50,23.00,7600,15.05,2.0,8.87
Josh Allen,QB,BUF,PHI,140,48.50,3.00,22.75,8100,20.28,2.5,8.73
Chris Olave,WR,NO,ATL,-125,41.50,-1.50,21.50,6600,13.66,2.1,8.73
Travis Kelce,TE,KC,LV,-417,43.00,-9.00,26.00,8200,17.03,2.1,8.65
Alvin Kamara,RB,NO,ATL,-125,41.50,-1.50,21.50,8400,15.26,1.8,8.47
A.T. Perry,WR,NO,ATL,-125,41.50,-1.50,21.50,3200,8.32,2.6,8.30
Christian Kirk,WR,JAX,HOU,-122,47.50,-1.50,24.50,5700,11.84,2.1,8.24
Joe Mixon,RB,CIN,PIT,105,35.50,1.50,17.00,6300,12.42,2.0,8.20
Demario Douglas,WR,NE,NYG,-183,34.00,-3.50,18.75,4400,9.78,2.2,8.15
Diontae Johnson,WR,PIT,CIN,-124,35.50,-1.50,18.50,4900,10.43,2.1,8.10
Devin Singletary,RB,HOU,JAX,103,47.50,1.50,23.00,6000,12.64,2.1,7.95
Baker Mayfield,QB,TB,IND,114,44.50,2.50,21.00,5500,16.23,3.0,7.93
DeVonta Smith,WR,PHI,BUF,-168,48.50,-3.00,25.75,7100,13.55,1.9,7.68
Elijah Moore,WR,CLE,DEN,105,36.00,1.50,17.25,3700,8.63,2.3,7.64
Michael Wilson,WR,ARI,LAR,103,44.50,1.50,21.50,3200,7.88,2.5,7.59
Justin Watson,WR,KC,LV,-417,43.00,-9.00,26.00,3000,6.70,2.2,7.58
Gardner Minshew,QB,IND,TB,-137,44.50,-2.50,23.50,5100,14.29,2.8,7.50
Jaylen Warren,RB,PIT,CIN,-124,35.50,-1.50,18.50,5400,11.32,2.1,7.15
Calvin Ridley,WR,JAX,HOU,-122,47.50,-1.50,24.50,6000,11.89,2.0,7.07
Ja'Marr Chase,WR,CIN,PIT,105,35.50,1.50,17.00,8300,16.15,2.0,6.95
Trey McBride,TE,ARI,LAR,103,44.50,1.50,21.50,4700,9.24,2.0,6.92
Rondale Moore,WR,ARI,LAR,103,44.50,1.50,21.50,3600,8.16,2.3,6.74
Chris Godwin,WR,TB,IND,114,44.50,2.50,21.00,6300,12.66,2.0,6.72
Trey Palmer,WR,TB,IND,114,44.50,2.50,21.00,3100,6.85,2.2,6.51
Trevor Lawrence,QB,JAX,HOU,-122,47.50,-1.50,24.50,6400,17.47,2.7,6.46
David Njoku,TE,CLE,DEN,105,36.00,1.50,17.25,4100,8.67,2.1,6.34
Cade Otton,TE,TB,IND,114,44.50,2.50,21.00,3200,6.84,2.1,6.27
Jerome Ford,RB,CLE,DEN,105,36.00,1.50,17.25,5600,10.38,1.9,6.23
DeAndre Hopkins,WR,TEN,CAR,-183,36.50,-3.50,20.00,6100,12.10,2.0,6.21
Amari Cooper,WR,CLE,DEN,105,36.00,1.50,17.25,5900,12.06,2.0,6.10
Pat Freiermuth,TE,PIT,CIN,-124,35.50,-1.50,18.50,2900,6.43,2.2,5.66
Mike Evans,WR,TB,IND,114,44.50,2.50,21.00,7400,12.35,1.7,5.50
Kylen Granson,TE,IND,TB,-137,44.50,-2.50,23.50,2600,6.58,2.5,5.45
New York Giants,D,NYG,NE,152,34.00,3.50,15.25,3500,7.48,2.1,5.36
Dalton Kincaid,TE,BUF,PHI,140,48.50,3.00,22.75,5300,9.57,1.8,5.33
Kyle Pitts,TE,ATL,NO,105,41.50,1.50,20.00,4000,7.94,2.0,5.21
James Cook,RB,BUF,PHI,140,48.50,3.00,22.75,6200,11.53,1.9,5.14
Jake Browning,QB,CIN,PIT,105,35.50,1.50,17.00,5200,12.86,2.5,5.10
Gabe Davis,WR,BUF,PHI,140,48.50,3.00,22.75,5300,10.62,2.0,5.07
George Pickens,WR,PIT,CIN,-124,35.50,-1.50,18.50,4700,9.43,2.0,5.07
Wan'Dale Robinson,WR,NYG,NE,152,34.00,3.50,15.25,3800,8.36,2.2,4.98
Khalil Shakir,WR,BUF,PHI,140,48.50,3.00,22.75,3600,8.04,2.2,4.92
Jonathan Mingo,WR,CAR,TEN,152,36.50,3.50,16.50,3300,6.56,2.0,4.87
Michael Mayer,TE,LV,KC,325,43.00,9.00,17.00,2800,5.71,2.0,4.87
Tank Dell,WR,HOU,JAX,103,47.50,1.50,23.00,6900,11.58,1.7,4.87
Adam Thielen,WR,CAR,TEN,152,36.50,3.50,16.50,7300,12.70,1.7,4.82
Bryce Young,QB,CAR,TEN,152,36.50,3.50,16.50,4900,14.03,2.9,4.76
Dorian Thompson-Robinson,QB,CLE,DEN,105,36.00,1.50,17.25,4900,14.18,2.9,4.75
Kyler Murray,QB,ARI,LAR,103,44.50,1.50,21.50,6900,16.86,2.4,4.69
DJ Chark,WR,CAR,TEN,152,36.50,3.50,16.50,3200,7.06,2.2,4.65
Daniel Bellinger,TE,NYG,NE,152,34.00,3.50,15.25,2900,5.93,2.0,4.47
Skyy Moore,WR,KC,LV,-417,43.00,-9.00,26.00,3000,6.23,2.1,4.44
Chigoziem Okonkwo,TE,TEN,CAR,-183,36.50,-3.50,20.00,3100,6.32,2.0,4.42
Hunter Henry,TE,NE,NYG,-183,34.00,-3.50,18.75,3400,6.37,1.9,4.41
C.J. Stroud,QB,HOU,JAX,103,47.50,1.50,23.00,7700,18.58,2.4,4.31
Pittsburgh Steelers,D,PIT,CIN,-124,35.50,-1.50,18.50,3700,7.48,2.0,4.31
Houston Texans,D,HOU,JAX,103,47.50,1.50,23.00,2600,5.73,2.2,4.30
Rashee Rice,WR,KC,LV,-417,43.00,-9.00,26.00,5500,9.95,1.8,4.22
Desmond Ridder,QB,ATL,NO,105,41.50,1.50,20.00,4800,12.69,2.6,4.20
Tutu Atwell,WR,LAR,ARI,-122,44.50,-1.50,23.00,4100,7.52,1.8,4.13
Chuba Hubbard,RB,CAR,TEN,152,36.50,3.50,16.50,4800,8.27,1.7,4.03
Nico Collins,WR,HOU,JAX,103,47.50,1.50,23.00,6400,10.77,1.7,3.99
Jonnu Smith,TE,ATL,NO,105,41.50,1.50,20.00,3400,6.32,1.9,3.94
Courtland Sutton,WR,DEN,CLE,-125,36.00,-1.50,18.75,5400,9.71,1.8,3.92
Carolina Panthers,D,CAR,TEN,152,36.50,3.50,16.50,3100,6.55,2.1,3.90
Dalton Schultz,TE,HOU,JAX,103,47.50,1.50,23.00,5400,9.28,1.7,3.88
Tyler Boyd,WR,CIN,PIT,105,35.50,1.50,17.00,4600,9.12,2.0,3.75
Noah Brown,WR,HOU,JAX,103,47.50,1.50,23.00,4500,9.53,2.1,3.73
Tyjae Spears,RB,TEN,CAR,-183,36.50,-3.50,20.00,4400,7.79,1.8,3.65
