Player,Position,Team,Opponent,Salary,% ownership,Notes
Josh Jacobs,RB,LV,NYG,"$6,900",27.00%,
Alvin Kamara,RB,NO,CHI,"$8,100",26.30%,
Tony Pollard,RB,DAL,PHI,"$6,800",21.50%,
Rhamondre Stevenson,RB,NE,WAS,"$5,400",21.30%,
Rachaad White,RB,TB,HOU,"$5,600",21.00%,
Bijan Robinson,RB,ATL,MIN,"$6,100",20.70%,
Demario Douglas,WR,NE,WAS,"$4,000",20.60%,
Patriots,DST,NE,WAS,"$2,900",19.90%,
Saquon Barkley,RB,NYG,LV,"$7,900",19.90%,
Jonathan Taylor,RB,IND,CAR,"$6,400",19.80%,
A.J. Brown,WR,PHI,DAL,"$8,600",19.50%,
CeeDee Lamb,WR,DAL,PHI,"$8,200",18.00%,
Chris Olave,WR,NO,CHI,"$6,300",18.00%,
Chuba Hubbard,RB,CAR,IND,"$5,000",17.60%,
Zay Flowers,WR,BAL,SEA,"$5,700",17.10%,
Terry McLaurin,WR,WAS,NE,"$5,600",16.90%,
Nico Collins,WR,HOU,TB,"$5,800",16.90%,
T.J. Hockenson,TE,MIN,ATL,"$5,200",16.70%,
Jalen Hurts,QB,PHI,DAL,"$8,000",16.00%,
Adam Thielen,WR,CAR,IND,"$7,500",15.50%,
D'Andre Swift,RB,PHI,DAL,"$6,600",15.20%,
Michael Pittman Jr.,WR,IND,CAR,"$6,600",14.90%,
Michael Thomas,WR,NO,CHI,"$4,700",13.60%,
Josh Downs,WR,IND,CAR,"$5,200",12.70%,
Wan'Dale Robinson,WR,NYG,LV,"$3,500",12.40%,
Packers,DST,GB,LA,"$2,800",12.40%,
Emari Demercado,RB,ARI,CLE,"$4,700",12.20%,
Lamar Jackson,QB,BAL,SEA,"$8,200",11.80%,
Tank Dell,WR,HOU,TB,"$5,300",11.10%,
Giants,DST,NYG,LV,"$2,300",11.00%,
Dalton Schultz,TE,HOU,TB,"$4,200",10.60%,
Jake Ferguson,TE,DAL,PHI,"$4,000",10.20%,
Trey McBride,TE,ARI,CLE,"$3,700",9.90%,
Dallas Goedert,TE,PHI,DAL,"$4,800",9.10%,
Baker Mayfield,QB,TB,HOU,"$5,200",9.10%,
Tyler Lockett,WR,SEA,BAL,"$6,200",8.90%,
David Njoku,TE,CLE,ARI,"$3,800",8.80%,
DJ Moore,WR,CHI,NO,"$5,900",8.80%,
Logan Thomas,TE,WAS,NE,"$3,500",8.80%,
Mark Andrews,TE,BAL,SEA,"$6,800",8.40%,
Dak Prescott,QB,DAL,PHI,"$6,500",8.30%,
Cooper Kupp,WR,LA,GB,"$8,500",8.30%,
Davante Adams,WR,LV,NYG,"$8,100",8.10%,
Amari Cooper,WR,CLE,ARI,"$6,100",6.90%,
Mike Evans,WR,TB,HOU,"$7,300",6.20%,
Mac Jones,QB,NE,WAS,"$4,900",6.10%,
Puka Nacua,WR,LA,GB,"$7,400",5.90%,
Noah Brown,WR,HOU,TB,"$3,100",5.90%,
Saints,DST,NO,CHI,"$4,100",5.90%,
