Player,Position,Team,Opponent,Salary,% ownership,Notes
Breece Hall,RB,NYJ,NYG,"$5,900",22.70%,
Tyreek Hill,WR,MIA,NE,"$9,500",21.50%,
Alvin Kamara,RB,NO,IND,"$7,300",20.50%,
Trey McBride,TE,ARI,BAL,"$2,800",20.50%,
Isiah Pacheco,RB,KC,DEN,"$6,100",19.50%,
Zay Flowers,WR,BAL,ARI,"$5,600",19.30%,
Ja'Marr Chase,WR,CIN,SF,"$8,100",19.10%,
Tony Pollard,RB,DAL,LA,"$7,500",18.20%,
Bijan Robinson,RB,ATL,TEN,"$6,000",17.20%,
Kendrick Bourne,WR,NE,MIA,"$4,700",15.60%,
Falcons,DST,ATL,TEN,"$2,900",15.30%,
Joe Mixon,RB,CIN,SF,"$5,800",14.50%,
T.J. Hockenson,TE,MIN,GB,"$6,200",14.00%,
Diontae Johnson,WR,PIT,JAX,"$5,000",13.90%,
Travis Kelce,TE,KC,DEN,"$8,400",13.80%,
Jake Ferguson,TE,DAL,LA,"$3,600",13.50%,
Jordan Addison,WR,MIN,GB,"$5,700",12.80%,
Travis Etienne Jr.,RB,JAX,PIT,"$7,200",12.80%,
Jonathan Taylor,RB,IND,NO,"$6,200",12.60%,
George Pickens,WR,PIT,JAX,"$5,600",12.60%,
Christian McCaffrey,RB,SF,CIN,"$9,200",12.50%,
A.J. Brown,WR,PHI,WAS,"$8,000",12.30%,
Seahawks,DST,SEA,CLE,"$3,400",12.20%,
Evan Engram,TE,JAX,PIT,"$4,500",11.60%,
Adam Thielen,WR,CAR,HOU,"$6,600",11.60%,
Marquise Brown,WR,ARI,BAL,"$5,200",11.40%,
Terry McLaurin,WR,WAS,PHI,"$5,300",11.10%,
Kenneth Walker III,RB,SEA,CLE,"$7,000",10.80%,
Dak Prescott,QB,DAL,LA,"$6,100",10.40%,
Emari Demercado,RB,ARI,BAL,"$4,800",10.40%,
Josh Downs,WR,IND,NO,"$4,800",10.30%,
Lamar Jackson,QB,BAL,ARI,"$8,100",10.10%,
Sam Darnold,QB,SF,CIN,"$4,300",10.10%,
Brandon Aiyuk,WR,SF,CIN,"$7,000",10.00%,
Jalen Hurts,QB,PHI,WAS,"$8,200",9.30%,
Michael Gallup,WR,DAL,LA,"$3,400",8.80%,
Cooper Kupp,WR,LA,DAL,"$9,000",8.60%,
Bengals,DST,CIN,SF,"$2,200",8.40%,
Patrick Mahomes,QB,KC,DEN,"$8,400",8.30%,
Vikings,DST,MIN,GB,"$2,500",8.30%,
Jaguars,DST,JAX,PIT,"$2,800",8.20%,
Chris Olave,WR,NO,IND,"$6,400",8.20%,
D'Andre Swift,RB,PHI,WAS,"$6,300",8.00%,
CeeDee Lamb,WR,DAL,LA,"$7,600",7.80%,
Michael Thomas,WR,NO,IND,"$4,900",7.60%,
Tank Dell,WR,HOU,CAR,"$4,900",7.20%,
Nico Collins,WR,HOU,CAR,"$5,500",7.00%,
Kareem Hunt,RB,CLE,SEA,"$5,200",7.00%,
Christian Kirk,WR,JAX,PIT,"$5,900",6.90%,
Darrell Henderson Jr.,RB,LA,DAL,"$4,800",6.90%,
Rhamondre Stevenson,RB,NE,MIA,"$5,400",6.80%,
Dalton Schultz,TE,HOU,CAR,"$3,900",6.80%,
Connor Heyward,TE,PIT,JAX,"$2,600",6.50%,
Mark Andrews,TE,BAL,ARI,"$6,400",6.40%,
Drake London,WR,ATL,TEN,"$5,100",6.30%,
Courtland Sutton,WR,DEN,KC,"$5,300",5.80%,
Michael Pittman Jr.,WR,IND,NO,"$6,500",5.30%,
Javonte Williams,RB,DEN,KC,"$5,200",5.20%,
Logan Thomas,TE,WAS,PHI,"$3,400",5.00%,
Kenny Pickett,QB,PIT,JAX,"$4,900",5.00%,
Joe Burrow,QB,CIN,SF,"$6,000",4.90%,
Trevor Lawrence,QB,JAX,PIT,"$6,200",4.90%,
Brandon Powell,WR,MIN,GB,"$3,200",4.80%,
Eagles,DST,PHI,WAS,"$4,300",4.80%,
Dallas Goedert,TE,PHI,WAS,"$4,600",4.70%,
Christian Watson,WR,GB,MIN,"$5,100",4.50%,
Cowboys,DST,DAL,LA,"$3,600",4.50%,
Wan'Dale Robinson,WR,NYG,NYJ,"$3,700",4.30%,
Curtis Samuel,WR,WAS,PHI,"$4,200",4.30%,
Rashee Rice,WR,KC,DEN,"$5,000",4.20%,
Browns,DST,CLE,SEA,"$3,000",4.20%,
Packers,DST,GB,MIN,"$2,700",4.10%,
Puka Nacua,WR,LA,DAL,"$7,900",4.10%,
C.J. Stroud,QB,HOU,CAR,"$6,300",3.90%,
Luke Musgrave,TE,GB,MIN,"$3,500",3.80%,
George Kittle,TE,SF,CIN,"$5,400",3.80%,
Jonathan Mingo,WR,CAR,HOU,"$3,400",3.70%,
Sam Howell,QB,WAS,PHI,"$5,200",3.70%,
Rondale Moore,WR,ARI,BAL,"$3,400",3.60%,
Garrett Wilson,WR,NYJ,NYG,"$6,300",3.60%,
Alexander Mattison,RB,MIN,GB,"$5,600",3.50%,
Chuba Hubbard,RB,CAR,HOU,"$4,800",3.50%,
David Njoku,TE,CLE,SEA,"$3,600",3.50%,
Russell Wilson,QB,DEN,KC,"$5,300",3.40%,
Miles Sanders,RB,CAR,HOU,"$4,900",3.30%,
Derek Carr,QB,NO,IND,"$5,500",3.30%,
Kyle Pitts,TE,ATL,TEN,"$3,800",3.30%,
Jerry Jeudy,WR,DEN,KC,"$5,400",3.30%,
Commanders,DST,WAS,PHI,"$2,300",3.20%,
Elijah Moore,WR,CLE,SEA,"$4,100",3.10%,
Tua Tagovailoa,QB,MIA,NE,"$7,700",3.10%,
Texans,DST,HOU,CAR,"$3,300",3.00%,
Jets,DST,NYJ,NYG,"$4,000",3.00%,
Najee Harris,RB,PIT,JAX,"$5,100",2.90%,
Demario Douglas,WR,NE,MIA,"$3,300",2.70%,
Tee Higgins,WR,CIN,SF,"$5,900",2.60%,
Devin Singletary,RB,HOU,CAR,"$4,400",2.50%,
Patriots,DST,NE,MIA,"$2,000",2.50%,
Dameon Pierce,RB,HOU,CAR,"$5,300",2.50%,
Rams,DST,LA,DAL,"$2,400",2.40%,
