PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Justin Jefferson,WR,MIN,KC,159,53.00,3.50,24.75,9400,24.83,2.6,21.87
Bijan Robinson,RB,ATL,HOU,-128,41.50,-1.50,21.50,7700,16.96,2.2,20.60
Wan'Dale Robinson,WR,NYG,MIA,510,47.50,12.50,17.50,3000,10.27,3.4,19.98
Tyreek Hill,WR,MIA,NYG,-730,47.50,-12.50,30.00,9000,20.27,2.3,18.14
Joe Mixon,RB,CIN,ARI,-167,44.50,-3.00,23.75,6400,13.98,2.2,14.91
Ja'Marr Chase,WR,CIN,ARI,-167,44.50,-3.00,23.75,7900,18.15,2.3,14.82
Miles Sanders,RB,CAR,DET,372,44.00,9.50,17.25,5200,11.51,2.2,14.12
D'Andre Swift,RB,PHI,LAR,-205,50.50,-4.50,27.50,6000,13.15,2.2,13.91
Alvin Kamara,RB,NO,NE,-107,39.00,1.00,19.00,6300,14.51,2.3,13.11
James Conner,RB,ARI,CIN,140,44.50,3.00,20.75,5800,13.11,2.3,12.62
Isiah Pacheco,RB,KC,MIN,-192,53.00,-3.50,28.25,5700,12.98,2.3,12.39
Marquise Brown,WR,ARI,CIN,140,44.50,3.00,20.75,5000,12.35,2.5,12.27
A.J. Brown,WR,PHI,LAR,-205,50.50,-4.50,27.50,8000,17.30,2.2,11.98
Patrick Mahomes,QB,KC,MIN,-192,53.00,-3.50,28.25,8200,24.11,2.9,11.91
De'Von Achane,RB,MIA,NYG,-730,47.50,-12.50,30.00,6100,13.09,2.2,11.58
Dameon Pierce,RB,HOU,ATL,108,41.50,1.50,20.00,5300,11.86,2.2,11.20
Garrett Wilson,WR,NYJ,DEN,114,43.50,2.50,20.50,6000,13.66,2.3,11.06
Raheem Mostert,RB,MIA,NYG,-730,47.50,-12.50,30.00,6200,13.29,2.1,10.39
Kyren Williams,RB,LAR,PHI,169,50.50,4.50,23.00,6700,13.28,2.0,9.73
David Montgomery,RB,DET,CAR,-512,44.00,-9.50,26.75,6600,12.15,1.8,9.57
Travis Kelce,TE,KC,MIN,-192,53.00,-3.50,28.25,7600,17.60,2.3,9.52
Alexander Mattison,RB,MIN,KC,159,53.00,3.50,24.75,5700,11.19,2.0,9.40
Zach Ertz,TE,ARI,CIN,140,44.50,3.00,20.75,3500,8.71,2.5,8.84
Josh Downs,WR,IND,TEN,116,43.00,2.50,20.25,3700,9.34,2.5,8.79
Adam Thielen,WR,CAR,DET,372,44.00,9.50,17.25,5100,11.34,2.2,8.64
Michael Pittman,WR,IND,TEN,116,43.00,2.50,20.25,6400,13.67,2.1,8.64
Rhamondre Stevenson,RB,NE,NO,-112,39.00,-1.00,20.00,5600,10.86,1.9,8.27
Jalen Hurts,QB,PHI,LAR,-205,50.50,-4.50,27.50,8000,22.05,2.8,8.17
Breece Hall,RB,NYJ,DEN,114,43.50,2.50,20.50,5400,10.37,1.9,8.16
Calvin Austin,WR,PIT,BAL,175,38.00,4.50,16.75,3500,9.15,2.6,7.86
Jahmyr Gibbs,RB,DET,CAR,-512,44.00,-9.50,26.75,5900,11.73,2.0,7.86
Tyler Boyd,WR,CIN,ARI,-167,44.50,-3.00,23.75,4500,9.79,2.2,7.35
Najee Harris,RB,PIT,BAL,175,38.00,4.50,16.75,5400,11.10,2.1,7.21
DeVonta Smith,WR,PHI,LAR,-205,50.50,-4.50,27.50,7400,14.76,2.0,7.17
Kyle Pitts,TE,ATL,HOU,-128,41.50,-1.50,21.50,3300,7.91,2.4,7.15
Nico Collins,WR,HOU,ATL,108,41.50,1.50,20.00,5600,11.83,2.1,7.07
DeAndre Hopkins,WR,TEN,IND,-138,43.00,-2.50,22.75,5700,12.26,2.2,7.03
Javonte Williams,RB,DEN,NYJ,-136,43.50,-2.50,23.00,5500,11.11,2.0,7.00
Josh Reynolds,WR,DET,CAR,-512,44.00,-9.50,26.75,4200,9.60,2.3,6.93
Tua Tagovailoa,QB,MIA,NYG,-730,47.50,-12.50,30.00,7100,20.17,2.8,6.90
Saquon Barkley,RB,NYG,MIA,510,47.50,12.50,17.50,8100,14.56,1.8,6.90
Matthew Stafford,QB,LAR,PHI,169,50.50,4.50,23.00,5600,16.84,3.0,6.85
Robert Woods,WR,HOU,ATL,108,41.50,1.50,20.00,4000,9.05,2.3,6.78
