Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Tyreek Hill (31654600),Tyreek Hill,31654600,WR/FLEX,9900,NYJ@MIA 12/17/2023 01:00PM ET,MIA,26.75
RB,Christian McCaffrey (31654228),Christian McCaffrey,31654228,RB/FLEX,9300,SF@ARI 12/17/2023 04:05PM ET,SF,25.26
WR,CeeDee Lamb (31654602),CeeDee Lamb,31654602,WR/FLEX,9200,DAL@BUF 12/17/2023 04:25PM ET,DAL,23.28
RB,Alvin Kamara (31654230),Alvin Kamara,31654230,RB/FLEX,8600,NYG@NO 12/17/2023 01:00PM ET,NO,20.16
WR,A.J. Brown (31654604),A.J. Brown,31654604,WR/FLEX,8600,PHI@SEA 12/18/2023 08:15PM ET,PHI,21.37
WR,Stefon Diggs (31654606),Stefon Diggs,31654606,WR/FLEX,8400,DAL@BUF 12/17/2023 04:25PM ET,BUF,19.25
WR,Keenan Allen (31654608),Keenan Allen,31654608,WR/FLEX,8200,LAC@LV 12/14/2023 08:15PM ET,LAC,22.68
QB,Josh Allen (31654123),Josh Allen,31654123,QB,8200,DAL@BUF 12/17/2023 04:25PM ET,BUF,25.87
WR,Justin Jefferson (31654610),Justin Jefferson,31654610,WR/FLEX,8100,MIN@CIN 12/16/2023 01:00PM ET,MIN,20.63
QB,Jalen Hurts (31654124),Jalen Hurts,31654124,QB,8100,PHI@SEA 12/18/2023 08:15PM ET,PHI,24.28
QB,Dak Prescott (31654125),Dak Prescott,31654125,QB,8000,DAL@BUF 12/17/2023 04:25PM ET,DAL,22.44
WR,Amon-Ra St. Brown (31654612),Amon-Ra St. Brown,31654612,WR/FLEX,7900,DEN@DET 12/16/2023 08:15PM ET,DET,20.63
QB,Tua Tagovailoa (31654126),Tua Tagovailoa,31654126,QB,7900,NYJ@MIA 12/17/2023 01:00PM ET,MIA,19.18
WR,Cooper Kupp (31654614),Cooper Kupp,31654614,WR/FLEX,7800,WAS@LAR 12/17/2023 04:05PM ET,LAR,13.86
QB,Patrick Mahomes (31654127),Patrick Mahomes,31654127,QB,7800,KC@NE 12/17/2023 01:00PM ET,KC,19.84
WR,Deebo Samuel (31654616),Deebo Samuel,31654616,WR/FLEX,7700,SF@ARI 12/17/2023 04:05PM ET,SF,18
QB,Lamar Jackson (31654128),Lamar Jackson,31654128,QB,7700,BAL@JAX 12/17/2023 08:20PM ET,BAL,21.14
WR,Ja'Marr Chase (31654618),Ja'Marr Chase,31654618,WR/FLEX,7600,MIN@CIN 12/16/2023 01:00PM ET,CIN,19.56
TE,Travis Kelce (31655206),Travis Kelce,31655206,TE/FLEX,7600,KC@NE 12/17/2023 01:00PM ET,KC,17.05
WR,Mike Evans (31654620),Mike Evans,31654620,WR/FLEX,7500,TB@GB 12/17/2023 01:00PM ET,TB,17.92
RB,Kyren Williams (31654232),Kyren Williams,31654232,RB/FLEX,7500,WAS@LAR 12/17/2023 04:05PM ET,LAR,21.78
WR,Davante Adams (31654624),Davante Adams,31654624,WR/FLEX,7400,LAC@LV 12/14/2023 08:15PM ET,LV,14.59
WR,Jaylen Waddle (31654622),Jaylen Waddle,31654622,WR/FLEX,7400,NYJ@MIA 12/17/2023 01:00PM ET,MIA,14.18
WR,Michael Pittman Jr. (31654628),Michael Pittman Jr.,31654628,WR/FLEX,7300,PIT@IND 12/16/2023 04:30PM ET,IND,17.72
RB,Saquon Barkley (31654234),Saquon Barkley,31654234,RB/FLEX,7300,NYG@NO 12/17/2023 01:00PM ET,NYG,17.06
WR,Puka Nacua (31654626),Puka Nacua,31654626,WR/FLEX,7300,WAS@LAR 12/17/2023 04:05PM ET,LAR,18.26
QB,Justin Herbert (31654129),Justin Herbert,31654129,QB,7200,LAC@LV 12/14/2023 08:15PM ET,LAC,19.32
RB,De'Von Achane (31654236),De'Von Achane,31654236,RB/FLEX,7200,NYJ@MIA 12/17/2023 01:00PM ET,MIA,21.51
WR,Brandon Aiyuk (31654632),Brandon Aiyuk,31654632,WR/FLEX,7200,SF@ARI 12/17/2023 04:05PM ET,SF,17.61
WR,DeVonta Smith (31654630),DeVonta Smith,31654630,WR/FLEX,7200,PHI@SEA 12/18/2023 08:15PM ET,PHI,15.44
RB,Austin Ekeler (31654238),Austin Ekeler,31654238,RB/FLEX,7100,LAC@LV 12/14/2023 08:15PM ET,LAC,15.61
RB,Raheem Mostert (31654240),Raheem Mostert,31654240,RB/FLEX,7100,NYJ@MIA 12/17/2023 01:00PM ET,MIA,18.8
WR,Chris Olave (31654634),Chris Olave,31654634,WR/FLEX,7100,NYG@NO 12/17/2023 01:00PM ET,NO,15.37
QB,C.J. Stroud (31654130),C.J. Stroud,31654130,QB,7100,HOU@TEN 12/17/2023 01:00PM ET,HOU,20.73
QB,Justin Fields (31654131),Justin Fields,31654131,QB,7000,CHI@CLE 12/17/2023 01:00PM ET,CHI,19.8
RB,Jonathan Taylor (31654244),Jonathan Taylor,31654244,RB/FLEX,7000,PIT@IND 12/16/2023 04:30PM ET,IND,14.44
RB,Rachaad White (31654242),Rachaad White,31654242,RB/FLEX,7000,TB@GB 12/17/2023 01:00PM ET,TB,16.26
WR,Nico Collins (31654636),Nico Collins,31654636,WR/FLEX,7000,HOU@TEN 12/17/2023 01:00PM ET,HOU,17.37
WR,DJ Moore (31654638),DJ Moore,31654638,WR/FLEX,6900,CHI@CLE 12/17/2023 01:00PM ET,CHI,18.78
RB,Derrick Henry (31654248),Derrick Henry,31654248,RB/FLEX,6900,HOU@TEN 12/17/2023 01:00PM ET,TEN,15.68
RB,Isiah Pacheco (31654246),Isiah Pacheco,31654246,RB/FLEX,6900,KC@NE 12/17/2023 01:00PM ET,KC,14.98
RB,Bijan Robinson (31654252),Bijan Robinson,31654252,RB/FLEX,6800,ATL@CAR 12/17/2023 01:00PM ET,ATL,15.15
QB,Brock Purdy (31654132),Brock Purdy,31654132,QB,6800,SF@ARI 12/17/2023 04:05PM ET,SF,21.07
RB,Travis Etienne Jr. (31654250),Travis Etienne Jr.,31654250,RB/FLEX,6800,BAL@JAX 12/17/2023 08:20PM ET,JAX,17.68
RB,Jahmyr Gibbs (31654256),Jahmyr Gibbs,31654256,RB/FLEX,6700,DEN@DET 12/16/2023 08:15PM ET,DET,16.54
RB,Tony Pollard (31654254),Tony Pollard,31654254,RB/FLEX,6700,DAL@BUF 12/17/2023 04:25PM ET,DAL,14.7
RB,Josh Jacobs (31654258),Josh Jacobs,31654258,RB/FLEX,6600,LAC@LV 12/14/2023 08:15PM ET,LV,14.47
RB,Joe Mixon (31654260),Joe Mixon,31654260,RB/FLEX,6600,MIN@CIN 12/16/2023 01:00PM ET,CIN,15.35
QB,Trevor Lawrence (31654133),Trevor Lawrence,31654133,QB,6600,BAL@JAX 12/17/2023 08:20PM ET,JAX,18.64
QB,Jared Goff (31654134),Jared Goff,31654134,QB,6500,DEN@DET 12/16/2023 08:15PM ET,DET,18.39
RB,Aaron Jones (31654262),Aaron Jones,31654262,RB/FLEX,6500,TB@GB 12/17/2023 01:00PM ET,GB,11.06
WR,DK Metcalf (31654640),DK Metcalf,31654640,WR/FLEX,6500,PHI@SEA 12/18/2023 08:15PM ET,SEA,15.45
RB,David Montgomery (31654266),David Montgomery,31654266,RB/FLEX,6400,DEN@DET 12/16/2023 08:15PM ET,DET,16.96
WR,Courtland Sutton (31654642),Courtland Sutton,31654642,WR/FLEX,6400,DEN@DET 12/16/2023 08:15PM ET,DEN,13.84
RB,Breece Hall (31654264),Breece Hall,31654264,RB/FLEX,6400,NYJ@MIA 12/17/2023 01:00PM ET,NYJ,14.92
QB,Kyler Murray (31654135),Kyler Murray,31654135,QB,6400,SF@ARI 12/17/2023 04:05PM ET,ARI,18.29
WR,Adam Thielen (31654644),Adam Thielen,31654644,WR/FLEX,6300,ATL@CAR 12/17/2023 01:00PM ET,CAR,15.64
QB,Sam Howell (31654136),Sam Howell,31654136,QB,6300,WAS@LAR 12/17/2023 04:05PM ET,WAS,20.61
RB,James Cook (31654268),James Cook,31654268,RB/FLEX,6300,DAL@BUF 12/17/2023 04:25PM ET,BUF,14.23
RB,Zack Moss (31654272),Zack Moss,31654272,RB/FLEX,6200,PIT@IND 12/16/2023 04:30PM ET,IND,13.36
QB,Jordan Love (31654137),Jordan Love,31654137,QB,6200,TB@GB 12/17/2023 01:00PM ET,GB,18.90
WR,DeAndre Hopkins (31654648),DeAndre Hopkins,31654648,WR/FLEX,6200,HOU@TEN 12/17/2023 01:00PM ET,TEN,14.82
RB,Kenneth Walker III (31654270),Kenneth Walker III,31654270,RB/FLEX,6200,PHI@SEA 12/18/2023 08:15PM ET,SEA,13.64
WR,Calvin Ridley (31654646),Calvin Ridley,31654646,WR/FLEX,6200,BAL@JAX 12/17/2023 08:20PM ET,JAX,13.36
RB,D'Andre Swift (31654274),D'Andre Swift,31654274,RB/FLEX,6100,PHI@SEA 12/18/2023 08:15PM ET,PHI,13.38
WR,Rashee Rice (31654650),Rashee Rice,31654650,WR/FLEX,6100,KC@NE 12/17/2023 01:00PM ET,KC,12.54
WR,Amari Cooper (31654652),Amari Cooper,31654652,WR/FLEX,6000,CHI@CLE 12/17/2023 01:00PM ET,CLE,12.66
QB,Russell Wilson (31654139),Russell Wilson,31654139,QB,6000,DEN@DET 12/16/2023 08:15PM ET,DEN,17.99
TE,Sam LaPorta (31655208),Sam LaPorta,31655208,TE/FLEX,6000,DEN@DET 12/16/2023 08:15PM ET,DET,13.82
QB,Matthew Stafford (31654138),Matthew Stafford,31654138,QB,6000,WAS@LAR 12/17/2023 04:05PM ET,LAR,17.44
RB,Brian Robinson Jr. (31654276),Brian Robinson Jr.,31654276,RB/FLEX,6000,WAS@LAR 12/17/2023 04:05PM ET,WAS,13.84
WR,Tee Higgins (31654656),Tee Higgins,31654656,WR/FLEX,5900,MIN@CIN 12/16/2023 01:00PM ET,CIN,10.07
RB,Javonte Williams (31654280),Javonte Williams,31654280,RB/FLEX,5900,DEN@DET 12/16/2023 08:15PM ET,DEN,11.25
WR,Chris Godwin (31654654),Chris Godwin,31654654,WR/FLEX,5900,TB@GB 12/17/2023 01:00PM ET,TB,11.09
QB,Geno Smith (31654140),Geno Smith,31654140,QB,5900,PHI@SEA 12/18/2023 08:15PM ET,SEA,16.3
RB,Rhamondre Stevenson (31654278),Rhamondre Stevenson,31654278,RB/FLEX,5900,KC@NE 12/17/2023 01:00PM ET,NE,12.22
