Player,Position,Team,Opponent,Salary,% ownership,Notes
Tyjae Spears,RB,TEN,JAX,"$4,600",1.80%,
Rams,DST,LA,SF,"$2,600",1.80%,
Browns,DST,CLE,CIN,"$3,200",1.80%,
Jordan Addison,WR,MIN,DET,"$5,300",1.80%,
Sam Darnold,QB,SF,LA,"$5,200",1.70%,
Buccaneers,DST,TB,CAR,"$3,900",1.70%,
Brandon Johnson,WR,DEN,LV,"$3,400",1.50%,
Sam Howell,QB,WAS,DAL,"$5,200",1.50%,
Giants,DST,NYG,PHI,"$2,300",1.50%,
Michael Wilson,WR,ARI,SEA,"$4,400",1.40%,
Blaine Gabbert,QB,KC,LAC,"$4,800",1.40%,
Tutu Atwell,WR,LA,SF,"$3,300",1.30%,
Tyler Conklin,TE,NYJ,NE,"$3,300",1.20%,
Jonnu Smith,TE,ATL,NO,"$2,900",1.20%,
Brian Robinson Jr.,RB,WAS,DAL,"$5,400",1.20%,
Xavier Gipson,WR,NYJ,NE,"$3,500",1.20%,
Ben Skowronek,WR,LA,SF,"$3,000",1.20%,
Ty Chandler,RB,MIN,DET,"$5,600",1.10%,
Bo Melton,WR,GB,CHI,"$3,600",1.10%,
Christian Watson,WR,GB,CHI,"$4,700",1.00%,
Bears,DST,CHI,GB,"$2,900",1.00%,
Kalif Raymond,WR,DET,MIN,"$3,000",1.00%,
Darren Waller,TE,NYG,PHI,"$4,700",0.90%,
Greg Dortch,WR,ARI,SEA,"$4,600",0.90%,
David Bell,WR,CLE,CIN,"$3,400",0.90%,
Darius Slayton,WR,NYG,PHI,"$4,000",0.90%,
Kyle Pitts,TE,ATL,NO,"$4,000",0.80%,
Jared Goff,QB,DET,MIN,"$6,700",0.80%,
Jerry Jeudy,WR,DEN,LV,"$5,100",0.70%,
Baker Mayfield,QB,TB,CAR,"$6,200",0.70%,
49ers,DST,SF,LA,"$3,800",0.60%,
Derrick Henry,RB,TEN,JAX,"$6,400",0.60%,
Cade Otton,TE,TB,CAR,"$3,100",0.60%,
Quentin Johnston,WR,LAC,KC,"$4,000",0.60%,
Bryce Young,QB,CAR,TB,"$4,800",0.60%,
Bailey Zappe,QB,NE,NYJ,"$4,700",0.60%,
DeVonta Smith,WR,PHI,NYG,"$6,900",0.60%,
Roschon Johnson,RB,CHI,GB,"$5,100",0.60%,
Parker Washington,WR,JAX,TEN,"$3,400",0.60%,
Antonio Gibson,RB,WAS,DAL,"$4,800",0.60%,
Jaleel McLaughlin,RB,DEN,LV,"$4,400",0.60%,
Puka Nacua,WR,LA,SF,"$7,800",0.60%,
David Montgomery,RB,DET,MIN,"$6,400",0.50%,
Marquise Goodwin,WR,CLE,CIN,"$3,000",0.50%,
Courtland Sutton,WR,DEN,LV,"$6,400",0.50%,
Romeo Doubs,WR,GB,CHI,"$5,800",0.50%,
