ID,Player,Team,Opp,Pos,Salary,Own %
30169708,Luke Farrell,JAC,IND,TE,"$2,500",0.00%
30169678,Ko Kieft,TB,DET,TE,"$2,500",0.00%
30169680,David Wells,TB,DET,TE,"$2,500",0.00%
30169760,Drew Sample,CIN,SEA,TE,"$2,500",0.00%
30169762,Mitchell Wilcox,CIN,SEA,TE,"$2,500",0.00%
30169746,Jordan Akins,CLE,SF,TE,"$2,500",0.00%
30169748,Harrison Bryant,CLE,SF,TE,"$2,500",0.00%
30169720,Jimmy Graham,NO,HOU,TE,"$2,500",0.00%
30169710,Brenton Strange,JAC,IND,TE,"$2,500",0.00%
30169694,Ian Thomas,CAR,MIA,TE,"$2,500",0.00%
30169798,MyCole Pruitt,ATL,WAS,TE,"$2,500",0.00%
30169700,Julian Hill,MIA,CAR,TE,"$2,500",0.00%
30169686,Brock Wright,DET,TB,TE,"$2,500",0.00%
30169648,Geoff Swaim,ARI,LAR,TE,"$2,500",0.00%
30169772,Johnny Mundt,MIN,CHI,TE,"$2,500",0.00%
30169738,Ross Dwelley,SF,CLE,TE,"$2,500",0.00%
30169702,Tyler Kroft,MIA,CAR,TE,"$2,500",0.00%
30169664,Pharaoh Brown,NE,LV,TE,"$2,500",0.00%
30169632,Jack Stoll,PHI,NYJ,TE,"$2,500",0.00%
30169638,Jeremy Ruckert,NYJ,PHI,TE,"$2,500",0.00%
30169788,Cole Turner,WAS,ATL,TE,"$2,500",0.00%
30169640,C.J. Uzomah,NYJ,PHI,TE,"$2,500",0.00%
30169672,Jesper Horsted,LV,NE,TE,"$2,500",0.00%
30169654,Brycen Hopkins,LAR,ARI,TE,"$2,500",0.00%
30169656,Davis Allen,LAR,ARI,TE,"$2,500",0.00%
30169634,Grant Calcaterra,PHI,NYJ,TE,"$2,500",0.00%
