PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Seattle Seahawks,D,SEA,ARI,-373,44.50,-7.50,26.00,3200,7.82,2.4,21.82
Austin Ekeler,RB,LAC,KC,194,48.00,5.50,21.25,8600,19.95,2.3,20.57
Josh Jacobs,RB,LV,CHI,-147,37.50,-2.50,20.00,7400,14.43,2.0,20.53
Kenneth Walker,RB,SEA,ARI,-373,44.50,-7.50,26.00,7000,14.01,2.0,17.17
Bijan Robinson,RB,ATL,TB,119,37.50,2.50,17.50,7300,16.16,2.2,16.43
Isiah Pacheco,RB,KC,LAC,-242,48.00,-5.50,26.75,6100,12.84,2.1,14.87
Stefon Diggs,WR,BUF,NE,-402,40.00,-8.00,24.00,8900,18.05,2.0,14.86
Jahmyr Gibbs,RB,DET,BAL,129,43.00,3.00,20.00,6300,14.05,2.2,14.26
Marquise Brown,WR,ARI,SEA,296,44.50,7.50,18.50,5300,12.64,2.4,13.56
Rachaad White,RB,TB,ATL,-143,37.50,-2.50,20.00,5100,11.03,2.2,13.36
Javonte Williams,RB,DEN,GB,100,45.00,1.50,21.75,5400,12.01,2.2,13.05
Cooper Kupp,WR,LAR,PIT,-174,44.00,-3.50,23.75,9500,19.43,2.1,12.62
Jaxon Smith-Njigba,WR,SEA,ARI,-373,44.50,-7.50,26.00,3900,10.29,2.6,12.23
Jerome Ford,RB,CLE,IND,-179,40.50,-3.50,22.00,5100,10.47,2.1,12.11
Amari Cooper,WR,CLE,IND,-179,40.50,-3.50,22.00,6100,13.70,2.3,10.85
Tyler Lockett,WR,SEA,ARI,-373,44.50,-7.50,26.00,6000,12.69,2.1,10.78
Amon-Ra St. Brown,WR,DET,BAL,129,43.00,3.00,20.00,8000,17.05,2.1,10.67
Keenan Allen,WR,LAC,KC,194,48.00,5.50,21.25,8600,17.17,2.0,10.33
Patrick Mahomes,QB,KC,LAC,-242,48.00,-5.50,26.75,8300,22.68,2.7,10.00
Denver Broncos,D,DEN,GB,100,45.00,1.50,21.75,2600,5.65,2.2,9.57
Terry McLaurin,WR,WAS,NYG,-148,37.50,-3.00,20.25,5400,12.38,2.3,9.56
Najee Harris,RB,PIT,LAR,145,44.00,3.50,20.25,5200,10.76,2.1,9.45
Aaron Jones,RB,GB,DEN,-119,45.00,-1.50,23.25,6800,12.88,1.9,9.43
Rhamondre Stevenson,RB,NE,BUF,315,40.00,8.00,16.00,5600,11.14,2.0,9.37
Elijah Moore,WR,CLE,IND,-179,40.50,-3.50,22.00,4200,9.85,2.3,9.33
Davante Adams,WR,LV,CHI,-147,37.50,-2.50,20.00,8200,16.33,2.0,9.20
Lamar Jackson,QB,BAL,DET,-155,43.00,-3.00,23.00,7600,21.46,2.8,9.10
George Pickens,WR,PIT,LAR,145,44.00,3.50,20.25,5500,12.26,2.2,9.04
Geno Smith,QB,SEA,ARI,-373,44.50,-7.50,26.00,6000,18.17,3.0,8.79
Drake London,WR,ATL,TB,119,37.50,2.50,17.50,5100,12.18,2.4,8.74
DK Metcalf,WR,SEA,ARI,-373,44.50,-7.50,26.00,6800,13.65,2.0,8.64
