Player,Position,Team,Opponent,Salary,% ownership,Notes
Hunter Henry,TE,NE,LV,"$4,400",1.60%,
Jaxon Smith-Njigba,WR,SEA,CIN,"$3,600",1.50%,
Raiders,DST,LV,NE,"$3,900",1.50%,
Brock Purdy,QB,SF,CLE,"$5,600",1.30%,
Mac Jones,QB,NE,LV,"$5,000",1.30%,
DeVonta Smith,WR,PHI,NYJ,"$7,000",1.30%,
Tyler Allgeier,RB,ATL,WAS,"$4,600",1.20%,
Kirk Cousins,QB,MIN,CHI,"$7,100",1.20%,
Allen Lazard,WR,NYJ,PHI,"$3,700",1.20%,
Jets,DST,NYJ,PHI,"$2,800",1.20%,
Commanders,DST,WAS,ATL,"$3,100",1.10%,
Braxton Berrios,WR,MIA,CAR,"$3,400",1.10%,
Alec Pierce,WR,IND,JAX,"$3,300",1.10%,
Jahan Dotson,WR,WAS,ATL,"$4,700",1.10%,
Saints,DST,NO,HOU,"$3,300",1.00%,
Emari Demercado,RB,ARI,LA,"$4,900",1.00%,
DJ Chark Jr.,WR,CAR,MIA,"$4,000",1.00%,
Jamal Agnew,WR,JAX,IND,"$3,000",1.00%,
Tutu Atwell,WR,LA,ARI,"$5,100",0.90%,
Rams,DST,LA,ARI,"$3,700",0.90%,
George Kittle,TE,SF,CLE,"$5,000",0.80%,
Bryce Young,QB,CAR,MIA,"$5,100",0.80%,
Darnell Mooney,WR,CHI,MIN,"$3,700",0.60%,
Panthers,DST,CAR,MIA,"$2,000",0.60%,
Zach Wilson,QB,NYJ,PHI,"$4,900",0.60%,
Jared Goff,QB,DET,TB,"$6,400",0.60%,
Elijah Moore,WR,CLE,SF,"$4,300",0.60%,
Hayden Hurst,TE,CAR,MIA,"$3,100",0.60%,
David Njoku,TE,CLE,SF,"$3,700",0.60%,
Colts,DST,IND,JAX,"$3,200",0.50%,
Antonio Gibson,RB,WAS,ATL,"$4,500",0.50%,
Jerome Ford,RB,CLE,SF,"$5,200",0.50%,
Zack Moss,RB,IND,JAX,"$6,200",0.50%,
Jonathan Taylor,RB,IND,JAX,"$6,600",0.40%,
P.J. Walker,QB,CLE,SF,"$4,000",0.30%,
Cam Akers,RB,MIN,CHI,"$4,800",0.30%,
Devin Singletary,RB,HOU,NO,"$4,300",0.30%,
Kareem Hunt,RB,CLE,SF,"$4,700",0.30%,
Keaontay Ingram,RB,ARI,LA,"$4,500",0.30%,
Kenneth Gainwell,RB,PHI,NYJ,"$4,600",0.30%,
Zach Charbonnet,RB,SEA,CIN,"$4,200",0.30%,
Amari Cooper,WR,CLE,SF,"$5,800",0.30%,
Jameson Williams,WR,DET,TB,"$3,600",0.30%,
Josh Reynolds,WR,DET,TB,"$4,500",0.30%,
Noah Brown,WR,HOU,NO,"$3,000",0.30%,
Taysom Hill,TE,NO,HOU,"$3,800",0.30%,
