Player,Position,Team,Opponent,Salary,% ownership,Notes
Kyren Williams,RB,LA,ARI,"$6,500",22.80%,
Josh Jacobs,RB,LV,NE,"$7,000",22.70%,
Ja'Marr Chase,WR,CIN,SEA,"$8,300",22.70%,
Christian Kirk,WR,JAX,IND,"$5,400",21.30%,
Chuba Hubbard,RB,CAR,MIA,"$4,300",21.30%,
Alvin Kamara,RB,NO,HOU,"$6,800",20.60%,
Joe Mixon,RB,CIN,SEA,"$6,300",20.50%,
Travis Etienne Jr.,RB,JAX,IND,"$7,100",20.20%,
Tyreek Hill,WR,MIA,CAR,"$9,300",17.90%,
Evan Engram,TE,JAX,IND,"$4,500",17.60%,
Raheem Mostert,RB,MIA,CAR,"$6,400",17.20%,
Davante Adams,WR,LV,NE,"$8,100",16.90%,
David Montgomery,RB,DET,TB,"$7,300",16.10%,
Cooper Kupp,WR,LA,ARI,"$9,000",15.90%,
Marquise Brown,WR,ARI,LA,"$5,300",15.60%,
Michael Pittman Jr.,WR,IND,JAX,"$6,300",14.60%,
Bijan Robinson,RB,ATL,WAS,"$7,200",13.70%,
Zach Ertz,TE,ARI,LA,"$3,600",13.60%,
D'Onta Foreman,RB,CHI,MIN,"$4,400",13.60%,
Rhamondre Stevenson,RB,NE,LV,"$5,400",13.50%,
49ers,DST,SF,CLE,"$4,000",13.30%,
Michael Thomas,WR,NO,HOU,"$4,900",13.00%,
Joe Burrow,QB,CIN,SEA,"$6,300",12.90%,
Josh Downs,WR,IND,JAX,"$4,100",12.70%,
Matthew Stafford,QB,LA,ARI,"$6,100",11.90%,
Kendrick Bourne,WR,NE,LV,"$4,200",11.60%,
Jordan Addison,WR,MIN,CHI,"$5,700",11.60%,
Robert Woods,WR,HOU,NO,"$3,800",11.40%,
Logan Thomas,TE,WAS,ATL,"$3,500",11.40%,
Trevor Lawrence,QB,JAX,IND,"$6,500",11.20%,
Adam Thielen,WR,CAR,MIA,"$5,900",11.10%,
Jakobi Meyers,WR,LV,NE,"$5,800",11.10%,
Dolphins,DST,MIA,CAR,"$3,500",10.60%,
Kyle Pitts,TE,ATL,WAS,"$3,500",10.50%,
Tua Tagovailoa,QB,MIA,CAR,"$7,600",9.90%,
Rachaad White,RB,TB,DET,"$5,500",9.90%,
D'Andre Swift,RB,PHI,NYJ,"$6,100",9.30%,
Dalton Schultz,TE,HOU,NO,"$3,600",9.00%,
Vikings,DST,MIN,CHI,"$3,000",8.70%,
Dameon Pierce,RB,HOU,NO,"$5,100",8.50%,
Lions,DST,DET,TB,"$2,700",8.20%,
Eagles,DST,PHI,NYJ,"$3,800",8.10%,
Nico Collins,WR,HOU,NO,"$5,600",8.00%,
Jonnu Smith,TE,ATL,WAS,"$3,400",7.50%,
T.J. Hockenson,TE,MIN,CHI,"$6,600",7.30%,
K.J. Osborn,WR,MIN,CHI,"$4,400",7.20%,
Patriots,DST,NE,LV,"$2,600",6.80%,
Christian McCaffrey,RB,SF,CLE,"$9,500",6.80%,
Gardner Minshew II,QB,IND,JAX,"$5,000",6.70%,
Puka Nacua,WR,LA,ARI,"$8,000",6.60%,
DeVante Parker,WR,NE,LV,"$3,500",6.50%,
Justin Fields,QB,CHI,MIN,"$7,300",6.40%,
Tyler Lockett,WR,SEA,CIN,"$5,700",6.30%,
Buccaneers,DST,TB,DET,"$2,300",6.10%,
Calvin Ridley,WR,JAX,IND,"$6,700",5.70%,
Bears,DST,CHI,MIN,"$2,500",5.50%,
Mike Evans,WR,TB,DET,"$7,100",5.50%,
Sam Howell,QB,WAS,ATL,"$5,500",5.20%,
Alexander Mattison,RB,MIN,CHI,"$5,600",4.90%,
Joshua Dobbs,QB,ARI,LA,"$5,200",4.90%,
Baker Mayfield,QB,TB,DET,"$5,400",4.80%,
Bengals,DST,CIN,SEA,"$2,900",4.70%,
Garrett Wilson,WR,NYJ,PHI,"$6,000",4.70%,
Chris Olave,WR,NO,HOU,"$6,600",4.70%,
Cardinals,DST,ARI,LA,"$2,400",4.70%,
Breece Hall,RB,NYJ,PHI,"$6,000",4.70%,
Jalen Hurts,QB,PHI,NYJ,"$8,200",4.60%,
Curtis Samuel,WR,WAS,ATL,"$3,700",4.60%,
Browns,DST,CLE,SF,"$2,200",4.60%,
A.J. Brown,WR,PHI,NYJ,"$7,800",4.60%,
DJ Moore,WR,CHI,MIN,"$6,500",4.60%,
Drake London,WR,ATL,WAS,"$4,800",4.50%,
Texans,DST,HOU,NO,"$2,900",4.50%,
Kenneth Walker III,RB,SEA,CIN,"$6,700",4.40%,
Brandon Powell,WR,MIN,CHI,"$3,000",4.10%,
Sam LaPorta,TE,DET,TB,"$5,600",4.00%,
Jimmy Garoppolo,QB,LV,NE,"$5,300",3.90%,
Falcons,DST,ATL,WAS,"$3,600",3.90%,
Amon-Ra St. Brown,WR,DET,TB,"$7,700",3.80%,
Brandon Aiyuk,WR,SF,CLE,"$6,200",3.80%,
John Metchie III,WR,HOU,NO,"$3,100",3.70%,
Terry McLaurin,WR,WAS,ATL,"$5,500",3.70%,
Geno Smith,QB,SEA,CIN,"$5,700",3.50%,
Jonathan Mingo,WR,CAR,MIA,"$3,500",3.40%,
Derek Carr,QB,NO,HOU,"$5,300",3.40%,
Tyler Higbee,TE,LA,ARI,"$4,000",3.20%,
Salvon Ahmed,RB,MIA,CAR,"$4,500",3.00%,
Deebo Samuel,WR,SF,CLE,"$6,100",3.00%,
Tyler Boyd,WR,CIN,SEA,"$4,600",3.00%,
Michael Wilson,WR,ARI,LA,"$3,800",2.90%,
C.J. Stroud,QB,HOU,NO,"$6,000",2.90%,
Durham Smythe,TE,MIA,CAR,"$2,900",2.80%,
Chris Godwin,WR,TB,DET,"$6,900",2.70%,
Mike Gesicki,TE,NE,LV,"$2,600",2.70%,
Tee Higgins,WR,CIN,SEA,"$6,400",2.70%,
Cole Kmet,TE,CHI,MIN,"$4,600",2.60%,
Rashid Shaheed,WR,NO,HOU,"$3,700",2.60%,
Irv Smith Jr.,TE,CIN,SEA,"$3,000",2.50%,
Dallas Goedert,TE,PHI,NYJ,"$4,800",2.40%,
Rondale Moore,WR,ARI,LA,"$3,500",2.30%,
Cade Otton,TE,TB,DET,"$3,200",2.10%,
Tyler Conklin,TE,NYJ,PHI,"$3,300",1.90%,
Seahawks,DST,SEA,CIN,"$3,000",1.90%,
Kylen Granson,TE,IND,JAX,"$2,900",1.90%,
Brian Robinson Jr.,RB,WAS,ATL,"$5,700",1.90%,
Jaylen Waddle,WR,MIA,CAR,"$7,600",1.80%,
Jaguars,DST,JAX,IND,"$3,400",1.70%,
Desmond Ridder,QB,ATL,WAS,"$5,000",1.60%,
DK Metcalf,WR,SEA,CIN,"$6,800",1.60%,
