PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Michael Burton,RB,DEN,KC,272,47.00,7.00,20.00,4000,0.00,0.0,0
Andrew DePaola,TE,MIN,GB,-126,42.00,-1.50,21.75,2500,0.00,0.0,0
Josh Johnson,QB,BAL,ARI,-471,44.50,-9.50,27.00,4000,0.00,0.0,0
Tyler Ott,TE,BAL,ARI,-471,44.50,-9.50,27.00,2500,0.00,0.0,0
Patrick Ricard,RB,BAL,ARI,-471,44.50,-9.50,27.00,4000,0.00,0.0,0
Sean Clifford,QB,GB,MIN,106,42.00,1.50,20.25,4500,0.00,0.0,0
Ben Sims,TE,GB,MIN,106,42.00,1.50,20.25,2500,0.00,0.0,0
J.K. Dobbins,RB,BAL,ARI,-471,44.50,-9.50,27.00,4000,0.00,0.0,0
Tyler Huntley,QB,BAL,ARI,-471,44.50,-9.50,27.00,4700,0.00,0.0,0
Tyler Davis,TE,GB,MIN,106,42.00,1.50,20.25,2500,0.00,0.0,0
Tylan Wallace,WR,BAL,ARI,-471,44.50,-9.50,27.00,3000,0.00,0.0,0
Jaylon Moore,WR,JAX,PIT,-133,41.00,-2.50,21.75,3000,0.00,0.0,0
David Durden,WR,DAL,LAR,-275,45.50,-6.50,26.00,3000,0.00,0.0,0
Jarrett Stidham,QB,DEN,KC,272,47.00,7.00,20.00,4600,0.00,0.0,0
Sam Darnold,QB,SF,CIN,-202,43.50,-4.50,24.00,4300,0.00,0.0,0
Brevin Jordan,TE,HOU,CAR,-182,43.50,-3.50,23.50,2500,0.00,0.0,0
Andrew Beck,RB,HOU,CAR,-182,43.50,-3.50,23.50,4000,0.00,0.0,0
Dare Ogunbowale,RB,HOU,CAR,-182,43.50,-3.50,23.50,4000,0.08,0.0,0.00
Cal Adomitis,TE,CIN,SF,167,43.50,4.50,19.50,2500,0.00,0.0,0
Charlie Jones,WR,CIN,SF,167,43.50,4.50,19.50,3000,0.00,0.0,0
Chase Brown,RB,CIN,SF,167,43.50,4.50,19.50,4000,0.00,0.0,0
Robert Woods,WR,HOU,CAR,-182,43.50,-3.50,23.50,4000,0.00,0.0,0
Case Keenum,QB,HOU,CAR,-182,43.50,-3.50,23.50,4000,0.00,0.0,0
Brandon Allen,QB,SF,CIN,-202,43.50,-4.50,24.00,4000,0.00,0.0,0
Ihmir Smith-Marsette,WR,CAR,HOU,150,43.50,3.50,20.00,3000,0.00,0.0,0
Jake Browning,QB,CIN,SF,167,43.50,4.50,19.50,4600,0.00,0.0,0
Deebo Samuel,WR,SF,CIN,-202,43.50,-4.50,24.00,6100,0.00,0.0,0
Giovanni Ricci,TE,CAR,HOU,150,43.50,3.50,20.00,2500,0.00,0.0,0
Stephen Sullivan,TE,CAR,HOU,150,43.50,3.50,20.00,2500,0.00,0.0,0
Charlie Woerner,TE,SF,CIN,-202,43.50,-4.50,24.00,2500,0.00,0.0,0
Laviska Shenault,WR,CAR,HOU,150,43.50,3.50,20.00,3000,0.00,0.0,0
Danny Gray,WR,SF,CIN,-202,43.50,-4.50,24.00,3000,0.00,0.0,0
Ian Thomas,TE,CAR,HOU,150,43.50,3.50,20.00,2500,0.00,0.0,0
Cameron Latu,TE,SF,CIN,-202,43.50,-4.50,24.00,2500,0.00,0.0,0
Brayden Willis,TE,SF,CIN,-202,43.50,-4.50,24.00,2500,0.00,0.0,0
Davis Mills,QB,HOU,CAR,-182,43.50,-3.50,23.50,4500,0.00,0.0,0
Troy Hairston,RB,HOU,CAR,-182,43.50,-3.50,23.50,4000,0.00,0.0,0
Kyren Williams,RB,LAR,DAL,222,45.50,6.50,19.50,4000,0.00,0.0,0
James Winchester,TE,KC,DEN,-347,47.00,-7.00,27.00,2500,0.00,0.0,0
Austin Trammell,WR,LAR,DAL,222,45.50,6.50,19.50,3000,0.00,0.0,0
Mitchell Fraboni,TE,DEN,KC,272,47.00,7.00,20.00,2500,0.00,0.0,0
Greg Dulcich,TE,DEN,KC,272,47.00,7.00,20.00,2500,0.00,0.0,0
Jalen Virgil,WR,DEN,KC,272,47.00,7.00,20.00,3000,0.00,0.0,0
Hunter Long,TE,LAR,DAL,222,45.50,6.50,19.50,2500,0.00,0.0,0
Nate Adkins,TE,DEN,KC,272,47.00,7.00,20.00,2500,0.00,0.0,0
Brett Rypien,QB,LAR,DAL,222,45.50,6.50,19.50,4600,0.00,0.0,0
Blaine Gabbert,QB,KC,DEN,-347,47.00,-7.00,27.00,4600,0.00,0.0,0
John Stephens,WR,DAL,LAR,-275,45.50,-6.50,26.00,3000,0.00,0.0,0
Richie James,WR,KC,DEN,-347,47.00,-7.00,27.00,3000,0.00,0.0,0
Jesse Matthews,WR,HOU,CAR,-182,43.50,-3.50,23.50,3000,0.00,0.0,0
Jalen Brooks,WR,DAL,LAR,-275,45.50,-6.50,26.00,3000,0.00,0.0,0
