PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
DeVonta Smith,WR,PHI,WAS,-327,43.50,-7.00,25.25,6700,13.43,2.0,5.64
Chuba Hubbard,RB,CAR,HOU,150,43.50,3.50,20.00,4800,9.25,1.9,5.56
Brandon Aiyuk,WR,SF,CIN,-202,43.50,-4.50,24.00,7000,13.79,2.0,5.50
Calvin Ridley,WR,JAX,PIT,-133,41.00,-2.50,21.75,5800,12.18,2.1,5.48
Dallas Goedert,TE,PHI,WAS,-327,43.50,-7.00,25.25,4600,10.70,2.3,5.40
Trevor Lawrence,QB,JAX,PIT,-133,41.00,-2.50,21.75,6200,18.54,3.0,5.36
Jaylen Waddle,WR,MIA,NE,-455,47.00,-9.50,28.25,7500,14.33,1.9,5.30
Christian Kirk,WR,JAX,PIT,-133,41.00,-2.50,21.75,5900,12.37,2.1,5.28
Logan Thomas,TE,WAS,PHI,255,43.50,7.00,18.25,3400,8.19,2.4,5.20
Mark Andrews,TE,BAL,ARI,-471,44.50,-9.50,27.00,6400,12.56,2.0,5.12
Rondale Moore,WR,ARI,BAL,360,44.50,9.50,17.50,3400,8.32,2.5,5.11
T.J. Hockenson,TE,MIN,GB,-126,42.00,-1.50,21.75,6200,13.17,2.1,5.07
