PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
New England Patriots,D,NE,WAS,-150,41.00,-2.50,21.75,2900,7.39,2.6,30.94
Alvin Kamara,RB,NO,CHI,-413,41.00,-8.50,24.75,8100,18.80,2.3,24.87
Bijan Robinson,RB,ATL,MIN,-188,37.50,-3.50,20.50,6100,14.63,2.4,21.00
New York Giants,D,NYG,LV,109,37.50,1.50,18.00,2300,6.96,3.0,17.43
Jalen Hurts,QB,PHI,DAL,-164,47.00,-3.00,25.00,8000,23.09,2.9,14.93
Devin Singletary,RB,HOU,TB,-153,40.00,-3.00,21.50,4300,9.81,2.3,14.65
Rachaad White,RB,TB,HOU,128,40.00,3.00,18.50,5600,12.08,2.2,13.81
Michael Thomas,WR,NO,CHI,-413,41.00,-8.50,24.75,4700,12.49,2.7,13.63
Green Bay Packers,D,GB,LAR,-167,38.50,-3.00,20.75,2800,7.19,2.6,13.22
Jonathan Taylor,RB,IND,CAR,-137,44.00,-2.50,23.25,6400,13.47,2.1,13.17
Chris Olave,WR,NO,CHI,-413,41.00,-8.50,24.75,6300,14.46,2.3,12.93
D'Andre Swift,RB,PHI,DAL,-164,47.00,-3.00,25.00,6600,13.31,2.0,12.78
Houston Texans,D,HOU,TB,-153,40.00,-3.00,21.50,3000,6.97,2.3,12.62
Wan'Dale Robinson,WR,NYG,LV,109,37.50,1.50,18.00,3500,9.94,2.8,12.32
Amari Cooper,WR,CLE,ARI,-508,38.50,-10.00,24.25,6100,14.18,2.3,12.18
Josh Jacobs,RB,LV,NYG,-129,37.50,-1.50,19.50,6900,12.67,1.8,12.08
Cooper Kupp,WR,LAR,GB,140,38.50,3.00,17.75,8500,17.92,2.1,11.82
A.J. Brown,WR,PHI,DAL,-164,47.00,-3.00,25.00,8600,16.66,1.9,11.67
Chuba Hubbard,RB,CAR,IND,114,44.00,2.50,20.75,5000,10.69,2.1,11.52
Jerome Ford,RB,CLE,ARI,-508,38.50,-10.00,24.25,5300,10.88,2.1,11.30
Adam Thielen,WR,CAR,IND,114,44.00,2.50,20.75,7500,15.43,2.1,10.87
Zay Flowers,WR,BAL,SEA,-272,44.50,-6.00,25.25,5700,12.35,2.2,10.70
Tony Pollard,RB,DAL,PHI,137,47.00,3.00,22.00,6800,13.59,2.0,10.66
CeeDee Lamb,WR,DAL,PHI,137,47.00,3.00,22.00,8200,16.27,2.0,10.51
Davante Adams,WR,LV,NYG,-129,37.50,-1.50,19.50,8100,16.77,2.1,10.35
Saquon Barkley,RB,NYG,LV,109,37.50,1.50,18.00,7900,14.33,1.8,10.23
Rhamondre Stevenson,RB,NE,WAS,-150,41.00,-2.50,21.75,5400,10.71,2.0,10.00
Elijah Moore,WR,CLE,ARI,-508,38.50,-10.00,24.25,3900,9.40,2.4,9.71
Michael Pittman,WR,IND,CAR,-137,44.00,-2.50,23.25,6600,13.74,2.1,9.70
Demario Douglas,WR,NE,WAS,-150,41.00,-2.50,21.75,4000,10.02,2.5,9.69
Aaron Jones,RB,GB,LAR,-167,38.50,-3.00,20.75,6200,12.09,2.0,9.16
Terry McLaurin,WR,WAS,NE,126,41.00,2.50,19.25,5600,12.64,2.3,9.10
JuJu Smith-Schuster,WR,NE,WAS,-150,41.00,-2.50,21.75,3100,7.83,2.5,8.09
David Njoku,TE,CLE,ARI,-508,38.50,-10.00,24.25,3800,9.85,2.6,7.97
Josh Downs,WR,IND,CAR,-137,44.00,-2.50,23.25,5200,11.27,2.2,7.82
Mac Jones,QB,NE,WAS,-150,41.00,-2.50,21.75,4900,12.89,2.6,7.72
K.J. Osborn,WR,MIN,ATL,156,37.50,3.50,17.00,4600,10.71,2.3,7.36
DeVonta Smith,WR,PHI,DAL,-164,47.00,-3.00,25.00,7100,13.38,1.9,7.34
Noah Brown,WR,HOU,TB,-153,40.00,-3.00,21.50,3100,7.74,2.5,7.24
Kyle Pitts,TE,ATL,MIN,-188,37.50,-3.50,20.50,4100,9.67,2.4,7.19
Keaontay Ingram,RB,ARI,CLE,382,38.50,10.00,14.25,4300,9.00,2.1,7.19
Baker Mayfield,QB,TB,HOU,128,40.00,3.00,18.50,5200,15.57,3.0,7.13
Lamar Jackson,QB,BAL,SEA,-272,44.50,-6.00,25.25,8200,20.41,2.5,6.99
T.J. Hockenson,TE,MIN,ATL,156,37.50,3.50,17.00,5200,11.06,2.1,6.94
DJ Moore,WR,CHI,NO,321,41.00,8.50,16.25,5900,12.42,2.1,6.92
Kenneth Walker,RB,SEA,BAL,220,44.50,6.00,19.25,7000,12.49,1.8,6.52
Logan Thomas,TE,WAS,NE,126,41.00,2.50,19.25,3500,8.31,2.4,6.48
Derek Carr,QB,NO,CHI,-413,41.00,-8.50,24.75,5700,15.99,2.8,6.44
Puka Nacua,WR,LAR,GB,140,38.50,3.00,17.75,7400,13.67,1.9,6.32
Michael Gallup,WR,DAL,PHI,137,47.00,3.00,22.00,3600,8.19,2.3,6.30
Dallas Goedert,TE,PHI,DAL,-164,47.00,-3.00,25.00,4800,10.32,2.2,6.27
Jordan Addison,WR,MIN,ATL,156,37.50,3.50,17.00,6000,12.00,2.0,6.21
Trey McBride,TE,ARI,CLE,382,38.50,10.00,14.25,3700,8.29,2.2,6.20
Marquise Brown,WR,ARI,CLE,382,38.50,10.00,14.25,5400,11.62,2.2,6.16
Jakobi Meyers,WR,LV,NYG,-129,37.50,-1.50,19.50,6400,12.36,1.9,6.08
Dak Prescott,QB,DAL,PHI,137,47.00,3.00,22.00,6500,16.50,2.5,6.06
Jayden Reed,WR,GB,LAR,-167,38.50,-3.00,20.75,3600,8.18,2.3,5.84
Kareem Hunt,RB,CLE,ARI,-508,38.50,-10.00,24.25,5500,10.20,1.9,5.76
Atlanta Falcons,D,ATL,MIN,-188,37.50,-3.50,20.50,3700,7.74,2.1,5.70
Darrell Henderson,RB,LAR,GB,140,38.50,3.00,17.75,5100,9.04,1.8,5.69
Chris Godwin,WR,TB,HOU,128,40.00,3.00,18.50,7000,12.98,1.9,5.49
Mark Andrews,TE,BAL,SEA,-272,44.50,-6.00,25.25,6800,11.94,1.8,5.42
Luke Musgrave,TE,GB,LAR,-167,38.50,-3.00,20.75,3300,7.34,2.2,5.27
Taylor Heinicke,QB,ATL,MIN,-188,37.50,-3.50,20.50,5000,14.38,2.9,5.26
Nico Collins,WR,HOU,TB,-153,40.00,-3.00,21.50,5800,10.30,1.8,5.23
Bryce Young,QB,CAR,IND,114,44.00,2.50,20.75,5100,14.06,2.8,5.18
Deshaun Watson,QB,CLE,ARI,-508,38.50,-10.00,24.25,5400,14.94,2.8,5.06
Gardner Minshew,QB,IND,CAR,-137,44.00,-2.50,23.25,5200,14.06,2.7,5.05
Christian Watson,WR,GB,LAR,-167,38.50,-3.00,20.75,4900,9.47,1.9,5.02
Jake Ferguson,TE,DAL,PHI,137,47.00,3.00,22.00,4000,8.41,2.1,4.96
Alexander Mattison,RB,MIN,ATL,156,37.50,3.50,17.00,5400,9.10,1.7,4.96
Jonnu Smith,TE,ATL,MIN,-188,37.50,-3.50,20.50,3400,7.08,2.1,4.84
Jonathan Mingo,WR,CAR,IND,114,44.00,2.50,20.75,3400,7.28,2.1,4.83
Tyler Lockett,WR,SEA,BAL,220,44.50,6.00,19.25,6200,11.21,1.8,4.80
DK Metcalf,WR,SEA,BAL,220,44.50,6.00,19.25,6900,12.06,1.8,4.73
Dalton Schultz,TE,HOU,TB,-153,40.00,-3.00,21.50,4200,7.69,1.8,4.70
DJ Chark,WR,CAR,IND,114,44.00,2.50,20.75,3700,7.83,2.1,4.65
Roschon Johnson,RB,CHI,NO,321,41.00,8.50,16.25,4500,7.77,1.7,4.65
Cole Kmet,TE,CHI,NO,321,41.00,8.50,16.25,3900,7.67,2.0,4.60
Mike Evans,WR,TB,HOU,128,40.00,3.00,18.50,7300,12.36,1.7,4.57
Odell Beckham,WR,BAL,SEA,-272,44.50,-6.00,25.25,3800,7.59,2.0,4.50
Rondale Moore,WR,ARI,CLE,382,38.50,10.00,14.25,3200,7.13,2.2,4.48
Gus Edwards,RB,BAL,SEA,-272,44.50,-6.00,25.25,5900,9.18,1.6,4.34
Hunter Henry,TE,NE,WAS,-150,41.00,-2.50,21.75,3600,7.38,2.1,4.33
Michael Mayer,TE,LV,NYG,-129,37.50,-1.50,19.50,2800,5.59,2.0,4.28
Aidan O'Connell,QB,LV,NYG,-129,37.50,-1.50,19.50,4500,11.50,2.6,4.21
Jahan Dotson,WR,WAS,NE,126,41.00,2.50,19.25,5000,9.48,1.9,4.11
Tank Dell,WR,HOU,TB,-153,40.00,-3.00,21.50,5300,9.81,1.9,4.11
Sam Howell,QB,WAS,NE,126,41.00,2.50,19.25,5800,14.32,2.5,4.09
Kylen Granson,TE,IND,CAR,-137,44.00,-2.50,23.25,2700,6.41,2.4,4.09
Daniel Bellinger,TE,NYG,LV,109,37.50,1.50,18.00,2500,4.81,1.9,4.09
Geno Smith,QB,SEA,BAL,220,44.50,6.00,19.25,6000,15.93,2.7,3.97
Daniel Jones,QB,NYG,LV,109,37.50,1.50,18.00,5600,14.65,2.6,3.94
Romeo Doubs,WR,GB,LAR,-167,38.50,-3.00,20.75,5100,9.21,1.8,3.94
Jaxon Smith-Njigba,WR,SEA,BAL,220,44.50,6.00,19.25,4300,8.34,1.9,3.86
Brandin Cooks,WR,DAL,PHI,137,47.00,3.00,22.00,4400,8.45,1.9,3.82
New Orleans Saints,D,NO,CHI,-413,41.00,-8.50,24.75,4100,8.13,2.0,3.78
Los Angeles Rams,D,LAR,GB,140,38.50,3.00,17.75,2600,5.90,2.3,3.70
Jordan Love,QB,GB,LAR,-167,38.50,-3.00,20.75,5500,13.87,2.5,3.64
C.J. Stroud,QB,HOU,TB,-153,40.00,-3.00,21.50,6200,15.50,2.5,3.55
Tyler Allgeier,RB,ATL,MIN,-188,37.50,-3.50,20.50,4700,7.79,1.7,3.49
Rashid Shaheed,WR,NO,CHI,-413,41.00,-8.50,24.75,4500,8.39,1.9,3.42
Cade Otton,TE,TB,HOU,128,40.00,3.00,18.50,3000,5.64,1.9,3.40
Ezekiel Elliott,RB,NE,WAS,-150,41.00,-2.50,21.75,4400,7.24,1.7,3.27
Justice Hill,RB,BAL,SEA,-272,44.50,-6.00,25.25,4600,7.40,1.6,3.22
Van Jefferson,WR,ATL,MIN,-188,37.50,-3.50,20.50,3600,6.70,1.9,3.06
