PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Christian McCaffrey,RB,SF,ARI,-780,48.00,-12.50,30.25,9300,23.02,2.5,27.35
Kyren Williams,RB,LAR,WAS,-291,50.50,-6.50,28.50,7500,18.65,2.5,22.69
Green Bay Packers,D,GB,TB,-182,42.50,-3.50,23.00,3000,7.20,2.4,18.45
Ezekiel Elliott,RB,NE,KC,327,37.00,8.50,14.25,5800,13.97,2.4,15.14
Garrett Wilson,WR,NYJ,MIA,357,37.00,9.50,13.75,5800,14.06,2.4,15.08
Cleveland Browns,D,CLE,CHI,-162,38.50,-3.00,20.75,3500,7.74,2.2,14.25
Breece Hall,RB,NYJ,MIA,357,37.00,9.50,13.75,6400,14.96,2.3,13.83
Bijan Robinson,RB,ATL,CAR,-163,33.50,-3.00,18.25,6800,14.53,2.1,13.39
Tony Pollard,RB,DAL,BUF,112,50.00,2.00,24.00,6700,14.19,2.1,12.89
Terry McLaurin,WR,WAS,LAR,235,50.50,6.50,22.00,5600,13.36,2.4,12.74
Saquon Barkley,RB,NYG,NO,197,39.00,5.50,16.75,7300,15.51,2.1,11.95
Cooper Kupp,WR,LAR,WAS,-291,50.50,-6.50,28.50,7800,14.83,1.9,11.93
Puka Nacua,WR,LAR,WAS,-291,50.50,-6.50,28.50,7300,14.51,2.0,11.85
Rachaad White,RB,TB,GB,152,42.50,3.50,19.50,7000,14.41,2.1,11.54
Josh Allen,QB,BUF,DAL,-132,50.00,-2.00,26.00,8200,23.46,2.9,11.52
Alvin Kamara,RB,NO,NYG,-244,39.00,-5.50,22.25,8600,15.63,1.8,11.33
Brandon Aiyuk,WR,SF,ARI,-780,48.00,-12.50,30.25,7200,14.60,2.0,11.24
James Cook,RB,BUF,DAL,-132,50.00,-2.00,26.00,6300,13.82,2.2,11.10
Carolina Panthers,D,CAR,ATL,136,33.50,3.00,15.25,2800,6.90,2.5,11.00
James Conner,RB,ARI,SF,546,48.00,12.50,17.75,5700,13.32,2.3,10.99
Jerome Ford,RB,CLE,CHI,-162,38.50,-3.00,20.75,5500,11.62,2.1,10.99
Amari Cooper,WR,CLE,CHI,-162,38.50,-3.00,20.75,6000,13.27,2.2,10.98
Marquise Brown,WR,ARI,SF,546,48.00,12.50,17.75,5100,11.64,2.3,10.93
Rashee Rice,WR,KC,NE,-420,37.00,-8.50,22.75,6100,13.81,2.3,10.79
Stefon Diggs,WR,BUF,DAL,-132,50.00,-2.00,26.00,8400,15.33,1.8,10.79
Matthew Stafford,QB,LAR,WAS,-291,50.50,-6.50,28.50,6000,17.19,2.9,10.65
Antonio Gibson,RB,WAS,LAR,235,50.50,6.50,22.00,5200,14.63,2.8,10.61
CeeDee Lamb,WR,DAL,BUF,112,50.00,2.00,24.00,9200,17.49,1.9,10.57
Deebo Samuel,WR,SF,ARI,-780,48.00,-12.50,30.25,7700,14.36,1.9,10.08
Demario Douglas,WR,NE,KC,327,37.00,8.50,14.25,3900,8.83,2.3,9.98
Tyreek Hill,WR,MIA,NYJ,-472,37.00,-9.50,23.25,9900,18.13,1.8,9.93
Chris Olave,WR,NO,NYG,-244,39.00,-5.50,22.25,7100,13.85,2.0,9.63
Brock Purdy,QB,SF,ARI,-780,48.00,-12.50,30.25,6800,18.39,2.7,8.15
Los Angeles Rams,D,LAR,WAS,-291,50.50,-6.50,28.50,3100,6.48,2.1,8.05
Derrick Henry,RB,TEN,HOU,-196,37.00,-3.50,20.25,6900,12.52,1.8,7.98
DeAndre Hopkins,WR,TEN,HOU,-196,37.00,-3.50,20.25,6200,11.86,1.9,7.85
Jonathan Mingo,WR,CAR,ATL,136,33.50,3.00,15.25,3900,8.77,2.3,7.77
Logan Thomas,TE,WAS,LAR,235,50.50,6.50,22.00,3700,8.78,2.4,7.50
Travis Kelce,TE,KC,NE,-420,37.00,-8.50,22.75,7600,14.90,2.0,7.49
Chigoziem Okonkwo,TE,TEN,HOU,-196,37.00,-3.50,20.25,2900,6.94,2.4,7.46
Chuba Hubbard,RB,CAR,ATL,136,33.50,3.00,15.25,5600,11.31,2.0,7.43
Rashid Shaheed,WR,NO,NYG,-244,39.00,-5.50,22.25,4300,10.00,2.3,7.25
Jahan Dotson,WR,WAS,LAR,235,50.50,6.50,22.00,4700,10.14,2.2,7.19
DJ Moore,WR,CHI,CLE,134,38.50,3.00,17.75,6900,13.87,2.0,7.18
Trey McBride,TE,ARI,SF,546,48.00,12.50,17.75,5200,11.13,2.1,7.13
George Kittle,TE,SF,ARI,-780,48.00,-12.50,30.25,5800,11.85,2.0,6.97
Aaron Jones,RB,GB,TB,-182,42.50,-3.50,23.00,6500,13.66,2.1,6.83
Mike Evans,WR,TB,GB,152,42.50,3.50,19.50,7500,13.41,1.8,6.79
Jaylen Waddle,WR,MIA,NYJ,-472,37.00,-9.50,23.25,7400,13.69,1.9,6.73
Elijah Moore,WR,CLE,CHI,-162,38.50,-3.00,20.75,4500,8.80,2.0,6.66
Jordan Love,QB,GB,TB,-182,42.50,-3.50,23.00,6200,17.45,2.8,6.64
Drake London,WR,ATL,CAR,-163,33.50,-3.00,18.25,5400,10.89,2.0,6.63
Michael Wilson,WR,ARI,SF,546,48.00,12.50,17.75,3300,7.42,2.3,6.56
Patrick Mahomes,QB,KC,NE,-420,37.00,-8.50,22.75,7800,18.58,2.4,6.28
Jayden Reed,WR,GB,TB,-182,42.50,-3.50,23.00,4900,8.68,1.8,6.28
Chris Godwin,WR,TB,GB,152,42.50,3.50,19.50,5900,11.02,1.9,6.18
Sam Howell,QB,WAS,LAR,235,50.50,6.50,22.00,6300,16.62,2.6,6.16
Kyle Pitts,TE,ATL,CAR,-163,33.50,-3.00,18.25,4000,8.42,2.1,6.16
Houston Texans,D,HOU,TEN,163,37.00,3.50,16.75,3400,6.94,2.0,6.14
Rondale Moore,WR,ARI,SF,546,48.00,12.50,17.75,3400,7.06,2.1,5.77
New Orleans Saints,D,NO,NYG,-244,39.00,-5.50,22.25,3800,7.83,2.1,5.76
New York Jets,D,NYJ,MIA,357,37.00,9.50,13.75,2500,5.24,2.1,5.67
De'Von Achane,RB,MIA,NYJ,-472,37.00,-9.50,23.25,7200,13.18,1.8,5.61
Justin Fields,QB,CHI,CLE,134,38.50,3.00,17.75,7000,19.18,2.7,5.60
Raheem Mostert,RB,MIA,NYJ,-472,37.00,-9.50,23.25,7100,12.65,1.8,5.60
DJ Chark,WR,CAR,ATL,136,33.50,3.00,15.25,3300,7.15,2.2,5.58
Buffalo Bills,D,BUF,DAL,-132,50.00,-2.00,26.00,2400,5.43,2.3,5.44
Tucker Kraft,TE,GB,TB,-182,42.50,-3.50,23.00,3000,5.57,1.9,5.43
Wan'Dale Robinson,WR,NYG,NO,197,39.00,5.50,16.75,3700,6.87,1.9,5.42
Curtis Samuel,WR,WAS,LAR,235,50.50,6.50,22.00,4600,9.15,2.0,5.39
Dak Prescott,QB,DAL,BUF,112,50.00,2.00,24.00,8000,19.05,2.4,5.30
David Njoku,TE,CLE,CHI,-162,38.50,-3.00,20.75,4700,9.22,2.0,5.20
Trey Palmer,WR,TB,GB,152,42.50,3.50,19.50,3100,6.05,2.0,5.13
Jake Ferguson,TE,DAL,BUF,112,50.00,2.00,24.00,4800,9.33,1.9,5.07
Noah Brown,WR,HOU,TEN,163,37.00,3.50,16.75,5000,9.36,1.9,5.07
Romeo Doubs,WR,GB,TB,-182,42.50,-3.50,23.00,5300,9.59,1.8,4.71
Clyde Edwards-Helaire,RB,KC,NE,-420,37.00,-8.50,22.75,5000,9.08,1.8,4.67
Kyler Murray,QB,ARI,SF,546,48.00,12.50,17.75,6400,17.06,2.7,4.53
Demarcus Robinson,WR,LAR,WAS,-291,50.50,-6.50,28.50,3600,7.58,2.1,4.44
Dalton Kincaid,TE,BUF,DAL,-132,50.00,-2.00,26.00,5300,9.26,1.8,4.43
Cole Kmet,TE,CHI,CLE,134,38.50,3.00,17.75,4500,8.46,1.9,4.42
Darren Waller,TE,NYG,NO,197,39.00,5.50,16.75,4400,8.46,1.9,4.27
Cade Otton,TE,TB,GB,152,42.50,3.50,19.50,3200,6.34,2.0,4.24
Baker Mayfield,QB,TB,GB,152,42.50,3.50,19.50,5700,15.06,2.6,4.21
Adam Thielen,WR,CAR,ATL,136,33.50,3.00,15.25,6300,10.15,1.6,4.15
Zach Wilson,QB,NYJ,MIA,357,37.00,9.50,13.75,4900,13.93,2.8,4.06
Darius Slayton,WR,NYG,NO,197,39.00,5.50,16.75,3100,5.42,1.8,4.03
Derek Carr,QB,NO,NYG,-244,39.00,-5.50,22.25,5800,14.48,2.5,3.96
Bryce Young,QB,CAR,ATL,136,33.50,3.00,15.25,4800,12.93,2.7,3.95
Brandin Cooks,WR,DAL,BUF,112,50.00,2.00,24.00,5200,8.39,1.6,3.91
Joe Flacco,QB,CLE,CHI,-162,38.50,-3.00,20.75,5500,13.75,2.5,3.87
Kansas City Chiefs,D,KC,NE,-420,37.00,-8.50,22.75,3900,8.23,2.1,3.84
Atlanta Falcons,D,ATL,CAR,-163,33.50,-3.00,18.25,3600,7.82,2.2,3.78
Dawson Knox,TE,BUF,DAL,-132,50.00,-2.00,26.00,2700,4.89,1.8,3.78
Desmond Ridder,QB,ATL,CAR,-163,33.50,-3.00,18.25,5200,13.91,2.7,3.77
Tyler Conklin,TE,NYJ,MIA,357,37.00,9.50,13.75,3100,5.84,1.9,3.77
Tommy DeVito,QB,NYG,NO,197,39.00,5.50,16.75,5000,13.08,2.6,3.74
Robert Woods,WR,HOU,TEN,163,37.00,3.50,16.75,4200,7.19,1.7,3.66
Tyler Higbee,TE,LAR,WAS,-291,50.50,-6.50,28.50,3600,6.85,1.9,3.57
Gabe Davis,WR,BUF,DAL,-132,50.00,-2.00,26.00,5500,9.28,1.7,3.57
Dalton Schultz,TE,HOU,TEN,163,37.00,3.50,16.75,4900,9.52,1.9,3.54
Chicago Bears,D,CHI,CLE,134,38.50,3.00,17.75,3300,7.04,2.1,3.47
Devin Singletary,RB,HOU,TEN,163,37.00,3.50,16.75,5400,9.67,1.8,3.47
Jerick McKinnon,RB,KC,NE,-420,37.00,-8.50,22.75,5100,9.08,1.8,3.46
Dontayvion Wicks,WR,GB,TB,-182,42.50,-3.50,23.00,4000,6.61,1.7,3.37
Hunter Henry,TE,NE,KC,327,37.00,8.50,14.25,3200,4.87,1.5,3.28
John Metchie,WR,HOU,TEN,163,37.00,3.50,16.75,3200,5.21,1.6,3.18
Tua Tagovailoa,QB,MIA,NYJ,-472,37.00,-9.50,23.25,7900,16.71,2.1,3.12
Miami Dolphins,D,MIA,NYJ,-472,37.00,-9.50,23.25,4000,8.06,2.0,3.07
Will Levis,QB,TEN,HOU,-196,37.00,-3.50,20.25,5400,12.70,2.3,2.94
Treylon Burks,WR,TEN,HOU,-196,37.00,-3.50,20.25,3000,4.60,1.5,2.93
Marquez Valdes-Scantling,WR,KC,NE,-420,37.00,-8.50,22.75,3000,5.71,1.9,2.83
Tutu Atwell,WR,LAR,WAS,-291,50.50,-6.50,28.50,3500,5.61,1.6,2.64
Dallas Cowboys,D,DAL,BUF,112,50.00,2.00,24.00,3200,5.76,1.8,2.50
Jonnu Smith,TE,ATL,CAR,-163,33.50,-3.00,18.25,2800,3.97,1.4,2.47
Tyjae Spears,RB,TEN,HOU,-196,37.00,-3.50,20.25,4800,6.72,1.4,2.45
