Player,Position,Team,Opponent,Salary,% ownership,Notes
Jets,DST,NYJ,WAS,"$3,100",27.80%,
Garrett Wilson,WR,NYJ,WAS,"$5,800",26.70%,
Ty Chandler,RB,MIN,DET,"$5,600",26.00%,
Rachaad White,RB,TB,JAX,"$7,400",25.50%,
Justin Jefferson,WR,MIN,DET,"$8,100",25.30%,
Breece Hall,RB,NYJ,WAS,"$6,100",24.90%,
Trey McBride,TE,ARI,CHI,"$5,700",24.00%,
Jayden Reed,WR,GB,CAR,"$5,400",23.10%,
Chuba Hubbard,RB,CAR,GB,"$5,700",21.40%,
Nick Mullens,QB,MIN,DET,"$5,300",19.50%,
CeeDee Lamb,WR,DAL,MIA,"$9,200",19.40%,
Jonathan Taylor,RB,IND,ATL,"$7,200",19.30%,
Drake London,WR,ATL,IND,"$5,100",18.70%,
Justin Fields,QB,CHI,ARI,"$7,100",18.20%,
Devin Singletary,RB,HOU,CLE,"$5,500",18.10%,
Bijan Robinson,RB,ATL,IND,"$6,300",18.10%,
Amari Cooper,WR,CLE,HOU,"$6,400",16.40%,
David Njoku,TE,CLE,HOU,"$5,300",16.40%,
T.J. Hockenson,TE,MIN,DET,"$5,800",16.20%,
Travis Etienne Jr.,RB,JAX,TB,"$6,600",15.50%,
Tony Pollard,RB,DAL,MIA,"$6,700",14.90%,
Jonathan Mingo,WR,CAR,GB,"$3,600",14.70%,
DJ Moore,WR,CHI,ARI,"$6,900",13.10%,
Elijah Moore,WR,CLE,HOU,"$4,200",13.00%,
Chris Godwin,WR,TB,JAX,"$6,200",12.90%,
Cole Kmet,TE,CHI,ARI,"$4,400",12.50%,
Amon-Ra St. Brown,WR,DET,MIN,"$8,200",12.00%,
DeAndre Hopkins,WR,TEN,SEA,"$6,100",12.00%,
Tyler Lockett,WR,SEA,TEN,"$5,600",11.90%,
Buccaneers,DST,TB,JAX,"$2,600",11.80%,
Kyle Pitts,TE,ATL,IND,"$4,000",11.60%,
Jaxon Smith-Njigba,WR,SEA,TEN,"$4,500",11.60%,
Aaron Jones,RB,GB,CAR,"$6,400",11.60%,
Kenneth Walker III,RB,SEA,TEN,"$6,200",10.50%,
Michael Pittman Jr.,WR,IND,ATL,"$7,400",10.30%,
Evan Engram,TE,JAX,TB,"$5,400",10.20%,
Jake Ferguson,TE,DAL,MIA,"$4,900",10.10%,
Taylor Heinicke,QB,ATL,IND,"$4,800",9.70%,
Tyreek Hill,WR,MIA,DAL,"$9,600",9.70%,
Jerome Ford,RB,CLE,HOU,"$5,400",9.50%,
Bears,DST,CHI,ARI,"$2,800",9.50%,
Chig Okonkwo,TE,TEN,SEA,"$3,100",9.00%,
Calvin Ridley,WR,JAX,TB,"$6,300",8.70%,
DK Metcalf,WR,SEA,TEN,"$6,700",8.70%,
Tyler Conklin,TE,NYJ,WAS,"$3,200",8.10%,
Geno Smith,QB,SEA,TEN,"$5,800",7.90%,
Mike Evans,WR,TB,JAX,"$7,600",7.70%,
Dontayvion Wicks,WR,GB,CAR,"$4,300",7.30%,
Noah Brown,WR,HOU,CLE,"$5,200",7.10%,
Darnell Mooney,WR,CHI,ARI,"$3,300",6.80%,
Tucker Kraft,TE,GB,CAR,"$3,700",6.80%,
Browns,DST,CLE,HOU,"$3,400",6.60%,
Titans,DST,TEN,SEA,"$2,600",6.50%,
Seahawks,DST,SEA,TEN,"$3,200",6.50%,
Baker Mayfield,QB,TB,JAX,"$6,000",6.40%,
Joe Flacco,QB,CLE,HOU,"$5,500",6.20%,
Michael Wilson,WR,ARI,CHI,"$3,700",5.40%,
Jahmyr Gibbs,RB,DET,MIN,"$7,000",4.90%,
Panthers,DST,CAR,GB,"$2,400",4.80%,
Tyjae Spears,RB,TEN,SEA,"$4,700",4.70%,
Curtis Samuel,WR,WAS,NYJ,"$4,800",4.40%,
Derrick Henry,RB,TEN,SEA,"$6,800",4.10%,
Jordan Addison,WR,MIN,DET,"$6,000",4.00%,
Kyler Murray,QB,ARI,CHI,"$6,400",4.00%,
James Conner,RB,ARI,CHI,"$5,900",3.80%,
Trevor Siemian,QB,NYJ,WAS,"$4,700",3.70%,
Terry McLaurin,WR,WAS,NYJ,"$5,700",3.70%,
Trevor Lawrence,QB,JAX,TB,"$6,600",3.70%,
Cade Otton,TE,TB,JAX,"$3,300",3.50%,
Jonnu Smith,TE,ATL,IND,"$2,900",3.50%,
Dak Prescott,QB,DAL,MIA,"$7,900",3.20%,
D.J. Montgomery,WR,IND,ATL,"$3,300",3.20%,
Cardinals,DST,ARI,CHI,"$2,700",3.10%,
De'Von Achane,RB,MIA,DAL,"$7,100",3.10%,
Commanders,DST,WAS,NYJ,"$3,700",3.10%,
Gardner Minshew II,QB,IND,ATL,"$5,900",3.00%,
