Player,Position,Team,Opponent,Salary,% ownership,Notes
Zack Moss,RB,IND,TEN,"$4,600",52.30%,
Tyreek Hill,WR,MIA,WAS,"$9,600",27.80%,
Christian McCaffrey,RB,SF,PHI,"$9,000",27.70%,
Rachaad White,RB,TB,CAR,"$6,300",26.30%,
Falcons,DST,ATL,NYJ,"$3,400",20.60%,
Javonte Williams,RB,DEN,HOU,"$5,700",18.80%,
Michael Pittman Jr.,WR,IND,TEN,"$7,100",17.40%,
Rhamondre Stevenson,RB,NE,LAC,"$6,000",17.30%,
Jaylen Warren,RB,PIT,ARI,"$5,400",16.50%,
Josh Downs,WR,IND,TEN,"$5,100",15.80%,
Breece Hall,RB,NYJ,ATL,"$6,400",15.60%,
Brevin Jordan,TE,HOU,DEN,"$2,500",14.60%,
Courtland Sutton,WR,DEN,HOU,"$5,400",14.00%,
Juwan Johnson,TE,NO,DET,"$3,400",13.90%,
Buccaneers,DST,TB,CAR,"$3,600",13.60%,
Brock Purdy,QB,SF,PHI,"$6,100",13.60%,
Trey McBride,TE,ARI,PIT,"$4,900",13.10%,
Diontae Johnson,WR,PIT,ARI,"$5,000",12.50%,
David Njoku,TE,CLE,LA,"$4,100",12.40%,
Jahmyr Gibbs,RB,DET,NO,"$6,700",12.20%,
Terry McLaurin,WR,WAS,MIA,"$5,500",12.20%,
Russell Wilson,QB,DEN,HOU,"$5,700",11.70%,
Derrick Henry,RB,TEN,IND,"$6,800",11.70%,
Jerry Jeudy,WR,DEN,HOU,"$4,700",10.90%,
Amon-Ra St. Brown,WR,DET,NO,"$8,500",10.70%,
Deebo Samuel,WR,SF,PHI,"$6,200",10.70%,
Elijah Moore,WR,CLE,LA,"$3,500",10.40%,
Logan Thomas,TE,WAS,MIA,"$3,600",9.70%,
Jalen Hurts,QB,PHI,SF,"$8,200",9.60%,
Alvin Kamara,RB,NO,DET,"$8,200",9.50%,
Tua Tagovailoa,QB,MIA,WAS,"$7,900",9.50%,
Adam Thielen,WR,CAR,TB,"$6,600",8.90%,
Jaylen Waddle,WR,MIA,WAS,"$7,600",8.70%,
Nico Collins,WR,HOU,DEN,"$6,800",8.60%,
George Pickens,WR,PIT,ARI,"$4,800",8.40%,
Tank Dell,WR,HOU,DEN,"$7,400",8.30%,
Dolphins,DST,MIA,WAS,"$3,900",8.30%,
Najee Harris,RB,PIT,ARI,"$5,200",8.30%,
Cade Otton,TE,TB,CAR,"$3,200",8.10%,
Keenan Allen,WR,LAC,NE,"$9,000",8.10%,
Panthers,DST,CAR,TB,"$2,500",8.00%,
Jerome Ford,RB,CLE,LA,"$5,500",7.90%,
