Player,Position,Team,Opponent,Salary,% ownership,Notes
Jonathan Taylor,RB,IND,TB,"$6,900",32.90%,
Trey McBride,TE,ARI,LA,"$4,700",29.30%,
Dalton Kincaid,TE,BUF,PHI,"$5,300",22.60%,
Michael Pittman Jr.,WR,IND,TB,"$6,800",21.30%,
Christian Kirk,WR,JAX,HOU,"$5,700",21.00%,
Patriots,DST,NE,NYG,"$3,200",19.60%,
Tank Dell,WR,HOU,JAX,"$6,900",18.30%,
Evan Engram,TE,JAX,HOU,"$4,200",17.90%,
Chiefs,DST,KC,LV,"$3,100",16.90%,
James Conner,RB,ARI,LA,"$5,900",16.70%,
Travis Etienne Jr.,RB,JAX,HOU,"$7,100",16.70%,
Rachaad White,RB,TB,IND,"$6,100",16.50%,
Javonte Williams,RB,DEN,CLE,"$5,700",15.50%,
Demario Douglas,WR,NE,NYG,"$4,400",15.50%,
Saquon Barkley,RB,NYG,NE,"$7,300",15.40%,
Derrick Henry,RB,TEN,CAR,"$6,400",14.90%,
Trevor Lawrence,QB,JAX,HOU,"$6,400",14.90%,
Diontae Johnson,WR,PIT,CIN,"$4,900",14.80%,
A.J. Brown,WR,PHI,BUF,"$9,000",14.30%,
Calvin Ridley,WR,JAX,HOU,"$6,000",13.70%,
Isiah Pacheco,RB,KC,LV,"$6,200",13.60%,
Bijan Robinson,RB,ATL,NO,"$6,500",13.50%,
Jalen Hurts,QB,PHI,BUF,"$8,300",13.50%,
Rhamondre Stevenson,RB,NE,NYG,"$5,800",13.10%,
Cooper Kupp,WR,LAR,ARI,"$8,000",12.90%,
Travis Kelce,TE,KC,LV,"$8,200",12.10%,
Josh Downs,WR,IND,TB,"$4,800",11.70%,
D'Andre Swift,RB,PHI,BUF,"$6,800",11.70%,
Puka Nacua,WR,LA,ARI,"$7,600",11.50%,
Baker Mayfield,QB,TB,IND,"$5,500",11.10%,
Rashid Shaheed,WR,NO,ATL,"$4,300",10.40%,
Jaylen Warren,RB,PIT,CIN,"$5,400",10.10%,
Nico Collins,WR,HOU,JAX,"$6,400",9.90%,
Gardner Minshew II,QB,IND,TB,"$5,100",9.80%,
Chris Olave,WR,NO,ATL,"$6,600",9.50%,
Josh Jacobs,RB,LV,KC,"$6,700",9.40%,
Broncos,DST,DEN,CLE,"$3,200",9.30%,
Chris Godwin,WR,TB,IND,"$6,300",9.20%,
Justin Watson,WR,KC,LV,"$3,000",8.90%,
Steelers,DST,PIT,CIN,"$3,700",8.80%,
Mike Evans,WR,TB,IND,"$7,400",8.70%,
DeVonta Smith,WR,PHI,BUF,"$7,100",8.60%,
Marquise Brown,WR,ARI,LA,"$5,200",8.50%,
Cade Otton,TE,TB,IND,"$3,200",8.40%,
JuJu Smith-Schuster,WR,NE,NYG,"$3,000",7.90%,
Patrick Mahomes,QB,KC,LV,"$8,200",7.80%,
Stefon Diggs,WR,BUF,PHI,"$8,800",7.70%,
Titans,DST,TEN,CAR,"$3,400",7.70%,
Robert Woods,WR,HOU,JAX,"$4,000",7.40%,
Drake London,WR,ATL,NO,"$5,000",7.40%,
Josh Allen,QB,BUF,PHI,"$8,100",7.20%,
Kyler Murray,QB,ARI,LA,"$6,900",7.20%,
George Pickens,WR,PIT,CIN,"$4,700",7.20%,
Joe Mixon,RB,CIN,PIT,"$6,300",6.50%,
Zay Jones,WR,JAX,HOU,"$3,900",6.30%,
Khalil Shakir,WR,BUF,PHI,"$3,600",5.90%,
David Njoku,TE,CLE,DEN,"$4,100",5.70%,
Rondale Moore,WR,ARI,LA,"$3,600",5.60%,
Kyren Williams,RB,LA,ARI,"$6,600",5.50%,
Matthew Stafford,QB,LA,ARI,"$6,300",5.20%,
Alvin Kamara,RB,NO,ATL,"$8,400",5.10%,
Dalton Schultz,TE,HOU,JAX,"$5,400",5.00%,
Eagles,DST,PHI,BUF,"$2,900",4.90%,
Jerome Ford,RB,CLE,DEN,"$5,600",4.80%,
Desmond Ridder,QB,ATL,NO,"$4,800",4.70%,
Davante Adams,WR,LV,KC,"$7,800",4.50%,
Rams,DST,LA,ARI,"$2,800",4.50%,
DeAndre Hopkins,WR,TEN,CAR,"$6,100",4.40%,
C.J. Stroud,QB,HOU,JAX,"$7,700",4.20%,
Panthers,DST,CAR,TEN,"$3,100",3.90%,
Hunter Henry,TE,NE,NYG,"$3,400",3.90%,
Falcons,DST,ATL,NO,"$2,900",3.80%,
Tyler Boyd,WR,CIN,PIT,"$4,600",3.70%,
Courtland Sutton,WR,DEN,CLE,"$5,400",3.50%,
Trenton Irwin,WR,CIN,PIT,"$3,200",3.40%,
Trey Palmer,WR,TB,IND,"$3,100",3.30%,
Greg Dortch,WR,ARI,LA,"$3,300",3.30%,
Ja'Marr Chase,WR,CIN,PIT,"$8,300",3.20%,
Najee Harris,RB,PIT,CIN,"$4,900",3.20%,
Jonnu Smith,TE,ATL,NO,"$3,400",3.10%,
Adam Thielen,WR,CAR,TEN,"$7,300",3.00%,
Wan'Dale Robinson,WR,NYG,NE,"$3,800",3.00%,
Browns,DST,CLE,DEN,"$3,800",3.00%,
Elijah Moore,WR,CLE,DEN,"$3,700",2.90%,
Bills,DST,BUF,PHI,"$2,700",2.70%,
Chuba Hubbard,RB,CAR,TEN,"$4,800",2.70%,
Texans,DST,HOU,JAX,"$2,600",2.70%,
Bengals,DST,CIN,PIT,"$3,300",2.60%,
A.T. Perry,WR,NO,ATL,"$3,200",2.50%,
Cardinals,DST,ARI,LA,"$3,000",2.20%,
