Player,Position,Team,Opponent,Salary,% ownership,Notes
Kenneth Walker III,RB,SEA,ARI,"$7,000",27.60%,
Josh Jacobs,RB,LV,CHI,"$7,400",24.00%,
Isiah Pacheco,RB,KC,LAC,"$6,100",23.00%,
Keenan Allen,WR,LAC,KC,"$8,600",21.10%,
Rachaad White,RB,TB,ATL,"$5,100",19.80%,
Jerome Ford,RB,CLE,IND,"$5,100",19.60%,
Cooper Kupp,WR,LA,PIT,"$9,500",19.60%,
Zay Flowers,WR,BAL,DET,"$5,700",19.60%,
Travis Kelce,TE,KC,LAC,"$8,000",19.50%,
Marquise Brown,WR,ARI,SEA,"$5,300",18.50%,
Joshua Palmer,WR,LAC,KC,"$4,800",16.90%,
Luke Musgrave,TE,GB,DEN,"$3,300",16.80%,
Stefon Diggs,WR,BUF,NE,"$8,900",16.20%,
Terry McLaurin,WR,WAS,NYG,"$5,400",15.10%,
Jahmyr Gibbs,RB,DET,BAL,"$6,300",14.50%,
Zach Evans,RB,LA,PIT,"$4,000",13.50%,
Mark Andrews,TE,BAL,DET,"$5,700",13.40%,
Amon-Ra St. Brown,WR,DET,BAL,"$8,000",13.30%,
Kendrick Bourne,WR,NE,BUF,"$4,400",13.30%,
Tyler Lockett,WR,SEA,ARI,"$6,000",13.20%,
Chiefs,DST,KC,LAC,"$2,400",12.80%,
Patrick Mahomes,QB,KC,LAC,"$8,300",12.30%,
Roschon Johnson,RB,CHI,LV,"$4,600",11.60%,
Giants,DST,NYG,WAS,"$3,000",11.20%,
Puka Nacua,WR,LA,PIT,"$7,600",11.20%,
Geno Smith,QB,SEA,ARI,"$6,000",10.60%,
Mike Evans,WR,TB,ATL,"$7,100",10.40%,
Christian Watson,WR,GB,DEN,"$5,600",10.20%,
Bijan Robinson,RB,ATL,TB,"$7,300",10.20%,
Elijah Moore,WR,CLE,IND,"$4,200",10.20%,
Ravens,DST,BAL,DET,"$2,500",10.00%,
Davante Adams,WR,LV,CHI,"$8,200",9.90%,
Lamar Jackson,QB,BAL,DET,"$7,600",9.80%,
Wan'Dale Robinson,WR,NYG,WAS,"$3,800",9.70%,
Curtis Samuel,WR,WAS,NYG,"$4,000",9.60%,
Austin Ekeler,RB,LAC,KC,"$8,600",9.00%,
Rhamondre Stevenson,RB,NE,BUF,"$5,600",8.70%,
Russell Wilson,QB,DEN,GB,"$5,400",8.70%,
Seahawks,DST,SEA,ARI,"$3,200",8.60%,
Jordan Love,QB,GB,DEN,"$5,800",8.50%,
Michael Pittman Jr.,WR,IND,CLE,"$6,600",8.40%,
Drake London,WR,ATL,TB,"$5,100",8.00%,
Zach Ertz,TE,ARI,SEA,"$3,200",8.00%,
Amari Cooper,WR,CLE,IND,"$6,100",7.80%,
Jakobi Meyers,WR,LV,CHI,"$6,200",7.60%,
Courtland Sutton,WR,DEN,GB,"$5,200",7.60%,
Brian Robinson Jr.,RB,WAS,NYG,"$5,800",7.60%,
David Njoku,TE,CLE,IND,"$3,400",7.40%,
DK Metcalf,WR,SEA,ARI,"$6,800",7.30%,
Baker Mayfield,QB,TB,ATL,"$5,300",7.30%,
Sam LaPorta,TE,DET,BAL,"$5,300",7.00%,
Browns,DST,CLE,IND,"$3,300",6.80%,
Jaylen Warren,RB,PIT,LA,"$5,000",6.50%,
D'Onta Foreman,RB,CHI,LV,"$4,800",6.30%,
Commanders,DST,WAS,NYG,"$3,500",6.30%,
Logan Thomas,TE,WAS,NYG,"$3,500",6.30%,
Diontae Johnson,WR,PIT,LA,"$5,000",6.20%,
Dawson Knox,TE,BUF,NE,"$2,900",6.00%,
Sam Howell,QB,WAS,NYG,"$5,500",5.80%,
Daniel Jones,QB,NYG,WAS,"$5,600",5.70%,
Romeo Doubs,WR,GB,DEN,"$4,900",5.60%,
Aaron Jones,RB,GB,DEN,"$6,800",5.50%,
Matthew Stafford,QB,LA,PIT,"$6,500",5.30%,
Bills,DST,BUF,NE,"$4,200",5.30%,
George Pickens,WR,PIT,LA,"$5,500",5.20%,
Kenny Pickett,QB,PIT,LA,"$5,000",5.10%,
Chris Godwin,WR,TB,ATL,"$6,900",4.60%,
Rashee Rice,WR,KC,LAC,"$4,700",4.40%,
Patriots,DST,NE,BUF,"$2,100",4.40%,
Saquon Barkley,RB,NYG,WAS,"$8,100",4.40%,
Tyler Higbee,TE,LA,PIT,"$3,700",4.30%,
James Cook,RB,BUF,NE,"$6,400",4.30%,
Jaxon Smith-Njigba,WR,SEA,ARI,"$3,900",3.90%,
Steelers,DST,PIT,LA,"$3,100",3.80%,
Broncos,DST,DEN,GB,"$2,600",3.70%,
Najee Harris,RB,PIT,LA,"$5,200",3.60%,
Lions,DST,DET,BAL,"$2,700",3.60%,
Buccaneers,DST,TB,ATL,"$3,600",3.60%,
Rondale Moore,WR,ARI,SEA,"$3,500",3.50%,
Bears,DST,CHI,LV,"$2,900",3.50%,
Colts,DST,IND,CLE,"$3,400",3.50%,
Michael Mayer,TE,LV,CHI,"$2,700",3.40%,
Darren Waller,TE,NYG,WAS,"$5,000",3.40%,
P.J. Walker,QB,CLE,IND,"$4,800",3.40%,
Cade Otton,TE,TB,ATL,"$2,900",3.40%,
Josh Allen,QB,BUF,NE,"$8,200",3.40%,
DJ Moore,WR,CHI,LV,"$6,500",3.40%,
Jonnu Smith,TE,ATL,TB,"$3,600",3.40%,
Raiders,DST,LV,CHI,"$3,800",3.40%,
Michael Wilson,WR,ARI,SEA,"$3,800",3.30%,
Josh Downs,WR,IND,CLE,"$4,500",3.30%,
