Player,Position,Team,Opponent,Salary,% ownership,Notes
Zack Moss,RB,IND,CIN,"$5,900",37.20%,
Christian McCaffrey,RB,SF,SEA,"$9,200",29.90%,
Browns,DST,CLE,JAX,"$3,000",24.60%,
Keenan Allen,WR,LAC,DEN,"$8,600",21.50%,
Bijan Robinson,RB,ATL,TB,"$6,500",21.00%,
Rashee Rice,WR,KC,BUF,"$5,400",20.30%,
Clyde Edwards-Helaire,RB,KC,BUF,"$4,200",19.80%,
Javonte Williams,RB,DEN,LAC,"$5,800",19.60%,
Joe Mixon,RB,CIN,IND,"$6,100",18.80%,
Elijah Moore,WR,CLE,JAX,"$4,500",18.10%,
Michael Pittman Jr.,WR,IND,CIN,"$7,300",16.30%,
Josh Jacobs,RB,LV,MIN,"$6,900",16.20%,
Drake London,WR,ATL,TB,"$4,600",16.10%,
David Njoku,TE,CLE,JAX,"$4,100",15.00%,
Rachaad White,RB,TB,ATL,"$6,800",14.80%,
Brock Purdy,QB,SF,SEA,"$6,500",14.40%,
Brandon Aiyuk,WR,SF,SEA,"$6,900",14.30%,
Garrett Wilson,WR,NYJ,HOU,"$5,500",13.90%,
Justin Fields,QB,CHI,DET,"$6,800",12.10%,
Jaxon Smith-Njigba,WR,SEA,SF,"$4,100",12.00%,
Alvin Kamara,RB,NO,CAR,"$8,200",11.90%,
Jonathan Mingo,WR,CAR,NO,"$3,500",11.50%,
Chris Olave,WR,NO,CAR,"$7,000",11.40%,
Jake Browning,QB,CIN,IND,"$5,200",10.50%,
Deebo Samuel,WR,SF,SEA,"$6,800",10.30%,
Ravens,DST,BAL,LA,"$3,300",10.20%,
Isaiah Likely,TE,BAL,LA,"$3,500",9.90%,
Jalen Guyton,WR,LAC,DEN,"$3,200",9.20%,
Kyle Pitts,TE,ATL,TB,"$3,700",9.10%,
Amon-Ra St. Brown,WR,DET,CHI,"$8,200",9.10%,
Zay Flowers,WR,BAL,LA,"$5,700",8.90%,
Russell Wilson,QB,DEN,LAC,"$5,800",8.60%,
Joshua Dobbs,QB,MIN,LV,"$5,900",8.60%,
George Kittle,TE,SF,SEA,"$5,900",8.50%,
Cade Otton,TE,TB,ATL,"$3,100",8.50%,
Breece Hall,RB,NYJ,HOU,"$6,200",8.40%,
Cole Kmet,TE,CHI,DET,"$4,300",8.30%,
Jerick McKinnon,RB,KC,BUF,"$4,800",8.10%,
Mike Evans,WR,TB,ATL,"$7,700",8.00%,
Patrick Mahomes,QB,KC,BUF,"$7,900",8.00%,
Josh Downs,WR,IND,CIN,"$4,900",7.90%,
Vikings,DST,MIN,LV,"$3,100",7.40%,
Chuba Hubbard,RB,CAR,NO,"$5,600",7.40%,
Brevin Jordan,TE,HOU,NYJ,"$3,100",7.40%,
Tyler Lockett,WR,SEA,SF,"$5,600",7.20%,
DJ Moore,WR,CHI,DET,"$6,500",7.10%,
Travis Kelce,TE,KC,BUF,"$7,800",7.00%,
Jerome Ford,RB,CLE,JAX,"$5,500",6.60%,
Texans,DST,HOU,NYJ,"$4,000",6.40%,
Michael Mayer,TE,LV,MIN,"$2,900",6.40%,
Jerry Jeudy,WR,DEN,LAC,"$4,700",6.30%,
Tyler Conklin,TE,NYJ,HOU,"$3,000",6.30%,
Jets,DST,NYJ,HOU,"$2,900",6.00%,
Falcons,DST,ATL,TB,"$2,900",6.00%,
Courtland Sutton,WR,DEN,LAC,"$6,100",6.00%,
Adam Thielen,WR,CAR,NO,"$6,300",5.80%,
Rashod Bateman,WR,BAL,LA,"$3,200",5.60%,
Baker Mayfield,QB,TB,ATL,"$5,300",5.60%,
Davante Adams,WR,LV,MIN,"$7,500",5.50%,
Kyren Williams,RB,LA,BAL,"$7,300",5.40%,
Stefon Diggs,WR,BUF,KC,"$8,800",5.40%,
Saints,DST,NO,CAR,"$3,900",5.40%,
Gerald Everett,TE,LAC,DEN,"$3,400",5.20%,
Austin Ekeler,RB,LAC,DEN,"$7,600",5.10%,
Jahmyr Gibbs,RB,DET,CHI,"$6,600",4.80%,
Lamar Jackson,QB,BAL,LA,"$7,700",4.70%,
Parker Washington,WR,JAX,CLE,"$3,000",4.70%,
Justin Jefferson,WR,MIN,LV,"$8,500",4.60%,
Tanner Hudson,TE,CIN,IND,"$2,800",4.40%,
Zay Jones,WR,JAX,CLE,"$3,700",4.40%,
Justin Herbert,QB,LAC,DEN,"$7,500",4.40%,
Chiefs,DST,KC,BUF,"$2,600",4.30%,
Bears,DST,CHI,DET,"$2,400",4.00%,
Ja'Marr Chase,WR,CIN,IND,"$7,600",4.00%,
Gabe Davis,WR,BUF,KC,"$5,800",4.00%,
Keaton Mitchell,RB,BAL,LA,"$4,900",3.90%,
Josh Allen,QB,BUF,KC,"$8,300",3.70%,
Gardner Minshew II,QB,IND,CIN,"$5,400",3.60%,
Alexander Mattison,RB,MIN,LV,"$5,500",3.60%,
Trey Palmer,WR,TB,ATL,"$3,200",3.50%,
49ers,DST,SF,SEA,"$3,700",3.40%,
Colts,DST,IND,CIN,"$3,500",3.20%,
Chargers,DST,LAC,DEN,"$3,200",3.20%,
Jakobi Meyers,WR,LV,MIN,"$5,700",3.10%,
Tyler Boyd,WR,CIN,IND,"$4,400",3.00%,
Juwan Johnson,TE,NO,CAR,"$3,300",3.00%,
Desmond Ridder,QB,ATL,TB,"$5,000",2.90%,
Quentin Johnston,WR,LAC,DEN,"$4,000",2.70%,
Puka Nacua,WR,LA,BAL,"$7,100",2.70%,
T.J. Hockenson,TE,MIN,LV,"$6,000",2.70%,
David Montgomery,RB,DET,CHI,"$6,400",2.50%,
Chris Godwin,WR,TB,ATL,"$6,000",2.40%,
Bills,DST,BUF,KC,"$2,500",2.40%,
DK Metcalf,WR,SEA,SF,"$6,700",2.40%,
Geno Smith,QB,SEA,SF,"$5,700",2.40%,
Lions,DST,DET,CHI,"$3,400",2.40%,
Cooper Kupp,WR,LA,BAL,"$7,400",2.30%,
James Cook,RB,BUF,KC,"$6,000",2.30%,
Sam LaPorta,TE,DET,CHI,"$6,100",2.30%,
Evan Engram,TE,JAX,CLE,"$4,800",2.10%,
Odell Beckham Jr.,WR,BAL,LA,"$3,800",2.00%,
Bengals,DST,CIN,IND,"$3,100",2.00%,
Joe Flacco,QB,CLE,JAX,"$4,700",1.90%,
Aidan O'Connell,QB,LV,MIN,"$5,100",1.90%,
Darnell Mooney,WR,CHI,DET,"$3,300",1.90%,
Noah Gray,TE,KC,BUF,"$2,500",1.80%,
Jaguars,DST,JAX,CLE,"$3,600",1.80%,
Rams,DST,LA,BAL,"$2,700",1.80%,
