Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,SEA,S,Knee,IR,1/28/2024
Jamal Agnew,JAX,WR,Lower Leg,Out,2/12/2024
Salvon Ahmed,MIA,RB,Foot,IR,2/12/2024
Cam Akers,MIN,RB,Achilles,IR,2/12/2024
Otaro Alaka,FA,LB,Undisclosed,Questionable,1/7/2024
Christian Albright,FA,LB,Undisclosed,Questionable,1/7/2024
Kwon Alexander,PIT,LB,Achilles,IR,2/12/2024
Mackensie Alexander,FA,CB,Undisclosed,Questionable,1/7/2024
Josh Ali,ATL,WR,Ankle,IR,1/7/2024
Christopher Allen,FA,LB,Groin,Questionable,1/7/2024
Devon Allen,FA,WR,Undisclosed,Out,1/28/2024
Jonathan Allen,WAS,DT,Knee,Out,2/12/2024
Keenan Allen,LAC,WR,Heel,Out,2/12/2024
Torrence Allen,FA,WR,Undisclosed,Questionable,1/7/2024
Jaquan Amos,FA,S,Undisclosed,Questionable,1/7/2024
Bradlee Anae,NYJ,DE,Undisclosed,IR,2/12/2024
Troy Andersen,ATL,LB,Pectoral,IR-R,1/13/2024
Calvin Anderson,NE,OT,Illness,IR,2/12/2024
Darius Anderson,FA,RB,Knee,Questionable,1/7/2024
Henry Anderson,CAR,DE,Foot,IR,2/12/2024
Tycen Anderson,CIN,S,Knee,IR,1/7/2024
Will Anderson,HOU,DE,Ankle,Questionable,1/6/2024
Mark Andrews,BAL,TE,Ankle,IR,1/20/2024
Ezekiel Ansah,FA,DE,Biceps,Questionable,1/7/2024
Troy Apke,FA,CB,Shoulder,Questionable,1/7/2024
Jalyn Armour-Davis,BAL,CB,Concussion,IR,1/28/2024
Arik Armstead,SF,DT,Foot,Out,1/20/2024
Dorance Armstrong,DAL,DE,Ankle,Questionable,1/7/2024
Grayland Arnold,HOU,S,Calf,IR,1/6/2024
Jaytlin Askew,FA,CB,Quadriceps,Questionable,1/7/2024
C. J. Avery,FA,LB,Undisclosed,Questionable,1/7/2024
Genard Avery,IND,DE,Knee - Meniscus,IR,2/12/2024
Chidobe Awuzie,CIN,CB,Shoulder,Questionable,1/7/2024
David Bada,WAS,DT,Triceps,IR,2/12/2024
Zack Bailey,LAC,OG,Back,IR,2/12/2024
Jerome Baker,MIA,LB,Knee,IR-R,1/7/2024
David Bakhtiari,GB,OT,Knee,IR,2/12/2024
Josh Ball,DAL,OT,Hip,IR,2/12/2024
Deonte Banks,NYG,CB,Shoulder,Doubtful,1/7/2024
Christian Barmore,NE,DT,Knee,Questionable,1/7/2024
Zaire Barnes,NYJ,LB,Hamstring,IR,2/12/2024
Amare Barno,CAR,LB,Knee,IR,2/12/2024
Evan Baylis,FA,TE,Ankle,Questionable,1/7/2024
Willie Beavers,FA,OG,Undisclosed,Questionable,1/7/2024
Andrew Beck,HOU,FB,Calf,Questionable,1/6/2024
Nate Becker,FA,TE,Undisclosed,Questionable,1/7/2024
Odell Beckham,BAL,WR,Rest,Out,1/20/2024
B.J. Bello,FA,LB,Ankle,Questionable,1/7/2024
Nick Bellore,SEA,LB,Knee,Questionable,1/7/2024
Eno Benjamin,NO,RB,Achilles,IR,2/12/2024
Stetson Bennett,LAR,QB,Illness,NFI-R,2/12/2024
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret,2/12/2024
Rashod Berry,FA,DE,Suspension,Reserve-Sus,2/12/2024
Tyler Biadasz,DAL,C,Illness,Questionable,1/7/2024
Julian Blackmon,IND,S,Shoulder,IR,1/28/2024
Mekhi Blackmon,MIN,CB,Shoulder,Out,1/13/2024
Marquise Blair,FA,S,Undisclosed,Questionable,1/7/2024
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus,1/7/2024
C.J. Board,FA,WR,Ribs,Questionable,1/7/2024
Corey Bojorquez,CLE,P,Quadriceps,Questionable,1/7/2024
Isaiah Bolden,NE,CB,Concussion,IR,2/12/2024
Nick Bolton,KC,LB,Wrist,Questionable,1/7/2024
Devante Bond,FA,LB,Knee,Questionable,1/7/2024
Dicaprio Bootle,CAR,CB,Knee,IR,1/7/2024
Joey Bosa,LAC,LB,Foot,IR-R,2/12/2024
Jon Bostic,FA,LB,Pectoral,Questionable,1/7/2024
Kendrick Bourne,NE,WR,Knee - ACL,IR,2/12/2024
Tyus Bowser,BAL,LB,Knee,NFI-R,1/6/2024
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable,1/7/2024
Shaun Bradley,PHI,LB,Achilles,IR,2/12/2024
Christian Braswell,JAX,CB,Hamstring,IR,2/12/2024
Gary Brightwell,NYG,RB,Hamstring,IR-R,1/7/2024
Beau Brinkley,FA,C,Undisclosed,Questionable,1/7/2024
K.J. Britt,TB,LB,Calf,Questionable,1/7/2024
Curtis Brooks,WAS,DT,Undisclosed,IR,2/12/2024
Jordyn Brooks,SEA,LB,Ankle,Questionable,1/7/2024
Brittain Brown,LV,RB,Undisclosed,IR,2/12/2024
Daniel Brown,FA,TE,Hip,Questionable,1/7/2024
Duane Brown,NYJ,OT,Back,IR,2/12/2024
Jayon Brown,FA,LB,Hand,Questionable,1/7/2024
Ji'Ayir Brown,SF,S,Knee,Out,1/20/2024
Marquise Brown,ARI,WR,Heel,IR,2/12/2024
Mike Brown,FA,OG,Undisclosed,Questionable,1/7/2024
Noah Brown,HOU,WR,Back,Out,1/13/2024
Pharaoh Brown,NE,TE,Ribs,Questionable,1/7/2024
Shakel Brown,TEN,DT,Ankle,IR,2/12/2024
Shakur Brown,FA,CB,Undisclosed,Questionable,1/7/2024
Tony Brown,IND,CB,Suspension,Reserve-Sus,1/13/2024
Trent Brown,NE,OT,Illness,Out,2/12/2024
Troy Brown,FA,LB,Undisclosed,Questionable,1/7/2024
Daniel Brunskill,TEN,OG,Ankle,Questionable,1/7/2024
Hunter Bryant,FA,TE,Undisclosed,Questionable,1/7/2024
Myles Bryant,NE,CB,Illness,Questionable,1/7/2024
Randy Bullock,NYG,K,Hamstring,IR,2/12/2024
LaTrell Bumphus,SEA,DT,Undisclosed,IR,2/12/2024
Ian Bunting,FA,TE,Neck,Questionable,1/7/2024
Joe Burrow,CIN,QB,Wrist,IR,2/12/2024
Darien Butler,LV,LB,Undisclosed,IR,2/12/2024
Hakeem Butler,FA,WR,Undisclosed,Questionable,1/7/2024
Percy Butler,WAS,S,Wrist,IR,2/12/2024
Vernon Butler,FA,DT,Undisclosed,Questionable,1/7/2024
Akial Byers,FA,DT,Undisclosed,Questionable,1/7/2024
Lawrence Cager,NYG,TE,Groin,IR,2/12/2024
Chance Campbell,TEN,LB,Undisclosed,IR,2/12/2024
Ibraheim Campbell,FA,S,Ankle,Questionable,1/7/2024
Marcus Cannon,FA,OT,Concussion,Questionable,1/7/2024
Trenton Cannon,FA,RB,Knee,Questionable,1/7/2024
Dylan Cantrell,FA,TE,Undisclosed,Questionable,1/7/2024
Patrick Carr,FA,RB,Undisclosed,Questionable,1/7/2024
Jamal Carter,FA,S,Undisclosed,Questionable,1/7/2024
Tariq Castro-Fields,WAS,CB,Shoulder,IR,2/12/2024
Quintez Cephus,FA,WR,Suspension,Reserve-Sus,2/12/2024
Andre Chachere,ARI,S,Shoulder,Questionable,1/7/2024
Taco Charlton,FA,DE,Undisclosed,Questionable,1/7/2024
Claudin Cherelus,CAR,LB,Knee,IR-R,1/7/2024
Julius Chestnut,TEN,RB,Hamstring,IR,2/12/2024
Brady Christensen,CAR,OG,Biceps,IR,2/12/2024
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,1/7/2024
Bradley Chubb,MIA,LB,Knee - ACL,Out,2/12/2024
Nick Chubb,CLE,RB,Knee - ACL + MCL,IR,2/12/2024
Will Clapp,LAC,C,Knee,IR,2/12/2024
Chuck Clark,NYJ,S,Knee - ACL,IR,2/12/2024
Darius Clark,FA,RB,Knee,Questionable,1/7/2024
Chris Claybrooks,JAX,CB,Undisclosed,Reserve-CEL,2/12/2024
Devin Cochran,CIN,OT,Knee,IR,2/12/2024
L.J. Collier,ARI,DE,Biceps,IR,2/12/2024
Maliek Collins,HOU,DT,Hip,Questionable,1/6/2024
Tom Compton,FA,OT,Back,Questionable,1/7/2024
Jack Conklin,CLE,OT,Knee - ACL + MCL,IR,2/12/2024
Gareon Conley,FA,CB,Ankle,Questionable,1/7/2024
Ryan Connelly,FA,LB,Undisclosed,Out,1/7/2024
Cody Conway,FA,OT,Knee - ACL,Questionable,1/7/2024
Bryan Cook,KC,S,Ankle,IR,1/13/2024
Amari Cooper,CLE,WR,Heel,Out,1/13/2024
Austin Corbett,CAR,OG,Knee,IR,1/7/2024
Cody Core,FA,WR,Undisclosed,Questionable,1/7/2024
Jeff Cotton,FA,WR,Undisclosed,Questionable,1/7/2024
Nathan Cottrell,FA,RB,Undisclosed,Questionable,1/7/2024
Kirk Cousins,MIN,QB,Achilles,IR,2/12/2024
Kekoa Crawford,FA,WR,Undisclosed,Questionable,1/7/2024
Tyrell Crosby,FA,OT,Back,Questionable,1/7/2024
Keion Crossen,MIA,CB,Undisclosed,IR,2/12/2024
Isaiah Crowell,FA,RB,Achilles,Questionable,1/7/2024
Kamren Curl,WAS,S,Quadriceps,Questionable,1/7/2024
Dominique Dafney,FA,TE,Undisclosed,Questionable,1/7/2024
Tae Daley,FA,S,Undisclosed,Questionable,1/7/2024
Drew Dalman,ATL,C,Ankle,Out,1/13/2024
Jalen Dalton,FA,DT,Undisclosed,Questionable,1/7/2024
Scott Daly,DET,C,Knee,IR,1/7/2024
Braeden Daniels,WAS,OT,Shoulder,IR,2/12/2024
Mike Danna,KC,DE,Rest,Questionable,1/7/2024
Ronald Darby,BAL,CB,Illness,Questionable,1/6/2024
Christian Darrisaw,MIN,OT,Illness,Questionable,1/7/2024
Marcus Davenport,MIN,LB,Ankle,IR,1/13/2024
Zach Davidson,BUF,TE,Undisclosed,IR,2/12/2024
Carlton Davis,TB,CB,Concussion,Questionable,1/7/2024
Corey Davis,FA,WR,Personal,Reserve-Ret,2/12/2024
Daewood Davis,FA,WR,Concussion,Questionable,1/7/2024
Jalen Davis,CIN,CB,Groin,Questionable,1/7/2024
Jamin Davis,WAS,LB,Shoulder,IR,2/12/2024
Jarrad Davis,NYG,LB,Knee,IR,2/12/2024
Kalia Davis,SF,DT,Ankle,IR,1/20/2024
Quartney Davis,FA,WR,Shoulder,Questionable,1/7/2024
Shawn Davis,FA,S,Abdomen,Questionable,1/7/2024
Tae Davis,CAR,LB,Illness,Questionable,1/7/2024
Tyler Davis,GB,TE,Knee,IR,2/12/2024
Wyatt Davis,NYG,OG,Ankle,IR,2/12/2024
Duke Dawson,FA,CB,Undisclosed,Questionable,1/7/2024
Nakobe Dean,PHI,LB,Foot,IR,1/13/2024
Dylan Deatherage,FA,OT,Undisclosed,Questionable,1/7/2024
Dawson Deaton,CLE,OG,Knee - ACL,IR,2/12/2024
Tank Dell,HOU,WR,Lower Leg,IR,2/12/2024
Grant Delpit,CLE,S,Groin,IR,1/13/2024
Trevon Diggs,DAL,CB,Knee - ACL,IR,2/12/2024
AJ Dillon,GB,RB,Neck,Out,1/13/2024
Brandon Dillon,WAS,TE,Undisclosed,IR,2/12/2024
Victor Dimukeje,ARI,LB,Foot,Questionable,1/7/2024
J.K. Dobbins,BAL,RB,Achilles,IR,2/12/2024
Aaron Donald,LAR,DT,Coach's Decision,Doubtful,1/7/2024
Andrew Dowell,NO,LB,Knee - ACL,IR,2/12/2024
Colton Dowell,TEN,WR,Knee - ACL,Out,2/12/2024
Tommy Doyle,BUF,OT,Knee,IR,2/12/2024
Dakota Dozier,FA,OG,Knee - ACL,Questionable,1/7/2024
Josh Drayden,FA,CB,Undisclosed,Questionable,1/7/2024
Greg Dulcich,DEN,TE,Foot,IR,2/12/2024
