PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Dallas Cowboys,D,DAL,NYG,-1812,39.00,-17.00,28.00,4400,11.33,2.6,29.00
Bijan Robinson,RB,ATL,ARI,-124,43.00,-1.50,22.25,6000,14.96,2.5,20.65
Austin Ekeler,RB,LAC,DET,130,48.50,3.00,22.75,8400,18.65,2.2,19.88
Christian McCaffrey,RB,SF,JAX,-170,45.00,-3.00,24.00,9200,19.98,2.2,18.60
Joe Mixon,RB,CIN,HOU,-290,47.00,-6.50,26.75,6200,14.15,2.3,18.07
Ja'Marr Chase,WR,CIN,HOU,-290,47.00,-6.50,26.75,8600,20.15,2.3,17.06
Alexander Mattison,RB,MIN,NO,126,41.00,3.00,19.00,5500,13.76,2.5,15.43
Rachaad White,RB,TB,TEN,-115,39.00,-1.00,20.00,5800,14.44,2.5,15.34
Travis Etienne,RB,JAX,SF,141,45.00,3.00,21.00,7100,16.05,2.3,15.28
Joe Burrow,QB,CIN,HOU,-290,47.00,-6.50,26.75,6800,18.80,2.8,14.52
Cincinnati Bengals,D,CIN,HOU,-290,47.00,-6.50,26.75,2800,5.80,2.1,14.43
Najee Harris,RB,PIT,GB,-177,39.00,-3.00,21.00,4900,11.97,2.4,14.12
Tyler Boyd,WR,CIN,HOU,-290,47.00,-6.50,26.75,4600,12.42,2.7,12.78
CeeDee Lamb,WR,DAL,NYG,-1812,39.00,-17.00,28.00,8500,18.01,2.1,12.03
Marquise Brown,WR,ARI,ATL,104,43.00,1.50,20.75,5200,12.95,2.5,11.76
Tony Pollard,RB,DAL,NYG,-1812,39.00,-17.00,28.00,7300,14.55,2.0,11.60
Amon-Ra St. Brown,WR,DET,LAC,-156,48.50,-3.00,25.75,8300,17.75,2.1,11.45
Aaron Jones,RB,GB,PIT,148,39.00,3.00,18.00,6500,14.29,2.2,11.10
Pittsburgh Steelers,D,PIT,GB,-177,39.00,-3.00,21.00,3800,7.94,2.1,11.04
Trenton Irwin,WR,CIN,HOU,-290,47.00,-6.50,26.75,3000,9.24,3.1,10.82
Keenan Allen,WR,LAC,DET,130,48.50,3.00,22.75,8800,17.48,2.0,10.36
Michael Thomas,WR,NO,MIN,-151,41.00,-3.00,22.00,4500,11.59,2.6,9.96
Jaxon Smith-Njigba,WR,SEA,WAS,-285,44.50,-6.50,25.50,4100,10.55,2.6,9.59
Baker Mayfield,QB,TB,TEN,-115,39.00,-1.00,20.00,5100,15.79,3.1,9.45
Jacksonville Jaguars,D,JAX,SF,141,45.00,3.00,21.00,2400,5.09,2.1,9.31
Rondale Moore,WR,ARI,ATL,104,43.00,1.50,20.75,3000,7.27,2.4,9.29
Dak Prescott,QB,DAL,NYG,-1812,39.00,-17.00,28.00,6700,18.27,2.7,9.19
James Conner,RB,ARI,ATL,104,43.00,1.50,20.75,5900,13.14,2.2,9.12
Chris Olave,WR,NO,MIN,-151,41.00,-3.00,22.00,6400,13.42,2.1,8.89
DeAndre Hopkins,WR,TEN,TB,100,39.00,1.00,19.00,6000,13.62,2.3,8.55
George Pickens,WR,PIT,GB,-177,39.00,-3.00,21.00,5100,12.63,2.5,8.40
Trey McBride,TE,ARI,ATL,104,43.00,1.50,20.75,3500,8.78,2.5,8.38
Diontae Johnson,WR,PIT,GB,-177,39.00,-3.00,21.00,5400,11.72,2.2,8.18
Calvin Ridley,WR,JAX,SF,141,45.00,3.00,21.00,5600,12.51,2.2,7.94
T.J. Hockenson,TE,MIN,NO,126,41.00,3.00,19.00,5000,12.00,2.4,7.82
Alvin Kamara,RB,NO,MIN,-151,41.00,-3.00,22.00,8300,15.98,1.9,7.78
Jordan Addison,WR,MIN,NO,126,41.00,3.00,19.00,5900,12.99,2.2,7.73
Terry McLaurin,WR,WAS,SEA,231,44.50,6.50,19.00,5800,12.64,2.2,7.44
Deebo Samuel,WR,SF,JAX,-170,45.00,-3.00,24.00,6200,12.29,2.0,7.41
Trevor Lawrence,QB,JAX,SF,141,45.00,3.00,21.00,6000,17.74,3.0,7.30
Evan Engram,TE,JAX,SF,141,45.00,3.00,21.00,4500,11.01,2.5,7.30
Arizona Cardinals,D,ARI,ATL,104,43.00,1.50,20.75,2500,5.40,2.2,7.23
Jahmyr Gibbs,RB,DET,LAC,-156,48.50,-3.00,25.75,7000,14.38,2.1,7.02
DK Metcalf,WR,SEA,WAS,-285,44.50,-6.50,25.50,6800,13.53,2.0,7.01
Elijah Moore,WR,CLE,BAL,231,38.00,6.50,15.75,3600,8.56,2.4,6.91
Drake London,WR,ATL,ARI,-124,43.00,-1.50,22.25,5500,12.68,2.3,6.85
Kenneth Walker,RB,SEA,WAS,-285,44.50,-6.50,25.50,6800,12.41,1.8,6.58
Tyler Lockett,WR,SEA,WAS,-285,44.50,-6.50,25.50,6100,11.84,1.9,6.48
Jaylen Warren,RB,PIT,GB,-177,39.00,-3.00,21.00,5000,10.25,2.1,6.36
Joshua Dobbs,QB,MIN,NO,126,41.00,3.00,19.00,5500,15.69,2.8,6.33
Brandon Aiyuk,WR,SF,JAX,-170,45.00,-3.00,24.00,7100,13.18,1.9,6.32
Jared Goff,QB,DET,LAC,-156,48.50,-3.00,25.75,6400,17.61,2.8,5.95
Brock Purdy,QB,SF,JAX,-170,45.00,-3.00,24.00,5700,15.80,2.8,5.92
Quentin Johnston,WR,LAC,DET,130,48.50,3.00,22.75,4100,8.17,2.0,5.91
Jake Ferguson,TE,DAL,NYG,-1812,39.00,-17.00,28.00,4600,10.08,2.2,5.71
Jonnu Smith,TE,ATL,ARI,-124,43.00,-1.50,22.25,3600,8.53,2.4,5.64
Zay Flowers,WR,BAL,CLE,-288,38.00,-6.50,22.25,5700,11.24,2.0,5.62
Irv Smith,TE,CIN,HOU,-290,47.00,-6.50,26.75,2700,6.73,2.5,5.61
Sam Howell,QB,WAS,SEA,231,44.50,6.50,19.00,5900,16.66,2.8,5.60
Cedric Tillman,WR,CLE,BAL,231,38.00,6.50,15.75,3000,9.75,3.3,5.58
Geno Smith,QB,SEA,WAS,-285,44.50,-6.50,25.50,5800,16.11,2.8,5.51
Christian Kirk,WR,JAX,SF,141,45.00,3.00,21.00,6000,12.21,2.0,5.50
Cade Otton,TE,TB,TEN,-115,39.00,-1.00,20.00,3400,8.14,2.4,5.48
Kyle Pitts,TE,ATL,ARI,-124,43.00,-1.50,22.25,4100,8.62,2.1,5.41
