Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
20,3925502447,toto_1711 (12/20),0,259.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Braxton Berrios,,Amari Cooper,WR,10.69%,27.6
20,3925502454,toto_1711 (13/20),0,259.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Braxton Berrios,,Christian Kirk,WR,10.51%,15.4
20,3925502458,toto_1711 (16/20),0,259.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Braxton Berrios,,Hunter Henry,TE,10.39%,3.7
20,3925502464,toto_1711 (18/20),0,259.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Braxton Berrios,,CeeDee Lamb,WR,10.23%,10.2
20,3925502471,toto_1711 (20/20),0,259.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Braxton Berrios,,Michael Pittman Jr.,WR,10.07%,16.7
30,3925318408,lukagirl (10/20),0,258.83997,DST Bills  FLEX Justin Jefferson QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE John Bates WR Keenan Allen WR Christian Kirk WR Tank Dell,,Brian Robinson Jr.,RB,9.76%,7
31,3922308068,chipawawa (17/20),0,258.74,DST Bills  FLEX Jordan Addison QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE T.J. Hockenson WR Keenan Allen WR Romeo Doubs WR Tank Dell,,Zack Moss,RB,9.43%,25.5
32,3917477170,Gamblingman42 (1/10),0,258.54,DST Bills  FLEX K.J. Osborn QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Sam LaPorta,TE,9.37%,22.4
32,3927137176,PatOConnor (1/20),0,258.54,DST Bills  FLEX Rondale Moore QB Kirk Cousins RB Travis Etienne Jr. RB Raheem Mostert TE Jake Ferguson WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Adam Thielen,WR,9.19%,34.5
34,3924343930,BigGuy2006 (17/20),0,258.34003,DST Bills  FLEX Mike Williams QB Andy Dalton RB Travis Etienne Jr. RB Raheem Mostert TE T.J. Hockenson WR Justin Jefferson WR Adam Thielen WR Tank Dell,,Josh Reynolds,WR,9.15%,0
34,3924863578,AARGH13 (14/20),0,258.34,DST Dolphins  FLEX Tank Dell QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Durham Smythe WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,T.J. Hockenson,TE,8.80%,14.8
36,3922415878,nplaistow (2/3),0,258.26,DST Bills  FLEX K.J. Osborn QB Justin Herbert RB De'Von Achane RB Jerome Ford TE Durham Smythe WR Justin Jefferson WR Keenan Allen WR Mike Williams,,Zach Ertz,TE,8.71%,2.6
37,3922231523,SkipMcCarthy (8/20),0,256.84,DST Chiefs  FLEX Adam Thielen QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE Taysom Hill WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Tua Tagovailoa,QB,8.23%,31.36
37,3922241895,SkipMcCarthy (19/20),0,256.84,DST Chiefs  FLEX Adam Thielen QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE Taysom Hill WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Miles Sanders,RB,7.97%,17.2
37,3927472445,shon28 (9/20),0,256.84,DST Browns  FLEX Tank Dell QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE Hayden Hurst WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Drake London,FLEX,7.84%,5.1
40,3923043666,shoedoi (9/20),0,256.76,DST Jets  FLEX Adam Thielen QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Keenan Allen WR Mike Williams WR Jordan Addison,,Justin Herbert,QB,7.61%,32.3
41,3924688834,SKIPPER0891 (12/20),0,256.63998,DST Bills  FLEX Travis Kelce QB Patrick Mahomes RB Raheem Mostert RB Jerome Ford TE Sam LaPorta WR Keenan Allen WR Christian Kirk WR Tank Dell,,Calvin Ridley,WR,7.54%,7
42,3923523974,moostasho,0,256.5,DST Bills  FLEX Joshua Palmer QB Andy Dalton RB Raheem Mostert RB Javonte Williams TE T.J. Hockenson WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Alexander Mattison,RB,7.37%,17.5
43,3925690749,kilroycane,0,256.47998,DST Colts  FLEX Tank Dell QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Donald Parham Jr. WR Justin Jefferson WR Tyreek Hill WR Adam Thielen,,C.J. Stroud,QB,6.90%,20.6
44,3918547438,gentlesir (2/3),0,256.43997,DST Bills  FLEX Tony Jones Jr. QB Patrick Mahomes RB Kenneth Walker III RB Raheem Mostert TE Travis Kelce WR Keenan Allen WR Adam Thielen WR Rashee Rice,,Patriots ,DST,6.83%,9
45,3924394099,stevedrutherford (20/20),0,255.84,DST Bills  FLEX Durham Smythe QB Patrick Mahomes RB Raheem Mostert RB Zack Moss TE Travis Kelce WR Keenan Allen WR Mike Williams WR Tank Dell,,K.J. Osborn,FLEX,6.81%,10.6
46,3927135641,lcrider (12/20),0,255.73999,DST Bills  FLEX Tony Pollard QB Kirk Cousins RB Raheem Mostert RB Miles Sanders TE Durham Smythe WR Keenan Allen WR Mike Williams WR Adam Thielen,,Mark Andrews,FLEX,6.50%,7.5
47,3916551844,ItsMe24 (1/2),0,255.68001,DST Bills  FLEX Tank Dell QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Taysom Hill WR Justin Jefferson WR Mike Williams WR Amari Cooper,,Gus Edwards,RB,6.33%,5.1
48,3926489019,Sockoh (2/13),0,255.56,DST Bills  FLEX Miles Sanders QB Deshaun Watson RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Justin Jefferson WR Amari Cooper WR Tank Dell,,Jayden Reed,WR,6.13%,9.3
49,3925283457,Jig-is-up (20/20),0,255.54001,DST Bills  FLEX Justin Jefferson QB Kirk Cousins RB Raheem Mostert RB Miles Sanders TE Durham Smythe WR Keenan Allen WR Courtland Sutton WR Tank Dell,,Stefon Diggs,WR,5.98%,22.1
50,3918050013,melonthumper (9/20),0,255.34001,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Jahmyr Gibbs RB Kenneth Walker III TE T.J. Hockenson WR Keenan Allen WR Amari Cooper WR Tank Dell,,Chiefs ,DST,5.52%,11
51,3927379571,jchandler311 (5/9),0,254.86002,DST Bills  FLEX Raheem Mostert QB Justin Herbert RB Tony Pollard RB Jerome Ford TE Taysom Hill WR Keenan Allen WR Mike Williams WR Tank Dell,,Seahawks ,DST,5.34%,3
52,3923124347,silvertaziii (10/20),0,254.76,DST Dolphins  FLEX Tank Dell QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Keenan Allen WR Mike Williams WR Jordan Addison,,Robert Woods,WR,5.32%,6.4
53,3917377594,kenu0878 (7/20),0,254.08,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE T.J. Hockenson WR Justin Jefferson WR Zay Flowers WR Tank Dell,,Evan Engram,TE,5.03%,13.7
54,3923974379,disney34 (3/4),0,253.95999,DST Bills  FLEX Tyreek Hill QB C.J. Stroud RB Raheem Mostert RB Jerome Ford TE Hunter Henry WR Keenan Allen WR Michael Pittman Jr. WR Adam Thielen,,Kendre Miller,RB,4.81%,4.4
55,3926132164,KJohnson1980 (2/2),0,253.94,DST Bills  FLEX Tank Dell QB Lamar Jackson RB Kenneth Walker III RB Raheem Mostert TE Evan Engram WR Keenan Allen WR Gabe Davis WR Zay Flowers,,Javonte Williams,RB,4.80%,8.5
56,3925324523,sugalord (17/20),0,253.56001,DST Bills  FLEX Justin Jefferson QB C.J. Stroud RB Raheem Mostert RB Miles Sanders TE Zach Ertz WR Keenan Allen WR Mike Williams WR Tank Dell,,Dalton Kincaid,FLEX,4.68%,2.3
57,3921580671,titan18787 (9/14),0,253.40001,DST Patriots  FLEX Tank Dell QB Geno Smith RB Kenneth Walker III RB Raheem Mostert TE Jake Ferguson WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Lamar Jackson,QB,4.67%,32.18
58,3921806045,Mcweenervanhous (5/20),0,253.26001,DST Patriots  FLEX Isiah Pacheco QB Justin Herbert RB Raheem Mostert RB Alexander Mattison TE Sam LaPorta WR Keenan Allen WR Mike Williams WR Adam Thielen,,Jared Goff,QB,4.58%,19.02
