Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4029457843,guily84 (19/20),0,210.98,DST Bears  FLEX Tank Dell QB Trevor Lawrence RB David Montgomery RB Brian Robinson Jr. TE Donald Parham Jr. WR Tyreek Hill WR DJ Moore WR Calvin Ridley,,Tank Dell,WR,27.90%,31.9
2,4029437310,TheMcGibblets (2/2),0,197.12001,DST Bills  FLEX Brandon Aiyuk QB Brock Purdy RB Jahmyr Gibbs RB Breece Hall TE Trey McBride WR Tank Dell WR Courtland Sutton WR Jayden Reed,,Trey McBride,TE,23.33%,9.3
3,4029396559,tcade77433 (11/20),0,197.01999,DST Dolphins  FLEX Jaylen Warren QB Brock Purdy RB Brian Robinson Jr. RB Devin Singletary TE Pat Freiermuth WR Tyreek Hill WR Puka Nacua WR Tank Dell,,Devin Singletary,RB,23.06%,22.8
4,4025105928,dfashaw (1/6),0,196.62,DST Dolphins  FLEX Gus Edwards QB Brock Purdy RB Jerome Ford RB Ty Chandler TE George Kittle WR Brandon Aiyuk WR Tank Dell WR DJ Moore,,Brian Robinson Jr.,RB,17.44%,20.1
5,4027909946,berrythebassman,0,194.04,DST Texans  FLEX Jayden Reed QB C.J. Stroud RB James Cook RB Brian Robinson Jr. TE Dalton Kincaid WR Brandon Aiyuk WR Tank Dell WR Calvin Ridley,,Javonte Williams,RB,17.01%,7.3
6,4025266936,Calvin19691969 (3/10),0,193.71999,DST Dolphins  FLEX Tank Dell QB Brock Purdy RB Christian McCaffrey RB Devin Singletary TE Evan Engram WR Tyreek Hill WR Elijah Moore WR Khalil Shakir,,Tyler Boyd,WR,16.68%,5.2
6,4025270417,Calvin19691969 (5/10),0,193.71999,DST Dolphins  FLEX Elijah Moore QB Brock Purdy RB Christian McCaffrey RB Devin Singletary TE Evan Engram WR Tyreek Hill WR Tank Dell WR Khalil Shakir,,Tyreek Hill,WR,16.30%,33.6
8,4028357953,jasonl81 (1/4),0,193.31999,DST Dolphins  FLEX Jahmyr Gibbs QB Brock Purdy RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Rondale Moore,,T.J. Hockenson,FLEX,14.43%,9.5
9,4026521337,SlyPigs2709 (2/2),0,193.02,DST Browns  FLEX Tyreek Hill QB Brock Purdy RB Javonte Williams RB Jaylen Warren TE Michael Mayer WR Brandon Aiyuk WR Calvin Ridley WR Courtland Sutton,,Courtland Sutton,WR,13.87%,16.6
10,4025495367,Gibberellins85 (1/2),0,192.72,DST 49ers  FLEX Jahmyr Gibbs QB Brock Purdy RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Brandon Aiyuk WR Calvin Ridley WR Courtland Sutton,,Cowboys ,DST,13.03%,21
11,4025477178,lala75216 (15/20),0,192.38,DST Commanders  FLEX Tyreek Hill QB Trevor Lawrence RB Gus Edwards RB Devin Singletary TE Noah Gray WR Christian Kirk WR Tank Dell WR Calvin Ridley,,Keaton Mitchell,RB,12.49%,5.1
12,4029327361,ndbarrett,0,191.72,DST Cowboys  FLEX Odell Beckham Jr. QB Brock Purdy RB Alexander Mattison RB Devin Singletary TE Travis Kelce WR Deebo Samuel WR Tank Dell WR Calvin Ridley,,C.J. Stroud,QB,12.07%,21.34
13,4027530549,DrWho,0,191.01999,DST Jets  FLEX Keaton Mitchell QB Brock Purdy RB Christian McCaffrey RB Devin Singletary TE George Kittle WR Brandon Aiyuk WR Calvin Ridley WR Khalil Shakir,,Rashee Rice,WR,11.89%,8.2
14,4027856617,deez516 (7/20),0,189.35999,DST Dolphins  FLEX Jayden Reed QB Kyler Murray RB Christian McCaffrey RB Jaylen Warren TE Logan Thomas WR Tyreek Hill WR Tank Dell WR Rondale Moore,,DJ Moore,WR,11.88%,22.6
15,4026360849,Damadbowler (11/20),0,187.81999,DST Dolphins  FLEX Brandon Aiyuk QB Brock Purdy RB Javonte Williams RB Devin Singletary TE Dalton Schultz WR Deebo Samuel WR Tank Dell WR Calvin Ridley,,Amon-Ra St. Brown,WR,11.66%,21.7
16,4025905849,BradleyB82,0,187.36,DST Cowboys  FLEX Breece Hall QB Justin Fields RB Tony Pollard RB Devin Singletary TE Donald Parham Jr. WR Amari Cooper WR Tank Dell WR Calvin Ridley,,Christian Kirk,WR,11.30%,7.8
17,4029441596,sportslife39 (20/20),0,187.08,DST Commanders  FLEX Evan Engram QB Trevor Lawrence RB Javonte Williams RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Jerome Ford,FLEX,10.24%,11.9
18,4029341530,lance1282,0,186.79999,DST Cowboys  FLEX DJ Moore QB Sam Howell RB Tony Pollard RB Devin Singletary TE Logan Thomas WR Brandon Aiyuk WR Calvin Ridley WR Rashee Rice,,David Montgomery,RB,10.19%,17.8
19,4028032187,SacredGopher (1/3),0,186.64001,DST Bills  FLEX Derrick Henry QB C.J. Stroud RB James Cook RB Jaylen Warren TE Dalton Kincaid WR Tank Dell WR Calvin Ridley WR Courtland Sutton,,Mark Andrews,TE,10.04%,4.3
20,4026383950,LatinaKitten (16/20),0,186.37999,DST Dolphins  FLEX Trey McBride QB Trevor Lawrence RB Christian McCaffrey RB Devin Singletary TE Evan Engram WR DeAndre Hopkins WR Tank Dell WR Calvin Ridley,,Jayden Reed,WR,10.00%,19.2
21,4028851305,flanders21 (6/6),0,185.92,DST Cowboys  FLEX Mark Andrews QB Brock Purdy RB Devin Singletary RB Keaton Mitchell TE George Kittle WR Brandon Aiyuk WR Tank Dell WR Odell Beckham Jr.,,Terry McLaurin,WR,9.92%,9.3
22,4025104107,gemontly (6/20),0,185.57999,DST Dolphins  FLEX Javonte Williams QB Trevor Lawrence RB Brian Robinson Jr. RB Devin Singletary TE Evan Engram WR Tyreek Hill WR Calvin Ridley WR Courtland Sutton,,Joshua Dobbs,QB,9.86%,18.94
23,4025096347,gemontly (1/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Jets ,DST,9.56%,2
23,4028335234,cdawes (1/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Deebo Samuel,WR,9.49%,9.2
23,4028335235,cdawes (2/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Marquise Brown,WR,9.42%,3.2
23,4028335236,cdawes (3/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Travis Kelce,TE,9.34%,16.4
23,4028335237,cdawes (4/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Cole Kmet,TE,9.23%,5
23,4028335238,cdawes (5/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Jahmyr Gibbs,RB,9.22%,21.5
23,4028335239,cdawes (6/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Brandin Cooks,WR,9.20%,7.2
23,4028335240,cdawes (7/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Christian McCaffrey,RB,9.13%,21.3
23,4028335241,cdawes (8/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Tony Pollard,RB,8.96%,18
23,4028335242,cdawes (9/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Dolphins ,DST,8.92%,12
23,4028335243,cdawes (10/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Ja'Marr Chase,WR,8.89%,9.2
23,4028335244,cdawes (11/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Commanders ,DST,8.85%,9
23,4028335245,cdawes (12/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Brock Purdy,QB,8.71%,29.72
23,4028335246,cdawes (13/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Dalton Kincaid,TE,8.67%,10.6
23,4028335247,cdawes (14/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Steelers ,DST,8.63%,7
23,4028335248,cdawes (15/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Austin Ekeler,RB,8.43%,8
23,4028335249,cdawes (16/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Evan Engram,FLEX,7.79%,6.9
23,4028335250,cdawes (17/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Travis Etienne Jr.,RB,7.72%,8.9
23,4028335251,cdawes (18/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Jared Goff,QB,7.55%,16.74
23,4028335252,cdawes (19/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Lamar Jackson,QB,7.55%,23.96
23,4028335253,cdawes (20/20),0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Rondale Moore,WR,7.50%,12.4
23,4029507014,zolika13,0,185.56001,DST Dolphins  FLEX Javonte Williams QB Russell Wilson RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,James Conner,RB,7.33%,8.3
45,4026151664,Btodam06 (2/6),0,185.21999,DST Broncos  FLEX Devin Singletary QB Brock Purdy RB Jahmyr Gibbs RB Brian Robinson Jr. TE Trey McBride WR Amon-Ra St. Brown WR Tank Dell WR Jayden Reed,,Joe Mixon,RB,7.00%,21
45,4027599533,Purplepain777 (3/7),0,185.21999,DST Broncos  FLEX Devin Singletary QB Brock Purdy RB Jahmyr Gibbs RB Brian Robinson Jr. TE Trey McBride WR Amon-Ra St. Brown WR Tank Dell WR Jayden Reed,,Breece Hall,RB,6.98%,18.3
45,4027848496,Purplepain777 (4/7),0,185.21999,DST Broncos  FLEX Devin Singletary QB Brock Purdy RB Jahmyr Gibbs RB Brian Robinson Jr. TE Trey McBride WR Amon-Ra St. Brown WR Tank Dell WR Jayden Reed,,Jordan Addison,WR,6.98%,7.4
48,4029473827,jdroid977,0,184.71999,DST Cowboys  FLEX Travis Kelce QB Brock Purdy RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Brandon Aiyuk WR Courtland Sutton WR Jayden Reed,,CeeDee Lamb,WR,6.96%,16.5
49,4027550395,gypsie17 (8/10),0,184.64,DST Cowboys  FLEX Dalton Kincaid QB C.J. Stroud RB Devin Singletary RB Jerome Ford TE Tanner Hudson WR Tyreek Hill WR Tank Dell WR DJ Moore,,Kyler Murray,QB,6.95%,22.66
50,4027672899,TFlag21 (13/20),0,184.51999,DST Steelers  FLEX Dalton Schultz QB Brock Purdy RB Javonte Williams RB Devin Singletary TE Evan Engram WR Tyreek Hill WR Tank Dell WR Calvin Ridley,,Brandon Aiyuk,WR,6.93%,29.6
51,4025157841,cpgough (1/4),0,184.31999,DST Cowboys  FLEX Tank Dell QB Brock Purdy RB Jerome Ford RB Jaylen Warren TE Travis Kelce WR DJ Moore WR Courtland Sutton WR George Pickens,,Zay Flowers,FLEX,6.89%,8
52,4027560283,nachochopstix (1/5),0,184.22,DST Commanders  FLEX Tank Dell QB Brock Purdy RB Brian Robinson Jr. RB Devin Singletary TE Trey McBride WR Brandon Aiyuk WR Deebo Samuel WR DJ Moore,,Gus Edwards,FLEX,6.46%,21
53,4025153835,joeslom,0,184.12,DST Cowboys  FLEX Courtland Sutton QB Brock Purdy RB Brian Robinson Jr. RB Jerome Ford TE George Kittle WR Jordan Addison WR Tank Dell WR DJ Moore,,Trenton Irwin,WR,6.28%,6.6
54,4028437622,aversj1 (1/2),0,183.76,DST Cowboys  FLEX Brian Robinson Jr. QB Russell Wilson RB Devin Singletary RB Jaylen Warren TE Sam LaPorta WR Adam Thielen WR DJ Moore WR Calvin Ridley,,A.J. Brown,WR,6.27%,1.8
55,4029403085,ocean6425,0,183.52,DST Dolphins  FLEX Jahmyr Gibbs QB Brock Purdy RB Joe Mixon RB Jerome Ford TE Trey McBride WR Brandon Aiyuk WR Tank Dell WR Courtland Sutton,,Sam Howell,QB,6.16%,20.7
56,4028848852,braxcolt (8/20),0,183.38,DST Giants  FLEX Khalil Shakir QB Trevor Lawrence RB Jahmyr Gibbs RB Josh Jacobs TE Chig Okonkwo WR Tyreek Hill WR Christian Kirk WR Calvin Ridley,,Odell Beckham Jr.,WR,6.06%,18.6
57,4027760830,Patsman90 (1/5),0,182.76,DST Dolphins  FLEX Devin Singletary QB Kyler Murray RB Tony Pollard RB Brian Robinson Jr. TE Trey McBride WR Tyreek Hill WR Tank Dell WR Rondale Moore,,Patrick Mahomes,QB,6.03%,17.88
57,4027760845,Patsman90 (2/5),0,182.76,DST Dolphins  FLEX Devin Singletary QB Kyler Murray RB Tony Pollard RB Brian Robinson Jr. TE Trey McBride WR Tyreek Hill WR Tank Dell WR Rondale Moore,,Joe Burrow,QB,6.00%,8.74
