PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Christian McCaffrey,RB,SF,SEA,-787,46.50,-13.00,29.75,9200,22.61,2.5,30.28
Atlanta Falcons,D,ATL,TB,-132,41.00,-2.50,21.75,2900,7.01,2.4,21.09
Bijan Robinson,RB,ATL,TB,-132,41.00,-2.50,21.75,6500,15.38,2.4,17.85
Cleveland Browns,D,CLE,JAX,-150,33.50,-3.00,18.25,3000,6.65,2.2,17.28
Zack Moss,RB,IND,CIN,108,44.00,2.00,21.00,5900,12.94,2.2,16.76
Alvin Kamara,RB,NO,CAR,-263,38.50,-6.00,22.25,8200,18.62,2.3,15.72
Josh Jacobs,RB,LV,MIN,133,40.50,3.00,18.75,6900,15.33,2.2,14.71
Javonte Williams,RB,DEN,LAC,122,44.00,2.50,20.75,5800,13.70,2.4,13.83
Rachaad White,RB,TB,ATL,111,41.00,2.50,19.25,6800,15.08,2.2,13.47
Keenan Allen,WR,LAC,DEN,-146,44.00,-2.50,23.25,8600,18.20,2.1,13.24
Joe Mixon,RB,CIN,IND,-128,44.00,-2.00,23.00,6100,13.06,2.1,12.20
Clyde Edwards-Helaire,RB,KC,BUF,-118,49.00,-1.50,25.25,4200,10.60,2.5,11.62
Alexander Mattison,RB,MIN,LV,-159,40.50,-3.00,21.75,5500,12.65,2.3,10.65
Amon-Ra St. Brown,WR,DET,CHI,-172,43.00,-3.00,23.00,8200,17.72,2.2,10.63
Davante Adams,WR,LV,MIN,133,40.50,3.00,18.75,7500,15.70,2.1,10.36
Stefon Diggs,WR,BUF,KC,100,49.00,1.50,23.75,8800,18.31,2.1,10.24
Drake London,WR,ATL,TB,-132,41.00,-2.50,21.75,4600,11.50,2.5,10.01
Ja'Marr Chase,WR,CIN,IND,-128,44.00,-2.00,23.00,7600,15.66,2.1,9.72
Justin Jefferson,WR,MIN,LV,-159,40.50,-3.00,21.75,8500,18.12,2.1,9.66
Jahmyr Gibbs,RB,DET,CHI,-172,43.00,-3.00,23.00,6600,13.98,2.1,9.38
Jonathan Mingo,WR,CAR,NO,212,38.50,6.00,16.25,3500,8.97,2.6,9.18
Zay Jones,WR,JAX,CLE,126,33.50,3.00,15.25,3700,9.97,2.7,9.17
Mike Evans,WR,TB,ATL,111,41.00,2.50,19.25,7700,14.39,1.9,8.88
Austin Ekeler,RB,LAC,DEN,-146,44.00,-2.50,23.25,7600,14.50,1.9,8.67
Brandon Aiyuk,WR,SF,SEA,-787,46.50,-13.00,29.75,6900,14.48,2.1,8.66
Garrett Wilson,WR,NYJ,HOU,151,33.00,3.50,14.75,5500,12.31,2.2,8.47
Josh Allen,QB,BUF,KC,100,49.00,1.50,23.75,8300,22.36,2.7,8.34
Michael Pittman,WR,IND,CIN,108,44.00,2.00,21.00,7300,14.32,2.0,8.25
Deebo Samuel,WR,SF,SEA,-787,46.50,-13.00,29.75,6800,13.11,1.9,8.15
Travis Kelce,TE,KC,BUF,-118,49.00,-1.50,25.25,7800,16.61,2.1,8.11
Hunter Long,TE,LAR,BAL,285,40.00,7.50,16.25,2500,4.69,1.9,7.90
James Cook,RB,BUF,KC,100,49.00,1.50,23.75,6000,12.07,2.0,7.84
