Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Brian Robinson Jr.,,RB,5800.0,23.2,7.6,6.6,10.4,5.81,10.7,14.32,2.4,13.6,1.5,8.3,2.3,13.1,1.2,7.0,5.6,28.9
Jerry Jeudy,,WR,5800.0,23.2,3.42,2.9,2.6,4.75,9.6,9.45,0.7,4.4,1.7,11.0,1.2,8.2,2.0,13.1,0.8,5.5
Jordan Love,,QB,5800.0,23.2,7.25,7.9,7.9,5.96,19.99,18.31,,,1.4,7.98,3.4,19.64,4.5,25.26,3.7,20.34
Deshaun Watson,Questionable,QB,5700.0,22.8,,,,,14.6,11.92,0.0,0.0,,,0.0,0.0,3.5,21.16,2.4,14.6
Zay Flowers,,WR,5700.0,22.8,14.63,18.9,16.6,8.38,11.55,11.02,3.1,17.1,2.2,12.3,1.4,8.0,2.4,13.0,2.2,10.8
Mark Andrews,,TE,5700.0,22.8,8.32,12.0,7.0,5.96,14.0,15.12,2.0,10.9,2.3,12.5,4.6,25.0,1.2,7.5,2.5,15.5
Rhamondre Stevenson,,RB,5600.0,22.4,8.52,5.8,10.4,9.36,6.6,7.65,3.3,18.0,0.4,2.4,1.0,6.0,1.1,7.2,2.2,15.0
Christian Watson,,WR,5600.0,22.4,10.03,11.6,10.1,8.38,5.25,5.52,,,2.0,11.6,1.8,10.5,0.0,0.0,0.0,0.0
Daniel Jones,Questionable,QB,5600.0,22.4,3.63,,4.5,2.76,9.44,14.65,0.0,0.0,1.2,7.16,2.1,11.72,0.8,4.98,5.8,34.74
Sam Howell,,QB,5500.0,22.0,5.42,5.1,5.0,6.15,20.43,18.72,3.3,18.34,5.7,29.42,3.9,19.6,0.9,4.6,3.9,21.26
George Pickens,,WR,5500.0,22.0,6.41,5.0,5.2,9.03,18.6,18.08,,,5.7,29.6,1.0,5.5,2.2,11.5,5.0,25.7
Javonte Williams,,RB,5400.0,21.6,8.08,3.6,7.8,12.85,5.85,5.05,1.3,7.2,0.0,0.0,0.7,3.9,1.5,8.5,1.4,7.8
Terry McLaurin,,WR,5400.0,21.6,10.57,13.9,8.2,9.61,13.25,14.5,2.6,14.1,1.6,8.9,4.3,22.6,1.8,10.1,2.9,16.4
Russell Wilson,,QB,5400.0,21.6,6.07,8.7,3.9,5.6,20.98,22.78,1.5,8.9,3.5,19.74,3.8,22.22,3.1,18.24,5.3,30.92
Joshua Dobbs,,QB,5300.0,21.2,3.56,3.2,2.8,4.68,20.23,19.36,2.3,12.1,2.3,11.74,4.7,23.4,3.3,17.06,5.0,25.22
Baker Mayfield,,QB,5300.0,21.2,5.37,7.0,3.2,5.9,21.38,18.79,1.5,7.84,,,4.4,23.94,2.1,11.04,4.2,21.38
Marquise Brown,,WR,5300.0,21.2,14.26,14.6,14.9,13.29,16.85,16.8,1.4,7.4,3.2,16.1,3.3,16.6,3.5,17.1,3.6,17.4
Sam LaPorta,,TE,5300.0,21.2,6.27,7.0,7.0,4.82,15.5,15.75,1.4,7.6,3.9,19.7,2.1,9.6,5.6,22.4,2.9,11.3
