Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Austin Walter,IR,RB,4000.0,16.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Brittain Brown,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Brandon Bolden,,RB,4000.0,16.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Rams,,DST,3900.0,15.6,1.17,0.7,0.8,2.0,4.0,3.0,,10.0,,,1.3,4.0,1.7,5.0,0.0,0.0
Pat Freiermuth,IR,TE,3900.0,15.6,1.25,,2.5,0.0,2.45,4.5,,,0.0,0.0,1.1,3.7,3.6,13.1,0.3,1.2
Odell Beckham Jr.,,WR,3900.0,15.6,1.64,0.3,1.4,3.23,1.65,2.3,1.4,5.4,0.8,3.3,0.0,0.0,0.0,0.0,1.3,5.9
Jaxon Smith-Njigba,,WR,3900.0,15.6,8.27,5.5,7.0,12.3,3.5,4.63,2.4,8.8,,,0.9,3.5,0.5,2.0,1.9,8.4
Raiders,,DST,3800.0,15.2,4.48,4.6,4.9,3.93,1.0,1.0,,9.0,,,1.7,4.0,0.3,1.0,-0.9,-2.0
Kadarius Toney,,WR,3800.0,15.2,6.44,4.8,7.3,7.21,5.95,5.4,2.5,9.4,1.8,7.7,1.0,4.2,0.2,0.9,1.9,8.8
Gerald Everett,,TE,3800.0,15.2,2.1,0.9,2.5,2.91,7.7,6.53,2.9,10.8,,,0.8,2.9,2.4,9.0,1.9,7.7
Wan'Dale Robinson,,WR,3800.0,15.2,11.93,11.7,16.6,7.5,6.5,5.68,3.8,14.2,2.3,6.9,3.2,9.7,2.0,6.1,0.0,0.0
Jameson Williams,,WR,3800.0,15.2,1.52,0.2,1.3,3.05,2.2,2.2,3.7,13.3,0.6,2.2,,,,,,
Quentin Johnston,,WR,3800.0,15.2,1.92,,0.7,3.15,2.8,2.5,0.0,0.0,,,0.8,2.8,0.9,3.0,0.4,1.7
Michael Wilson,,WR,3800.0,15.2,3.19,3.7,3.5,2.38,9.6,12.15,2.4,9.2,0.8,2.8,7.6,26.6,3.1,10.6,2.6,8.6
Jayden Reed,,WR,3700.0,14.8,2.53,1.8,2.1,3.69,9.9,10.3,,,0.4,1.7,2.6,10.5,2.4,9.3,5.8,19.7
Darius Slayton,,WR,3700.0,14.8,2.63,1.5,3.5,2.9,5.85,6.3,2.7,10.9,1.3,5.5,1.1,4.3,1.5,6.2,2.1,9.2
Packers,,DST,3700.0,14.8,0.87,1.3,0.6,0.7,3.0,3.67,,,,,1.0,3.0,1.6,5.0,1.0,3.0
Tyler Higbee,,TE,3700.0,14.8,3.35,3.1,2.5,4.45,7.8,7.93,1.0,3.8,1.0,4.0,2.7,11.4,2.7,12.1,0.9,4.2
Trey Palmer,,WR,3600.0,14.4,2.68,,4.4,0.96,3.0,4.47,1.7,6.7,,,2.3,8.6,0.5,1.8,0.9,3.0
Marvin Mims Jr.,,WR,3600.0,14.4,,,,,11.65,11.75,0.0,0.0,0.1,0.4,1.7,6.7,4.3,16.6,6.7,23.3
Buccaneers,,DST,3600.0,14.4,5.01,3.5,4.8,6.74,13.0,11.67,,4.0,,,3.9,13.0,1.9,5.0,5.3,17.0
Allen Robinson II,,WR,3600.0,14.4,,,,,4.8,4.83,,,2.3,7.9,0.5,1.8,1.7,6.4,0.9,3.2
Rashod Bateman,,WR,3600.0,14.4,1.4,,1.4,1.39,1.8,2.73,0.9,3.5,0.4,1.8,,,0.3,1.6,0.9,4.8
Jonnu Smith,,TE,3600.0,14.4,3.77,3.9,2.5,4.91,10.2,11.15,4.0,13.6,4.0,11.7,6.0,15.5,3.5,8.7,3.5,8.7
Logan Thomas,,TE,3500.0,14.0,4.85,7.1,2.5,4.96,8.75,9.8,0.3,1.2,7.0,21.7,2.4,7.3,0.0,0.0,3.3,10.2
Commanders,,DST,3500.0,14.0,6.74,7.9,4.3,8.03,2.0,4.33,,10.0,,,0.8,2.0,0.4,1.0,3.2,10.0
Rondale Moore,,WR,3500.0,14.0,4.4,4.1,4.4,4.69,6.5,7.3,1.9,6.6,3.3,10.6,0.0,0.0,5.1,16.2,0.6,2.4
Darnell Mooney,,WR,3500.0,14.0,1.05,0.4,1.0,1.74,0.0,2.28,1.8,6.8,0.0,0.0,2.2,9.1,0.0,0.0,0.0,0.0
Skyy Moore,,WR,3500.0,14.0,2.95,0.8,2.9,5.14,5.65,7.3,1.0,4.2,0.7,3.1,0.4,1.9,1.9,8.2,3.9,16.0
Van Jefferson,,WR,3500.0,14.0,0.0,,0.0,0.01,3.4,3.2,0.0,0.0,0.0,0.0,1.2,4.9,1.5,6.0,0.4,1.9
Colts,,DST,3400.0,13.6,1.43,1.9,2.1,0.28,9.0,7.0,,1.0,,,1.0,3.0,3.8,9.0,2.6,9.0
Nelson Agholor,,WR,3400.0,13.6,1.06,0.7,0.7,1.77,9.15,9.25,1.8,6.0,3.2,10.4,0.4,1.4,2.5,7.9,5.8,17.3
DeVante Parker,,WR,3400.0,13.6,0.98,0.3,0.9,1.75,4.65,6.22,0.5,1.7,1.1,4.0,1.3,5.3,1.0,3.9,2.9,11.7
David Njoku,,TE,3400.0,13.6,6.29,9.0,2.5,7.36,7.8,8.13,1.5,5.4,,,2.8,10.6,1.4,6.0,1.9,7.8
Kalif Raymond,,WR,3400.0,13.6,0.83,,0.7,0.96,8.5,8.88,1.5,5.6,2.3,7.5,1.4,4.8,2.8,9.5,4.3,13.7
Mack Hollins,,WR,3400.0,13.6,0.51,,0.5,0.52,4.1,4.3,2.2,7.1,1.5,4.9,0.0,0.0,0.9,3.3,2.4,9.0
Luke Musgrave,,TE,3300.0,13.2,12.9,18.0,14.5,6.19,6.95,6.48,,,2.7,9.4,0.3,1.1,3.3,10.9,1.4,4.5
Browns,,DST,3300.0,13.2,7.73,6.5,11.2,5.5,7.0,7.67,,6.0,,,1.4,4.0,3.6,12.0,2.2,7.0
Derius Davis,,WR,3300.0,13.2,0.14,,0.0,0.29,1.3,3.67,0.0,0.0,,,2.9,8.7,0.4,1.3,0.3,1.0
Calvin Austin III,,WR,3300.0,13.2,,,,,3.85,5.72,,,0.0,0.0,1.8,5.9,4.5,15.2,0.5,1.8
Alec Pierce,Questionable,WR,3300.0,13.2,0.75,0.3,0.7,1.25,4.8,4.72,1.7,5.5,0.6,2.0,1.4,4.8,2.1,7.3,1.4,4.8
JuJu Smith-Schuster,Questionable,WR,3200.0,12.8,1.47,,0.9,2.04,3.0,3.82,0.0,0.0,1.0,3.6,0.6,2.4,0.3,1.5,1.7,7.8
Donovan Peoples-Jones,,WR,3200.0,12.8,0.94,,0.7,1.17,1.7,3.77,0.0,0.0,,,0.4,1.7,1.9,7.9,0.5,1.7
Jake Bobo,,WR,3200.0,12.8,0.05,,0.0,0.1,0.65,0.65,2.1,6.3,,,0.0,0.0,,,0.4,1.3
Seahawks,,DST,3200.0,12.8,13.78,7.8,11.3,22.25,13.0,15.33,,6.0,,,9.4,30.0,0.9,3.0,4.5,13.0
Zach Ertz,,TE,3200.0,12.8,4.54,5.7,3.1,4.81,10.15,8.62,1.2,4.2,2.6,9.0,3.5,11.3,0.7,2.6,3.3,11.6
Marquez Valdes-Scantling,,WR,3200.0,12.8,1.28,,1.5,1.06,2.75,2.95,0.0,0.0,0.5,2.2,0.4,1.6,1.1,4.7,0.7,3.3
Hunter Renfrow,,WR,3100.0,12.4,0.18,,0.0,0.35,3.25,2.97,0.0,0.0,0.5,1.7,0.9,3.2,1.0,3.7,0.8,3.3
Dalton Kincaid,,TE,3100.0,12.4,3.05,2.6,2.5,4.04,5.3,5.55,0.0,0.0,1.1,3.9,2.1,6.7,0.7,2.3,2.8,9.3
Steelers,,DST,3100.0,12.4,2.88,3.0,4.3,1.35,11.0,12.0,,,,,-0.3,-1.0,3.3,11.0,7.6,26.0
Khalil Shakir,,WR,3100.0,12.4,0.02,,0.0,0.04,1.8,2.92,0.7,2.3,0.7,2.1,0.0,0.0,0.4,1.5,2.2,8.1
Andre Baccellia,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Bryce Ford-Wheaton,IR,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Sterling Shepard,,WR,3000.0,12.0,0.02,,0.0,0.03,1.5,1.32,0.0,0.0,0.8,2.3,0.5,1.6,0.0,0.0,0.5,1.4
Demarcus Robinson,,WR,3000.0,12.0,0.0,,0.0,0.01,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,
Kaden Davis,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Daniel Arias,,WR,3000.0,12.0,,,,,,,0.0,0.0,,,,,,,,
Xavier Smith,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Ben Skowronek,Questionable,WR,3000.0,12.0,0.0,,0.0,0.0,0.65,1.1,,,0.0,0.0,0.0,0.0,0.4,1.3,1.0,3.1
Dax Milne,IR,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Zach Pascal,Questionable,WR,3000.0,12.0,0.01,,0.0,0.02,0.0,1.33,,,0.0,0.0,1.3,4.0,0.0,0.0,,
Terrell Bynum,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Alex Erickson,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Keelan Doss,,WR,3000.0,12.0,0.0,,0.0,,,,,,,,,,,,,
Jalen Guyton,PUP-R,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Tyler Johnson,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Nsimba Webster,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Joe Reed,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Trent Taylor,,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,
Velus Jones Jr.,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Tyler Scott,,WR,3000.0,12.0,0.12,,0.0,0.25,0.8,0.88,,,0.0,0.0,0.6,1.9,0.5,1.6,0.0,0.0
Equanimeous St. Brown,IR,WR,3000.0,12.0,,,,,0.0,1.03,0.0,0.0,0.0,0.0,1.0,3.1,,,0.0,0.0
Ryan Miller,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Cephus Johnson III,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Austin Trammell,,WR,3000.0,12.0,0.0,,0.0,0.0,,,,,,,,,,,,
Phillip Dorsett II,,WR,3000.0,12.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,
Dyami Brown,,WR,3000.0,12.0,0.12,,0.0,0.25,1.05,1.05,0.0,0.0,0.7,2.1,,,0.0,0.0,,
T.J. Luther,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Mike Williams,IR,WR,3000.0,12.0,,,,,16.6,14.9,0.0,0.0,,,0.0,0.0,4.7,28.1,2.9,16.6
Donald Parham Jr.,,TE,3000.0,12.0,,,,,1.7,5.37,1.3,3.9,,,0.0,0.0,5.3,14.4,0.6,1.7
Austin Watkins Jr.,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
Jaelon Darden,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Jakeem Grant Sr.,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Michael Woods II,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
David Bell,,WR,3000.0,12.0,0.0,,0.0,0.01,2.85,2.85,,,,,,,0.0,0.0,1.9,5.7
Marquise Goodwin,,WR,3000.0,12.0,0.01,,0.0,0.02,0.1,0.37,,,,,0.3,1.0,0.0,0.1,0.0,0.0
Dez Fitzpatrick,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Simi Fehoko,,WR,3000.0,12.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
Gunner Olszewski,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Miles Boykin,,WR,3000.0,12.0,0.0,,0.0,0.0,,,,,,,,,,,,
Cedric Tillman,,WR,3000.0,12.0,0.0,,0.0,0.01,0.0,0.0,,,,,,,0.0,0.0,,
Jalen Reagor,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Byron Pringle,,WR,3000.0,12.0,0.0,,0.0,0.01,2.5,2.5,,,,,0.8,2.5,,,,
Tre Nixon,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Tyquan Thornton,,WR,3000.0,12.0,0.01,,0.0,0.02,,,0.5,1.6,,,,,,,,
Matthew Slater,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Kayshon Boutte,Questionable,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
David Sills V,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Jalen Virgil,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Tim Patrick,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Russell Gage,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Brandon Johnson,,WR,3000.0,12.0,0.27,,0.4,0.14,3.2,4.17,0.0,0.0,0.6,1.9,2.3,7.4,1.0,3.2,,
Brycen Tremayne,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Kazmeir Allen,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Mitchell Tinsley,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Jamison Crowder,,WR,3000.0,12.0,,,,,4.1,4.1,0.0,0.0,1.4,4.1,,,,,,
David Moore,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Dennis Houston,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Rakim Jarrett,,WR,3000.0,12.0,0.0,,0.0,0.01,1.3,1.3,,,,,0.4,1.3,,,,
Trent Sherfield,,WR,3000.0,12.0,0.11,,0.0,0.22,1.3,1.7,0.0,0.0,0.4,1.3,1.3,3.8,,,0.0,0.0
Tre Tucker,,WR,3000.0,12.0,0.01,,0.0,0.02,0.8,0.8,,,0.5,1.6,,,0.0,0.0,,
Kristian Wilkerson,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Jalin Hyatt,,WR,3000.0,12.0,0.48,0.6,0.7,0.15,1.5,3.48,1.5,5.1,0.0,0.0,0.9,3.0,0.0,0.0,2.8,10.9
Josh Ali,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
KhaDarel Hodge,,WR,3000.0,12.0,0.0,,0.0,0.01,2.5,2.13,0.0,0.0,,,1.3,3.9,0.8,2.5,0.0,0.0
Scotty Miller,,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Bo Melton,,WR,3000.0,12.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0
Grant DuBose,,WR,3000.0,12.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,
Samori Toure,,WR,3000.0,12.0,,,,,1.8,2.02,,,0.0,0.0,1.5,4.5,0.7,2.0,0.5,1.6
Dontayvion Wicks,,WR,3000.0,12.0,0.07,,0.0,0.14,2.0,3.5,,,0.7,2.0,0.0,0.0,2.6,8.5,,
Malik Heath,,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Demario Douglas,Questionable,WR,3000.0,12.0,0.9,,0.5,1.29,3.2,3.95,,,1.1,3.4,2.2,6.5,1.0,3.0,0.9,2.9
Lil'Jordan Humphrey,,WR,3000.0,12.0,0.0,,0.0,,1.4,1.17,0.0,0.0,,,0.7,2.1,0.0,0.0,0.5,1.4
Greg Dortch,,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Devin Duvernay,,WR,3000.0,12.0,0.04,,0.0,0.07,0.75,1.08,0.0,0.0,0.0,0.0,0.9,2.8,0.0,0.0,0.5,1.5
Giants,,DST,3000.0,12.0,8.77,13.5,7.9,4.92,1.0,1.0,,5.0,,,1.1,3.0,0.4,1.0,-0.3,-1.0
Justin Watson,Out,WR,3000.0,12.0,,,,,7.35,6.1,0.0,0.0,2.2,7.6,0.4,1.5,2.0,7.1,2.5,8.2
Deonte Harty,,WR,3000.0,12.0,1.94,,0.8,3.08,3.15,4.22,2.4,7.3,2.7,8.2,1.0,3.0,1.1,3.3,0.7,2.4
Noah Gray,,TE,3000.0,12.0,1.3,,1.6,0.99,5.45,5.8,1.1,3.5,1.5,4.1,3.7,10.4,0.6,1.9,2.0,6.8
Richie James Jr.,IR,WR,3000.0,12.0,,,,,-0.5,-0.5,,,,,,,0.0,0.0,-0.3,-1.0
DeAndre Carter,,WR,3000.0,12.0,0.0,,0.0,0.01,0.0,0.1,,,0.1,0.3,0.0,0.0,,,0.0,0.0
Ty Montgomery II,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
Marvin Jones Jr.,Out,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,1.05,0.5,1.5,1.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Deven Thompkins,,WR,3000.0,12.0,2.42,,0.9,3.94,15.6,15.6,0.7,2.3,,,4.7,15.6,,,,
Parris Campbell,,WR,3000.0,12.0,0.24,,0.0,0.48,5.3,5.82,0.0,0.0,1.3,4.3,1.4,4.5,2.6,8.4,1.7,6.1
Keelan Cole Sr.,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Chase Claypool,,WR,3000.0,12.0,,,,,1.25,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.5,3.9,12.6
Justin Shorter,IR,WR,3000.0,12.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Antoine Green,,WR,3000.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
Justyn Ross,,WR,3000.0,12.0,0.04,,0.0,0.09,0.0,1.2,0.0,0.0,1.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Kylen Granson,Out,TE,3000.0,12.0,,,,,3.95,5.35,3.3,9.7,1.2,3.5,1.5,4.4,0.9,2.9,3.5,10.6
Amari Rodgers,,WR,3000.0,12.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,
Racey McMath,,WR,3000.0,12.0,,,,,,,0.0,0.0,,,,,,,,
D.J. Montgomery,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Ashton Dulin,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Bryan Thompson,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Isaiah McKenzie,,WR,3000.0,12.0,0.02,,0.0,0.04,1.3,1.1,,,0.1,0.4,0.5,1.6,0.4,1.3,,
Cornell Powell,,WR,3000.0,12.0,,,,,,,0.0,0.0,,,,,,,,
Maurice Alexander,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Daurice Fountain,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Dylan Drummond,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Montrell Washington,,WR,3000.0,12.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Dareke Young,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Andy Isabella,,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Tyrell Shavers,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Tylan Wallace,IR,WR,3000.0,12.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Sean Ryan,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Laquon Treadwell,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Cody Thompson,,WR,3000.0,12.0,0.0,,0.0,0.0,,,,,,,,,,,,
Dee Eskridge,Reserve-Sus,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Cade Johnson,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Easop Winston Jr.,,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Nikko Remigio,IR,WR,3000.0,12.0,,,,,,,,,,,,,,,,
Dawson Knox,,TE,2900.0,11.6,3.41,3.3,2.8,4.12,3.45,4.75,1.6,4.7,1.5,4.7,0.7,2.2,0.7,2.1,3.2,10.0
Bears,,DST,2900.0,11.6,2.99,4.0,4.2,0.77,1.0,1.0,,10.0,,,0.4,1.0,0.0,0.0,0.7,2.0
Cade Otton,,TE,2900.0,11.6,2.51,3.6,1.8,2.13,10.1,7.67,0.8,2.5,,,3.3,10.3,0.8,2.6,3.3,10.1
Falcons,,DST,2800.0,11.2,2.83,2.6,1.4,4.48,3.0,2.33,,5.0,,,1.1,3.0,1.1,3.0,0.3,1.0
Noah Fant,,TE,2800.0,11.2,1.86,1.1,1.8,2.69,8.3,8.67,0.6,1.9,,,2.9,8.3,2.8,8.1,3.3,9.6
Lions,,DST,2700.0,10.8,5.1,3.2,10.5,1.59,10.0,8.67,,10.0,,,3.0,10.0,4.7,16.0,0.0,0.0
Michael Mayer,,TE,2700.0,10.8,4.59,4.1,2.8,6.86,1.6,2.28,5.0,12.5,2.4,5.9,0.0,0.0,0.8,2.0,0.4,1.2
Josiah Deguara,,TE,2600.0,10.4,0.18,,0.0,0.37,2.9,4.27,,,1.0,2.9,3.0,7.4,,,1.0,2.5
Will Dissly,,TE,2600.0,10.4,0.16,,0.0,0.33,0.0,2.17,0.5,1.4,,,0.0,0.0,0.0,0.0,2.3,6.5
Trey McBride,,TE,2600.0,10.4,2.83,2.1,1.8,4.58,2.6,2.9,4.1,10.2,1.5,3.7,0.6,1.5,0.4,1.2,1.9,5.2
Adam Trautman,,TE,2600.0,10.4,2.23,2.9,2.2,1.58,0.0,3.15,0.5,1.4,4.7,12.6,0.0,0.0,0.0,0.0,0.0,0.0
Broncos,,DST,2600.0,10.4,5.65,4.5,2.8,9.65,2.0,5.0,,5.0,,,3.5,13.0,0.8,2.0,0.0,0.0
Mike Gesicki,,TE,2600.0,10.4,1.26,0.5,1.8,1.48,3.25,4.25,2.2,5.8,1.4,3.7,0.8,2.2,1.0,2.8,2.8,8.3
Pharaoh Brown,,TE,2500.0,10.0,0.02,,0.0,0.03,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,
Tre' McKitty,,TE,2500.0,10.0,0.02,,0.0,0.05,,,,,,,,,,,,
Blake Whiteheart,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Bernhard Seikovits,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Geoff Swaim,,TE,2500.0,10.0,0.0,,0.0,0.0,,,,,,,,,,,,
Nick Vannett,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Hunter Kampmoyer,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Stone Smartt,,TE,2500.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
Patrick Scales,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Tommy Sweeney,NFI-R,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Stephen Carlson,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Marcedes Lewis,,TE,2500.0,10.0,0.0,,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.7,1.8,,,0.0,0.0
Tanner Taula,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
David Wells,,TE,2500.0,10.0,,,,,0.5,0.5,,,,,0.0,0.0,,,0.4,1.0
Payne Durham,,TE,2500.0,10.0,0.0,,0.0,0.01,,,,,,,,,,,,
Ko Kieft,,TE,2500.0,10.0,0.0,,0.0,0.01,0.0,0.0,,,,,,,0.0,0.0,,
Matt Bushman,,TE,2500.0,10.0,,,,,,,0.0,0.0,,,,,,,,
James Winchester,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Lawrence Cager,,TE,2500.0,10.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Jones,,TE,2500.0,10.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
Tyree Jackson,,TE,2500.0,10.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
Brandon Dillon,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Rodney Williams II,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Jody Fortson,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Mitchell Fraboni,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Lucas Krull,,TE,2500.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
Zaire Mitchell-Paden,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Nate Adkins,,TE,2500.0,10.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,
Chris Manhertz,,TE,2500.0,10.0,0.0,,0.0,0.0,1.0,1.0,,,,,0.8,2.0,,,0.0,0.0
Armani Rogers,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Matt Sokol,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Kaden Smith,,TE,2500.0,10.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Curtis Hodges,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Cole Turner,,TE,2500.0,10.0,0.06,,0.0,0.11,3.0,3.38,0.0,0.0,0.8,1.9,0.0,0.0,2.8,7.5,1.6,4.1
John Bates,,TE,2500.0,10.0,0.12,,0.0,0.25,3.55,4.08,0.0,0.0,1.6,3.9,0.6,1.6,1.1,3.2,3.0,7.6
Nikola Kalinic,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Hunter Long,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Davis Allen,,TE,2500.0,10.0,0.02,,0.0,0.03,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
Gerrit Prince,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Robert Tonyan,,TE,2500.0,10.0,0.88,,1.4,0.35,1.5,1.7,0.8,2.1,1.2,3.0,1.5,3.8,0.0,0.0,0.0,0.0
Jelani Woods,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Feleipe Franks,IR,TE,2500.0,10.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Will Mallory,,TE,2500.0,10.0,0.74,,1.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tyler Davis,IR,TE,2500.0,10.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Ben Sims,,TE,2500.0,10.0,,,,,1.1,1.1,,,0.9,2.2,0.0,0.0,,,,
Tucker Kraft,,TE,2500.0,10.0,0.02,,0.0,0.04,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
Harrison Bryant,Questionable,TE,2500.0,10.0,0.11,,0.0,0.22,0.4,0.6,0.0,0.0,,,0.6,1.4,0.1,0.4,0.0,0.0
Jordan Akins,,TE,2500.0,10.0,0.1,,0.0,0.19,0.6,0.6,,,,,,,0.0,0.0,0.5,1.2
Brycen Hopkins,,TE,2500.0,10.0,0.01,,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.6,1.5,,,0.0,0.0
Connor Heyward,,TE,2500.0,10.0,1.59,2.5,0.0,2.28,0.0,1.77,,,2.1,5.3,,,0.0,0.0,0.0,0.0
Darnell Washington,,TE,2500.0,10.0,0.68,,0.0,1.35,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
Blake Bell,,TE,2500.0,10.0,0.02,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
