Player,Team,Pos,Injury,Status,Est. Return
Bryan Bulaga,FA,OT,Back,Questionable,9/24/2023
LaTrell Bumphus,SEA,DT,Undisclosed,IR,2/12/2024
Ian Bunting,FA,TE,Neck,Questionable,9/24/2023
Amari Burney,LV,LB,Coach's Decision,Inactive,9/24/2023
Joe Burrow,CIN,QB,Calf,Questionable,9/25/2023
Devin Bush,SEA,LB,Shoulder,Inactive,9/24/2023
Darien Butler,LV,LB,Undisclosed,IR,2/12/2024
Hakeem Butler,FA,WR,Undisclosed,Questionable,9/24/2023
Vernon Butler,FA,DT,Undisclosed,Questionable,9/24/2023
Akial Byers,FA,DT,Undisclosed,Questionable,9/24/2023
Damiere Byrd,FA,WR,Hamstring,Questionable,9/24/2023
Lawrence Cager,NYG,TE,Coach's Decision,Inactive,9/21/2023
Yodny Cajuste,FA,OT,Undisclosed,Questionable,9/24/2023
Elijah Campbell,MIA,S,Knee,Inactive,9/24/2023
Ibraheim Campbell,FA,S,Ankle,Questionable,9/24/2023
Marcus Cannon,FA,OT,Concussion,Questionable,9/24/2023
Trenton Cannon,FA,RB,Knee,Questionable,9/24/2023
Dylan Cantrell,FA,TE,Undisclosed,Questionable,9/24/2023
Jackson Carman,CIN,OT,Coach's Decision,Inactive,9/25/2023
Patrick Carr,FA,RB,Undisclosed,Questionable,9/24/2023
Andre Carter,MIN,LB,Coach's Decision,Inactive,9/24/2023
Jamal Carter,FA,S,Undisclosed,Questionable,9/24/2023
Michael Carter,NYJ,CB,Elbow,Questionable,9/24/2023
Jerome Carvin,FA,C,Undisclosed,Questionable,9/24/2023
Quintez Cephus,FA,WR,Suspension,Reserve-Sus,2/12/2024
Sean Chandler,FA,S,Suspension,Reserve-Sus,9/24/2023
DJ Chark,CAR,WR,Hamstring,Questionable,9/18/2023
Taco Charlton,FA,DE,Undisclosed,Questionable,9/24/2023
Brady Christensen,CAR,OG,Biceps,IR,2/12/2024
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,9/24/2023
Chuck Clark,NYJ,S,Knee - ACL,IR,2/12/2024
Darius Clark,FA,RB,Knee,Questionable,9/24/2023
Frank Clark,DEN,LB,Hip,Inactive,9/24/2023
Chris Claybrooks,JAX,CB,Undisclosed,Reserve-CEL,2/12/2024
Tyrie Cleveland,FA,WR,Concussion,Questionable,9/24/2023
Keondre Coburn,KC,DT,Coach's Decision,Inactive,9/24/2023
Devin Cochran,CIN,OT,Knee,IR,2/12/2024
Adrian Colbert,FA,S,Undisclosed,Questionable,9/24/2023
L.J. Collier,ARI,DE,Biceps,IR,10/15/2023
La'el Collins,FA,OT,Knee - ACL + MCL,Questionable,9/24/2023
Tom Compton,FA,OT,Back,Questionable,9/24/2023
Jack Conklin,CLE,OT,Knee - ACL + MCL,IR,2/12/2024
Gareon Conley,FA,CB,Ankle,Questionable,9/24/2023
