PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Zack Moss,RB,IND,TEN,-118,42.50,-1.00,21.75,4600,14.37,3.1,37.87
Christian McCaffrey,RB,SF,PHI,-154,48.00,-3.00,25.50,9000,21.38,2.4,23.31
Rachaad White,RB,TB,CAR,-195,36.50,-3.50,20.00,6300,15.39,2.4,22.35
Tyreek Hill,WR,MIA,WAS,-441,49.50,-9.00,29.25,9600,25.09,2.6,20.26
Javonte Williams,RB,DEN,HOU,138,47.50,3.00,22.25,5700,13.01,2.3,19.30
Atlanta Falcons,D,ATL,NYJ,-138,33.50,-2.00,17.75,3400,8.06,2.4,18.72
Tampa Bay Buccaneers,D,TB,CAR,-195,36.50,-3.50,20.00,3600,8.89,2.5,18.12
Jaylen Warren,RB,PIT,ARI,-284,41.00,-6.50,23.75,5400,11.87,2.2,14.65
Keenan Allen,WR,LAC,NE,-247,39.50,-5.50,22.50,9000,18.22,2.0,13.87
Courtland Sutton,WR,DEN,HOU,138,47.50,3.00,22.25,5400,11.53,2.1,13.80
Diontae Johnson,WR,PIT,ARI,-284,41.00,-6.50,23.75,5000,11.99,2.4,13.53
Michael Pittman,WR,IND,TEN,-118,42.50,-1.00,21.75,7100,14.22,2.0,13.17
Russell Wilson,QB,DEN,HOU,138,47.50,3.00,22.25,5700,16.47,2.9,12.45
Amon-Ra St. Brown,WR,DET,NO,-206,47.00,-4.50,25.75,8500,18.58,2.2,12.34
Terry McLaurin,WR,WAS,MIA,342,49.50,9.00,20.25,5500,12.44,2.3,12.25
Carolina Panthers,D,CAR,TB,162,36.50,3.50,16.50,2500,6.88,2.8,12.14
Najee Harris,RB,PIT,ARI,-284,41.00,-6.50,23.75,5200,12.80,2.5,12.05
Brock Purdy,QB,SF,PHI,-154,48.00,-3.00,25.50,6100,17.76,2.9,11.95
Elijah Moore,WR,CLE,LAR,166,40.50,4.00,18.25,3500,8.88,2.5,11.76
Tank Dell,WR,HOU,DEN,-165,47.50,-3.00,25.25,7400,13.89,1.9,11.45
Jahmyr Gibbs,RB,DET,NO,-206,47.00,-4.50,25.75,6700,15.56,2.3,11.44
David Njoku,TE,CLE,LAR,166,40.50,4.00,18.25,4100,9.80,2.4,11.19
Rhamondre Stevenson,RB,NE,LAC,200,39.50,5.50,17.00,6000,13.07,2.2,10.94
Jalen Hurts,QB,PHI,SF,128,48.00,3.00,22.50,8200,22.60,2.8,10.71
Alvin Kamara,RB,NO,DET,170,47.00,4.50,21.25,8200,16.79,2.1,10.69
Jaylen Waddle,WR,MIA,WAS,-441,49.50,-9.00,29.25,7600,16.04,2.1,10.51
Austin Ekeler,RB,LAC,NE,-247,39.50,-5.50,22.50,8300,18.66,2.3,10.45
Miami Dolphins,D,MIA,WAS,-441,49.50,-9.00,29.25,3900,8.89,2.3,10.33
Nico Collins,WR,HOU,DEN,-165,47.50,-3.00,25.25,6800,11.93,1.8,9.66
Marquise Brown,WR,ARI,PIT,228,41.00,6.50,17.25,5200,12.34,2.4,9.26
Deebo Samuel,WR,SF,PHI,-154,48.00,-3.00,25.50,6200,13.03,2.1,9.22
Kyren Williams,RB,LAR,CLE,-200,40.50,-4.00,22.25,7200,15.37,2.1,8.94
Trey Palmer,WR,TB,CAR,-195,36.50,-3.50,20.00,3200,8.23,2.6,8.77
Tua Tagovailoa,QB,MIA,WAS,-441,49.50,-9.00,29.25,7900,19.98,2.5,8.31
George Pickens,WR,PIT,ARI,-284,41.00,-6.50,23.75,4800,10.83,2.3,8.29
Juwan Johnson,TE,NO,DET,170,47.00,4.50,21.25,3400,6.28,1.9,8.27
Josh Downs,WR,IND,TEN,-118,42.50,-1.00,21.75,5100,11.17,2.2,8.21
Trey McBride,TE,ARI,PIT,228,41.00,6.50,17.25,4900,10.79,2.2,8.19
Logan Thomas,TE,WAS,MIA,342,49.50,9.00,20.25,3600,8.80,2.4,8.09
