Player,Position,Team,Opponent,Salary,% ownership,Notes
Trey McBride,TE,ARI,HOU,"$4,400",24.90%,
Evan Engram,TE,JAX,TEN,"$4,300",24.40%,
Tank Dell,WR,HOU,ARI,"$5,900",22.30%,
Tyreek Hill,WR,MIA,LV,"$9,300",20.90%,
Devin Singletary,RB,HOU,ARI,"$5,300",19.30%,
Travis Etienne Jr.,RB,JAX,TEN,"$7,200",18.10%,
James Conner,RB,ARI,HOU,"$5,700",17.30%,
Michael Wilson,WR,ARI,HOU,"$3,400",16.70%,
Breece Hall,RB,NYJ,BUF,"$6,400",16.60%,
Josh Jacobs,RB,LV,MIA,"$6,800",16.50%,
Cole Kmet,TE,CHI,DET,"$4,100",16.40%,
Marquise Brown,WR,ARI,HOU,"$5,300",15.80%,
Jahmyr Gibbs,RB,DET,CHI,"$7,000",15.50%,
Tony Pollard,RB,DAL,CAR,"$6,600",15.40%,
Commanders,DST,WAS,NYG,"$3,600",15.20%,
Christian McCaffrey,RB,SF,TB,"$9,300",15.10%,
Garrett Wilson,WR,NYJ,BUF,"$6,400",15.00%,
Aaron Jones,RB,GB,LAC,"$6,200",14.80%,
Christian Kirk,WR,JAX,TEN,"$6,000",14.00%,
Rondale Moore,WR,ARI,HOU,"$3,300",14.00%,
Dalton Kincaid,TE,BUF,NYJ,"$4,900",13.50%,
Dalton Schultz,TE,HOU,ARI,"$5,000",13.20%,
Cooper Kupp,WR,LA,SEA,"$8,100",12.90%,
Brock Purdy,QB,SF,TB,"$5,800",12.40%,
Dolphins,DST,MIA,LV,"$3,200",12.20%,
Steelers,DST,PIT,CLE,"$3,500",12.10%,
Calvin Ridley,WR,JAX,TEN,"$5,400",12.00%,
Kyler Murray,QB,ARI,HOU,"$6,100",11.80%,
Terry McLaurin,WR,WAS,NYG,"$5,800",10.50%,
Amon-Ra St. Brown,WR,DET,CHI,"$8,800",10.40%,
Saquon Barkley,RB,NYG,WAS,"$7,100",10.30%,
Puka Nacua,WR,LA,SEA,"$7,100",10.20%,
Austin Ekeler,RB,LAC,GB,"$8,600",10.20%,
CeeDee Lamb,WR,DAL,CAR,"$9,200",10.10%,
Tyler Lockett,WR,SEA,LA,"$6,500",9.90%,
DJ Moore,WR,CHI,DET,"$5,600",9.70%,
Jaguars,DST,JAX,TEN,"$3,400",9.50%,
Geno Smith,QB,SEA,LA,"$5,900",8.90%,
Noah Brown,WR,HOU,ARI,"$4,800",8.70%,
Trevor Lawrence,QB,JAX,TEN,"$6,000",8.00%,
Sam Howell,QB,WAS,NYG,"$6,300",8.00%,
Keenan Allen,WR,LAC,GB,"$9,000",7.50%,
Deebo Samuel,WR,SF,TB,"$6,300",7.50%,
C.J. Stroud,QB,HOU,ARI,"$7,000",7.40%,
Jalen Guyton,WR,LAC,GB,"$3,300",7.30%,
Jared Goff,QB,DET,CHI,"$6,600",7.20%,
Chuba Hubbard,RB,CAR,DAL,"$4,900",7.20%,
Logan Thomas,TE,WAS,NYG,"$3,700",6.90%,
Jerome Ford,RB,CLE,PIT,"$5,200",6.80%,
Jaxon Smith-Njigba,WR,SEA,LA,"$4,300",6.80%,
DeAndre Hopkins,WR,TEN,JAX,"$6,100",6.60%,
Cowboys,DST,DAL,CAR,"$4,100",6.50%,
Jake Ferguson,TE,DAL,CAR,"$4,600",6.30%,
Tyler Conklin,TE,NYJ,BUF,"$2,900",6.30%,
Brian Robinson Jr.,RB,WAS,NYG,"$5,800",6.30%,
Dak Prescott,QB,DAL,CAR,"$7,300",6.00%,
Jaylen Warren,RB,PIT,CLE,"$5,100",5.90%,
DK Metcalf,WR,SEA,LA,"$6,900",5.70%,
Diontae Johnson,WR,PIT,CLE,"$5,000",5.70%,
Packers,DST,GB,LAC,"$2,300",5.70%,
Bills,DST,BUF,NYJ,"$4,000",5.60%,
Sam LaPorta,TE,DET,CHI,"$5,800",5.60%,
Christian Watson,WR,GB,LAC,"$4,600",5.40%,
Pat Freiermuth,TE,PIT,CLE,"$2,500",5.40%,
Rachaad White,RB,TB,SF,"$6,000",5.20%,
Tua Tagovailoa,QB,MIA,LV,"$7,700",5.00%,
Brandon Aiyuk,WR,SF,TB,"$7,200",4.90%,
Kenneth Walker III,RB,SEA,LA,"$6,700",4.80%,
Elijah Moore,WR,CLE,PIT,"$3,500",4.60%,
Jonathan Mingo,WR,CAR,DAL,"$3,400",4.50%,
David Njoku,TE,CLE,PIT,"$3,900",4.50%,
49ers,DST,SF,TB,"$3,900",4.40%,
Jaylen Waddle,WR,MIA,LV,"$7,600",4.20%,
Derrick Henry,RB,TEN,JAX,"$6,300",4.10%,
Darnell Mooney,WR,CHI,DET,"$3,300",4.00%,
Justin Fields,QB,CHI,DET,"$6,900",3.90%,
Wan'Dale Robinson,WR,NYG,WAS,"$3,500",3.80%,
Jordan Love,QB,GB,LAC,"$5,600",3.70%,
James Cook,RB,BUF,NYJ,"$6,100",3.70%,
Giants,DST,NYG,WAS,"$3,000",3.60%,
Darrell Henderson Jr.,RB,LA,SEA,"$5,000",3.50%,
Curtis Samuel,WR,WAS,NYG,"$3,600",3.40%,
Chig Okonkwo,TE,TEN,JAX,"$3,200",3.30%,
Seahawks,DST,SEA,LA,"$3,100",3.20%,
Browns,DST,CLE,PIT,"$3,700",3.20%,
Davante Adams,WR,LV,MIA,"$7,900",3.20%,
Josh Allen,QB,BUF,NYJ,"$8,200",3.20%,
Jets,DST,NYJ,BUF,"$2,600",3.20%,
Tyler Higbee,TE,LA,SEA,"$3,300",3.20%,
Texans,DST,HOU,ARI,"$3,000",3.00%,
Lions,DST,DET,CHI,"$3,800",2.90%,
Khalil Shakir,WR,BUF,NYJ,"$3,200",2.90%,
Robert Woods,WR,HOU,ARI,"$3,700",2.70%,
Najee Harris,RB,PIT,CLE,"$5,100",2.70%,
Quentin Johnston,WR,LAC,GB,"$4,200",2.70%,
Panthers,DST,CAR,DAL,"$2,200",2.60%,
Mike Evans,WR,TB,SF,"$7,400",2.50%,
Trey Palmer,WR,TB,SF,"$3,000",2.40%,
Rams,DST,LA,SEA,"$2,800",2.40%,
Kyle Philips,WR,TEN,JAX,"$3,000",2.30%,
Justin Herbert,QB,LAC,GB,"$7,600",2.30%,
Cade Otton,TE,TB,SF,"$3,400",2.30%,
