Player,Team,Pos,Injury,Status,Est. Return
Andrew Adams,FA,S,Knee,Questionable,10/8/2023
Davante Adams,LV,WR,Shoulder,Questionable,10/9/2023
Jamal Adams,SEA,S,Concussion,Questionable,10/15/2023
Paulson Adebo,NO,CB,Hamstring,Questionable,10/8/2023
Jamal Agnew,JAX,WR,Quadriceps,Questionable,10/8/2023
Otaro Alaka,FA,LB,Undisclosed,Questionable,10/8/2023
Christian Albright,FA,LB,Undisclosed,Questionable,10/8/2023
Jaire Alexander,GB,CB,Back,Questionable,10/9/2023
Mackensie Alexander,FA,CB,Undisclosed,Questionable,10/8/2023
Josh Ali,ATL,WR,Ankle,IR,11/5/2023
Chase Allen,FA,TE,Undisclosed,Questionable,10/8/2023
Christopher Allen,FA,LB,Groin,Questionable,10/8/2023
Torrence Allen,FA,WR,Undisclosed,Questionable,10/8/2023
Jaquan Amos,FA,S,Undisclosed,Questionable,10/8/2023
Bradlee Anae,NYJ,DE,Undisclosed,IR,2/12/2024
Troy Andersen,ATL,LB,Shoulder,IR,1/7/2024
Darius Anderson,FA,RB,Knee,Questionable,10/8/2023
Henry Anderson,CAR,DE,Foot,IR,2/12/2024
Jack Anderson,FA,OG,Undisclosed,Out,10/15/2023
Zayne Anderson,GB,S,Hamstring,Questionable,10/9/2023
Ezekiel Ansah,FA,DE,Biceps,Questionable,10/8/2023
Troy Apke,WAS,CB,Shoulder,IR,2/12/2024
Terron Armstead,MIA,OT,Knee,IR,11/5/2023
Cornell Armstrong,FA,CB,Hamstring,Questionable,10/8/2023
Brian Asamoah,MIN,LB,Toe,Questionable,10/8/2023
Jaytlin Askew,FA,CB,Quadriceps,Questionable,10/8/2023
Anthony Averett,FA,CB,Undisclosed,Questionable,10/8/2023
C. J. Avery,FA,LB,Undisclosed,Questionable,10/8/2023
Genard Avery,IND,DE,Knee - Meniscus,IR,2/12/2024
Chidobe Awuzie,CIN,CB,Back,Questionable,10/8/2023
Alex Bachman,FA,WR,Oblique,Questionable,10/8/2023
David Bada,WAS,DT,Triceps,IR,2/12/2024
Budda Baker,ARI,S,Hamstring,IR,10/22/2023
David Bakhtiari,GB,OT,Knee,IR,2/12/2024
Daylen Baldwin,FA,WR,Hamstring,Questionable,10/8/2023
Josh Ball,DAL,OT,Hip,IR,2/12/2024
Matt Barkley,FA,QB,Elbow,Questionable,10/8/2023
Saquon Barkley,NYG,RB,Ankle,Questionable,10/8/2023
Christian Barmore,NE,DT,Knee,Questionable,10/8/2023
Evan Baylis,FA,TE,Ankle,Questionable,10/8/2023
Robert Beal,SF,DE,Hamstring,IR,10/8/2023
Cole Beasley,FA,WR,Leg,Out,10/8/2023
Abraham Beauplan,FA,LB,Undisclosed,Questionable,10/8/2023
Willie Beavers,FA,OG,Undisclosed,Questionable,10/8/2023
Nate Becker,FA,TE,Undisclosed,Questionable,10/8/2023
Odell Beckham,BAL,WR,Ankle,Questionable,10/8/2023
Daniel Bellinger,NYG,TE,Knee,Questionable,10/8/2023
