Player,Position,Team,Opponent,Salary,% ownership,Notes
De'Von Achane,RB,MIA,NYG,"$6,100",24.00%,
Bijan Robinson,RB,ATL,HOU,"$7,700",22.90%,
Tyreek Hill,WR,MIA,NYG,"$9,000",22.30%,
Travis Kelce,TE,KC,MIN,"$7,600",22.20%,
Ja'Marr Chase,WR,CIN,ARI,"$7,900",22.20%,
Joe Mixon,RB,CIN,ARI,"$6,400",21.30%,
Justin Jefferson,WR,MIN,KC,"$9,400",20.90%,
Wan'Dale Robinson,WR,NYG,MIA,"$3,000",19.50%,
Alvin Kamara,RB,NO,NE,"$6,300",18.30%,
David Montgomery,RB,DET,CAR,"$6,600",18.00%,
Marquise Brown,WR,ARI,CIN,"$5,000",17.90%,
Titans,DST,TEN,IND,"$2,400",15.70%,
Sam LaPorta,TE,DET,CAR,"$5,000",15.20%,
D'Andre Swift,RB,PHI,LA,"$6,000",14.60%,
Breece Hall,RB,NYJ,DEN,"$5,400",14.40%,
Patrick Mahomes,QB,KC,MIN,"$8,200",14.20%,
Tyler Boyd,WR,CIN,ARI,"$4,500",14.20%,
A.J. Brown,WR,PHI,LA,"$8,000",14.00%,
Garrett Wilson,WR,NYJ,DEN,"$6,000",13.60%,
Jalen Hurts,QB,PHI,LA,"$8,000",13.00%,
Isiah Pacheco,RB,KC,MIN,"$5,700",13.00%,
DeAndre Hopkins,WR,TEN,IND,"$5,700",12.80%,
Zach Ertz,TE,ARI,CIN,"$3,500",12.60%,
Derrick Henry,RB,TEN,IND,"$7,500",12.40%,
Tank Dell,WR,HOU,ATL,"$4,800",11.10%,
Rhamondre Stevenson,RB,NE,NO,"$5,600",10.70%,
Alexander Mattison,RB,MIN,KC,"$5,700",10.60%,
Tua Tagovailoa,QB,MIA,NYG,"$7,100",10.60%,
Kyren Williams,RB,LA,PHI,"$6,700",10.50%,
Rashee Rice,WR,KC,MIN,"$3,600",10.40%,
James Conner,RB,ARI,CIN,"$5,800",10.30%,
Saints,DST,NO,NE,"$3,000",10.20%,
Adam Thielen,WR,CAR,DET,"$5,100",10.00%,
Dolphins,DST,MIA,NYG,"$3,600",9.80%,
Michael Pittman Jr.,WR,IND,TEN,"$6,400",9.50%,
