Player,Position,Team,Opponent,Salary,% ownership,Notes
Dallas Goedert,TE,PHI,LA,"$4,200",9.30%,
Steelers,DST,PIT,BAL,"$2,700",9.20%,
Patriots,DST,NE,NO,"$3,100",9.10%,
George Pickens,WR,PIT,BAL,"$5,200",8.80%,
Nico Collins,WR,HOU,ATL,"$5,600",8.80%,
Robert Woods,WR,HOU,ATL,"$4,000",8.80%,
Joe Burrow,QB,CIN,ARI,"$6,200",8.60%,
Josh Reynolds,WR,DET,CAR,"$4,200",8.60%,
Kirk Cousins,QB,MIN,KC,"$6,900",8.50%,
Anthony Richardson,QB,IND,TEN,"$7,000",7.90%,
Josh Downs,WR,IND,TEN,"$3,700",7.70%,
Kalif Raymond,WR,DET,CAR,"$3,300",7.60%,
Tyler Higbee,TE,LA,PHI,"$4,100",7.50%,
Raheem Mostert,RB,MIA,NYG,"$6,200",7.40%,
Courtland Sutton,WR,DEN,NYJ,"$5,400",7.40%,
Calvin Austin III,WR,PIT,BAL,"$3,500",7.00%,
Miles Sanders,RB,CAR,DET,"$5,200",6.90%,
Mark Andrews,TE,BAL,PIT,"$5,500",6.70%,
DeVonta Smith,WR,PHI,LA,"$7,400",6.60%,
Kyle Pitts,TE,ATL,HOU,"$3,300",6.50%,
Jonnu Smith,TE,ATL,HOU,"$2,900",6.50%,
Matthew Stafford,QB,LA,PHI,"$5,600",6.40%,
Chig Okonkwo,TE,TEN,IND,"$3,200",6.40%,
Broncos,DST,DEN,NYJ,"$3,200",6.10%,
Dameon Pierce,RB,HOU,ATL,"$5,300",5.90%,
Lions,DST,DET,CAR,"$3,800",5.80%,
T.J. Hockenson,TE,MIN,KC,"$6,500",5.70%,
Daniel Jones,QB,NYG,MIA,"$5,800",5.70%,
Zay Flowers,,BAL,PIT,"$5,500",5.70%,
Joshua Dobbs,QB,ARI,CIN,"$5,200",5.40%,
Colts,DST,IND,TEN,"$3,200",5.40%,
Michael Thomas,WR,NO,NE,"$4,900",5.10%,
Jets,DST,NYJ,DEN,"$3,100",4.80%,
Puka Nacua,WR,LA,PHI,"$7,700",4.70%,
Irv Smith Jr.,TE,CIN,ARI,"$3,100",4.60%,
Cooper Kupp,WR,LA,PHI,"$8,600",4.50%,
Durham Smythe,TE,MIA,NYG,"$3,000",4.40%,
Drake London,WR,ATL,HOU,"$4,700",4.30%,
Cardinals,DST,ARI,CIN,"$2,800",4.10%,
Jared Goff,QB,DET,CAR,"$6,300",4.00%,
Russell Wilson,QB,DEN,NYJ,"$5,700",3.90%,
Jaylen Waddle,WR,MIA,NYG,"$7,500",3.80%,
Chiefs,DST,KC,MIN,"$3,300",3.50%,
Jahmyr Gibbs,RB,DET,CAR,"$5,900",3.40%,
Rondale Moore,WR,ARI,CIN,"$3,200",3.20%,
Michael Wilson,WR,ARI,CIN,"$3,700",3.20%,
Chris Olave,WR,NO,NE,"$6,900",3.10%,
Kylen Granson,TE,IND,TEN,"$3,000",3.10%,
Nick Westbrook-Ikhine,WR,TEN,IND,"$3,500",3.10%,
Tyler Conklin,TE,NYJ,DEN,"$3,200",3.00%,
Panthers,DST,CAR,DET,"$2,200",3.00%,
Jaleel McLaughlin,RB,DEN,NYJ,"$5,000",2.90%,
Jordan Addison,WR,MIN,KC,"$5,300",2.90%,
Jaylen Warren,RB,PIT,BAL,"$4,900",2.80%,
Ravens,DST,BAL,PIT,"$4,200",2.80%,
Eagles,DST,PHI,LA,"$3,900",2.70%,
Ryan Tannehill,QB,TEN,IND,"$4,900",2.70%,
Jerry Jeudy,WR,DEN,NYJ,"$6,300",2.60%,
Samaje Perine,RB,DEN,NYJ,"$4,800",2.40%,
DeVante Parker,WR,NE,NO,"$3,800",2.30%,
C.J. Stroud,QB,HOU,ATL,"$6,000",2.30%,
Jonathan Taylor,RB,IND,TEN,"$6,800",2.00%,
Allen Lazard,WR,NYJ,DEN,"$3,900",2.00%,
Zach Wilson,QB,NYJ,DEN,"$4,900",2.00%,
Foster Moreau,TE,NO,NE,"$2,500",1.90%,
Player,Position,Team,Opponent,Salary,% ownership,Notes
Dalton Schultz,TE,HOU,ATL,"$3,400",1.80%,
Texans,DST,HOU,ATL,"$3,500",1.80%,
K.J. Osborn,WR,MIN,KC,"$4,100",1.60%,
Rams,DST,LA,PHI,"$2,600",1.60%,
Rashid Shaheed,WR,NO,NE,"$3,800",1.50%,
Jonathan Mingo,WR,CAR,DET,"$3,300",1.40%,
Falcons,DST,ATL,HOU,"$3,400",1.30%,
Braxton Berrios,WR,MIA,NYG,"$3,600",1.30%,
Giants,DST,NYG,MIA,"$2,000",1.30%,
Lamar Jackson,QB,BAL,PIT,"$7,800",1.20%,
Vikings,DST,MIN,KC,"$2,500",1.20%,
Darren Waller,TE,NYG,MIA,"$5,400",1.10%,
Bengals,DST,CIN,ARI,"$3,700",1.00%,
Matt Breida,RB,NYG,MIA,"$5,200",1.00%,
Darius Slayton,WR,NYG,MIA,"$4,100",1.00%,
Allen Robinson II,WR,PIT,BAL,"$3,400",0.90%,
JuJu Smith-Schuster,WR,NE,NO,"$3,500",0.90%,
Skyy Moore,WR,KC,MIN,"$4,400",0.90%,
Tee Higgins,WR,CIN,ARI,"$6,600",0.90%,
Desmond Ridder,QB,ATL,HOU,"$4,900",0.90%,
Mac Jones,QB,NE,NO,"$5,100",0.90%,
Hayden Hurst,TE,CAR,DET,"$3,100",0.80%,
Alec Pierce,WR,IND,TEN,"$3,400",0.80%,
Najee Harris,RB,PIT,BAL,"$5,400",0.80%,
Kadarius Toney,WR,KC,MIN,"$4,300",0.80%,
Marquez Valdes-Scantling,WR,KC,MIN,"$4,100",0.80%,
Derek Carr,QB,NO,NE,"$5,300",0.70%,
Marvin Mims Jr.,WR,DEN,NYJ,"$4,000",0.60%,
Hunter Henry,TE,NE,NO,"$4,400",0.60%,
Kenneth Gainwell,RB,PHI,LA,"$4,800",0.60%,
DJ Chark Jr.,WR,CAR,DET,"$4,000",0.60%,
Bryce Young,QB,CAR,DET,"$5,100",0.50%,
Gus Edwards,RB,BAL,PIT,"$5,000",0.50%,
Tyjae Spears,RB,TEN,IND,"$4,800",0.50%,
Ezekiel Elliott,RB,NE,NO,"$4,700",0.50%,
Rashod Bateman,WR,BAL,PIT,"$4,400",0.40%,
Cam Akers,RB,MIN,KC,"$4,900",0.40%,
Chuba Hubbard,RB,CAR,DET,"$4,500",0.40%,
Tyler Allgeier,RB,ATL,HOU,"$4,700",0.40%,
Kendrick Bourne,WR,NE,NO,"$4,600",0.40%,
Kenny Pickett,QB,PIT,BAL,"$5,000",0.30%,
Jerick McKinnon,RB,KC,MIN,"$4,900",0.30%,
Dalvin Cook,RB,NYJ,DEN,"$5,100",0.30%,
Devin Singletary,RB,HOU,ATL,"$4,400",0.30%,
Zack Moss,RB,IND,TEN,"$5,800",0.30%,
Demario Douglas,WR,NE,NO,"$3,000",0.30%,
Justin Watson,WR,KC,MIN,"$3,400",0.30%,
Mack Hollins,WR,ATL,HOU,"$3,300",0.30%,
Odell Beckham Jr.,WR,BAL,PIT,"$4,200",0.30%,
Trenton Irwin,WR,CIN,ARI,"$3,200",0.30%,
Tutu Atwell,WR,LA,PHI,"$5,300",0.30%,
Taysom Hill,TE,NO,NE,"$3,900",0.30%,
