Player,Team,Pos,Injury,Status,Est. Return
Israel Abanikanda,NYJ,RB,Ankle,Questionable,12/24/2023
De'Von Achane,MIA,RB,Toe,Questionable,12/24/2023
Jamal Adams,SEA,S,Knee,Questionable,12/24/2023
Salvon Ahmed,MIA,RB,Foot,IR,2/12/2024
Cam Akers,MIN,RB,Achilles,IR,2/12/2024
Otaro Alaka,FA,LB,Undisclosed,Questionable,12/24/2023
Christian Albright,FA,LB,Undisclosed,Questionable,12/24/2023
Jaire Alexander,GB,CB,Shoulder,Questionable,12/24/2023
Kwon Alexander,PIT,LB,Achilles,IR,2/12/2024
Mackensie Alexander,FA,CB,Undisclosed,Questionable,12/24/2023
Josh Ali,ATL,WR,Ankle,IR,12/24/2023
Christopher Allen,FA,LB,Groin,Questionable,12/24/2023
Keenan Allen,LAC,WR,Heel,Out,12/31/2023
Torrence Allen,FA,WR,Undisclosed,Questionable,12/24/2023
Jaquan Amos,FA,S,Undisclosed,Questionable,12/24/2023
Bradlee Anae,NYJ,DE,Undisclosed,IR,2/12/2024
Troy Andersen,ATL,LB,Shoulder,IR,2/12/2024
Calvin Anderson,NE,OT,Illness,IR,12/24/2023
Darius Anderson,FA,RB,Knee,Questionable,12/24/2023
Henry Anderson,CAR,DE,Foot,IR,2/12/2024
Jack Anderson,IND,C,Illness,Questionable,12/24/2023
Tycen Anderson,CIN,S,Knee,IR,12/31/2023
Will Anderson,HOU,DE,Ankle,Questionable,12/24/2023
Mark Andrews,BAL,TE,Ankle,IR,12/31/2023
Ezekiel Ansah,FA,DE,Biceps,Questionable,12/24/2023
Troy Apke,FA,CB,Shoulder,Questionable,12/24/2023
Jalyn Armour-Davis,BAL,CB,Concussion,Questionable,12/25/2023
Arik Armstead,SF,DT,Foot,Questionable,12/25/2023
Terron Armstead,MIA,OT,Knee,Questionable,12/24/2023
Grayland Arnold,HOU,S,Calf,IR,12/24/2023
Jaytlin Askew,FA,CB,Quadriceps,Questionable,12/24/2023
C. J. Avery,FA,LB,Undisclosed,Questionable,12/24/2023
Genard Avery,IND,DE,Knee - Meniscus,IR,2/12/2024
David Bada,WAS,DT,Triceps,IR,2/12/2024
Zack Bailey,LAC,OG,Back,IR,1/7/2024
Jerome Baker,MIA,LB,Knee,IR,1/7/2024
David Bakhtiari,GB,OT,Knee,IR,2/12/2024
Josh Ball,DAL,OT,Hip,IR,2/12/2024
Christian Barmore,NE,DT,Shoulder,Questionable,12/24/2023
Derrick Barnes,DET,LB,Shoulder,Questionable,12/24/2023
Zaire Barnes,NYJ,LB,Hamstring,IR,1/13/2024
Essang Bassey,LAC,CB,Concussion,Questionable,12/23/2023
Evan Baylis,FA,TE,Ankle,Questionable,12/24/2023
Abraham Beauplan,FA,LB,Undisclosed,Questionable,12/24/2023
Willie Beavers,FA,OG,Undisclosed,Questionable,12/24/2023
Nate Becker,FA,TE,Undisclosed,Questionable,12/24/2023
Odell Beckham,BAL,WR,Illness,Questionable,12/25/2023
Mekhi Becton,NYJ,OT,Knee,Questionable,12/24/2023
Levi Bell,FA,DE,Undisclosed,Out,12/31/2023
B.J. Bello,FA,LB,Ankle,Questionable,12/24/2023
Eno Benjamin,NO,RB,Achilles,IR,2/12/2024
Stetson Bennett,LAR,QB,Illness,NFI-R,2/12/2024
Ja'Whaun Bentley,NE,LB,Knee,Questionable,12/24/2023
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret,2/12/2024
Rashod Berry,FA,DE,Suspension,Reserve-Sus,2/12/2024
Joel Bitonio,CLE,OG,Back,Questionable,12/24/2023
Marquise Blair,FA,S,Undisclosed,Questionable,12/24/2023
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus,1/7/2024
C.J. Board,FA,WR,Ribs,Questionable,12/24/2023
Isaiah Bolden,NE,CB,Concussion,IR,2/12/2024
Nick Bolton,KC,LB,Illness,Questionable,12/25/2023
Devante Bond,FA,LB,Knee,Questionable,12/24/2023
Nik Bonitto,DEN,LB,Knee,Questionable,12/24/2023
Dicaprio Bootle,CAR,CB,Knee,IR,12/24/2023
Joey Bosa,LAC,LB,Foot,IR-R,12/31/2023
Jon Bostic,FA,LB,Pectoral,Questionable,12/24/2023
Kendrick Bourne,NE,WR,Knee - ACL,IR,2/12/2024
Tyus Bowser,BAL,LB,Knee,NFI-R,12/25/2023
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable,12/24/2023
Shaun Bradley,PHI,LB,Achilles,IR,2/12/2024
Christian Braswell,JAX,CB,Hamstring,IR-R,12/24/2023
Matt Breida,NYG,RB,Hamstring,Questionable,12/25/2023
Aaron Brewer,TEN,C,Ankle,Questionable,12/24/2023
Gary Brightwell,NYG,RB,Hamstring,IR-R,12/25/2023
Beau Brinkley,FA,C,Undisclosed,Questionable,12/24/2023
Curtis Brooks,WAS,DT,Undisclosed,IR,2/12/2024
Brittain Brown,LV,RB,Undisclosed,IR,2/12/2024
Daniel Brown,FA,TE,Hip,Questionable,12/24/2023
Evan Brown,SEA,C,Illness,Questionable,12/24/2023
Jayon Brown,FA,LB,Hand,Questionable,12/24/2023
Marquise Brown,ARI,WR,Heel,Questionable,12/24/2023
Mike Brown,FA,OG,Undisclosed,Questionable,12/24/2023
Noah Brown,HOU,WR,Knee,Questionable,12/24/2023
Shakel Brown,TEN,DT,Ankle,IR,2/12/2024
Shakur Brown,FA,CB,Undisclosed,Questionable,12/24/2023
Tony Brown,IND,CB,Suspension,Reserve-Sus,1/13/2024
Tre Brown,SEA,CB,Heel,Questionable,12/24/2023
Trent Brown,NE,OT,Hand,Questionable,12/24/2023
Troy Brown,FA,LB,Undisclosed,Questionable,12/24/2023
Daniel Brunskill,TEN,OG,Illness,Questionable,12/24/2023
Hunter Bryant,FA,TE,Undisclosed,Questionable,12/24/2023
