PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Austin Ekeler,RB,LAC,GB,-160,44.00,-3.00,23.50,8600,19.41,2.3,19.46
Sam Howell,QB,WAS,NYG,-448,37.50,-9.00,23.25,6300,19.35,3.1,17.02
Tyreek Hill,WR,MIA,LV,-850,46.50,-13.50,30.00,9300,20.35,2.2,16.47
Aaron Jones,RB,GB,LAC,134,44.00,3.00,20.50,6200,14.97,2.4,15.74
Christian McCaffrey,RB,SF,TB,-648,41.50,-12.00,26.75,9300,19.32,2.1,15.44
Devin Singletary,RB,HOU,ARI,-253,48.00,-6.00,27.00,5300,13.02,2.5,15.38
Tony Pollard,RB,DAL,CAR,-572,42.00,-10.50,26.25,6600,15.20,2.3,14.96
Travis Etienne,RB,JAX,TEN,-323,40.00,-7.00,23.50,7200,16.63,2.3,14.24
James Conner,RB,ARI,HOU,205,48.00,6.00,21.00,5700,13.34,2.3,13.84
Jacksonville Jaguars,D,JAX,TEN,-323,40.00,-7.00,23.50,3400,7.69,2.3,12.99
Cooper Kupp,WR,LAR,SEA,-109,46.50,0.00,23.25,8100,18.91,2.3,12.50
Miami Dolphins,D,MIA,LV,-850,46.50,-13.50,30.00,3200,7.91,2.5,11.83
Green Bay Packers,D,GB,LAC,134,44.00,3.00,20.50,2300,5.62,2.4,11.65
Buffalo Bills,D,BUF,NYJ,-348,39.50,-7.50,23.50,4000,8.00,2.0,11.29
Tua Tagovailoa,QB,MIA,LV,-850,46.50,-13.50,30.00,7700,20.22,2.6,11.21
Josh Jacobs,RB,LV,MIA,565,46.50,13.50,16.50,6800,14.39,2.1,11.15
Amon-Ra St. Brown,WR,DET,CHI,-411,48.00,-7.50,27.75,8800,18.63,2.1,10.69
Marquise Brown,WR,ARI,HOU,205,48.00,6.00,21.00,5300,13.24,2.5,10.52
Pittsburgh Steelers,D,PIT,CLE,103,33.00,1.50,15.75,3500,7.93,2.3,10.36
Jahmyr Gibbs,RB,DET,CHI,-411,48.00,-7.50,27.75,7000,14.73,2.1,10.13
Saquon Barkley,RB,NYG,WAS,347,37.50,9.00,14.25,7100,15.05,2.1,10.05
Evan Engram,TE,JAX,TEN,-323,40.00,-7.00,23.50,4300,12.12,2.8,10.02
Brian Robinson,RB,WAS,NYG,-448,37.50,-9.00,23.25,5800,12.28,2.1,9.80
Breece Hall,RB,NYJ,BUF,273,39.50,7.50,16.00,6400,12.68,2.0,9.22
CeeDee Lamb,WR,DAL,CAR,-572,42.00,-10.50,26.25,9200,18.16,2.0,9.10
Dorian Thompson-Robinson,QB,CLE,PIT,-122,33.00,-1.50,17.25,4500,13.71,3.1,9.07
Puka Nacua,WR,LAR,SEA,-109,46.50,0.00,23.25,7100,15.36,2.2,8.97
Terry McLaurin,WR,WAS,NYG,-448,37.50,-9.00,23.25,5800,13.54,2.3,8.81
DJ Moore,WR,CHI,DET,320,48.00,7.50,20.25,5600,13.41,2.4,8.59
Curtis Samuel,WR,WAS,NYG,-448,37.50,-9.00,23.25,3600,9.21,2.6,8.46
Rachaad White,RB,TB,SF,465,41.50,12.00,14.75,6000,12.75,2.1,8.43
Keenan Allen,WR,LAC,GB,-160,44.00,-3.00,23.50,9000,17.33,1.9,8.07
Deebo Samuel,WR,SF,TB,-648,41.50,-12.00,26.75,6300,13.58,2.2,7.97
Stefon Diggs,WR,BUF,NYJ,-348,39.50,-7.50,23.50,9100,17.82,2.0,7.95
Pat Freiermuth,TE,PIT,CLE,103,33.00,1.50,15.75,2500,8.42,3.4,7.83
Rondale Moore,WR,ARI,HOU,205,48.00,6.00,21.00,3300,7.82,2.4,7.63
Tank Dell,WR,HOU,ARI,-253,48.00,-6.00,27.00,5900,12.93,2.2,7.50
Jaylen Waddle,WR,MIA,LV,-850,46.50,-13.50,30.00,7600,14.98,2.0,7.36
