PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Cincinnati Bengals,D,CIN,CLE,-338,37.50,-7.00,22.25,3000,7.33,2.4,18.34
James Conner,RB,ARI,SEA,126,48.00,3.00,22.50,6100,14.75,2.4,15.03
Zamir White,RB,LV,DEN,-159,37.00,-3.00,20.00,6000,13.51,2.3,14.19
CeeDee Lamb,WR,DAL,WAS,-949,47.00,-13.00,30.00,9300,19.29,2.1,14.16
Justin Jefferson,WR,MIN,DET,152,45.50,3.50,21.00,8500,19.76,2.3,13.06
Tony Pollard,RB,DAL,WAS,-949,47.00,-13.00,30.00,6500,14.49,2.2,12.25
Breece Hall,RB,NYJ,NE,109,30.50,2.00,14.25,7200,16.20,2.3,11.94
Kenneth Walker,RB,SEA,ARI,-151,48.00,-3.00,25.50,6500,13.14,2.0,11.87
Bijan Robinson,RB,ATL,NO,139,42.00,3.00,19.50,6600,15.02,2.3,11.72
Chris Olave,WR,NO,ATL,-165,42.00,-3.00,22.50,6700,16.62,2.5,11.70
Aaron Jones,RB,GB,CHI,-162,45.00,-3.00,24.00,6300,13.83,2.2,10.87
Ja'Marr Chase,WR,CIN,CLE,-338,37.50,-7.00,22.25,7300,17.36,2.4,10.80
Ezekiel Elliott,RB,NE,NYJ,-129,30.50,-2.00,16.25,5900,13.42,2.3,10.70
Jahmyr Gibbs,RB,DET,MIN,-183,45.50,-3.50,24.50,6700,15.02,2.2,10.60
Austin Ekeler,RB,LAC,KC,-185,35.50,-3.50,19.50,6600,14.53,2.2,10.15
Saquon Barkley,RB,NYG,PHI,197,42.00,5.50,18.25,6900,14.87,2.2,9.57
Davante Adams,WR,LV,DEN,-159,37.00,-3.00,20.00,7900,15.81,2.0,9.23
Chuba Hubbard,RB,CAR,TB,192,37.00,4.50,16.25,5500,12.62,2.3,9.09
Jalen Hurts,QB,PHI,NYG,-243,42.00,-5.50,23.75,8100,22.60,2.8,8.89
Rachaad White,RB,TB,CAR,-238,37.00,-4.50,20.75,7600,14.57,1.9,8.86
