Player,Position,Team,Opponent,Salary,% ownership,Notes
Kyren Williams,RB,LA,WAS,"$7,500",34.70%,
Ezekiel Elliott,RB,NE,KC,"$5,800",34.00%,
Christian McCaffrey,RB,SF,ARI,"$9,300",33.30%,
Wan'Dale Robinson,WR,NYG,NO,"$3,700",28.30%,
Trey McBride,TE,ARI,SF,"$5,200",26.90%,
Garrett Wilson,WR,NYJ,MIA,"$5,800",24.40%,
Matthew Stafford,QB,LA,WAS,"$6,000",23.40%,
Rashee Rice,WR,KC,NE,"$6,100",18.40%,
Demarcus Robinson,WR,LA,WAS,"$3,600",18.40%,
Demario Douglas,WR,NE,KC,"$3,900",18.20%,
Chig Okonkwo,TE,TEN,HOU,"$2,900",17.80%,
Josh Allen,QB,BUF,DAL,"$8,200",17.40%,
Jayden Reed,WR,GB,TB,"$4,900",17.20%,
Terry McLaurin,WR,WAS,LA,"$5,600",17.00%,
Rachaad White,RB,TB,GB,"$7,000",16.70%,
Tony Pollard,RB,DAL,BUF,"$6,700",16.60%,
Bijan Robinson,RB,ATL,CAR,"$6,800",15.50%,
JuJu Smith-Schuster,WR,NE,KC,"$3,600",14.80%,
Puka Nacua,WR,LA,WAS,"$7,300",14.70%,
Saquon Barkley,RB,NYG,NO,"$7,300",14.20%,
Tucker Kraft,TE,GB,TB,"$3,000",13.70%,
Dolphins,DST,MIA,NYJ,"$4,000",13.00%,
Sam Howell,QB,WAS,LA,"$6,300",13.00%,
CeeDee Lamb,WR,DAL,BUF,"$9,200",13.00%,
DeAndre Hopkins,WR,TEN,HOU,"$6,200",12.50%,
Browns,DST,CLE,CHI,"$3,500",12.20%,
Saints,DST,NO,NYG,"$3,800",11.80%,
Rams,DST,LA,WAS,"$3,100",11.50%,
Breece Hall,RB,NYJ,MIA,"$6,400",10.20%,
Brock Purdy,QB,SF,ARI,"$6,800",10.10%,
Bills,DST,BUF,DAL,"$2,400",10.10%,
Jerome Ford,RB,CLE,CHI,"$5,500",10.00%,
Chuba Hubbard,RB,CAR,ATL,"$5,600",9.90%,
Brandon Aiyuk,WR,SF,ARI,"$7,200",9.40%,
Cooper Kupp,WR,LA,WAS,"$7,800",9.30%,
Marquise Brown,WR,ARI,SF,"$5,100",9.20%,
Amari Cooper,WR,CLE,CHI,"$6,000",8.90%,
Chris Olave,WR,NO,NYG,"$7,100",8.60%,
Darius Slayton,WR,NYG,NO,"$3,100",8.40%,
Jordan Love,QB,GB,TB,"$6,200",8.30%,
Alvin Kamara,RB,NO,NYG,"$8,600",8.30%,
Falcons,DST,ATL,CAR,"$3,600",8.00%,
Chiefs,DST,KC,NE,"$3,900",6.80%,
Packers,DST,GB,TB,"$3,000",6.50%,
AJ Dillon,RB,GB,TB,"$5,300",6.40%,
Clyde Edwards-Helaire,RB,KC,NE,"$5,000",6.40%,
Tyler Conklin,TE,NYJ,MIA,"$3,100",6.00%,
DJ Moore,WR,CHI,CLE,"$6,900",6.00%,
George Kittle,TE,SF,ARI,"$5,800",6.00%,
Jonathan Mingo,WR,CAR,ATL,"$3,900",5.70%,
David Njoku,TE,CLE,CHI,"$4,700",5.60%,
Travis Kelce,TE,KC,NE,"$7,600",5.60%,
Panthers,DST,CAR,ATL,"$2,800",5.50%,
Derrick Henry,RB,TEN,HOU,"$6,900",5.20%,
Dontayvion Wicks,WR,GB,TB,"$4,000",5.10%,
Jake Ferguson,TE,DAL,BUF,"$4,800",4.90%,
Curtis Samuel,WR,WAS,LA,"$4,600",4.70%,
Logan Thomas,TE,WAS,LA,"$3,700",4.70%,
Elijah Moore,WR,CLE,CHI,"$4,500",4.60%,
Dak Prescott,QB,DAL,BUF,"$8,000",4.60%,
James Cook,RB,BUF,DAL,"$6,300",4.40%,
Jalin Hyatt,WR,NYG,NO,"$3,200",4.30%,
Deebo Samuel,WR,SF,ARI,"$7,700",4.20%,
