Player,Team,Pos,Injury,Status,Est. Return
De'Von Achane,MIA,RB,Knee,IR,11/19/2023
Montravius Adams,PIT,DT,Ankle,Questionable,11/12/2023
Otaro Alaka,FA,LB,Undisclosed,Questionable,11/5/2023
Christian Albright,FA,LB,Undisclosed,Questionable,11/5/2023
Mackensie Alexander,FA,CB,Undisclosed,Questionable,11/5/2023
Josh Ali,ATL,WR,Ankle,IR,11/5/2023
Christopher Allen,FA,LB,Groin,Questionable,11/5/2023
Torrence Allen,FA,WR,Undisclosed,Questionable,11/5/2023
Jaquan Amos,FA,S,Undisclosed,Questionable,11/5/2023
Bradlee Anae,NYJ,DE,Undisclosed,IR,2/12/2024
Troy Andersen,ATL,LB,Shoulder,IR,2/12/2024
Calvin Anderson,NE,OT,Illness,IR,12/7/2023
Darius Anderson,FA,RB,Knee,Questionable,11/5/2023
Henry Anderson,CAR,DE,Foot,IR,2/12/2024
Tycen Anderson,CIN,S,Knee,IR,12/4/2023
Ezekiel Ansah,FA,DE,Biceps,Questionable,11/5/2023
Troy Apke,WAS,CB,Shoulder,IR,2/12/2024
Terron Armstead,MIA,OT,Knee,IR-R,11/5/2023
Brian Asamoah,MIN,LB,Ankle,Questionable,11/5/2023
Jaytlin Askew,FA,CB,Quadriceps,Questionable,11/5/2023
C. J. Avery,FA,LB,Undisclosed,Questionable,11/5/2023
Genard Avery,IND,DE,Knee - Meniscus,IR,2/12/2024
Kayode Awosika,DET,OG,Lower Body,Questionable,11/12/2023
Alex Bachman,FA,WR,Oblique,Questionable,11/5/2023
David Bada,WAS,DT,Triceps,IR,2/12/2024
David Bakhtiari,GB,OT,Knee,IR,2/12/2024
Daylen Baldwin,FA,WR,Hamstring,Questionable,11/5/2023
Josh Ball,DAL,OT,Hip,IR,2/12/2024
Aaron Banks,SF,OG,Toe,Doubtful,11/12/2023
Christian Barmore,NE,DT,Knee,Questionable,11/5/2023
Krys Barnes,ARI,LB,Hamstring,Questionable,11/5/2023
Cody Barton,WAS,LB,Ankle,IR,11/23/2023
Evan Baylis,FA,TE,Ankle,Questionable,11/5/2023
Robert Beal,SF,DE,Hamstring,IR,11/12/2023
Abraham Beauplan,FA,LB,Undisclosed,Questionable,11/5/2023
Willie Beavers,FA,OG,Undisclosed,Questionable,11/5/2023
Nate Becker,FA,TE,Undisclosed,Questionable,11/5/2023
David Bell,CLE,WR,Knee,Out,11/12/2023
Vonn Bell,CAR,S,Quadriceps,Doubtful,11/5/2023
B.J. Bello,FA,LB,Ankle,Questionable,11/5/2023
Eno Benjamin,NO,RB,Achilles,IR,2/12/2024
Stetson Bennett,LAR,QB,Illness,NFI-R,12/3/2023
Ja'Whaun Bentley,NE,LB,Hamstring,Questionable,11/5/2023
Jared Bernhardt,ATL,WR,Groin,Reserve-Ret,2/12/2024
Braxton Berrios,MIA,WR,Hamstring,Questionable,11/5/2023
Rashod Berry,FA,DE,Suspension,Reserve-Sus,2/12/2024
Justin Bethel,MIA,CB,Foot,Questionable,11/5/2023
Josh Blackwell,CHI,CB,Hamstring,IR,11/5/2023
Marquise Blair,FA,S,Undisclosed,Questionable,11/5/2023
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus,1/7/2024
C.J. Board,FA,WR,Ribs,Questionable,11/5/2023
Isaiah Bolden,NE,CB,Concussion,IR,2/12/2024
Nick Bolton,KC,LB,Wrist,IR,12/25/2023
Devante Bond,FA,LB,Knee,Questionable,11/5/2023
Jon Bostic,FA,LB,Pectoral,Questionable,11/5/2023
Kendrick Bourne,NE,WR,Knee - ACL,IR,2/12/2024
Tyus Bowser,BAL,LB,Knee,NFI-R,11/5/2023
Anthony Bradford,SEA,OG,Ankle,Questionable,11/5/2023
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable,11/5/2023
Shaun Bradley,PHI,LB,Achilles,IR,2/12/2024
Christian Braswell,JAX,CB,Hamstring,IR,11/19/2023
JuJu Brents,IND,CB,Quadriceps,Out,11/12/2023
Gary Brightwell,NYG,RB,Hamstring,IR,11/26/2023
Beau Brinkley,FA,C,Undisclosed,Questionable,11/5/2023
Jaquan Brisker,CHI,S,Concussion,Out,11/9/2023
Chris Brooks,MIA,RB,Ankle,IR,11/24/2023
Curtis Brooks,WAS,DT,Undisclosed,IR,2/12/2024
Bobby Brown,LAR,DT,Knee - MCL,IR,11/19/2023
Brittain Brown,LV,RB,Undisclosed,IR,2/12/2024
Chase Brown,CIN,RB,Hamstring,IR,11/26/2023
Daniel Brown,FA,TE,Hip,Questionable,11/5/2023
Duane Brown,NYJ,OT,Shoulder,IR-R,11/6/2023
Jayon Brown,FA,LB,Hand,Questionable,11/5/2023
Mike Brown,FA,OG,Undisclosed,Questionable,11/5/2023
Mike Brown,TEN,S,Ankle,IR-R,11/12/2023
Pharaoh Brown,NE,TE,Back,Questionable,11/5/2023
Shakel Brown,TEN,DT,Ankle,IR,2/12/2024
Shakur Brown,FA,CB,Undisclosed,Questionable,11/5/2023
Trent Brown,NE,OT,Ankle,Questionable,11/5/2023
Troy Brown,FA,LB,Undisclosed,Questionable,11/5/2023
Coby Bryant,SEA,CB,Toe,IR,11/12/2023
Hunter Bryant,FA,TE,Undisclosed,Questionable,11/5/2023
Bryan Bulaga,FA,OT,Back,Questionable,11/5/2023
LaTrell Bumphus,SEA,DT,Undisclosed,IR,2/12/2024
Ian Bunting,FA,TE,Neck,Questionable,11/5/2023
Treylon Burks,TEN,WR,Concussion,Questionable,11/12/2023
Darien Butler,LV,LB,Undisclosed,IR,2/12/2024
Hakeem Butler,FA,WR,Undisclosed,Questionable,11/5/2023
Percy Butler,WAS,S,Calf,Questionable,11/5/2023
Vernon Butler,FA,DT,Undisclosed,Questionable,11/5/2023
Akial Byers,FA,DT,Undisclosed,Questionable,11/5/2023
Jason Cabinda,DET,FB,Knee,IR,11/12/2023
Grant Calcaterra,PHI,TE,Concussion,Out,11/20/2023
Ibraheim Campbell,FA,S,Ankle,Questionable,11/5/2023
Tyson Campbell,JAX,CB,Hamstring,Questionable,11/12/2023
Marcus Cannon,FA,OT,Concussion,Questionable,11/5/2023
Trenton Cannon,FA,RB,Knee,Questionable,11/5/2023
Dylan Cantrell,FA,TE,Undisclosed,Questionable,11/5/2023
Patrick Carr,FA,RB,Undisclosed,Questionable,11/5/2023
Jamal Carter,FA,S,Undisclosed,Questionable,11/5/2023
Quintez Cephus,FA,WR,Suspension,Reserve-Sus,2/12/2024
DJ Chark,CAR,WR,Elbow,Questionable,11/5/2023
Saahdiq Charles,WAS,OG,Calf,IR,11/23/2023
Taco Charlton,FA,DE,Undisclosed,Questionable,11/5/2023
Claudin Cherelus,CAR,LB,Knee,IR,12/3/2023
Julius Chestnut,TEN,RB,Hamstring,IR,11/12/2023
Jeremy Chinn,CAR,S,Quadriceps,IR,11/26/2023
Brady Christensen,CAR,OG,Biceps,IR,2/12/2024
Cole Christiansen,FA,LB,Hamstring,Out,11/5/2023
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,11/5/2023
Nick Chubb,CLE,RB,Knee - ACL + MCL,IR,2/12/2024
Andre Cisco,JAX,S,Hamstring,Questionable,11/12/2023
Chuck Clark,NYJ,S,Knee - ACL,IR,2/12/2024
Darius Clark,FA,RB,Knee,Questionable,11/5/2023
Chris Claybrooks,JAX,CB,Undisclosed,Reserve-CEL,2/12/2024
Ezra Cleveland,JAX,OG,Foot,Questionable,11/5/2023
Devin Cochran,CIN,OT,Knee,IR,2/12/2024
Adrian Colbert,FA,S,Undisclosed,Questionable,11/5/2023
L.J. Collier,ARI,DE,Biceps,IR,11/5/2023
Trystan Colon,ARI,OG,Calf,Out,11/12/2023
Tom Compton,FA,OT,Back,Questionable,11/5/2023
Jack Conklin,CLE,OT,Knee - ACL + MCL,IR,2/12/2024
Gareon Conley,FA,CB,Ankle,Questionable,11/5/2023
Ryan Connelly,FA,LB,Undisclosed,Out,12/10/2023
James Conner,ARI,RB,Knee,IR,11/12/2023
Cody Conway,FA,OT,Knee - ACL,Questionable,11/5/2023
Dylan Cook,PIT,OT,Coach's Decision,Inactive,11/12/2023
Jashaun Corbin,NYG,RB,Hamstring,Questionable,11/5/2023
Cody Core,FA,WR,Undisclosed,Questionable,11/5/2023
Jeff Cotton,FA,WR,Undisclosed,Questionable,11/5/2023
Nathan Cottrell,FA,RB,Undisclosed,Questionable,11/5/2023
Kirk Cousins,MIN,QB,Achilles,IR,2/12/2024
River Cracraft,MIA,WR,Shoulder,IR-R,11/5/2023
