Player,Position,Team,Opponent,Salary,% ownership,Notes
Trey McBride,TE,ARI,ATL,"$3,500",30.70%,
T.J. Hockenson,TE,MIN,NO,"$5,000",27.50%,
Joe Mixon,RB,CIN,HOU,"$6,200",27.00%,
Marquise Brown,WR,ARI,ATL,"$5,200",21.50%,
Evan Engram,TE,JAX,SF,"$4,500",20.80%,
Tony Pollard,RB,DAL,NYG,"$7,300",20.50%,
Rachaad White,RB,TB,TEN,"$5,800",19.90%,
Ja'Marr Chase,WR,CIN,HOU,"$8,600",19.40%,
Amon-Ra St. Brown,WR,DET,LAC,"$8,300",19.30%,
Joe Burrow,QB,CIN,HOU,"$6,800",18.40%,
Diontae Johnson,WR,PIT,GB,"$5,400",18.30%,
Cowboys,DST,DAL,NYG,"$4,400",18.00%,
Bijan Robinson,RB,ATL,ARI,"$6,000",17.80%,
DeAndre Hopkins,WR,TEN,TB,"$6,000",17.40%,
CeeDee Lamb,WR,DAL,NYG,"$8,500",15.70%,
Keenan Allen,WR,LAC,DET,"$8,800",14.90%,
Tank Dell,WR,HOU,CIN,"$5,500",14.60%,
Travis Etienne Jr.,RB,JAX,SF,"$7,100",14.60%,
Terry McLaurin,WR,WAS,SEA,"$5,800",13.60%,
Christian McCaffrey,RB,SF,JAX,"$9,200",13.60%,
Alexander Mattison,RB,MIN,NO,"$5,500",12.90%,
Najee Harris,RB,PIT,GB,"$4,900",12.80%,
Calvin Ridley,WR,JAX,SF,"$5,600",12.00%,
Sam LaPorta,TE,DET,LAC,"$5,700",11.30%,
Rondale Moore,WR,ARI,ATL,"$3,000",11.10%,
Austin Ekeler,RB,LAC,DET,"$8,400",10.90%,
Tyler Lockett,WR,SEA,WAS,"$6,100",10.80%,
Geno Smith,QB,SEA,WAS,"$5,800",10.60%,
Jake Ferguson,TE,DAL,NYG,"$4,600",10.60%,
Dak Prescott,QB,DAL,NYG,"$6,700",10.40%,
Chris Olave,WR,NO,MIN,"$6,400",10.00%,
