Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,3912833186,mtollett1670 (3/3),0,178.8,DST Cowboys  FLEX DJ Moore QB Justin Herbert RB AJ Dillon RB Kenneth Walker III TE Evan Engram WR Mike Evans WR Mike Williams WR Puka Nacua,,Joe Burrow,QB,11.73%,16.38
26,3910074075,fgpango (7/10),0,178.43999,DST Buccaneers  FLEX Terry McLaurin QB Jordan Love RB Christian McCaffrey RB James Cook TE Evan Engram WR Keenan Allen WR Zay Flowers WR Jayden Reed,,Keenan Allen,WR,11.56%,34.1
27,3910878315,crjeap (8/20),0,178.1,DST Buccaneers  FLEX Deebo Samuel QB Justin Herbert RB Tony Pollard RB Rachaad White TE Sam LaPorta WR Keenan Allen WR Mike Williams WR Treylon Burks,,Tee Higgins,WR,10.77%,28.9
28,3909293134,laram_92,0,178.08,DST Buccaneers  FLEX Christian McCaffrey QB Baker Mayfield RB Saquon Barkley RB David Montgomery TE Sam LaPorta WR Mike Williams WR Deebo Samuel WR Josh Reynolds,,Trevor Lawrence,QB,10.30%,10.24
29,3912523822,tammymisa,0,178.02,DST 49ers  FLEX Derrick Henry QB Jared Goff RB Saquon Barkley RB Rachaad White TE Sam LaPorta WR Michael Pittman Jr. WR Nico Collins WR Josh Reynolds,,James Cook,RB,10.26%,22.9
30,3912823415,djmikeblau (4/20),0,177.92001,DST Buccaneers  FLEX Travis Kelce QB Geno Smith RB Kenneth Walker III RB Rachaad White TE Sam LaPorta WR Keenan Allen WR DK Metcalf WR Josh Reynolds,,Jets ,DST,10.22%,0
31,3910572598,SportzBallz,0,177.68,DST Cowboys  FLEX Puka Nacua QB Baker Mayfield RB Bijan Robinson RB Joshua Kelley TE George Kittle WR CeeDee Lamb WR Nico Collins WR Tutu Atwell,,Josh Jacobs,FLEX,10.22%,9.9
32,3903625246,thebodyspill (9/20),0,177.24,DST Falcons  FLEX Jayden Reed QB Daniel Jones RB David Montgomery RB Rachaad White TE Darren Waller WR Amon-Ra St. Brown WR Keenan Allen WR Gabe Davis,,Sam LaPorta,TE,10.01%,11.3
32,3911636596,baoaca (1/3),0,177.23999,DST Cowboys  FLEX Christian McCaffrey QB Brock Purdy RB Rachaad White RB Joshua Kelley TE Chig Okonkwo WR Keenan Allen WR Deebo Samuel WR Puka Nacua,,Nico Collins,WR,9.92%,30.6
34,3913159489,eebob2072 (4/5),0,177.18001,DST Cowboys  FLEX Brandon Aiyuk QB Matthew Stafford RB Christian McCaffrey RB Tony Pollard TE Zach Ertz WR Puka Nacua WR Nico Collins WR Tutu Atwell,,Jayden Reed,WR,9.88%,19.7
35,3911452151,DamageIncoporated (8/20),0,176.68,DST Cowboys  FLEX Christian McCaffrey QB Baker Mayfield RB Joshua Kelley RB Zack Moss TE Dalton Kincaid WR Amon-Ra St. Brown WR Mike Evans WR Nico Collins,,Derrick Henry,RB,9.67%,18.5
36,3912551388,mtollett1670 (1/3),0,176.63998,DST Cowboys  FLEX Mike Evans QB Jordan Love RB Kenneth Walker III RB Kyren Williams TE Dalton Schultz WR Stefon Diggs WR Amon-Ra St. Brown WR Josh Reynolds,,Travis Etienne Jr.,RB,9.63%,6.2
37,3908302945,MrAgony (20/20),0,175.6,DST Buccaneers  FLEX Kyren Williams QB Justin Herbert RB Dameon Pierce RB Rachaad White TE Chig Okonkwo WR Davante Adams WR Keenan Allen WR Mike Williams,,Puka Nacua,WR,9.04%,33.1
38,3912908886,freemanrebels (8/9),0,175.22,DST Packers  FLEX Mike Evans QB Jared Goff RB Jahmyr Gibbs RB David Montgomery TE Sam LaPorta WR Amon-Ra St. Brown WR Keenan Allen WR Josh Reynolds,,Tony Pollard,FLEX,8.62%,19.9
39,3903625255,thebodyspill (18/20),0,175.04001,DST Buccaneers  FLEX Gabe Davis QB Lamar Jackson RB AJ Dillon RB Rachaad White TE Mark Andrews WR Tee Higgins WR Christian Kirk WR Skyy Moore,,Jared Goff,QB,8.54%,26.92
40,3911611504,lilfredd (5/20),0,174.92,DST Lions  FLEX Puka Nacua QB Jared Goff RB Christian McCaffrey RB Joshua Kelley TE Sam LaPorta WR Davante Adams WR Keenan Allen WR Jayden Reed,,Justin Herbert,QB,8.45%,25.2
41,3910878325,crjeap (18/20),0,174.72002,DST Buccaneers  FLEX Puka Nacua QB Jared Goff RB Christian McCaffrey RB Rachaad White TE Sam LaPorta WR Amon-Ra St. Brown WR Zay Flowers WR Treylon Burks,,James Conner,RB,8.37%,19.6
42,3909359082,kingwol07 (12/20),0,174.64001,DST Jaguars  FLEX Nico Collins QB Anthony Richardson RB Saquon Barkley RB James Cook TE Kylen Granson WR Stefon Diggs WR Davante Adams WR Josh Reynolds,,Patrick Mahomes,QB,7.95%,25.2
43,3912854643,ChiliD22 (16/20),0,174.54001,DST Titans  FLEX Javonte Williams QB Daniel Jones RB Saquon Barkley RB Derrick Henry TE Travis Kelce WR Marquise Brown WR Puka Nacua WR Tank Dell,,Adam Trautman,TE,7.78%,0
44,3910112348,Chocolatethunder0525 (2/20),0,174.52,DST Colts  FLEX Puka Nacua QB Geno Smith RB James Cook RB Rachaad White TE Luke Musgrave WR Amon-Ra St. Brown WR DK Metcalf WR Tyler Lockett,,Jahmyr Gibbs,RB,7.70%,12.6
44,3910967010,coreyj77 (13/20),0,174.52,DST Buccaneers  FLEX Puka Nacua QB Geno Smith RB Christian McCaffrey RB Rachaad White TE Travis Kelce WR Chris Godwin WR Jaxon Smith-Njigba WR Jayden Reed,,Mike Evans,FLEX,7.53%,32.1
46,3910370340,tristan214 (7/20),0,174.23999,DST Titans  FLEX Puka Nacua QB Anthony Richardson RB Jahmyr Gibbs RB James Cook TE Luke Musgrave WR Davante Adams WR Keenan Allen WR Tyler Lockett,,Chris Godwin,FLEX,7.40%,10.8
47,3909359089,kingwol07 (19/20),0,174.10002,DST Packers  FLEX Joshua Kelley QB Justin Herbert RB Saquon Barkley RB James Cook TE Kylen Granson WR Keenan Allen WR Mike Williams WR Nico Collins,,Chig Okonkwo,TE,7.36%,7.5
48,3910837247,washingtonam1 (4/4),0,173.92,DST Buccaneers  FLEX Mike Williams QB Jared Goff RB Saquon Barkley RB James Cook TE Dalton Kincaid WR Amon-Ra St. Brown WR Jahan Dotson WR Nico Collins,,Raiders ,DST,7.06%,-2
49,3909668743,sixers1212 (9/20),0,173.68001,DST Bills  FLEX Christian McCaffrey QB Baker Mayfield RB Rachaad White RB Brian Robinson Jr. TE Cade Otton WR Michael Pittman Jr. WR Mike Evans WR Chris Godwin,,Brock Purdy,QB,6.81%,14.74
50,3911050649,wdumond (18/20),0,173.38,DST Jaguars  FLEX Puka Nacua QB Lamar Jackson RB Derrick Henry RB Kenneth Walker III TE Mark Andrews WR Tee Higgins WR Mike Williams WR Nick Westbrook-Ikhine,,Irv Smith Jr.,TE,6.14%,3
51,3910370339,tristan214 (6/20),0,173.24002,DST Jaguars  FLEX Tony Pollard QB Daniel Jones RB Derrick Henry RB Joshua Kelley TE Darren Waller WR Davante Adams WR Nico Collins WR Josh Reynolds,,Dameon Pierce,RB,6.06%,5.5
52,3909499731,jhyson81 (19/20),0,173.01999,DST Buccaneers  FLEX Deebo Samuel QB Jared Goff RB Kenneth Walker III RB Rachaad White TE Sam LaPorta WR Amon-Ra St. Brown WR Gabe Davis WR Mike Williams,,Joe Mixon,RB,5.93%,13.5
53,3903625254,thebodyspill (17/20),0,172.84,DST Buccaneers  FLEX Mike Williams QB Daniel Jones RB David Montgomery RB Rachaad White TE Darren Waller WR Ja'Marr Chase WR Mike Evans WR Skyy Moore,,Tyler Boyd,WR,5.80%,11.2
54,3911461418,moleweed (17/20),0,172.51999,DST Cowboys  FLEX Dalton Schultz QB Jared Goff RB James Cook RB Kenneth Walker III TE Chig Okonkwo WR Amon-Ra St. Brown WR Keenan Allen WR Deebo Samuel,,DK Metcalf,FLEX,5.76%,13.5
55,3907906367,mattwooten (14/20),0,172.06,DST Buccaneers  FLEX Puka Nacua QB Josh Allen RB Dameon Pierce RB Zack Moss TE Chig Okonkwo WR Stefon Diggs WR Davante Adams WR Nico Collins,,Zack Moss,RB,5.72%,20.7
56,3912472585,Pjopa (1/8),0,171.92001,DST Cowboys  FLEX Davante Adams QB Geno Smith RB Derrick Henry RB Kenneth Walker III TE Sam LaPorta WR Keenan Allen WR Jaxon Smith-Njigba WR Jayden Reed,,Michael Pittman Jr.,WR,5.63%,13.6
57,3913136406,freemanrebels (9/9),0,171.62001,DST Cowboys  FLEX Stefon Diggs QB Jared Goff RB Saquon Barkley RB Jahmyr Gibbs TE Sam LaPorta WR Zay Flowers WR Nico Collins WR Josh Reynolds,,Tyler Allgeier,RB,5.59%,4.8
58,3902455654,ty9793 (6/20),0,171.28,DST Buccaneers  FLEX Christian McCaffrey QB Joe Burrow RB Joe Mixon RB Rachaad White TE Irv Smith Jr. WR Tee Higgins WR Deebo Samuel WR Josh Reynolds,,Saquon Barkley,RB,5.47%,27.2
59,3913117749,brarob11 (10/20),0,171.22,DST Titans  FLEX Tony Pollard QB Jared Goff RB James Conner RB Kenneth Walker III TE Chig Okonkwo WR Amon-Ra St. Brown WR Keenan Allen WR Josh Reynolds,,Tutu Atwell,WR,5.21%,15.2
60,3912723168,Thorners (4/20),0,170.48,DST Buccaneers  FLEX Ja'Marr Chase QB Joe Burrow RB James Conner RB Rachaad White TE Dalton Schultz WR Tee Higgins WR Mike Evans WR Jayden Reed,,Titans ,DST,4.84%,3
61,3904070393,TheNutz33,0,170.38,DST Falcons  FLEX Rashee Rice QB Matthew Stafford RB Christian McCaffrey RB Saquon Barkley TE Sam LaPorta WR Keenan Allen WR Puka Nacua WR Tutu Atwell,,Romeo Doubs,FLEX,4.79%,5
62,3911881481,pat_the_hat2 (7/20),0,170.28,DST Titans  FLEX Brian Robinson Jr. QB Baker Mayfield RB Christian McCaffrey RB Derrick Henry TE Dalton Kincaid WR Davante Adams WR Mike Evans WR Tyler Boyd,,Baker Mayfield,QB,4.71%,21.38
63,3913081676,Soonerfan1781,0,169.74,DST Cowboys  FLEX Joshua Kelley QB Daniel Jones RB Tony Pollard RB David Montgomery TE Luke Musgrave WR Keenan Allen WR Michael Pittman Jr. WR Nico Collins,,Lions ,DST,4.33%,0
64,3910549921,MattATL7 (10/20),0,169.70001,DST Jets  FLEX Puka Nacua QB Justin Herbert RB Derrick Henry RB Jahmyr Gibbs TE Chig Okonkwo WR Keenan Allen WR Mike Williams WR Deebo Samuel,,Gabe Davis,WR,4.21%,21.2
65,3903342928,bayareacards23 (14/20),0,169.54,DST Cowboys  FLEX Puka Nacua QB Trevor Lawrence RB Derrick Henry RB Joshua Kelley TE Dalton Schultz WR Keenan Allen WR Mike Evans WR Tutu Atwell,,Zach Ertz,TE,4.21%,11.6
66,3909204166,DigitalWINN (1/8),0,169.50002,DST Falcons  FLEX Keenan Allen QB Justin Herbert RB Derrick Henry RB Zack Moss TE Dalton Kincaid WR DK Metcalf WR Mike Williams WR Nico Collins,,Jake Ferguson,TE,4.16%,10.1
66,3909213750,DigitalWINN (2/8),0,169.50002,DST Falcons  FLEX Keenan Allen QB Justin Herbert RB Derrick Henry RB Zack Moss TE Dalton Kincaid WR DK Metcalf WR Mike Williams WR Nico Collins,,Jahan Dotson,WR,3.99%,5.2
66,3909213785,DigitalWINN (3/8),0,169.50002,DST Falcons  FLEX Keenan Allen QB Justin Herbert RB Derrick Henry RB Zack Moss TE Dalton Kincaid WR DK Metcalf WR Mike Williams WR Nico Collins,,Commanders ,DST,3.99%,10
66,3909226690,DigitalWINN (4/8),0,169.50002,DST Falcons  FLEX Keenan Allen QB Justin Herbert RB Derrick Henry RB Zack Moss TE Dalton Kincaid WR DK Metcalf WR Mike Williams WR Nico Collins,,Anthony Richardson,QB,3.99%,17.74
70,3909359076,kingwol07 (6/20),0,168.82002,DST Jets  FLEX Kenneth Walker III QB Geno Smith RB Christian McCaffrey RB Saquon Barkley TE Sam LaPorta WR Tyler Lockett WR Zay Flowers WR Josh Reynolds,,Dawson Knox,TE,3.95%,10
71,3912863932,adcook3 (6/20),0,168.74,DST Cardinals  FLEX Christian McCaffrey QB Daniel Jones RB Derrick Henry RB Josh Jacobs TE Darren Waller WR Puka Nacua WR Darius Slayton WR Tank Dell,,Mark Andrews,TE,3.95%,15.5
72,3912831092,cesarandbetty (1/6),0,168.40001,DST Cowboys  FLEX Tyler Lockett QB Justin Herbert RB James Cook RB David Montgomery TE Luke Musgrave WR Keenan Allen WR Mike Williams WR Zay Flowers,,Bijan Robinson,RB,3.91%,24.2
73,3913134473,pjbastura (7/7),0,168.02,DST Cowboys  FLEX Tee Higgins QB Jared Goff RB David Montgomery RB Kenneth Walker III TE Jake Ferguson WR Amon-Ra St. Brown WR DK Metcalf WR Josh Reynolds,,Javonte Williams,RB,3.83%,7.8
74,3902297253,gdavej53 (8/20),0,167.95999,DST Rams  FLEX Chris Godwin QB Justin Herbert RB Saquon Barkley RB Rachaad White TE Chig Okonkwo WR Tee Higgins WR Deebo Samuel WR Christian Kirk,,Evan Engram,TE,3.74%,11.7
75,3911766962,Steveospeak,0,167.90001,DST Lions  FLEX Tee Higgins QB Justin Herbert RB Saquon Barkley RB Travis Etienne Jr. TE Dalton Kincaid WR Keenan Allen WR Robert Woods WR Josh Reynolds,,Packers ,DST,3.74%,3
75,3907789580,TexasLegend (2/2),0,167.9,DST Chargers  FLEX Tee Higgins QB Patrick Mahomes RB Travis Etienne Jr. RB Kyren Williams TE Tyler Higbee WR Deebo Samuel WR Puka Nacua WR Tutu Atwell,,Tyler Lockett,WR,3.70%,25.9
77,3911452144,DamageIncoporated (1/20),0,167.8,DST Cowboys  FLEX CeeDee Lamb QB Justin Herbert RB Joshua Kelley RB Zack Moss TE Dalton Kincaid WR Amon-Ra St. Brown WR Mike Williams WR Nico Collins,,Geno Smith,QB,3.45%,26.12
78,3910429405,scottmeadows44 (8/20),0,167.56,DST Buccaneers  FLEX Kyle Pitts QB Josh Allen RB Kenneth Walker III RB Kyren Williams TE Mark Andrews WR Mike Evans WR Brandon Aiyuk WR Deebo Samuel,,Tyler Higbee,TE,3.32%,4.2
79,3910301245,DaBanker (12/20),0,167.54001,DST Cowboys  FLEX Drake London QB Anthony Richardson RB Saquon Barkley RB Joshua Kelley TE Travis Kelce WR Deebo Samuel WR Nico Collins WR Jayden Reed,,Lamar Jackson,QB,3.32%,22.88
80,3910967007,coreyj77 (10/20),0,167.48,DST Commanders  FLEX Tee Higgins QB Joe Burrow RB Christian McCaffrey RB James Conner TE Travis Kelce WR Tyler Boyd WR Josh Reynolds WR Jayden Reed,,Christian Kirk,WR,3.28%,24.96
