Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Zavier Scott (30808692),Zavier Scott,30808692,RB/FLEX,4000,IND@NE 11/12/2023 09:30AM ET,IND,0
RB,Ty Montgomery II (30808694),Ty Montgomery II,30808694,RB/FLEX,4000,IND@NE 11/12/2023 09:30AM ET,NE,0.78
QB,Jake Luton (30808354),Jake Luton,30808354,QB,4000,CAR@CHI 11/09/2023 08:15PM ET,CAR,0
QB,Trace McSorley (30808355),Trace McSorley,30808355,QB,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,0
RB,Khalil Herbert (30808488),Khalil Herbert,30808488,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,11.1
RB,Raheem Blackshear (30808670),Raheem Blackshear,30808670,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CAR,2.45
RB,Tarik Cohen (30808672),Tarik Cohen,30808672,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CAR,0
RB,Darrynton Evans (30808674),Darrynton Evans,30808674,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,6.98
RB,Travis Homer (30808676),Travis Homer,30808676,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,0
RB,Robert Burns (30808678),Robert Burns,30808678,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,0
RB,Khari Blasingame (30808680),Khari Blasingame,30808680,RB/FLEX,4000,CAR@CHI 11/09/2023 08:15PM ET,CHI,0.57
QB,Josh Johnson (30808352),Josh Johnson,30808352,QB,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,0
QB,Dorian Thompson-Robinson (30808353),Dorian Thompson-Robinson,30808353,QB,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,1.53
RB,J.K. Dobbins (30808654),J.K. Dobbins,30808654,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,11.7
RB,Melvin Gordon III (30808656),Melvin Gordon III,30808656,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,6.45
RB,Owen Wright (30808658),Owen Wright,30808658,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,0
RB,Patrick Ricard (30808660),Patrick Ricard,30808660,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,0.98
RB,Pierre Strong Jr. (30808662),Pierre Strong Jr.,30808662,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,3.32
RB,Nick Chubb (30808664),Nick Chubb,30808664,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,13.05
RB,John Kelly Jr. (30808666),John Kelly Jr.,30808666,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,0
RB,Kenyan Drake (30808668),Kenyan Drake,30808668,RB/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,2.05
TE,David Njoku (30809232),David Njoku,30809232,TE/FLEX,4000,CLE@BAL 11/12/2023 01:00PM ET,CLE,9.36
DST,Ravens  (30809512),Ravens ,30809512,DST,4000,CLE@BAL 11/12/2023 01:00PM ET,BAL,10
QB,AJ McCarron (30808350),AJ McCarron,30808350,QB,4000,HOU@CIN 11/12/2023 01:00PM ET,CIN,0
QB,Case Keenum (30808351),Case Keenum,30808351,QB,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,0
RB,Chase Brown (30808638),Chase Brown,30808638,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,CIN,0.86
RB,Demetric Felton (30808640),Demetric Felton,30808640,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,CIN,0
RB,Mike Boone (30808642),Mike Boone,30808642,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,1.31
RB,Dare Ogunbowale (30808644),Dare Ogunbowale,30808644,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,0.13
RB,Gerrid Doaks (30808646),Gerrid Doaks,30808646,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,0
RB,Andrew Beck (30808648),Andrew Beck,30808648,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,1.95
RB,Troy Hairston (30808650),Troy Hairston,30808650,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,0
RB,J.J. Taylor (30808652),J.J. Taylor,30808652,RB/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,0
WR,Robert Woods (30808794),Robert Woods,30808794,WR/FLEX,4000,HOU@CIN 11/12/2023 01:00PM ET,HOU,8.45
QB,Nathan Rourke (30808348),Nathan Rourke,30808348,QB,4000,SF@JAX 11/12/2023 01:00PM ET,JAX,0
QB,Brandon Allen (30808349),Brandon Allen,30808349,QB,4000,SF@JAX 11/12/2023 01:00PM ET,SF,0
RB,D'Ernest Johnson (30808626),D'Ernest Johnson,30808626,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,JAX,1
RB,JaMycal Hasty (30808628),JaMycal Hasty,30808628,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,JAX,0
RB,Snoop Conner (30808630),Snoop Conner,30808630,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,JAX,0
RB,Tyrion Davis-Price (30808632),Tyrion Davis-Price,30808632,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,SF,2.1
RB,Kyle Juszczyk (30808634),Kyle Juszczyk,30808634,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,SF,2.06
RB,Jeremy McNichols (30808636),Jeremy McNichols,30808636,RB/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,SF,0
WR,Zay Jones (30808792),Zay Jones,30808792,WR/FLEX,4000,SF@JAX 11/12/2023 01:00PM ET,JAX,9.27
QB,Jake Haener (30808344),Jake Haener,30808344,QB,4000,NO@MIN 11/12/2023 01:00PM ET,NO,0
QB,Nick Mullens (30808345),Nick Mullens,30808345,QB,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,0
QB,Kirk Cousins (30808346),Kirk Cousins,30808346,QB,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,21.34
QB,Sean Mannion (30808347),Sean Mannion,30808347,QB,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,0
RB,Eno Benjamin (30808612),Eno Benjamin,30808612,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,NO,0
RB,Jordan Mims (30808614),Jordan Mims,30808614,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,NO,0
RB,Adam Prentice (30808616),Adam Prentice,30808616,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,NO,0.2
RB,Ty Chandler (30808618),Ty Chandler,30808618,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,1.5
RB,Kene Nwangwu (30808620),Kene Nwangwu,30808620,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,0
RB,C.J. Ham (30808622),C.J. Ham,30808622,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,0.62
RB,DeWayne McBride (30808624),DeWayne McBride,30808624,RB/FLEX,4000,NO@MIN 11/12/2023 01:00PM ET,MIN,0
QB,Mason Rudolph (30808342),Mason Rudolph,30808342,QB,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,0
QB,Alex McGough (30808343),Alex McGough,30808343,QB,4000,GB@PIT 11/12/2023 01:00PM ET,GB,0
RB,Godwin Igwebuike (30808596),Godwin Igwebuike,30808596,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,0
RB,Anthony McFarland Jr. (30808598),Anthony McFarland Jr.,30808598,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,3.1
RB,Alfonzo Graham (30808600),Alfonzo Graham,30808600,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,0
RB,Qadree Ollison (30808602),Qadree Ollison,30808602,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,0
RB,Jack Colletto (30808604),Jack Colletto,30808604,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,PIT,0
RB,Emanuel Wilson (30808606),Emanuel Wilson,30808606,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,GB,2.34
RB,James Robinson (30808608),James Robinson,30808608,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,GB,0
RB,Henry Pearson (30808610),Henry Pearson,30808610,RB/FLEX,4000,GB@PIT 11/12/2023 01:00PM ET,GB,0
QB,John Wolford (30808341),John Wolford,30808341,QB,4000,TEN@TB 11/12/2023 01:00PM ET,TB,0
RB,Ke'Shawn Vaughn (30808584),Ke'Shawn Vaughn,30808584,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TB,1.07
RB,Sean Tucker (30808586),Sean Tucker,30808586,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TB,0.87
RB,Patrick Laird (30808588),Patrick Laird,30808588,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TB,0
RB,Hassan Haskins (30808590),Hassan Haskins,30808590,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TEN,0
RB,Julius Chestnut (30808592),Julius Chestnut,30808592,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TEN,0
RB,Jonathan Ward (30808594),Jonathan Ward,30808594,RB/FLEX,4000,TEN@TB 11/12/2023 01:00PM ET,TEN,0
QB,Jeff Driskel (30808339),Jeff Driskel,30808339,QB,4000,ATL@ARI 11/12/2023 04:05PM ET,ARI,0
QB,Logan Woodside (30808340),Logan Woodside,30808340,QB,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0
RB,Tony Jones Jr. (30808566),Tony Jones Jr.,30808566,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ARI,5.56
RB,Corey Clement (30808568),Corey Clement,30808568,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ARI,0
RB,Marlon Mack (30808570),Marlon Mack,30808570,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ARI,0
RB,Hassan Hall (30808572),Hassan Hall,30808572,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ARI,0
RB,Avery Williams (30808574),Avery Williams,30808574,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0
RB,Keith Smith (30808576),Keith Smith,30808576,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0.59
RB,Carlos Washington Jr. (30808578),Carlos Washington Jr.,30808578,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0
RB,B.J. Baylor (30808580),B.J. Baylor,30808580,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0
RB,Jacob Saylors (30808582),Jacob Saylors,30808582,RB/FLEX,4000,ATL@ARI 11/12/2023 04:05PM ET,ATL,0
QB,Max Duggan (30808335),Max Duggan,30808335,QB,4000,DET@LAC 11/12/2023 04:05PM ET,LAC,0
QB,Hendon Hooker (30808336),Hendon Hooker,30808336,QB,4000,DET@LAC 11/12/2023 04:05PM ET,DET,0
QB,Nate Sudfeld (30808337),Nate Sudfeld,30808337,QB,4000,DET@LAC 11/12/2023 04:05PM ET,DET,0
QB,David Blough (30808338),David Blough,30808338,QB,4000,DET@LAC 11/12/2023 04:05PM ET,DET,0
RB,Isaiah Spiller (30808554),Isaiah Spiller,30808554,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,LAC,1.54
RB,Elijah Dotson (30808556),Elijah Dotson,30808556,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,LAC,0.98
RB,Jaret Patterson (30808558),Jaret Patterson,30808558,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,LAC,0
RB,Zonovan Knight (30808560),Zonovan Knight,30808560,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,DET,1.55
RB,Jermar Jefferson (30808562),Jermar Jefferson,30808562,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,DET,0
RB,Jason Cabinda (30808564),Jason Cabinda,30808564,RB/FLEX,4000,DET@LAC 11/12/2023 04:05PM ET,DET,0
QB,Tyrod Taylor (30808333),Tyrod Taylor,30808333,QB,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,5.85
QB,Trey Lance (30808334),Trey Lance,30808334,QB,4000,NYG@DAL 11/12/2023 04:25PM ET,DAL,0
RB,Jashaun Corbin (30808538),Jashaun Corbin,30808538,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,0
RB,Deon Jackson (30808540),Deon Jackson,30808540,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,1.5
RB,Gary Brightwell (30808542),Gary Brightwell,30808542,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,1.66
RB,Chris Myarick (30808544),Chris Myarick,30808544,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,0
RB,Eric Gray (30808546),Eric Gray,30808546,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,NYG,0.54
RB,Deuce Vaughn (30808548),Deuce Vaughn,30808548,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,DAL,2.18
RB,Malik Davis (30808550),Malik Davis,30808550,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,DAL,0
RB,Hunter Luepke (30808552),Hunter Luepke,30808552,RB/FLEX,4000,NYG@DAL 11/12/2023 04:25PM ET,DAL,1.29
QB,Jake Fromm (30808332),Jake Fromm,30808332,QB,4000,WAS@SEA 11/12/2023 04:25PM ET,WAS,0
RB,Chris Rodriguez Jr. (30808526),Chris Rodriguez Jr.,30808526,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,WAS,0.87
RB,Derrick Gore (30808528),Derrick Gore,30808528,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,WAS,0
RB,Alex Armah (30808530),Alex Armah,30808530,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,WAS,0.33
RB,DeeJay Dallas (30808532),DeeJay Dallas,30808532,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,SEA,0.69
RB,Kenny McIntosh (30808534),Kenny McIntosh,30808534,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,SEA,0
RB,Bryant Koback (30808536),Bryant Koback,30808536,RB/FLEX,4000,WAS@SEA 11/12/2023 04:25PM ET,SEA,0
QB,Aaron Rodgers (30808330),Aaron Rodgers,30808330,QB,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,0
QB,Trevor Siemian (30808331),Trevor Siemian,30808331,QB,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,0
RB,Michael Carter (30808508),Michael Carter,30808508,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,3.2
