full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Kareem Hunt,CLE,RB,7,10,10,0.2941176471,31,3.1,2,4.485027286,-1.385027286,0.1925747195,0,0,2.3,0.8,1,0.3333333333,0,0,0,0,11,11,1,1,0.09090909091
Lamar Jackson,BAL,QB,7,9,9,0.3333333333,36,4,1,0,4,-0.1403604395,0,0,3,1,2,0.3333333333,0,0,0,0,9,9,0,0,0
Pierre Strong,CLE,RB,7,9,9,0.2647058824,25,2.777777778,0,0,2.777777778,-0.3330905282,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0
Raheem Mostert,MIA,RB,7,9,9,0.75,45,5,0,0,5,-0.005110276986,0,0,2.555555556,2.444444444,0,0,0,0,0,0,12,12,3,3,0.25
Rhamondre Stevenson,NE,RB,7,9,9,0.36,34,3.777777778,0,0,3.777777778,-0.2462804545,1,0.1111111111,2.333333333,1.444444444,0,0,0,0,0,0,15,15,6,6,0.4
Aaron Jones,GB,RB,7,8,8,0.275862069,35,4.375,0,0,4.375,-0.009652133376,0,0,3,1.375,0,0,0,0,0,0,13,13,5,5,0.3846153846
Alexander Mattison,MIN,RB,7,8,8,0.380952381,39,4.875,0,0,4.875,-0.1171178329,0,0,1.75,3.125,1,0.5,0,0,0,0,11,11,3,3,0.2727272727
Brian Robinson,WAS,RB,7,8,8,0.4210526316,23,2.875,1,0,2.875,-0.08797885719,0,0,1.625,1.25,1,1,0,0,0,0,9,9,1,1,0.1111111111
Kenneth Gainwell,PHI,RB,7,8,8,0.2352941176,16,2,1,0,2,-0.3523248504,0,0,1.625,0.375,0,0,0,0,0,0,8,8,0,0,0
Kenny Pickett,PIT,QB,7,8,8,0.275862069,0,0,1,0,0,0.05025489003,0,0,-0.25,0.25,1,0.3333333333,0,0,0,0,8,8,0,0,0
Trevor Lawrence,JAX,QB,7,8,8,0.3076923077,59,7.375,0,0,7.375,0.5068146615,0,0,6.75,0.625,3,1,3,1,2,1,8,8,3,3,0.375
Tyrod Taylor,NYG,QB,7,8,8,0.25,25,3.125,0,0,3.125,0.01421002101,0,0,2.25,0.875,4,0.4444444444,3,1,1,1,8,8,3,3,0.375
Chris Rodriguez,WAS,RB,7,7,7,0.3684210526,31,4.428571429,0,0,4.428571429,-0.1499534809,1,0.1428571429,1.857142857,2.571428571,0,0,0,0,0,0,7,7,0,0,0
Josh Allen,BUF,QB,7,7,7,0.2916666667,17,2.428571429,1,0,2.428571429,0.6432094142,0,0,1.714285714,0.7142857143,0,0,0,0,0,0,7,7,0,0,0
Joshua Dobbs,ARI,QB,7,7,7,0.28,43,6.142857143,1,0,6.142857143,0.3389096173,0,0,3.428571429,2.714285714,2,0.3333333333,1,0.5,0,0,7,7,1,1,0.1428571429
Joshua Kelley,LAC,RB,7,7,7,0.2692307692,75,10.71428571,1,0,10.71428571,0.5249830107,1,0.1428571429,5.857142857,4.857142857,0,0,0,0,0,0,7,7,0,0,0
Desmond Ridder,ATL,QB,7,6,6,0.1578947368,38,6.333333333,1,0,6.333333333,-1.119974409,0,0,6.166666667,0.1666666667,0,0,0,0,0,0,6,6,0,0,0
Geno Smith,SEA,QB,7,6,6,0.1875,10,1.666666667,0,0,1.666666667,-0.716631834,0,0,1.166666667,0.5,0,0,0,0,0,0,6,6,0,0,0
Jaylen Warren,PIT,RB,7,6,6,0.2068965517,32,5.333333333,1,0,5.333333333,0.1812917369,1,0.1666666667,2.166666667,3.166666667,0,0,0,0,0,0,8,8,2,2,0.25
Brock Purdy,SF,QB,7,5,5,0.2272727273,19,3.8,0,0,3.8,0.3487508748,1,0.2,-1.8,5.6,0,0,0,0,0,0,5,5,0,0,0
Jaleel McLaughlin,DEN,RB,7,5,5,0.2,45,9,0,0,9,0.550138275,0,0,6.6,2.4,2,0.5,0,0,0,0,7,7,2,2,0.2857142857
Jamaal Williams,NO,RB,7,5,5,0.1612903226,14,2.8,0,0,2.8,-0.3292875692,0,0,2.2,0.6,1,0.5,0,0,0,0,5,5,0,0,0
Taysom Hill,NO,QB,7,5,5,0.1612903226,18,3.6,1,0,3.6,0.7250163092,0,0,2.6,1,0,0,0,0,0,0,10,10,5,5,0.5
Saquon Barkley,NYG,RB,8,36,36,0.6923076923,128,3.555555556,0,4.055947169,-0.5003916131,-0.2250596264,1,0.02777777778,1.166666667,2.388888889,6,0.75,4,0.8,4,1,41,41,9,9,0.2195121951
Javonte Williams,DEN,RB,8,27,27,0.675,85,3.148148148,0,3.463130129,-0.3149819807,-0.155000364,2,0.07407407407,2.555555556,0.5925925926,3,1,1,1,0,0,30,30,4,4,0.1333333333
Jahmyr Gibbs,DET,RB,8,26,26,0.6046511628,152,5.846153846,1,4.114031858,1.732121988,-0.008991041581,3,0.1153846154,2.807692308,3.038461538,3,1,0,0,0,0,31,31,5,5,0.1612903226
