PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Chuba Hubbard,RB,CAR,MIA,662,47.50,14.00,16.75,4300,12.49,2.9,23.44
Raheem Mostert,RB,MIA,CAR,-1037,47.50,-14.00,30.75,6400,15.21,2.4,23.22
Ja'Marr Chase,WR,CIN,SEA,-154,45.50,-3.00,24.25,8300,19.94,2.4,18.34
Christian Kirk,WR,JAX,IND,-204,44.00,-4.50,24.25,5400,13.65,2.5,14.94
Jordan Addison,WR,MIN,CHI,-157,43.50,-3.00,23.25,5700,13.47,2.4,14.45
Kyren Williams,RB,LAR,ARI,-330,48.50,-7.00,27.75,6500,14.61,2.3,14.38
Marquise Brown,WR,ARI,LAR,257,48.50,7.00,20.75,5300,13.52,2.6,14.25
Miami Dolphins,D,MIA,CAR,-1037,47.50,-14.00,30.75,3500,8.36,2.4,13.76
Travis Etienne,RB,JAX,IND,-204,44.00,-4.50,24.25,7100,15.34,2.2,13.63
Christian McCaffrey,RB,SF,CLE,-490,36.00,-9.50,22.75,9500,21.51,2.3,13.22
D'Onta Foreman,RB,CHI,MIN,131,43.50,3.00,20.25,4400,12.00,2.7,13.16
Tyreek Hill,WR,MIA,CAR,-1037,47.50,-14.00,30.75,9300,20.51,2.2,13.14
Alvin Kamara,RB,NO,HOU,-127,42.50,-1.50,22.00,6800,15.42,2.3,13.02
Joe Mixon,RB,CIN,SEA,-154,45.50,-3.00,24.25,6300,14.02,2.2,12.58
Detroit Lions,D,DET,TB,-162,42.50,-3.00,22.75,2700,6.82,2.5,12.42
Josh Jacobs,RB,LV,NE,-155,41.50,-3.00,22.25,7000,14.72,2.1,11.88
Dameon Pierce,RB,HOU,NO,108,42.50,1.50,20.50,5100,12.54,2.5,11.79
Kyle Pitts,TE,ATL,WAS,-135,42.50,-2.50,22.50,3500,9.40,2.7,11.74
Breece Hall,RB,NYJ,PHI,240,41.50,6.50,17.50,6000,14.74,2.5,11.27
Alexander Mattison,RB,MIN,CHI,-157,43.50,-3.00,23.25,5600,11.86,2.1,11.19
Cooper Kupp,WR,LAR,ARI,-330,48.50,-7.00,27.75,9000,20.36,2.3,11.18
Bijan Robinson,RB,ATL,WAS,-135,42.50,-2.50,22.50,7200,16.96,2.4,11.10
Joe Burrow,QB,CIN,SEA,-154,45.50,-3.00,24.25,6300,19.89,3.2,10.71
Rachaad White,RB,TB,DET,136,42.50,3.00,19.75,5500,12.29,2.2,10.29
D'Andre Swift,RB,PHI,NYJ,-298,41.50,-6.50,24.00,6100,13.38,2.2,10.27
Minnesota Vikings,D,MIN,CHI,-157,43.50,-3.00,23.25,3000,6.35,2.1,9.99
