PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
John Collins,UTA,UTA @ WAS,01/25/2024,W,33,22,11,15,73.3,0,2,0,0,0,-,7,9,16,1,1,0,1,2,22,44.7
Kris Dunn,UTA,UTA @ WAS,01/25/2024,W,17,4,2,4,50,0,1,0,0,0,-,0,1,1,3,1,0,0,1,2,12.7
Delon Wright,WAS,WAS vs. UTA,01/25/2024,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,0,2.7
Malachi Flynn,NYK,NYK vs. DEN,01/25/2024,W,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2
Jericho Sims,NYK,NYK vs. DEN,01/25/2024,W,25,2,1,1,100,0,0,-,0,0,-,1,7,8,0,0,1,1,4,20,13.6
Rudy Gobert,MIN,MIN @ BKN,01/25/2024,W,33,10,4,9,44.4,0,0,-,2,2,100,1,12,13,1,1,2,1,3,3,35.1
Mike Conley,MIN,MIN @ BKN,01/25/2024,W,33,10,3,6,50,2,4,50,2,2,100,0,2,2,4,2,1,1,1,1,26.4
Paul Reed,PHI,PHI @ IND,01/25/2024,L,17,7,3,5,60,1,2,50,0,0,-,1,5,6,1,3,0,1,2,8,23.7
KJ Martin,PHI,PHI @ IND,01/25/2024,L,31,11,4,6,66.7,0,1,0,3,6,50,1,2,3,2,2,0,2,4,4,21.6
Terquavion Smith,PHI,PHI @ IND,01/25/2024,L,12,2,0,6,0,0,4,0,2,2,100,0,0,0,5,3,0,1,0,9,17.5
Ben Sheppard,IND,IND vs. PHI,01/25/2024,W,15,2,1,4,25,0,2,0,0,0,-,0,5,5,2,0,0,0,5,-3,11
Ricky Council IV,PHI,PHI @ IND,01/25/2024,L,12,11,3,6,50,1,1,100,4,6,66.7,1,0,1,0,1,0,0,0,9,15.2
Bennedict Mathurin,IND,IND vs. PHI,01/25/2024,W,25,13,5,13,38.5,0,2,0,3,3,100,1,4,5,4,0,0,3,2,-16,22
