Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
429,Casey Washington,ATL,WR,300,10.39007056,,5
430,Mason Tipton,NO,WR,300,10.23086061,,5
431,Marquez Valdes-Scantling,DAL,WR,300,10.21991094,,5
432,Quintin Morris,JAX,TE,300,9.65029898,,5
433,Grant Calcaterra,PHI,TE,300,9.35201454,,5
434,Max Bredeson,MIN,RB,300,8.911685335,,5
435,Pierre Strong,GB,RB,300,8.843410875,,5
436,Austin Trammell,JAX,WR,300,8.835033095,,5
437,Jahdae Walker,CHI,WR,300,8.73752666,,5
438,Riley Nowakowski,PIT,TE,300,8.726365185,,5
439,Adam Prentice,DEN,RB,300,8.72063093,,5
440,Anthony Gould,IND,WR,300,8.70047075,,5
441,Tyrell Shavers,BUF,WR,300,8.568101385,,5
442,Teagan Quitoriano,ARI,TE,300,8.468505115,,5
443,Jack Westover,NE,TE,300,8.45382904,,5
444,Kameron Johnson,TB,WR,300,8.29456459,,5
445,Will Mallory,IND,TE,300,8.218983215,,5
446,Phil Mafah,DAL,RB,300,8.204099965,,5
447,Ben Skowronek,PIT,WR,300,8.10112431,,5
448,Ja'Lynn Polk,NO,WR,300,7.92715409,,5
449,Mecole Hardman,BUF,WR,300,7.909865015,,5
450,Tylan Wallace,CLE,WR,300,7.777280595,,5
451,Myles Price,MIN,WR,300,7.697548555,,5
452,Dareke Young,LV,WR,300,7.489518045,,5
453,Nate Carter,ATL,RB,300,7.364411845,,5
454,Jordan Watkins,SF,WR,300,7.11297116,,5
455,Lil'Jordan Humphrey,DEN,WR,300,6.924613725,,5
456,Drake Dabney,GB,TE,300,6.814235275,,5
457,Jared Wiley,KC,TE,300,6.58021154,,5
458,Darius Cooper,PHI,WR,300,6.530753995,,5
459,Tyler Badie,DEN,RB,300,6.46689146,,5
460,Derius Davis,LAC,WR,300,6.45442057,,5
461,Albert Okwuegbunam,LV,TE,300,6.43294445,,5
462,Tim Patrick,NYJ,WR,300,6.25822714,,5
463,LaJohntay Wester,BAL,WR,300,6.128312155,,5
464,Laquon Treadwell,IND,WR,300,6.116314325,,5
465,Tim Jones,JAX,WR,300,6.025209255,,5
466,British Brooks,HOU,RB,300,5.717308325,,5
467,David Martin-Robinson,TEN,TE,300,5.69239735,,5
468,Malachi Corley,CLE,WR,300,5.579234725,,5
469,C.J. Williams,JAX,WR,300,5.49919611,,5
470,Andrew Beck,NYJ,RB,300,5.21195966,,5
471,Colson Yankoff,WAS,TE,300,5.17837133,,5
472,Keleki Latu,BUF,TE,300,5.029434405,,5
473,Kevin Austin Jr.,NO,WR,300,4.984241366,,5
474,Jelani Woods,NYJ,TE,300,4.731221111,,55
475,Dyami Brown,WAS,WR,300,4.597941837,,5
476,Jeremy McNichols,WAS,RB,300,4.520062589,,5
477,DeeJay Dallas,JAX,RB,300,4.49315694,,5
478,Carter Runyon,LV,TE,300,4.470231008,,5
479,Jalen Brooks,ARI,WR,300,4.34277899,,5
480,Jake Bobo,SEA,WR,300,4.29611519,,5
481,Josh Cuevas,BAL,TE,300,4.072385033,,4
482,Robbie Ouzts,SEA,RB,300,3.987613203,,5
483,Terrell Jennings,NE,RB,300,3.939346492,,5
484,Sione Vaki,DET,RB,300,3.929594835,,5
485,Skyy Moore,GB,WR,300,3.891225675,,5
486,Joshua Simon,ATL,TE,300,3.799368659,,5
487,Isaiah Hodgins,NYG,WR,300,3.76268678,,5
488,Princeton Fant,DAL,TE,300,3.711808022,,5
489,Hunter Long,JAX,TE,300,3.461980969,,5
490,Nikko Remigio,KC,WR,300,3.390023191,,5
491,Theo Wease Jr.,MIA,WR,300,3.252740991,,5
492,Chris Manhertz,NYG,TE,300,3.239716289,,5
493,Kene Nwangwu,NYJ,RB,300,3.158420904,,5
494,Isaac Guerendo,SF,RB,300,3.145161823,,5
495,AJ Dillon,CAR,RB,300,3.114107007,,5
496,Thomas Fidone II,NYG,TE,300,3.112121607,,5
497,Jacob Cowing,SF,WR,300,3.002055519,,5
498,Jason Brownlee,KC,WR,300,2.986144529,,5
499,Gavin Bartholomew,MIN,TE,300,2.929316342,,5
500,Ty Chandler,NO,RB,300,2.892150882,,5
501,Patrick Ricard,NYG,RB,300,2.806648676,,5
502,Reggie Gilliam,NE,RB,300,2.732930462,,5
503,Josh Williams,TB,RB,300,2.725485373,,5
504,Kaden Wetjen,PIT,WR,300,2.71663797,,5
505,Jake Briningstool,KC,TE,300,2.653675287,,5
506,Beaux Collins,NYG,WR,300,2.651468774,,5
507,Devin Duvernay,ARI,WR,300,2.597515049,,5
508,Messiah Swinson,GB,TE,300,2.579711253,,5
509,Ronnie Rivers,LAR,RB,300,2.567648614,,5
510,CJ Dippre,NE,TE,300,2.555361073,,5
511,Brayden Willis,SF,TE,300,2.493136827,,5
512,Scott Miller,CHI,WR,300,2.489566241,,5
513,Brittain Brown,CHI,RB,300,2.467247368,,5
514,Devin Culp,TB,TE,300,2.44760812,,5
515,Cameron Latu,PHI,TE,300,2.442488051,,5
516,Jacob Saylors,DET,RB,300,2.417588553,,5
517,Dylan Drummond,ATL,WR,300,2.275725853,,5
518,Cam Grandy,CIN,TE,300,2.272303233,,5
519,Stephen Carlson,CHI,TE,300,2.231102913,,5
520,Jaret Patterson,LAC,RB,300,2.230697853,,5
521,Michael Carter,TEN,RB,300,2.055498531,,5
522,Frank Gore Jr.,BUF,RB,300,2.021131675,,5
523,Kalel Mullings,TEN,RB,300,1.985553371,,5
524,Dominic Lovett,DET,WR,300,1.959404244,,5
525,Dameon Pierce,PHI,RB,300,1.933121399,,5
526,Chris Collier,LV,RB,300,1.898733594,,5
527,Damien Martinez,GB,RB,300,1.859845851,,5
528,Zaire Mitchell-Paden,NO,TE,300,1.857923828,,5
529,Elijah Moore,PHI,WR,300,1.852002266,,5
530,Mason Kinsey,TEN,WR,300,1.838379261,,5
531,A.T. Perry,PIT,WR,300,1.816836679,,5
532,Justin Watson,HOU,WR,300,1.764973905,,5
533,JJ Galbreath,PIT,TE,300,1.605726353,,5
534,Efton Chism III,NE,WR,300,1.566003977,,5
535,Donovan Edwards,MIA,RB,300,1.522392192,,5
536,Eric Gray,NYG,RB,300,1.484230862,,5
537,JP Richardson,CHI,WR,300,1.458417335,,5
538,Nick Kallerup,SEA,TE,300,1.440174671,,5
539,Ke'Shawn Williams,CIN,WR,300,1.405306802,,5
540,Feleipe Franks,CAR,TE,300,1.29912754,,5
541,Bam Knight,ARI,RB,300,1.256069603,,5
542,Tom Kennedy,DET,WR,300,1.110219978,,5
543,Ahmani Marshall,CLE,RB,300,1.073472246,,5
544,Charlie Jones,CIN,WR,300,1.033710907,,5
545,Jeshaun Jones,MIN,WR,300,0.977491017,,5
546,Dontae Fleming,MIN,WR,300,0.977491017,,5
547,Jared Wayne,HOU,WR,300,0.9702824445,,5
548,Ulysses Bentley IV,IND,RB,300,0.9558642495,,5
549,Zach Horton,DET,TE,300,0.884435312,,5
550,Gary Brightwell,CIN,RB,300,0.8822239655,,5
551,Hayden Rucci,SF,TE,300,0.6399395395,,5
552,Ko Kieft,TB,TE,300,0.575664851,,5
553,Kendrick Law,DET,WR,300,0,,5
554,Gardner Minshew,ARI,QB,300,0,Tier 4,
555,Rivaldo Fairweather,ARI,TE,300,0,,4
556,Adam Randall,BAL,RB,222.6,0,,5
557,Dayton Wade,BAL,WR,300,0,,5
558,Ben Vansumeren,BUF,RB,300,0,,5
559,David Moore,CAR,WR,300,0,,5
560,Nikola Kalinic,CHI,TE,300,0,,5
561,Michael Burton,CLE,RB,300,0,,5
562,Michael Bandy,DEN,WR,300,0,,5
563,Lucas Krull,DEN,TE,240,0,,5
564,Brevin Jordan,HOU,TE,300,0,,5
565,Ameer Abdullah,JAX,RB,300,0,,5
566,Stetson Bennett,LAR,QB,300,0,Tier 5,
567,Tyler Scott,LAR,WR,300,0,,5
568,Aidan O'Connell,LV,QB,300,0,Tier 5,
569,Shedrick Jackson,LV,WR,300,0,,5
570,Jam Miller,NE,RB,300,0,,5
571,Moliki Matavao,NO,TE,300,0,,5
572,Andy Dalton,PHI,QB,300,0,Tier 5,
573,Mason Rudolph,PIT,QB,300,0,Tier 5,
574,Travis Homer,PIT,RB,300,0,,5
575,Jalen Milroe,SEA,QB,220,0,Tier 5,
576,Ricky White III,SEA,WR,300,0,,5
577,Harrison Bryant,SEA,TE,300,0,,5
578,Garrett Greene,TB,WR,300,0,,5
579,Bauer Sharp,TB,TE,300,0,,5
580,Xavier Restrepo,TEN,WR,300,0,,5
581,Lawrence Cager,WAS,TE,300,0,,5
