Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
193,Chris Bell,MIA,WR,211.84,127.5483788,,4
194,Samaje Perine,CIN,RB,238.5,123.0169152,,5
195,Dylan Sampson,CLE,RB,191.4,122.633906,Receiver,4
196,Jordan Mason,MIN,RB,159.13,121.205833,,5
197,Deebo Samuel Sr.,FA,WR,186.34,119.6888671,,
198,Christian Kirk,SF,WR,215.5,119.3527794,,4
199,Oronde Gadsden II,LAC,TE,103.51,118.5741924,,3
200,Chris Godwin Jr.,TB,WR,103.42,118.3427615,,2
201,Malik Washington,MIA,WR,190.31,117.4045159,,4
202,Alvin Kamara,NO,RB,179.41,117.0259128,Receiver,3
203,Noah Gray,KC,TE,219.8,115.7177906,,4
204,Jacory Croskey-Merritt,WAS,RB,147.89,114.6577361,,5
205,Travis Hunter,JAX,WR,164.25,114.1504315,,4
206,Jake Tonges,SF,TE,196.88,114.1205355,,3
207,Luke Musgrave,GB,TE,231,113.7743179,,4
208,Stefon Diggs,FA,WR,140.77,112.6061314,,
209,Darnell Mooney,NYG,WR,212.98,112.3923937,Cut?,5
210,Zach Charbonnet,SEA,RB,161.44,106.1016328,Receiver,3
211,Elijah Arroyo,SEA,TE,221,105.3565149,,4
212,Jack Bech,LV,WR,219.16,105.2007988,,4
213,Kayshon Boutte,NE,WR,195.98,104.1989561,,4
214,Omar Cooper Jr.,NYJ,WR,158.21,104.015902,,4
215,Jahan Dotson,ATL,WR,224.5,103.7023709,,4
216,Kimani Vidal,LAC,RB,212.74,103.3718438,,4
217,Tyler Allgeier,ARI,RB,172.81,103.3393654,,5
218,Eli Stowers,PHI,TE,172.29,103.3356598,,4
219,Jonah Coleman,DEN,RB,181.27,101.9500377,,4
220,Michael Penix Jr.,ATL,QB,196.58,99.4822487,Tier 3,
221,Keaton Mitchell,LAC,RB,185.35,96.6496365,Receiver,3
222,Kirk Cousins,LV,QB,208.98,94.77652165,Tier 3,
223,Treylon Burks,WAS,WR,228.5,94.66631832,,4
224,Jonnu Smith,FA,TE,300,93.2315705,,4
225,Elijah Sarratt,BAL,WR,214.05,92.25337405,,4
226,Ja'Kobi Lane,BAL,WR,209.88,91.58546066,,5
227,Jaylen Wright,MIA,RB,216.03,87.48956634,,4
228,Ray Davis,BUF,RB,214.34,87.41403859,Receiver,4
229,Mack Hollins,NE,WR,222,87.17827755,,5
230,Tank Bigsby,PHI,RB,196.47,86.905689,Receiver,5
231,Braelon Allen,NYJ,RB,208.49,86.29521127,,4
232,DJ Giddens,IND,RB,233.67,85.11329584,,4
233,Mac Jones,SF,QB,214.08,79.89664045,,
234,KaVontae Turpin,DAL,WR,300,79.02000945,Best Ball,4
235,Kaelon Black,SF,RB,223.46,78.81801361,,5
236,Sean Tucker,TB,RB,210.57,78.78599127,,4
237,Emanuel Wilson,SEA,RB,220.8,78.7261299,,5
238,Tank Dell,HOU,WR,193.98,78.67853989,,3
239,Jameis Winston,NYG,QB,228.75,77.75137925,Tier 4,
240,Jalen Tolbert,MIA,WR,224.3,76.23766769,,4
241,Devaughn Vele,NO,WR,225.62,73.140016,Best Ball,4
242,Marvin Mims Jr.,DEN,WR,218.11,72.7312331,Best Ball,4
243,Tyrone Tracy Jr.,NYG,RB,164.48,72.21778825,,3
244,Malik Davis,DAL,RB,230.5,71.9190002,,5
245,Kendrick Bourne,ARI,WR,300,71.3423344,,4
246,Ty Johnson,BUF,RB,300,71.21191145,,4
247,Caleb Douglas,MIA,WR,235.2,70.7331986,,4
248,Keenan Allen,LAC,WR,221.42,70.44529225,,4
249,Kaytron Allen,WAS,RB,212.84,67.00570505,Receiver,5
250,Matthew Hibner,BAL,TE,300,65.0677798,,5
251,Emari Demercado,KC,RB,219.5,64.02367275,,5
252,Kalif Raymond,CHI,WR,300,60.3918231,,5
253,Josh Palmer,BUF,WR,300,60.37268555,,5
254,Chris Brooks,GB,RB,213.75,58.82336,,5
255,Olamide Zaccheaus,ATL,WR,234,58.33052235,,4
256,Zachariah Branch,ATL,WR,190.55,58.00933535,Best Ball,4
257,Pat Bryant,DEN,WR,213.55,57.9844431,,4
258,Xavier Legette,CAR,WR,217,57.4167861,,5
259,Xavier Hutchinson,HOU,WR,300,56.35931335,,5
260,Nick Westbrook-Ikhine,IND,WR,300,55.7333298,,5
261,De'Zhaun Stribling,SF,WR,191.97,55.1839186,,5
262,Daniel Bellinger,TEN,TE,236,53.96838685,,4
263,Chris Brazzell II,CAR,WR,220.06,53.59713945,,5
264,Noah Fant,NO,TE,238,53.2157836,,5
265,Oscar Delp,NO,TE,213.33,52.9458142,,4
266,Tommy Tremble,CAR,TE,300,52.32996745,,5
267,Tre Harris,LAC,WR,189.79,51.1582178,,4
268,Mike Washington Jr.,LV,RB,209.38,50.111966,,5
269,Tutu Atwell,MIA,WR,223,49.87677649,,5
270,Colbie Young,CIN,WR,300,49.68120634,,5
271,Austin Hooper,ATL,TE,300,49.59507301,,5
272,Jalen Royals,KC,WR,232,49.52886378,,5
273,Anthony Richardson,IND,QB,224.6,49.48976792,Tier 4,
274,Chris Rodriguez Jr.,JAX,RB,183.5,49.1450254,,5
275,Keon Coleman,BUF,WR,212.97,48.56734465,,5
276,Chimere Dike,TEN,WR,205,48.442384,,4
277,Zavion Thomas,CHI,WR,220.75,48.19447237,,5
278,Eli Raridon,NE,TE,216.83,47.15030407,,5
279,Calvin Austin III,NYG,WR,300,46.48176017,,5
280,Elic Ayomanor,TEN,WR,207.48,45.67172937,,4
281,Malachi Fields,NYG,WR,212.92,45.54127515,,5
282,DeMario Douglas,NE,WR,236.33,45.10327652,,5
283,Tanner Hudson,CIN,TE,300,44.60438761,,5
284,Tez Johnson,TB,WR,300,44.13858811,,5
285,Bryce Lance,NO,WR,230,43.51207787,,5
286,Isaiah Davis,NYJ,RB,300,43.35856077,,4
287,Elijah Higgins,ARI,TE,300,43.12955825,,4
288,Josh Oliver,MIN,TE,300,43.11616038,,4
289,Tory Horton,SEA,WR,211.6,42.48688433,,5
290,Demond Claiborne,MIN,RB,211.79,41.52755185,Receiver,4
291,Greg Dortch,DET,WR,233,41.32457289,,5
292,LeQuint Allen Jr.,JAX,RB,227.67,40.3814577,Receiver,4
293,Emmett Johnson,KC,RB,190.64,40.32424992,,5
294,Roman Wilson,PIT,WR,300,40.24728236,,5
295,J.J. McCarthy,MIN,QB,208.23,39.81128373,Tier 4,
296,Jordan James,SF,RB,211.65,39.67077841,,5
297,Ted Hurst III,TB,WR,300,39.56758976,,5
298,Joe Royer,CLE,TE,300,39.43059287,,4
299,Kevin Coleman Jr.,MIA,WR,234,39.35156127,,5
300,Seydou Traore,MIA,TE,300,39.03212392,,5
301,George Holani,SEA,RB,207.64,38.70418996,,5
302,Jaylin Lane,WAS,WR,300,38.15342457,,5
303,Skyler Bell,BUF,WR,220.26,38.02520829,,5
304,Drew Sample,CIN,TE,300,37.90216752,,5
305,Justin Fields,KC,QB,217.43,37.25271177,Tier 3,5
306,Charlie Kolar,LAC,TE,300,36.98050392,,4
307,Mo Alie-Cox,IND,TE,300,36.91423546,,5
308,Luke McCaffrey,WAS,WR,300,36.58352967,,5
309,James Conner,ARI,RB,199.08,34.79442603,Receiver,5
310,Brock Wright,DET,TE,300,34.10533385,,5
311,Ollie Gordon II,MIA,RB,300,33.65499505,,5
312,Ben Sinnott,WAS,TE,300,33.63492065,,5
313,Luke Schoonmaker,DAL,TE,300,33.51725583,,4
314,Savion Williams,GB,WR,217,33.15872728,,5
315,Cyrus Allen,KC,WR,204,32.84651772,,5
316,Carson Beck,ARI,QB,221.63,32.69272526,Tier 5,
317,Max Klare,LAR,TE,220.5,32.37714286,,4
318,Van Jefferson,WAS,WR,300,32.11626842,,5
319,Sam Roush,CHI,TE,300,32.05894797,,5
320,Justin Joly,DEN,TE,219.67,31.30530129,,4
