Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,49ers  (37129543),49ers ,37129543,DST,2300,DET@SF 12/30/2024 08:15PM ET,SF,5.87
DST,Giants  (37129542),Giants ,37129542,DST,2300,IND@NYG 12/29/2024 01:00PM ET,NYG,5
DST,Panthers  (37129544),Panthers ,37129544,DST,2200,CAR@TB 12/29/2024 01:00PM ET,CAR,2.93
DST,Jets  (37129545),Jets ,37129545,DST,2100,NYJ@BUF 12/29/2024 01:00PM ET,NYJ,5.73
Lamar Jackson,37041391,QB,8200,PIT@BAL 12/21/2024 04:30PM ET,BAL,26.75
Nico Collins,37041868,WR/FLEX,8100,HOU@KC 12/21/2024 01:00PM ET,HOU,20.66
Derrick Henry,37041504,RB/FLEX,8000,PIT@BAL 12/21/2024 04:30PM ET,BAL,19.99
Joe Mixon,37041506,RB/FLEX,7800,HOU@KC 12/21/2024 01:00PM ET,HOU,22.16
George Pickens,37041890,WR/FLEX,6600,PIT@BAL 12/21/2024 04:30PM ET,PIT,13.53
Patrick Mahomes,37041398,QB,6400,HOU@KC 12/21/2024 01:00PM ET,KC,17.88
C.J. Stroud,37041404,QB,6000,HOU@KC 12/21/2024 01:00PM ET,HOU,15.09
Isiah Pacheco,37041548,RB/FLEX,6000,HOU@KC 12/21/2024 01:00PM ET,KC,10.32
Zay Flowers,37041912,WR/FLEX,5900,PIT@BAL 12/21/2024 04:30PM ET,BAL,14.14
Russell Wilson,37041408,QB,5700,PIT@BAL 12/21/2024 04:30PM ET,PIT,17.15
Najee Harris,37041558,RB/FLEX,5700,PIT@BAL 12/21/2024 04:30PM ET,PIT,13.12
Travis Kelce,37042488,TE/FLEX,5600,HOU@KC 12/21/2024 01:00PM ET,KC,12.07
Carson Wentz,37041413,QB,5400,HOU@KC 12/21/2024 01:00PM ET,KC,0.4
DeAndre Hopkins,37041940,WR/FLEX,5300,HOU@KC 12/21/2024 01:00PM ET,KC,9.76
Jaylen Warren,37041580,RB/FLEX,5200,PIT@BAL 12/21/2024 04:30PM ET,PIT,7.72
Tank Dell,37041950,WR/FLEX,5100,HOU@KC 12/21/2024 01:00PM ET,HOU,9.32
Kareem Hunt,37041596,RB/FLEX,5000,HOU@KC 12/21/2024 01:00PM ET,KC,12.5
Xavier Worthy,37041956,WR/FLEX,5000,HOU@KC 12/21/2024 01:00PM ET,KC,10.27
Rashod Bateman,37041964,WR/FLEX,4900,PIT@BAL 12/21/2024 04:30PM ET,BAL,10.6
Justice Hill,37041608,RB/FLEX,4800,PIT@BAL 12/21/2024 04:30PM ET,BAL,8.86
Justin Fields,37041429,QB,4700,PIT@BAL 12/21/2024 04:30PM ET,PIT,12.41
Keaton Mitchell,37041632,RB/FLEX,4500,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Dameon Pierce,37041646,RB/FLEX,4300,HOU@KC 12/21/2024 01:00PM ET,HOU,2.28
Mark Andrews,37042502,TE/FLEX,4300,PIT@BAL 12/21/2024 04:30PM ET,BAL,10.34
