Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4505268693,BillyVonElds (143/150),0,181.72,DST Patriots  FLEX Calvin Ridley QB Brock Purdy RB Bijan Robinson RB James Cook TE George Kittle WR George Pickens WR Ricky Pearsall WR Adonai Mitchell,,Aaron Jones,FLEX,33.91%,12.1
2,4505927660,Tavius87 (93/150),0,174.32,DST Patriots  FLEX James Conner QB Brock Purdy RB Bijan Robinson RB Rachaad White TE George Kittle WR Josh Downs WR Jauan Jennings WR Mack Hollins,,Bears ,DST,30.75%,4
3,4505457486,bklynmaniac99,0,172.65999,DST Jaguars  FLEX James Cook QB Justin Herbert RB Bijan Robinson RB Jonathan Taylor TE T.J. Hockenson WR Marvin Harrison Jr. WR Jauan Jennings WR Marquez Valdes-Scantling,,Josh Downs,WR,30.07%,14.2
4,4505834160,MickeyAO (9/100),0,169.5,DST Eagles  FLEX Davante Adams QB Will Levis RB Bijan Robinson RB James Conner TE George Kittle WR Calvin Ridley WR Courtland Sutton WR Curtis Samuel,,DeAndre Hopkins,WR,28.40%,9.6
5,4505800244,ben_wa (3/3),0,168.9,DST Vikings  FLEX Adonai Mitchell QB Russell Wilson RB Bijan Robinson RB Aaron Jones TE T.J. Hockenson WR George Pickens WR Darnell Mooney WR Marquez Valdes-Scantling,,Adonai Mitchell,FLEX,26.02%,13.1
6,4505296514,SoulChild (44/150),0,168.26,DST Bills  FLEX Quentin Johnston QB Justin Herbert RB Bijan Robinson RB James Conner TE Cade Otton WR Josh Downs WR Calvin Ridley WR Jauan Jennings,,Alvin Kamara,RB,25.17%,15.9
7,4506283981,jrozzinri (68/150),0,167.31999,DST Bills  FLEX George Kittle QB Brock Purdy RB Bijan Robinson RB Bucky Irving TE Travis Kelce WR Keenan Allen WR DeAndre Hopkins WR Ricky Pearsall,,D'Andre Swift,RB,23.50%,7.5
8,4506348524,d00dy (60/150),0,167.12,DST Cowboys  FLEX George Kittle QB Brock Purdy RB Bijan Robinson RB James Conner TE Taysom Hill WR Josh Downs WR Calvin Ridley WR Jauan Jennings,,Khalil Shakir,WR,23.12%,11.8
9,4505281737,AstroPepper (45/150),0,167.02,DST Patriots  FLEX Aaron Jones QB Brock Purdy RB Bijan Robinson RB Austin Ekeler TE Travis Kelce WR Khalil Shakir WR Jauan Jennings WR Adonai Mitchell,,Cade Otton,TE,20.60%,8.5
10,4505450529,Johnnyp135 (62/150),0,165.15999,DST Patriots  FLEX Calvin Ridley QB Justin Herbert RB Bijan Robinson RB Jonathan Taylor TE Travis Kelce WR Josh Downs WR Ladd McConkey WR Mack Hollins,,Bijan Robinson,RB,18.27%,32.4
11,4505721516,mtamburri922 (48/150),0,164.62,DST Jaguars  FLEX Travis Kelce QB Brock Purdy RB Alvin Kamara RB Bijan Robinson TE George Kittle WR Drake London WR Adonai Mitchell WR Mack Hollins,,George Kittle,TE,17.72%,14.7
12,4505242888,SVP_JC91 (19/116),0,164.42,DST Patriots  FLEX Jonathan Taylor QB Brock Purdy RB Alvin Kamara RB Bijan Robinson TE Juwan Johnson WR Davante Adams WR Marquez Valdes-Scantling WR Devaughn Vele,,Dalton Kincaid,FLEX,16.93%,4.4
13,4506050611,brodyvegas (3/3),0,164.29999,DST Eagles  FLEX Darnell Mooney QB Will Levis RB Bijan Robinson RB Aaron Jones TE Dalton Kincaid WR Calvin Ridley WR Courtland Sutton WR Ricky Pearsall,,Saquon Barkley,RB,16.82%,8.8
14,4505613531,snappt8 (66/150),0,164.2,DST Eagles  FLEX Aaron Jones QB Bo Nix RB Bijan Robinson RB Jonathan Taylor TE Travis Kelce WR Courtland Sutton WR Adonai Mitchell WR Devaughn Vele,,Brock Purdy,QB,16.75%,26.82
15,4505370830,JRucker504 (74/80),0,163.44,DST Cardinals  FLEX James Conner QB Patrick Mahomes RB Bijan Robinson RB Austin Ekeler TE Travis Kelce WR Courtland Sutton WR DeAndre Hopkins WR Adonai Mitchell,,Taysom Hill,TE,16.29%,7
15,4505511855,Abanksss81 (1/3),0,163.44,DST Broncos  FLEX Aaron Jones QB Kyler Murray RB Bijan Robinson RB James Conner TE Cade Otton WR Courtland Sutton WR Alec Pierce WR Ricky Pearsall,,James Conner,FLEX,15.66%,22.3
17,4506122758,rawlsr64 (1/2),0,163.40001,DST Eagles  FLEX James Conner QB Russell Wilson RB Bijan Robinson RB D'Andre Swift TE Kyle Pitts WR Courtland Sutton WR Jauan Jennings WR Ricky Pearsall,,Austin Ekeler,RB,15.58%,18.1
18,4506257009,morat (82/150),0,163.37999,DST Patriots  FLEX Austin Ekeler QB Joe Flacco RB Christian McCaffrey RB Bijan Robinson TE Travis Kelce WR Josh Downs WR Alec Pierce WR Mack Hollins,,Ladd McConkey,WR,15.50%,7.2
19,4505302341,m4ch1n3m4n (4/150),0,163.32,DST Vikings  FLEX DeAndre Hopkins QB Brock Purdy RB Bijan Robinson RB James Conner TE George Kittle WR Darnell Mooney WR Ricky Pearsall WR Mack Hollins,,Christian McCaffrey,RB,14.78%,16.7
20,4505834200,MickeyAO (49/100),0,162.92,DST Eagles  FLEX Deebo Samuel Sr. QB Brock Purdy RB Bijan Robinson RB James Conner TE George Kittle WR Courtland Sutton WR Sterling Shepard WR Adonai Mitchell,,Breece Hall,FLEX,14.67%,12.3
21,4505405681,bigtsather (2/150),0,162.88,DST Patriots  FLEX Garrett Wilson QB Jalen Hurts RB Bijan Robinson RB Austin Ekeler TE Travis Kelce WR Jauan Jennings WR Noah Brown WR Mack Hollins,,Davante Adams,WR,13.92%,9.1
22,4505276373,PNH324 (5/150),0,162.48001,DST Patriots  FLEX George Kittle QB Jalen Hurts RB Bijan Robinson RB James Conner TE Zach Ertz WR A.J. Brown WR Noah Brown WR Adonai Mitchell,,Patriots ,DST,13.53%,16
23,4506050610,brodyvegas (2/3),0,162.02,DST Bills  FLEX Calvin Ridley QB Brock Purdy RB D'Andre Swift RB Bucky Irving TE George Kittle WR Darnell Mooney WR Courtland Sutton WR Ricky Pearsall,,Mack Hollins,WR,13.51%,12.6
24,4506043992,joebsteelers (80/110),0,161.96,DST Patriots  FLEX Quentin Johnston QB Justin Herbert RB Aaron Jones RB James Conner TE Travis Kelce WR Terry McLaurin WR Calvin Ridley WR Jauan Jennings,,Hunter Henry,TE,13.37%,2.4
25,4506193479,cypauerbach (51/100),0,161.82,DST Bears  FLEX George Kittle QB Brock Purdy RB Bijan Robinson RB James Conner TE Travis Kelce WR Khalil Shakir WR Jauan Jennings WR Adonai Mitchell,,Justin Jefferson,WR,13.02%,9.8
26,4505389099,Bradizpro (142/150),0,161.51999,DST Bears  FLEX Ladd McConkey QB Brock Purdy RB Bijan Robinson RB Austin Ekeler TE Travis Kelce WR Courtland Sutton WR Jauan Jennings WR Ricky Pearsall,,Jonathan Taylor,RB,12.88%,17.2
27,4505899013,spash9 (19/20),0,161.48001,DST Eagles  FLEX A.J. Brown QB Jalen Hurts RB Bijan Robinson RB James Conner TE Cade Otton WR Sterling Shepard WR Adonai Mitchell WR Mack Hollins,,Travis Kelce,FLEX,12.40%,20.4
28,4505664495,prse (135/150),0,161.42,DST Jaguars  FLEX George Kittle QB Brock Purdy RB Christian McCaffrey RB Kareem Hunt TE Travis Kelce WR Calvin Ridley WR Jauan Jennings WR Adonai Mitchell,,Garrett Wilson,WR,12.30%,9.1
29,4506138706,gehrenberg (119/150),0,160.81999,DST Patriots  FLEX Hunter Henry QB Brock Purdy RB Bijan Robinson RB James Conner TE George Kittle WR Deebo Samuel Sr. WR George Pickens WR Adonai Mitchell,,Justin Herbert,QB,11.96%,19.76
30,4505699977,kylewest5 (53/100),0,160.64,DST Eagles  FLEX Bijan Robinson QB Kyler Murray RB James Cook RB Austin Ekeler TE Trey McBride WR Garrett Wilson WR Adonai Mitchell WR Mack Hollins,,Sam Darnold,QB,11.17%,9.44
31,4506053949,siyu798 (139/150),0,160.31999,DST Patriots  FLEX Jauan Jennings QB Brock Purdy RB Bijan Robinson RB Jonathan Taylor TE George Kittle WR Josh Downs WR DeAndre Hopkins WR Adonai Mitchell,,Aaron Rodgers,QB,11.12%,5.04
32,4506099022,jjax33 (74/150),0,160.21999,DST Patriots  FLEX Travis Kelce QB Brock Purdy RB Bijan Robinson RB Austin Ekeler TE George Kittle WR Davante Adams WR DeAndre Hopkins WR Adonai Mitchell,,Noah Brown,WR,10.90%,6.3
33,4506099076,jjax33 (128/150),0,160.1,DST Patriots  FLEX Courtland Sutton QB Josh Allen RB Bijan Robinson RB Austin Ekeler TE Travis Kelce WR Khalil Shakir WR DeAndre Hopkins WR Mack Hollins,,Sterling Shepard,WR,10.86%,2
34,4505302347,m4ch1n3m4n (10/150),0,159.92,DST Patriots  FLEX Drake London QB Brock Purdy RB Bijan Robinson RB Breece Hall TE George Kittle WR DeAndre Hopkins WR Ricky Pearsall WR Adonai Mitchell,,Jauan Jennings,WR,10.86%,16.3
35,4505726059,ChiefST (58/150),0,159.81999,DST Patriots  FLEX Travis Kelce QB Brock Purdy RB Christian McCaffrey RB Bijan Robinson TE Cade Otton WR DeAndre Hopkins WR Jauan Jennings WR Adonai Mitchell,,Kareem Hunt,FLEX,10.54%,17
