,Player,Position,Team,Opponent,Salary,% ownership
0,Puka Nacua,WR,LAR,IND,"$7,900",33.4%
1,Christian McCaffrey,RB,SF,JAX,"$8,500",31.5%
2,Jakobi Meyers,WR,LV,CHI,"$5,400",22.6%
3,Omarion Hampton,RB,LAC,@NYG,"$5,900",18.9%
4,Davante Adams,WR,LAR,IND,"$6,200",18.2%
5,Drake London,WR,ATL,WAS,"$5,700",17.4%
6,Cam Skattebo,RB,NYG,LAC,"$5,500",17.2%
7,Jonathan Taylor,RB,IND,LARR,"$7,500",15.3%
8,James Cook III,RB,BUF,NO,"$7,100",15.0%
9,Brock Bowers,TE,LV,CHI,"$5,800",14.1%
10,Chris Olave,WR,NO,@BUF,"$5,100",14.0%
12,Bijan Robinson,RB,ATL,WAS,"$8,200",13.5%
13,Kyren Williams,RB,LAR,IND,"$6,300",13.4%
14,Amon-Ra St. Brown,WR,DET,CLE,"$7,300",13.3%
15,Jahmyr Gibbs,RB,DET,CLE,"$7,700",12.7%
16,Bucky Irving,RB,TB,PHI,"$6,900",12.4%
17,Tetairoa McMillan,WR,CAR,@NE,"$5,900",12.1%
18,Tyler Warren,TE,IND,LARR,"$4,600",12.0%
19,Saquon Barkley,RB,PHI,@TB,"$7,600",11.8%
20,A.J. Brown,WR,PHI,@TB,"$6,400",11.3%
21,Ashton Jeanty,RB,LV,CHI,"$6,200",11.3%
22,Malik Nabers,WR,NYG,LAC,"$7,000",11.1%
23,Kyle Pitts Sr.,TE,ATL,WAS,"$3,600",11.0%
24,Hunter Henry,TE,NE,CAR,"$4,000",10.9%
26,Nico Collins,WR,HOU,TEN,"$7,400",10.4%
27,Keenan Allen,WR,LAC,@NYG,"$5,300",10.1%
28,Zay Flowers,WR,BAL,@KC,"$6,700",10.1%
29,Ladd McConkey,WR,LAC,@NYG,"$6,500",10.0%
30,Jauan Jennings,WR,SF,JAX,"$5,000",9.8%
31,Brian Thomas Jr.,WR,JAX,@SF,"$6,100",9.8%
32,Drake Maye,QB,NE,CAR,"$5,500",9.7%
33,Justin Herbert,QB,LAC,@NYG,"$6,300",9.5%
34,Quentin Johnston,WR,LAC,@NYG,"$5,500",9.1%
35,Rome Odunze,WR,CHI,@LV,"$6,300",9.1%
36,Josh Allen,QB,BUF,NO,"$7,700",8.9%
37,Patrick Mahomes,QB,KC,BAL,"$6,000",8.7%
38,Chuba Hubbard,RB,CAR,@NE,"$6,000",8.4%
39,Ricky Pearsall,WR,SF,JAX,"$5,700",8.4%
40,Geno Smith,QB,LV,CHI,"$5,400",8.1%
43,D'Andre Swift,RB,CHI,@LV,"$5,400",7.7%
44,Alvin Kamara,RB,NO,@BUF,"$6,100",7.5%
45,Tony Pollard,RB,TEN,@HOU,"$5,600",7.4%
46,DeVonta Smith,WR,PHI,@TB,"$5,400",7.0%
47,Caleb Williams,QB,CHI,@LV,"$5,800",6.9%
