,Player,Position,Team,Opponent,Salary,% ownership
0,Rico Dowdle,RB,CAR,NO,"$6,300",34.5%
1,Christian McCaffrey,RB,SF,LAR,"$9,000",31.1%
2,De'Von Achane,RB,MIA,BUF,"$7,400",30.3%
3,Zay Flowers,WR,BAL,@MIN,"$5,900",25.2%
4,Jaxon Smith-Njigba,WR,SEA,ARI,"$8,600",24.6%
5,Puka Nacua,WR,LAR,@SF,"$8,700",21.5%
6,Trey McBride,TE,ARI,@SEA,"$6,000",18.9%
7,Amon-Ra St. Brown,WR,DET,@WAS,"$8,400",18.2%
8,George Kittle,TE,SF,LAR,"$4,500",17.9%
9,Emeka Egbuka,WR,TB,NE,"$7,000",17.7%
11,Deebo Samuel Sr.,WR,WAS,DET,"$5,600",14.4%
12,Khalil Shakir,WR,BUF,@MIA,"$5,100",13.5%
13,Josh Allen,QB,BUF,@MIA,"$7,000",12.8%
14,Jauan Jennings,WR,SF,LAR,"$4,600",12.8%
15,Kyren Williams,RB,LAR,@SF,"$6,600",12.7%
16,Quinshon Judkins,RB,CLE,@NYJ,"$6,500",12.4%
17,James Cook III,RB,BUF,@MIA,"$7,500",12.3%
18,Hunter Henry,TE,NE,@TB,"$3,500",12.3%
19,Cade Otton,TE,TB,NE,"$3,900",11.9%
20,Lamar Jackson,QB,BAL,@MIN,"$6,800",11.7%
21,Justin Jefferson,WR,MIN,BAL,"$7,900",11.4%
22,Wan'Dale Robinson,WR,NYG,@CHI,"$5,300",11.3%
23,Marvin Harrison Jr.,WR,ARI,@SEA,"$5,300",11.1%
24,Derrick Henry,RB,BAL,@MIN,"$6,800",11.0%
25,Jahmyr Gibbs,RB,DET,@WAS,"$8,000",10.8%
26,Sam LaPorta,TE,DET,@WAS,"$4,400",10.7%
27,TreVeyon Henderson,RB,NE,@TB,"$5,600",10.5%
28,Tez Johnson,WR,TB,NE,"$4,500",10.4%
29,Stefon Diggs,WR,NE,@TB,"$5,800",10.0%
30,David Montgomery,RB,DET,@WAS,"$5,000",9.9%
31,Mark Andrews,TE,BAL,@MIN,"$3,400",9.5%
32,Breece Hall,RB,NYJ,CLE,"$6,000",9.4%
34,Parker Washington,WR,JAX,@HOU,"$4,700",8.8%
35,Drake Maye,QB,NE,@TB,"$6,400",8.6%
37,Rachaad White,RB,TB,NE,"$6,400",8.2%
38,Jameson Williams,WR,DET,@WAS,"$4,900",8.1%
39,Travis Etienne Jr.,RB,JAX,@HOU,"$5,700",8.0%
40,Tetairoa McMillan,WR,CAR,NO,"$5,700",7.9%
42,Jaxson Dart,QB,NYG,@CHI,"$5,700",7.7%
43,Baker Mayfield,QB,TB,NE,"$6,200",7.6%
44,Jaylen Waddle,WR,MIA,BUF,"$6,400",7.3%
45,Nico Collins,WR,HOU,JAX,"$6,700",7.1%
46,Mac Jones,QB,SF,LAR,"$5,000",7.1%
47,J.J. McCarthy,QB,MIN,BAL,"$4,900",6.8%
48,Chris Olave,WR,NO,@CAR,"$6,200",6.6%
49,Dalton Kincaid,TE,BUF,@MIA,"$4,300",6.3%
50,D'Andre Swift,RB,CHI,NYG,"$6,100",6.2%
51,Kenneth Walker III,RB,SEA,ARI,"$5,300",6.0%
52,DeMario Douglas,WR,NE,@TB,"$4,000",6.0%
53,Jacoby Brissett,QB,ARI,@SEA,"$4,600",5.9%
55,Garrett Wilson,WR,NYJ,CLE,"$6,100",5.9%
60,Marcus Mariota,QB,WAS,DET,"$5,300",5.6%
61,Jordan Addison,WR,MIN,BAL,"$5,400",5.4%
62,Zach Ertz,TE,WAS,DET,"$4,000",5.3%
63,Darius Slayton,WR,NYG,@CHI,"$4,300",5.1%
64,Jared Goff,QB,DET,@WAS,"$5,900",5.1%
65,Theo Johnson,TE,NYG,@CHI,"$3,800",5.1%
66,Rome Odunze,WR,CHI,NYG,"$6,000",5.0%
68,Sam Darnold,QB,SEA,ARI,"$5,800",4.9%
69,T.J. Hockenson,TE,MIN,BAL,"$3,300",4.9%
71,Olamide Zaccheaus,WR,CHI,NYG,"$3,600",4.8%
72,Keon Coleman,WR,BUF,@MIA,"$4,400",4.8%
73,David Njoku,TE,CLE,@NYJ,"$3,200",4.7%
74,Davante Adams,WR,LAR,@SF,"$7,700",4.6%
75,Dalton Schultz,TE,HOU,JAX,"$3,600",4.5%
76,Dyami Brown,WR,JAX,@HOU,"$3,700",4.4%
77,Matthew Stafford,QB,LAR,@SF,"$6,500",4.1%
79,Juwan Johnson,TE,NO,@CAR,"$3,700",4.0%
80,Jakobi Meyers,WR,JAX,@HOU,"$4,800",3.8%
81,Aaron Jones Sr.,RB,MIN,BAL,"$5,200",3.8%
82,Caleb Williams,QB,CHI,NYG,"$6,000",3.7%
84,DJ Moore,WR,CHI,NYG,"$5,500",3.6%
85,Isaiah Likely,TE,BAL,@MIN,"$2,900",3.4%
87,Jerry Jeudy,WR,CLE,@NYJ,"$3,900",3.1%
88,AJ Barner,TE,SEA,ARI,"$3,100",3.0%
89,Malik Washington,WR,MIA,BUF,"$4,200",3.0%
90,Rashod Bateman,WR,BAL,@MIN,"$3,900",2.9%
91,Michael Wilson,WR,ARI,@SEA,"$3,300",2.8%
93,Colston Loveland,TE,CHI,NYG,"$4,100",2.5%
95,Jaylin Lane,WR,WAS,DET,"$3,600",2.3%
96,Mason Taylor,TE,NYJ,CLE,"$3,200",2.2%
98,Justin Fields,QB,NYJ,CLE,"$5,200",2.1%
99,Chris Moore,WR,WAS,DET,"$3,100",2.0%
100,Zach Charbonnet,RB,SEA,ARI,"$5,100",2.0%
101,Devin Singletary,RB,NYG,@CHI,"$4,300",1.9%
102,Alvin Kamara,RB,NO,@CAR,"$5,400",1.9%
103,Sterling Shepard,WR,TB,NE,"$4,200",1.8%
104,Cedric Tillman,WR,CLE,@NYJ,"$3,500",1.8%
105,Harold Fannin Jr.,TE,CLE,@NYJ,"$4,200",1.8%
106,Tyrone Tracy Jr.,RB,NYG,@CHI,"$5,800",1.7%
107,Kyle Monangai,RB,CHI,NYG,"$5,600",1.7%
108,Trevor Lawrence,QB,JAX,@HOU,"$5,100",1.6%
109,Rashid Shaheed,WR,SEA,ARI,"$5,200",1.6%
110,Davis Mills,QB,HOU,JAX,"$4,500",1.6%
111,Christian Kirk,WR,HOU,JAX,"$4,100",1.5%
112,Elijah Arroyo,TE,SEA,ARI,"$2,600",1.3%
113,Tyler Higbee,TE,LAR,@SF,"$2,900",1.3%
114,Mack Hollins,WR,NE,@TB,"$3,500",1.3%
115,Kendrick Bourne,WR,SF,LAR,"$4,500",1.2%
117,Emari Demercado,RB,ARI,@SEA,"$4,500",1.1%
119,Jalen Nailor,WR,MIN,BAL,"$3,100",0.9%
121,Tyler Shough,QB,NO,@CAR,"$4,300",0.9%
122,Tua Tagovailoa,QB,MIA,BUF,"$4,800",0.9%
123,Dillon Gabriel,QB,CLE,@NYJ,"$4,400",0.8%
124,Woody Marks,RB,HOU,JAX,"$5,100",0.7%
125,Bryce Young,QB,CAR,NO,"$5,400",0.7%
126,Jacory Croskey-Merritt,RB,WAS,DET,"$5,200",0.6%
127,Zonovan Knight,RB,ARI,@SEA,"$5,500",0.5%
128,Nick Chubb,RB,HOU,JAX,"$4,600",0.5%
