week,Player,Salary,Roster Position,%Drafted,FPTS
4,Baker Mayfield,6500,QB,0.86%,19.86
4,Olamide Zaccheaus,3600,FLEX,0.81%,9.1
4,Luther Burden III,4700,FLEX,0.78%,1.6
4,Buccaneers,2800,DST,0.77%,3.0
4,Bryce Young,4900,QB,0.74%,10.3
4,Saints,2000,DST,0.72%,4.0
4,Isiah Pacheco,5000,RB,0.70%,12.8
4,Luke McCaffrey,3400,WR,0.65%,10.1
4,Rhamondre Stevenson,5100,FLEX,0.60%,5.1
4,Isaiah Likely,3300,TE,0.59%,0.0
4,Joe Flacco,4700,QB,0.58%,4.26
4,Chris Godwin Jr.,6000,WR,0.56%,5.6
4,Woody Marks,4400,RB,0.55%,27.9
4,Jake Tonges,3100,TE,0.52%,14.8
4,Theo Johnson,2900,TE,0.51%,10.7
4,Dont'e Thornton Jr.,3900,WR,0.48%,0.0
4,Kareem Hunt,4800,FLEX,0.45%,5.7
4,Joshua Palmer,4300,WR,0.45%,4.5
4,DeAndre Hopkins,4500,WR,0.42%,0.0
4,Noah Gray,2700,TE,0.41%,1.1
4,Travis Hunter,4600,WR,0.34%,7.2
4,Chris Moore,3000,WR,0.30%,0.9
4,Chiefs,2800,DST,0.28%,8.0
4,Cam Ward,4800,QB,0.21%,5.52
4,Jaylin Lane,3300,WR,0.18%,3.8
4,Kendrick Bourne,3700,WR,0.18%,2.7
4,Demarcus Robinson,3500,FLEX,0.18%,3.0
4,Tyler Higbee,2800,TE,0.18%,4.5
4,Jacory Croskey-Merritt,5300,RB,0.17%,7.7
4,Chris Rodriguez Jr.,4200,RB,0.17%,5.9
4,JuJu Smith-Schuster,3800,FLEX,0.16%,13.6
4,Darius Slayton,3700,WR,0.15%,7.4
4,Dawson Knox,2500,FLEX,0.14%,0.0
4,Bhayshul Tuten,4800,RB,0.12%,3.2
4,Jeremy McNichols,4900,RB,0.11%,1.3
4,Jordan Whittington,3000,FLEX,0.10%,1.7
4,Devontez Walker,3400,FLEX,0.10%,0.0
4,Blake Corum,4300,FLEX,0.10%,3.6
4,David Moore,3000,WR,0.10%,1.2
4,Rico Dowdle,4500,RB,0.10%,4.0
4,Davis Allen,2500,TE,0.09%,1.0
4,DeMario Douglas,3800,WR,0.09%,0.0
4,Tyler Conklin,2700,TE,0.08%,1.3
4,Elijah Moore,3600,WR,0.08%,0.0
4,Rachaad White,4900,RB,0.08%,8.6
4,Mack Hollins,3300,WR,0.07%,7.4
4,Isaac TeSlaa,3500,WR,0.07%,0.0
4,Ray Davis,4000,RB,0.07%,0.3
4,Austin Hooper,3000,TE,0.07%,3.4
4,Isaiah Bond,3100,WR,0.06%,8.8
4,Justice Hill,4700,RB,0.06%,28.7
4,Ray-Ray McCloud III,3700,WR,0.06%,0.3
4,Tyler Allgeier,4700,RB,0.05%,11.1
4,Kyle Monangai,4400,RB,0.05%,1.8
4,Brandin Cooks,3600,WR,0.05%,5.2
4,Xavier Hutchinson,3400,WR,0.05%,3.7
4,Jahan Dotson,3400,WR,0.04%,0.0
4,Devin Singletary,4500,FLEX,0.04%,2.8
4,Tyler Lockett,3500,FLEX,0.03%,0.0
4,Tutu Atwell,3000,WR,0.03%,15.8
4,Dylan Sampson,4200,RB,0.03%,-0.2
4,Tylan Wallace,3200,WR,0.03%,2.4
4,Ty Johnson,4000,FLEX,0.03%,0.0
4,Dyami Brown,4100,WR,0.03%,0.0
4,Gunnar Helm,2600,TE,0.03%,2.2
4,Brian Robinson Jr.,4500,RB,0.03%,2.1
4,Chimere Dike,3000,WR,0.03%,-0.4
4,Russell Wilson,5000,QB,0.02%,0.32
4,Ryan Miller,3100,WR,0.02%,0.0
4,Kalif Raymond,3200,FLEX,0.02%,9.3
4,Antonio Gibson,4600,FLEX,0.02%,8.7
4,Kendre Miller,4100,RB,0.02%,12.5
4,Jackson Hawes,2500,FLEX,0.02%,2.5
4,Jayden Higgins,3900,WR,0.02%,9.4
4,Brock Wright,2900,FLEX,0.02%,0.0
4,Charlie Kolar,2800,FLEX,0.02%,0.0
4,Jerome Ford,4600,RB,0.02%,1.3
4,Tez Johnson,3200,WR,0.02%,2.3
4,Tre' Harris,3000,FLEX,0.01%,0.0
4,Luke Farrell,3000,TE,0.01%,3.0
4,Brycen Tremayne,3000,WR,0.01%,6.6
4,Hassan Haskins,4400,RB,0.01%,0.0
4,Kyle Williams,3000,FLEX,0.01%,-0.2
4,Colston Loveland,3100,TE,0.01%,0.0
4,Colby Parkinson,2500,TE,0.01%,3.7
4,Mitchell Evans,2500,TE,0.01%,11.3
4,Tyrell Shavers,3000,WR,0.01%,0.0
4,Mac Jones,5100,QB,0.01%,0.0
4,Brashard Smith,4000,RB,0.01%,6.6
4,Teddy Bridgewater,4000,QB,0.01%,0.0
4,Kyle Juszczyk,4000,RB,0.01%,6.2
4,KeAndre Lambert-Smith,3000,WR,0.01%,0.0
4,Grant Calcaterra,2500,FLEX,0.01%,2.6
4,Zamir White,4100,RB,0.01%,0.0
4,Messiah Swinson,2500,TE,0.01%,0.0
4,Will Shipley,4300,RB,0.01%,0.0
4,Tank Bigsby,4100,RB,0.01%,0.0
4,Durham Smythe,2500,FLEX,0.01%,0.0
4,Casey Washington,3000,WR,0.01%,2.9
4,Marquez Valdes-Scantling,3300,WR,0.01%,0.0
4,Jack Bech,3600,FLEX,0.00%,0.0
4,Ian Thomas,2500,TE,0.00%,0.0
4,Hunter Long,2500,TE,0.00%,11.3
4,Jack Stoll,2600,TE,0.00%,1.7
4,Jayden Daniels,7000,QB,0.00%,0.0
4,Curtis Samuel,3200,WR,0.00%,1.9
4,Kimani Vidal,4000,RB,0.00%,0.0
4,Kirk Cousins,4600,QB,0.00%,0.0
4,Raheem Mostert,4000,FLEX,0.00%,8.3
4,DJ Giddens,4000,FLEX,0.00%,0.0
4,Russell Gage Jr.,3000,WR,0.00%,0.0
4,Jalen Royals,3300,WR,0.00%,0.0
4,Terry McLaurin,5500,WR,0.00%,0.0
4,Jalin Hyatt,3000,WR,0.00%,0.0
4,Jaylin Noel,3000,WR,0.00%,1.0
4,Payne Durham,2500,FLEX,0.00%,0.0
4,Roschon Johnson,4000,RB,0.00%,0.0
4,Mo Alie-Cox,2500,TE,0.00%,0.0
4,Dylan Laube,4000,FLEX,0.00%,0.0
4,Daniel Bellinger,2500,TE,0.00%,2.3
4,A.J. Dillon,4000,RB,0.00%,1.7
4,Kylen Granson,2500,TE,0.00%,0.0
4,Johnny Mundt,2500,FLEX,0.00%,0.0
4,Alec Pierce,4400,WR,0.00%,0.0
4,Mason Tipton,3000,WR,0.00%,0.0
4,Dameon Pierce,4000,RB,0.00%,0.0
4,Harrison Bryant,2500,FLEX,0.00%,0.0
4,James Mitchell,2500,FLEX,0.00%,3.7
4,Drew Ogletree,2500,TE,0.00%,0.0
4,Nikko Remigio,3000,WR,0.00%,0.0
4,Devaughn Vele,3100,FLEX,0.00%,0.0
4,Dare Ogunbowale,4000,FLEX,0.00%,0.0
4,LeQuint Allen Jr.,4000,RB,0.00%,1.7
4,Cameron Latu,2500,TE,0.00%,0.0
4,Sean Tucker,4000,RB,0.00%,0.0
4,Trevor Etienne,4000,RB,0.00%,3.3
4,Ben Sinnott,2500,TE,0.00%,0.0
4,Xavier Smith,3000,WR,0.00%,0.0
4,Julius Chestnut,4000,RB,0.00%,0.0
4,Kameron Johnson,3000,WR,0.00%,0.0
