,Player,Position,Team,Opponent,Salary,% ownership
0,Woody Marks,RB,HOU,ARI,"$5,600",27.5%
1,Christian McCaffrey,RB,SF,TEN,"$9,000",26.6%
2,Puka Nacua,WR,LAR,DET,"$8,700",24.0%
3,Ja'Marr Chase,WR,CIN,BAL,"$8,100",23.8%
4,Jaxon Smith-Njigba,WR,SEA,IND,"$8,600",21.0%
5,Kenneth Walker III,RB,SEA,IND,"$5,600",17.1%
6,Jahmyr Gibbs,RB,DET,LAR,"$8,800",16.9%
7,George Kittle,TE,SF,TEN,"$5,400",15.9%
8,Derrick Henry,RB,BAL,@CIN,"$7,300",14.9%
9,Amon-Ra St. Brown,WR,DET,LAR,"$7,900",14.8%
10,Nico Collins,WR,HOU,ARI,"$6,700",14.5%
11,Saquon Barkley,RB,PHI,LV,"$7,100",13.3%
12,Theo Johnson,TE,NYG,WAS,"$3,500",13.3%
13,Wan'Dale Robinson,WR,NYG,WAS,"$5,900",13.0%
14,Harold Fannin Jr.,TE,CLE,@CHI,"$4,000",12.6%
15,AJ Barner,TE,SEA,IND,"$3,200",11.9%
16,Jauan Jennings,WR,SF,TEN,"$5,200",11.4%
17,C.J. Stroud,QB,HOU,ARI,"$5,200",10.6%
18,Mark Andrews,TE,BAL,@CIN,"$3,900",10.3%
19,Zay Flowers,WR,BAL,@CIN,"$6,300",10.0%
20,Jakobi Meyers,WR,JAX,NYJ,"$5,600",10.0%
21,Travis Etienne Jr.,RB,JAX,NYJ,"$6,500",10.0%
22,Davante Adams,WR,LAR,DET,"$7,200",9.6%
23,Jaxson Dart,QB,NYG,WAS,"$5,600",9.6%
24,Michael Wilson,WR,ARI,@HOU,"$6,600",9.6%
25,Ashton Jeanty,RB,LV,@PHI,"$5,800",9.6%
26,Terry McLaurin,WR,WAS,@NYG,"$5,400",9.3%
27,A.J. Brown,WR,PHI,LV,"$6,800",8.7%
29,Tetairoa McMillan,WR,CAR,@NO,"$6,000",8.6%
30,Josh Jacobs,RB,GB,@DEN,"$6,900",8.4%
31,Lamar Jackson,QB,BAL,@CIN,"$6,400",8.4%
32,Colby Parkinson,TE,LAR,DET,"$3,200",8.3%
33,Mitch Tinsley,WR,CIN,BAL,"$3,100",8.1%
34,Jameson Williams,WR,DET,LAR,"$6,100",8.0%
36,Matthew Stafford,QB,LAR,DET,"$7,000",7.5%
37,Brock Purdy,QB,SF,TEN,"$6,200",7.4%
38,Devin Neal,RB,NO,CAR,"$5,300",7.0%
39,Trevor Lawrence,QB,JAX,NYJ,"$5,700",7.0%
40,Tyrone Tracy Jr.,RB,NYG,WAS,"$5,500",6.9%
41,Adonai Mitchell,WR,NYJ,@JAX,"$4,400",6.8%
43,Rashee Rice,WR,KC,LAC,"$7,700",6.6%
44,Mike Gesicki,TE,CIN,BAL,"$3,300",6.5%
46,RJ Harvey,RB,DEN,GB,"$6,000",6.5%
47,Juwan Johnson,TE,NO,CAR,"$3,700",6.4%
48,Marcus Mariota,QB,WAS,@NYG,"$5,000",6.3%
49,Dalton Schultz,TE,HOU,ARI,"$4,100",6.3%
50,DeVonta Smith,WR,PHI,LV,"$5,800",6.2%
51,Christian Watson,WR,GB,@DEN,"$5,500",6.2%
52,Chris Olave,WR,NO,CAR,"$6,200",5.9%
53,Sam Darnold,QB,SEA,IND,"$5,800",5.8%
58,James Cook III,RB,BUF,@NE,"$8,000",5.4%
59,Jayden Reed,WR,GB,@DEN,"$4,500",5.3%
61,Deebo Samuel Sr.,WR,WAS,@NYG,"$5,300",5.2%
62,Breece Hall,RB,NYJ,@JAX,"$6,200",5.1%
63,Rico Dowdle,RB,CAR,@NO,"$6,600",5.0%
64,Brenton Strange,TE,JAX,NYJ,"$4,200",5.0%
65,Chase Brown,RB,CIN,BAL,"$6,700",5.0%
67,Jalen Hurts,QB,PHI,LV,"$6,800",4.8%
68,Jayden Higgins,WR,HOU,ARI,"$4,200",4.8%
70,John Metchie III,WR,NYJ,@JAX,"$4,300",4.5%
71,Isaiah Likely,TE,BAL,@CIN,"$3,400",4.3%
72,Hunter Henry,TE,NE,BUF,"$4,400",4.1%
73,Joe Burrow,QB,CIN,BAL,"$6,600",4.1%
74,Dallas Goedert,TE,PHI,LV,"$3,800",4.1%
75,Mason Taylor,TE,NYJ,@JAX,"$3,100",4.0%
78,Travis Kelce,TE,KC,LAC,"$4,900",3.9%
79,Chuba Hubbard,RB,CAR,@NO,"$4,600",3.9%
80,Quinshon Judkins,RB,CLE,@CHI,"$6,300",3.9%
81,Colston Loveland,TE,CHI,CLE,"$3,600",3.9%
82,Josh Allen,QB,BUF,@NE,"$7,500",3.9%
83,Evan Engram,TE,DEN,GB,"$3,100",3.6%
84,Brian Thomas Jr.,WR,JAX,NYJ,"$5,700",3.4%
86,Patrick Mahomes,QB,KC,LAC,"$6,500",3.4%
87,Trey McBride,TE,ARI,@HOU,"$7,400",3.4%
89,Kyren Williams,RB,LAR,DET,"$6,800",3.3%
90,Courtland Sutton,WR,DEN,GB,"$5,500",3.3%
91,Xavier Worthy,WR,KC,LAC,"$4,500",3.2%
92,Dalton Kincaid,TE,BUF,@NE,"$4,500",3.2%
93,D'Andre Swift,RB,CHI,CLE,"$5,700",3.1%
94,Drake Maye,QB,NE,BUF,"$6,700",3.1%
95,Jared Goff,QB,DET,LAR,"$6,100",3.0%
96,Stefon Diggs,WR,NE,BUF,"$6,000",3.0%
97,Jordan Love,QB,GB,@DEN,"$5,400",2.9%
98,Caleb Williams,QB,CHI,CLE,"$5,300",2.9%
99,Brandin Cooks,WR,BUF,@NE,"$3,100",2.9%
100,Zonovan Knight,RB,ARI,@HOU,"$4,900",2.9%
102,TreVeyon Henderson,RB,NE,BUF,"$6,100",2.8%
103,Tony Pollard,RB,TEN,@SF,"$5,200",2.7%
104,Luther Burden III,WR,CHI,CLE,"$4,800",2.7%
105,Tyler Shough,QB,NO,CAR,"$4,900",2.6%
106,Elic Ayomanor,WR,TEN,@SF,"$3,500",2.5%
108,Gunnar Helm,TE,TEN,@SF,"$2,800",2.5%
109,Cooper Kupp,WR,SEA,IND,"$4,100",2.4%
110,Devaughn Vele,WR,NO,CAR,"$4,200",2.4%
111,Jerry Jeudy,WR,CLE,@CHI,"$4,400",2.3%
112,Chris Rodriguez Jr.,RB,WAS,@NYG,"$4,900",2.3%
115,Mack Hollins,WR,NE,BUF,"$4,000",2.2%
116,Michael Pittman Jr.,WR,IND,@SEA,"$5,100",2.1%
118,Brock Bowers,TE,LV,@PHI,"$5,900",2.1%
120,Khalil Shakir,WR,BUF,@NE,"$5,300",2.0%
121,Ricky Pearsall,WR,SF,TEN,"$5,100",2.0%
